time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.64865,-2.1717,2.169743,-1.20852,346.8694,314.5512,123.8825
69.66222,-2.169904,2.169278,-1.215955,346.5521,314.0449,123.7708
69.6713,-2.169904,2.169278,-1.215955,346.5521,314.0449,123.7708
69.68003,-2.167743,2.168591,-1.22312,346.041,313.6922,123.5462
69.68873,-2.165629,2.167744,-1.230402,345.4857,313.3561,123.2487
69.6991,-2.163474,2.166893,-1.237547,345.1172,313.037,122.9785
69.71027,-2.161054,2.165717,-1.244775,345.1159,312.5383,122.7638
69.72136,-2.158839,2.164676,-1.251906,345.2773,312.0126,122.604
69.73256,-2.15621,2.163362,-1.25867,345.7634,311.3734,122.396
69.75359,-2.150047,2.160213,-1.271708,346.3733,310.9042,121.8059
69.76168,-2.150047,2.160213,-1.271708,346.3733,310.9042,121.8059
69.76962,-2.146794,2.158629,-1.278261,346.4554,310.8097,121.4897
69.78679,-2.139514,2.155653,-1.290975,346.5652,310.6534,121.0967
69.79462,-2.139514,2.155653,-1.290975,346.5652,310.6534,121.0967
69.80264,-2.135676,2.154409,-1.297314,346.8069,310.4001,121.0512
69.82072,-2.127432,2.153116,-1.310233,347.5077,309.7898,120.9737
69.82932,-2.122928,2.152868,-1.316709,347.5756,309.5918,120.9704
69.84264,-2.118266,2.152818,-1.323127,347.3052,309.3084,121.035
69.85046,-2.118266,2.152818,-1.323127,347.3052,309.3084,121.035
69.8583,-2.113506,2.15286,-1.32951,346.9766,309.0484,121.1241
69.87543,-2.103839,2.15258,-1.342033,346.6104,308.6234,121.287
69.88326,-2.103839,2.15258,-1.342033,346.6104,308.6234,121.287
69.89108,-2.098746,2.152298,-1.348033,346.6674,308.3407,121.4552
69.89876,-2.093678,2.151967,-1.353933,346.7852,308.0634,121.6519
69.91,-2.088369,2.15167,-1.359509,347.1436,307.9093,121.8665
69.9211,-2.08288,2.15155,-1.365115,347.5999,308.0245,122.0592
69.9321,-2.077122,2.151756,-1.370735,347.882,307.9258,122.3321
69.94328,-2.071551,2.152222,-1.376281,347.9326,307.5934,122.641
69.95437,-2.066061,2.153869,-1.381877,347.193,307.222,122.9071
69.9753,-2.055996,2.157391,-1.393838,345.7721,306.7122,123.6536
69.98326,-2.055996,2.157391,-1.393838,345.7721,306.7122,123.6536
69.99082,-2.051282,2.159468,-1.399671,344.8951,305.6944,123.9886
69.99858,-2.047003,2.160937,-1.404991,343.9004,304.7673,123.9562
70.00983,-2.04295,2.161967,-1.410062,343.1071,304.1225,123.8238
70.02077,-2.039758,2.162368,-1.414497,342.7831,303.5792,123.661
70.03196,-2.036779,2.162103,-1.418867,343.1808,303.3231,123.5276
70.04316,-2.034239,2.161346,-1.423277,343.4971,303.163,123.6426
70.05437,-2.031721,2.160707,-1.427932,343.4371,302.8288,123.9999
70.06541,-2.030276,2.159555,-1.43231,343.4502,302.5657,124.7999
70.07666,-2.028744,2.158645,-1.437461,343.3969,301.9496,126.0403
70.08763,-2.027337,2.158307,-1.44258,343.4714,301.0794,126.9311
70.09882,-2.025772,2.158716,-1.44742,343.5894,300.0481,127.51
70.10984,-2.02386,2.159443,-1.452202,343.8977,299.2474,127.749
70.12099,-2.021768,2.161134,-1.456528,344.419,298.5504,127.1924
70.13189,-2.019539,2.163232,-1.461133,344.7446,298.2236,126.4031
70.1431,-2.017314,2.165363,-1.466459,344.4987,298.2997,125.6484
70.15423,-2.015087,2.166984,-1.472046,344.0137,298.1911,125.0285
70.16526,-2.012665,2.168674,-1.478484,343.1898,297.5802,124.5824
70.18632,-2.008013,2.171774,-1.491465,341.959,294.4925,124.4324
70.19425,-2.008013,2.171774,-1.491465,341.959,294.4925,124.4324
70.202,-2.005635,2.173181,-1.497614,341.6559,293.1226,124.3272
70.20953,-2.003229,2.174394,-1.503608,341.4152,292.2014,124.1085
70.22077,-2.000638,2.17521,-1.509731,341.4036,291.7163,123.8108
70.24176,-1.989831,2.177855,-1.522981,341.4389,290.0016,123.7764
70.24973,-1.989831,2.177855,-1.522981,341.4389,290.0016,123.7764
70.25745,-1.986938,2.178138,-1.529303,341.3264,288.8598,123.9699
70.27522,-1.982121,2.176838,-1.542601,340.7683,286.5979,124.7351
70.28279,-1.982121,2.176838,-1.542601,340.7683,286.5979,124.7351
70.29043,-1.979369,2.17644,-1.548931,340.8325,285.482,124.952
70.30848,-1.97481,2.173488,-1.564019,342.2454,281.9656,125.7459
70.31586,-1.97481,2.173488,-1.564019,342.2454,281.9656,125.7459
70.3233,-1.972367,2.172673,-1.572106,342.8453,280.7137,125.7382
70.3315,-1.970596,2.171798,-1.58052,342.6079,279.4979,126.1965
70.34272,-1.968573,2.169593,-1.587687,342.3806,277.8911,126.598
70.35365,-1.967786,2.170343,-1.594983,341.4945,275.5567,126.7989
70.36469,-1.966411,2.170726,-1.601529,341.0743,273.8344,126.7075
70.37579,-1.964476,2.171693,-1.605226,340.8778,272.4474,126.0818
70.38684,-1.962812,2.172554,-1.609553,341.1188,273.311,124.4187
70.39793,-1.961032,2.173126,-1.613411,341.2106,274.2652,123.2857
70.40923,-1.959648,2.173481,-1.617759,341.098,276.0066,122.2443
70.42027,-1.958311,2.173061,-1.624993,340.862,277.0187,122.1004
70.43127,-1.956807,2.172912,-1.631806,340.8871,276.7876,123.0443
70.44239,-1.955354,2.173139,-1.638967,341.9113,273.983,124.3794
70.45343,-1.953612,2.173312,-1.645419,342.954,270.5513,125.6603
70.46454,-1.9517,2.173287,-1.649908,343.4975,268.0364,126.2039
70.47554,-1.950073,2.173614,-1.654471,343.6651,267.2867,126.1637
70.48662,-1.948045,2.174583,-1.657139,343.6888,267.8841,125.7119
70.49773,-1.945972,2.175341,-1.660905,343.809,268.3768,125.4057
70.50884,-1.943377,2.176328,-1.663924,343.8199,268.7835,125.2762
70.52003,-1.941206,2.17786,-1.667138,343.6523,267.7298,125.6343
70.53095,-1.938772,2.178978,-1.669421,342.946,266.7071,126.0113
70.54208,-1.936701,2.180047,-1.672026,341.8412,266.5415,126.2422
70.55326,-1.934517,2.180774,-1.674341,340.7834,266.7044,126.2951
70.56439,-1.932641,2.180921,-1.676538,339.7289,267.2567,126.1283
70.57543,-1.930973,2.180869,-1.678681,339.5382,267.1845,126.1119
70.58656,-1.929852,2.181274,-1.680872,340.5404,266.4089,126.2951
70.59763,-1.92847,2.181097,-1.682841,341.5397,265.7914,126.4771
70.60886,-1.927132,2.18142,-1.683958,342.6508,265.3965,126.583
70.61987,-1.925765,2.181349,-1.685022,343.111,265.2661,126.5822
70.63091,-1.924561,2.181958,-1.684731,342.6779,265.7027,126.3661
70.64207,-1.923093,2.182368,-1.684964,342.063,266.2841,126.0918
70.65327,-1.921624,2.182457,-1.685255,341.6829,266.693,125.979
70.66434,-1.920463,2.18278,-1.685548,341.4485,266.8724,125.9305
70.67531,-1.919041,2.182591,-1.685735,341.5626,266.9271,125.9702
70.68649,-1.917611,2.182088,-1.685715,342.0074,266.9865,125.9752
70.69749,-1.916329,2.181958,-1.685535,342.2977,267.2034,125.8826
70.70863,-1.914782,2.181657,-1.685286,342.416,267.4289,125.7663
70.71984,-1.913325,2.181437,-1.684687,342.4083,267.9539,125.4357
70.73081,-1.911419,2.180864,-1.683854,342.4525,268.6012,125.1013
70.74211,-1.909425,2.180215,-1.682738,342.5245,268.8985,124.9031
70.75315,-1.907537,2.17961,-1.681193,342.519,268.9295,124.8102
70.76425,-1.905844,2.178949,-1.679319,342.4533,269.3048,124.6599
70.77547,-1.904359,2.178585,-1.67795,342.514,269.8408,124.4969
70.78677,-1.902833,2.178319,-1.676324,342.8173,270.5004,124.3823
70.79808,-1.901084,2.177964,-1.675029,343.1822,271.0704,124.275
70.80968,-1.899345,2.178069,-1.674094,343.5857,271.4955,124.3669
