time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.64865,-1.915818,1.154916,-1.336759,317.7038,95.69432,15.72718
69.66222,-1.905212,1.152426,-1.356864,316.3011,92.87925,18.39909
69.6713,-1.905212,1.152426,-1.356864,316.3011,92.87925,18.39909
69.68003,-1.894216,1.150814,-1.376387,315.0365,90.08332,21.47042
69.68873,-1.883048,1.149362,-1.394795,313.6603,88.07147,23.92821
69.6991,-1.872198,1.148352,-1.413006,312.3775,85.73654,26.46542
69.71027,-1.861018,1.148009,-1.427224,311.0052,83.71441,28.22219
69.72136,-1.850185,1.147418,-1.442636,309.8947,81.27512,30.15944
69.73256,-1.838999,1.147319,-1.454074,308.8,79.26442,31.05212
69.75359,-1.817663,1.147378,-1.478176,306.866,74.64696,33.66205
69.76168,-1.817663,1.147378,-1.478176,306.866,74.64696,33.66205
69.76962,-1.807595,1.148288,-1.486358,306.2507,71.77821,34.93658
69.78679,-1.789117,1.149693,-1.499466,305.413,66.04271,36.98466
69.79462,-1.789117,1.149693,-1.499466,305.413,66.04271,36.98466
69.80264,-1.780616,1.149583,-1.506007,305.4209,64.25126,37.08017
69.82072,-1.769756,1.148678,-1.514062,306.3723,62.61118,35.58678
69.82932,-1.769318,1.147286,-1.515557,306.0273,60.72702,36.44819
69.84264,-1.76693,1.144925,-1.518716,306.7966,59.28307,36.80847
69.85046,-1.76693,1.144925,-1.518716,306.7966,59.28307,36.80847
69.8583,-1.76685,1.140879,-1.520997,308.3389,60.33659,34.91607
69.87543,-1.769701,1.13631,-1.531679,307.1359,74.93594,18.11204
69.88326,-1.769701,1.13631,-1.531679,307.1359,74.93594,18.11204
69.89108,-1.769469,1.135862,-1.534613,307.333,80.70964,12.76959
69.89876,-1.77187,1.138891,-1.534442,306.1996,78.73396,16.79789
69.91,-1.770613,1.137486,-1.541628,302.9393,75.50173,19.25343
69.9211,-1.766557,1.131979,-1.541258,303.9559,73.12502,20.01598
69.9321,-1.766723,1.132071,-1.5437,305.5835,74.04147,19.63903
69.94328,-1.766794,1.130287,-1.542309,303.7967,75.14923,18.78206
69.95437,-1.766173,1.130213,-1.541499,304.7058,73.58421,20.17811
69.9753,-1.766398,1.129566,-1.541273,304.5283,73.8485,19.78861
69.98326,-1.766398,1.129566,-1.541273,304.5283,73.8485,19.78861
69.99082,-1.766801,1.129271,-1.540372,304.5079,73.74237,19.83252
69.99858,-1.767049,1.129392,-1.541143,304.1756,74.63823,18.94202
70.00983,-1.767291,1.129293,-1.540863,304.0784,74.81307,18.67855
70.02077,-1.767246,1.129121,-1.541156,304.0509,74.40558,18.9276
70.03196,-1.767317,1.129218,-1.540402,304.0898,74.57264,18.7639
70.04316,-1.767285,1.129058,-1.540492,303.9852,74.63282,18.64047
70.05437,-1.767244,1.128977,-1.54033,303.9222,74.60246,18.57859
70.06541,-1.767086,1.128866,-1.54004,303.9092,74.52679,18.64303
70.07666,-1.767072,1.128918,-1.54005,303.9624,74.42088,18.76996
70.08763,-1.767071,1.128905,-1.53975,303.9451,74.31732,18.89984
70.09882,-1.766956,1.128867,-1.539847,304.0829,74.35382,18.91114
70.10984,-1.766976,1.12887,-1.540059,304.0749,74.3308,18.90876
70.12099,-1.767065,1.128815,-1.540384,304.0239,74.58413,18.63535
70.13189,-1.767154,1.12877,-1.540682,303.933,74.75218,18.42836
70.1431,-1.767208,1.12876,-1.541076,303.7884,75.02385,18.11511
70.15423,-1.767155,1.128694,-1.541213,303.71,75.13496,17.97345
70.16526,-1.76722,1.128645,-1.541078,303.6707,75.20143,17.88505
70.18632,-1.767347,1.128609,-1.540798,303.7672,75.08058,17.97417
70.19425,-1.767347,1.128609,-1.540798,303.7672,75.08058,17.97417
70.202,-1.767405,1.12855,-1.540747,303.76,75.10904,17.91704
70.20953,-1.767304,1.128433,-1.540763,303.7101,75.14719,17.81985
70.22077,-1.767355,1.128352,-1.54086,303.6445,75.24908,17.66708
70.24176,-1.767344,1.128272,-1.541085,303.4365,75.57801,17.23038
70.24973,-1.767344,1.128272,-1.541085,303.4365,75.57801,17.23038
70.25745,-1.767369,1.128133,-1.541195,303.306,75.78761,16.97545
70.27522,-1.767409,1.127961,-1.541384,303.1319,76.1187,16.5762
70.28279,-1.767409,1.127961,-1.541384,303.1319,76.1187,16.5762
70.29043,-1.767355,1.128586,-1.540615,303.2037,76.24403,16.41956
70.30848,-1.767085,1.128495,-1.540139,303.4961,76.08083,16.48721
70.31586,-1.767085,1.128495,-1.540139,303.4961,76.08083,16.48721
70.3233,-1.766948,1.128223,-1.539985,303.7204,75.86468,16.6324
70.3315,-1.766878,1.128121,-1.540398,303.7563,75.8295,16.62189
70.34272,-1.766713,1.12814,-1.540627,303.8239,75.85893,16.51263
70.35365,-1.766259,1.128481,-1.541076,304.0575,75.51099,16.65559
70.36469,-1.765625,1.128757,-1.54207,304.3596,75.35723,16.59901
70.37579,-1.764769,1.129211,-1.543285,304.8851,75.64638,15.96416
70.38684,-1.763672,1.129751,-1.54375,305.5606,76.06344,15.18963
70.39793,-1.762794,1.130369,-1.544001,306.1522,75.66697,15.00368
70.40923,-1.762028,1.130992,-1.544015,307.0401,73.09854,15.99588
70.42027,-1.761179,1.131851,-1.545164,308.017,70.99287,16.8161
70.43127,-1.760056,1.132882,-1.546098,308.6267,70.87898,16.02198
70.44239,-1.759419,1.133478,-1.54688,309.2121,69.91999,16.09256
70.45343,-1.758468,1.134249,-1.547684,309.6812,69.06652,16.11939
70.46454,-1.757317,1.134891,-1.548831,310.0545,68.70601,15.83963
70.47554,-1.756138,1.135401,-1.549602,310.4121,68.02765,15.82846
70.48662,-1.75455,1.136107,-1.550506,310.5178,67.42765,15.89709
70.49773,-1.752026,1.136331,-1.551472,310.3818,66.81738,16.25778
70.50884,-1.749362,1.136777,-1.552267,310.111,65.92132,16.82949
70.52003,-1.745047,1.136774,-1.552774,309.4775,64.25622,18.0547
70.53095,-1.740283,1.137002,-1.553374,308.4521,63.11235,18.6855
70.54208,-1.735482,1.13717,-1.55388,307.6041,62.22507,19.02716
70.55326,-1.729632,1.137289,-1.554237,306.6044,61.45686,19.2018
70.56439,-1.724194,1.13753,-1.554923,305.8648,60.77738,19.47984
70.57543,-1.719589,1.137284,-1.555832,305.5554,60.33648,19.74288
70.58656,-1.715002,1.135761,-1.556808,305.9271,60.29035,19.67578
70.59763,-1.711989,1.136194,-1.557847,306.4865,59.20346,20.85979
70.60886,-1.709208,1.137082,-1.559197,305.6288,57.51331,22.55446
70.61987,-1.705869,1.136877,-1.56051,304.7452,57.33277,22.6697
70.63091,-1.703296,1.137277,-1.560843,305.0816,56.92649,22.65046
70.64207,-1.701206,1.137069,-1.561413,304.825,56.0435,23.23398
70.65327,-1.697814,1.13665,-1.562163,304.5224,55.8396,23.24741
70.66434,-1.695614,1.135492,-1.562817,304.7773,56.08607,22.72701
70.67531,-1.693786,1.133253,-1.563344,305.8899,55.87727,22.57503
70.68649,-1.69322,1.132647,-1.565141,307.4554,55.56879,22.50428
70.69749,-1.694739,1.133891,-1.567604,305.6552,57.80442,19.71372
70.70863,-1.694567,1.133458,-1.56665,303.7556,59.50495,17.66555
70.71984,-1.69457,1.131413,-1.567063,305.9209,55.31956,20.07615
70.73081,-1.694787,1.131086,-1.567742,305.3652,56.51589,18.33348
70.74211,-1.693987,1.129494,-1.568028,304.5461,57.17412,17.48667
70.75315,-1.69347,1.128611,-1.568692,304.6471,57.86065,16.46708
70.76425,-1.69416,1.129044,-1.569579,304.0079,59.11977,15.59759
70.77547,-1.693725,1.128658,-1.56986,303.9155,60.0986,15.12434
70.78677,-1.69458,1.128737,-1.568936,303.8931,59.8697,15.49094
70.79808,-1.694679,1.128558,-1.568934,303.6768,59.41565,15.94274
70.80968,-1.694585,1.128613,-1.568223,303.8065,59.37357,16.06326
70.82106,-1.69491,1.128567,-1.567688,303.8796,59.1841,16.25045
70.83244,-1.694905,1.128568,-1.567164,304.0305,58.61951,16.83833
70.84396,-1.695057,1.128393,-1.566863,304.2125,58.16008,17.275
70.85577,-1.6953,1.128249,-1.567,304.2139,58.05405,17.35581
70.86691,-1.695371,1.128045,-1.567185,304.1031,58.17005,17.23134
70.87854,-1.695666,1.127842,-1.56756,303.9326,58.38412,17.01371
70.88992,-1.695866,1.127692,-1.567855,303.6978,58.71508,16.66498
70.90153,-1.695924,1.127478,-1.568118,303.4535,59.09655,16.27406
70.91286,-1.696131,1.127442,-1.568096,303.3344,59.32091,16.05877
70.92433,-1.696212,1.127344,-1.568032,303.2332,59.44896,15.95469
70.93587,-1.696347,1.127473,-1.567755,303.2345,59.36988,16.05739
70.94704,-1.696365,1.127465,-1.5677,303.2656,59.28301,16.15164
70.95808,-1.696332,1.127539,-1.567493,303.3315,59.17007,16.25248
70.96921,-1.696316,1.127558,-1.567499,303.3956,58.96909,16.44762
70.98027,-1.696314,1.127608,-1.567474,303.4374,58.86323,16.54359
70.99141,-1.696202,1.127596,-1.567427,303.5298,58.79725,16.6009
71.00256,-1.696234,1.127591,-1.567391,303.5732,58.73501,16.65748
71.01373,-1.696285,1.127558,-1.567357,303.6072,58.67962,16.69426
71.02489,-1.696341,1.127506,-1.56734,303.645,58.59652,16.76855
71.03595,-1.696358,1.127497,-1.567332,303.6552,58.55215,16.80557
71.04713,-1.696254,1.127506,-1.567216,303.7803,58.19101,17.11067
71.05826,-1.696346,1.12752,-1.567225,303.8145,58.0518,17.24773
71.0693,-1.696248,1.127524,-1.567146,303.8112,58.04715,17.26243
71.08044,-1.696258,1.127498,-1.56717,303.8227,58.08155,17.23805
71.09151,-1.696226,1.12745,-1.567101,303.836,58.22163,17.11197
71.1027,-1.696149,1.127411,-1.567076,303.8248,58.23161,17.10151
71.11377,-1.696096,1.127352,-1.567063,303.8405,58.32896,17.02276
71.12486,-1.696004,1.127396,-1.567121,303.8252,58.40795,16.92868
71.13599,-1.695908,1.127398,-1.567103,303.8319,58.57723,16.76387
71.1472,-1.695636,1.127374,-1.567198,303.8212,58.81282,16.50297
71.15827,-1.695567,1.127493,-1.56724,303.8288,58.85575,16.44636
71.16935,-1.695437,1.127386,-1.567312,303.8582,58.99569,16.29104
71.18047,-1.695042,1.127488,-1.567433,303.9318,59.07692,16.13127
71.19163,-1.694832,1.127605,-1.567526,303.9203,59.43243,15.71661
71.20277,-1.694524,1.127647,-1.567607,303.9898,59.31361,15.72333
71.21407,-1.694209,1.127721,-1.567776,304.1127,59.34822,15.52752
71.22517,-1.694029,1.127922,-1.567915,304.1357,59.53184,15.24144
71.23626,-1.693946,1.127932,-1.567964,304.243,59.35401,15.20441
71.24745,-1.693836,1.127991,-1.568194,304.2489,59.2493,15.08554
71.25873,-1.693622,1.127946,-1.56826,304.3092,58.90168,15.17095
71.2697,-1.693449,1.12809,-1.568551,304.3521,58.59296,15.19018
71.28567,-1.693416,1.12808,-1.568753,304.2885,58.27302,15.22803
71.29316,-1.69335,1.128076,-1.568825,304.164,58.42081,14.97269
71.30064,-1.693346,1.128073,-1.568928,304.1063,58.30272,14.92477
71.31909,-1.693277,1.127865,-1.569176,304.0981,58.09762,14.84735
71.32668,-1.693277,1.127865,-1.569176,304.0981,58.09762,14.84735
71.3345,-1.693149,1.127894,-1.569434,304.0838,58.23395,14.67424
71.35261,-1.693189,1.127799,-1.56942,304.0628,58.49461,14.52978
71.36033,-1.693189,1.127799,-1.56942,304.0628,58.49461,14.52978
71.36848,-1.693409,1.127645,-1.569179,304.083,58.04726,15.01124
71.38595,-1.693784,1.1274,-1.56893,303.9626,57.77445,15.43936
71.39381,-1.693784,1.1274,-1.56893,303.9626,57.77445,15.43936
71.40166,-1.69398,1.127205,-1.569035,303.908,57.59611,15.62947
71.41941,-1.694121,1.127052,-1.569015,304.2643,56.56281,16.50961
71.42736,-1.694121,1.127052,-1.569015,304.2643,56.56281,16.50961
71.4352,-1.694237,1.127185,-1.569124,304.2716,56.30762,16.76403
71.44296,-1.694255,1.127267,-1.569198,304.3582,56.17538,16.94766
71.45381,-1.694477,1.127254,-1.569144,304.3577,56.11219,17.04987
71.4648,-1.69454,1.127274,-1.568994,304.3802,56.09554,17.08052
71.47601,-1.694526,1.127409,-1.568708,304.4053,56.02917,17.12887
71.49707,-1.694274,1.127594,-1.568567,304.5487,55.7668,17.29819
71.5052,-1.694274,1.127594,-1.568567,304.5487,55.7668,17.29819
71.51303,-1.694392,1.127787,-1.568347,304.7345,55.28672,17.70734
71.52103,-1.694451,1.128054,-1.568124,304.8698,54.6195,18.30823
71.53163,-1.694533,1.128294,-1.567958,304.9927,54.32713,18.53427
71.54266,-1.694301,1.128303,-1.567931,305.001,53.99234,18.70707
71.55388,-1.693985,1.128401,-1.568172,304.9328,54.32457,18.2027
71.57475,-1.692903,1.128572,-1.568836,305.052,55.01162,17.24491
71.58288,-1.692903,1.128572,-1.568836,305.052,55.01162,17.24491
71.59069,-1.692638,1.128702,-1.569061,305.1383,55.3138,16.8958
71.59843,-1.692095,1.129225,-1.568564,305.1841,55.40664,16.56671
71.60932,-1.691684,1.129462,-1.568442,305.527,51.41164,18.63864
71.63026,-1.68959,1.129788,-1.568788,305.4711,47.24056,19.1603
71.6383,-1.68959,1.129788,-1.568788,305.4711,47.24056,19.1603
71.6461,-1.688786,1.12951,-1.568989,305.4293,45.75319,19.31612
71.66352,-1.68808,1.129354,-1.570244,305.0149,44.61912,18.71318
71.67127,-1.68808,1.129354,-1.570244,305.0149,44.61912,18.71318
71.67893,-1.688655,1.128978,-1.570907,304.8167,46.09213,17.79723
71.69688,-1.69129,1.128189,-1.568769,304.792,46.1767,19.62507
71.70464,-1.69129,1.128189,-1.568769,304.792,46.1767,19.62507
71.71229,-1.691317,1.127667,-1.568874,304.6947,46.21793,19.77747
71.73021,-1.690872,1.127504,-1.569305,304.346,47.0706,18.90252
71.73801,-1.690872,1.127504,-1.569305,304.346,47.0706,18.90252
71.74577,-1.690058,1.128042,-1.569397,304.3276,48.20477,17.8889
71.76348,-1.690303,1.127704,-1.569442,304.2879,47.61652,18.32831
71.77113,-1.690303,1.127704,-1.569442,304.2879,47.61652,18.32831
71.77865,-1.690361,1.127528,-1.569537,304.23,47.9558,18.02699
71.79671,-1.690691,1.127676,-1.568696,304.444,47.41499,18.59769
71.80432,-1.690691,1.127676,-1.568696,304.444,47.41499,18.59769
71.81182,-1.690706,1.127703,-1.568155,304.6521,47.15031,18.90359
71.83006,-1.690924,1.127608,-1.567793,304.8212,46.92556,19.11069
71.83759,-1.690924,1.127608,-1.567793,304.8212,46.92556,19.11069
71.84506,-1.690912,1.127677,-1.567611,304.8571,46.91391,19.12387
71.86304,-1.690945,1.127662,-1.56787,304.8244,47.10842,18.96997
71.87086,-1.690945,1.127662,-1.56787,304.8244,47.10842,18.96997
71.87813,-1.691036,1.127672,-1.567943,304.7905,47.10737,18.95714
71.88638,-1.691019,1.127698,-1.567928,304.79,47.16493,18.89686
71.89738,-1.690967,1.127648,-1.567902,304.8633,47.07738,18.96209
71.90862,-1.69098,1.127524,-1.567717,305.036,47.04725,19.01104
71.91969,-1.6909,1.127456,-1.567565,305.1227,47.02413,19.0316
71.93098,-1.690759,1.127422,-1.567503,305.2548,47.01781,19.02555
71.94188,-1.690726,1.127384,-1.567521,305.3171,47.2266,18.83141
71.95298,-1.690649,1.127296,-1.567409,305.3317,47.23989,18.81938
71.96404,-1.690563,1.1273,-1.567445,305.3024,47.3671,18.68889
71.97515,-1.690456,1.127128,-1.567435,305.2377,47.58515,18.44667
71.98627,-1.690416,1.127103,-1.567451,305.1898,47.70678,18.3205
71.99734,-1.690372,1.127086,-1.567538,305.1058,48.00401,18.06516
72.00848,-1.690239,1.12712,-1.567536,305.0205,48.09481,17.93748
72.01964,-1.690425,1.127025,-1.567316,305.3086,47.89099,18.05734
72.03072,-1.690563,1.126915,-1.567303,305.3049,47.67185,18.25436
72.04184,-1.690363,1.126883,-1.567183,305.3976,47.6919,18.20321
72.05312,-1.690559,1.126798,-1.567297,305.4297,47.69684,18.16352
72.06389,-1.690475,1.126725,-1.567352,305.4163,47.79441,18.04482
72.07498,-1.69035,1.126779,-1.567447,305.3882,47.94434,17.86731
72.08616,-1.690266,1.126779,-1.567618,305.3264,48.13892,17.64898
72.09739,-1.69031,1.126722,-1.567646,305.2534,48.35653,17.42604
72.10835,-1.690252,1.12672,-1.567546,305.1911,48.46313,17.34304
72.11954,-1.690207,1.126696,-1.567702,305.1718,48.57915,17.21764
72.13053,-1.690151,1.126674,-1.567817,305.1668,48.70975,17.01385
72.14175,-1.690102,1.12658,-1.567949,305.1614,48.74054,16.87442
72.15281,-1.690055,1.126446,-1.5682,305.133,48.91409,16.64628
72.16391,-1.689838,1.126445,-1.568383,305.0388,49.14959,16.37553
72.17502,-1.689546,1.126472,-1.56839,305.0561,49.33541,16.19932
72.18608,-1.689368,1.126497,-1.568469,305.0724,49.32734,16.15269
72.19719,-1.689101,1.12643,-1.568413,305.1019,49.57066,15.91234
72.20828,-1.689032,1.126452,-1.56826,305.1444,49.70702,15.80571
72.21944,-1.688887,1.126443,-1.568101,305.2265,49.64779,15.89642
72.23051,-1.688672,1.126362,-1.567988,305.4115,49.52225,15.89498
72.24159,-1.688671,1.126376,-1.567829,305.5599,49.39076,15.98189
72.2527,-1.688511,1.126361,-1.567988,305.6575,49.35072,15.97191
72.26379,-1.688324,1.126384,-1.568037,305.7296,49.44551,15.83106
72.27489,-1.688413,1.126425,-1.568207,305.7689,49.61312,15.60421
72.28607,-1.688261,1.126427,-1.568386,305.7569,49.79725,15.38923
72.29721,-1.688056,1.126211,-1.568591,305.671,50.18161,14.97459
72.3083,-1.687951,1.126277,-1.568722,305.7317,50.42123,14.76361
72.31947,-1.68772,1.126321,-1.568804,305.8637,50.60328,14.5914
72.33047,-1.687467,1.126522,-1.568576,306.0378,50.95261,14.3082
72.34184,-1.687104,1.126668,-1.568503,306.2642,51.12574,14.17795
72.35342,-1.686532,1.126818,-1.568197,306.494,51.31043,13.97114
72.36473,-1.686049,1.127054,-1.567965,307.1066,51.06458,14.03868
72.3763,-1.685632,1.127278,-1.567802,307.4238,51.22869,13.8343
72.3877,-1.685234,1.127564,-1.5677,307.7904,51.395,13.64197
72.39908,-1.684707,1.127966,-1.56762,308.1164,51.75758,13.28671
72.41077,-1.684188,1.128247,-1.567353,308.5484,52.00547,13.05225
72.4222,-1.683553,1.12863,-1.567313,308.9631,52.33382,12.72884
72.4335,-1.683041,1.129134,-1.566864,309.4513,52.90483,12.23512
72.44505,-1.682376,1.129702,-1.566241,310.1589,53.1171,12.10912
72.45654,-1.68128,1.130664,-1.565651,311.1011,53.43985,11.9519
72.46783,-1.679402,1.132017,-1.565337,312.5161,54.02566,11.48695
72.47926,-1.67694,1.133284,-1.565216,313.7896,54.7337,10.46968
72.49101,-1.674407,1.134869,-1.564736,315.4016,55.39286,9.465139
72.50192,-1.671882,1.136231,-1.56416,317.3178,55.35365,9.034134
72.51829,-1.669077,1.137891,-1.563305,319.1396,55.71555,8.395298
72.52525,-1.66583,1.13974,-1.561835,321.4454,56.30227,7.562391
72.5322,-1.662336,1.141565,-1.560072,323.8293,56.69828,6.958003
72.54204,-1.658258,1.143478,-1.558091,326.7286,56.70743,6.471781
72.55328,-1.65274,1.145485,-1.556291,330.1531,56.72882,5.504689
72.56433,-1.645019,1.147551,-1.554784,334.2617,57.46576,3.168826
72.57547,-1.638106,1.149706,-1.553267,338.0355,58.00959,1.255158
72.58655,-1.629853,1.15184,-1.551805,342.573,58.35595,359.012
72.59759,-1.621626,1.155359,-1.550414,347.2212,58.55299,357.2226
72.60877,-1.613433,1.16168,-1.549671,351.0944,58.59109,355.7885
72.61983,-1.603351,1.16885,-1.548738,353.1145,58.5014,354.0893
72.63087,-1.592364,1.176421,-1.547582,356.0041,57.98756,353.433
72.64201,-1.580335,1.186661,-1.547005,357.4697,55.72892,353.1397
72.65332,-1.567011,1.196317,-1.547105,359.0407,54.12253,351.8861
72.66425,-1.55086,1.211152,-1.550329,357.2232,55.18499,350.4047
72.67531,-1.53437,1.219742,-1.549648,353.7777,57.73534,348.9545
72.6865,-1.516929,1.231484,-1.549942,355.6704,58.34422,349.0435
72.69757,-1.498319,1.238615,-1.549809,351.5327,58.2645,348.5891
72.70857,-1.481389,1.244362,-1.549407,353.2057,58.71671,348.0514
72.7198,-1.462554,1.249248,-1.548708,353.9961,57.47206,349.2723
72.73083,-1.443827,1.255611,-1.548659,353.1354,57.44604,350.1285
72.74191,-1.423741,1.259491,-1.548255,352.1639,57.7907,351.4834
72.75311,-1.403261,1.264403,-1.547984,351.6308,58.64822,352.2364
72.76421,-1.382416,1.265747,-1.545946,350.904,59.23838,353.2218
72.77524,-1.360956,1.268202,-1.543447,349.7887,59.00843,354.1449
72.78633,-1.339932,1.26914,-1.539842,348.1161,58.3897,355.0336
72.79754,-1.316753,1.269945,-1.536014,346.1748,58.15159,355.6201
72.81389,-1.293601,1.269896,-1.531612,344.3011,58.28802,356.1058
72.82117,-1.270585,1.268055,-1.526142,342.3527,58.02306,356.8775
72.83075,-1.247506,1.267506,-1.521152,340.5096,57.59763,357.8215
72.84188,-1.22378,1.264907,-1.514622,338.3145,57.11683,359.0642
72.85304,-1.199165,1.262696,-1.507924,336.0134,56.93726,0.226694
72.86405,-1.174342,1.259716,-1.500756,333.7689,56.85512,1.314399
72.87521,-1.149704,1.256795,-1.493509,331.562,56.72419,2.359325
72.88649,-1.12451,1.253744,-1.485199,329.1137,56.50723,3.481447
72.89738,-1.099533,1.250659,-1.476957,326.5669,56.1127,4.668057
72.90844,-1.074354,1.246661,-1.467477,324.2268,55.40383,5.897533
72.91968,-1.049298,1.243102,-1.458635,321.8421,54.97552,7.030979
72.93069,-1.02407,1.24033,-1.449835,319.1397,54.99786,7.918324
72.94182,-0.998995,1.237141,-1.440758,316.3907,54.91581,9.019043
72.95319,-0.974548,1.234184,-1.431583,313.9668,54.71601,10.21869
72.964,-0.950389,1.231427,-1.422515,311.8021,54.42142,11.47947
72.97515,-0.926466,1.229188,-1.413546,309.6021,54.18599,12.7428
72.98624,-0.903605,1.228222,-1.405087,307.1306,54.11156,14.00458
72.99744,-0.880631,1.22687,-1.396374,304.5039,53.96509,15.20603
73.00848,-0.858801,1.226076,-1.387844,302.3692,53.64876,16.32918
73.01958,-0.837629,1.224848,-1.379154,300.5203,53.12848,17.49733
73.0307,-0.817605,1.224618,-1.371236,298.6299,52.16857,19.26886
73.04193,-0.798318,1.224885,-1.363787,296.0309,51.76705,20.77719
73.05315,-0.778839,1.224428,-1.355843,293.9174,51.72261,21.97062
73.06424,-0.761564,1.223841,-1.348179,292.4156,52.21004,22.59784
73.07516,-0.745449,1.223318,-1.340212,291.2185,52.18131,23.49567
73.0863,-0.730586,1.222752,-1.333053,289.738,52.75413,23.36806
73.09731,-0.716904,1.221997,-1.325889,288.3335,54.45589,21.94214
73.10848,-0.703098,1.220658,-1.318844,287.2405,55.30809,21.42566
73.11974,-0.692076,1.217978,-1.312125,286.9544,56.01579,20.91631
73.13065,-0.682833,1.213339,-1.305916,287.2874,56.17194,20.78695
73.14178,-0.67429,1.206499,-1.299793,288.3818,58.63021,17.90408
73.15294,-0.666354,1.19757,-1.292985,291.1596,61.17661,14.49749
73.16403,-0.659164,1.189286,-1.286489,294.2296,61.9236,13.04192
73.17534,-0.656087,1.178871,-1.28078,297.4943,62.84125,11.26527
73.18661,-0.653773,1.167465,-1.274959,300.6776,63.44114,9.774673
73.19795,-0.652996,1.154241,-1.270502,305.3762,63.82447,8.645436
73.20933,-0.652125,1.140881,-1.266346,310.1692,64.01299,8.051379
73.22066,-0.655261,1.125309,-1.265389,316.412,63.6994,8.444253
73.23205,-0.662211,1.111157,-1.267322,322.2209,63.64186,9.344841
73.24329,-0.668336,1.104069,-1.2694,326.3874,63.00301,10.61201
73.25471,-0.71107,1.075394,-1.304928,310.0148,41.76693,33.39521
73.26595,-0.683801,1.068362,-1.282642,281.6017,20.37462,42.97257
73.27731,-0.675517,1.071647,-1.281929,307.0336,75.65772,358.7632
73.28874,-0.689256,1.048246,-1.289848,308.1278,55.25264,18.60529
73.29996,-0.675167,1.063122,-1.287186,299.8737,60.10582,11.68868
73.31136,-0.666352,1.082375,-1.284038,303.855,64.04935,8.761668
73.32274,-0.678378,1.082297,-1.275236,305.1852,59.64317,13.25286
73.34,-0.677353,1.084768,-1.281851,303.5038,58.10881,14.73657
73.34695,-0.688984,1.089994,-1.275866,305.2721,57.53066,15.82538
73.35413,-0.675331,1.104495,-1.277117,304.9635,56.73659,16.5198
73.36325,-0.678282,1.108125,-1.273398,304.2318,58.75737,14.56718
73.37438,-0.674063,1.113469,-1.274181,304.6283,58.03373,15.33859
73.38558,-0.674412,1.12077,-1.273614,304.4871,57.7718,15.54524
73.39661,-0.673952,1.120169,-1.273265,304.5088,58.00577,15.3766
73.4077,-0.674653,1.122582,-1.271948,304.5429,57.57391,15.77742
73.41867,-0.676255,1.124454,-1.270783,304.349,57.57361,15.74
73.42982,-0.674573,1.126337,-1.270526,304.3899,57.58864,15.73701
73.44085,-0.675072,1.128308,-1.27027,304.3351,57.4286,15.90131
73.45216,-0.674768,1.128576,-1.269246,304.3754,57.2882,16.06513
73.46298,-0.6749,1.12916,-1.269268,304.6523,56.81534,16.5162
73.47421,-0.674447,1.129322,-1.268063,304.6455,56.8222,16.48998
73.48527,-0.674516,1.129738,-1.267831,305.0018,56.24373,17.02561
73.49623,-0.674358,1.130138,-1.267822,305.1338,56.2596,17.00041
73.50739,-0.674325,1.129852,-1.267439,305.2657,56.14091,17.10608
73.51854,-0.674486,1.12991,-1.26777,305.2303,56.22858,16.99429
73.52966,-0.673903,1.130049,-1.267454,305.4375,56.12447,17.00657
73.54069,-0.673685,1.129547,-1.26806,306.811,55.26215,17.36565
73.55174,-0.673848,1.129711,-1.268411,306.206,55.47855,17.00744
73.5628,-0.673668,1.129083,-1.268229,306.1583,54.75212,17.47303
73.57395,-0.674189,1.129221,-1.268555,306.4574,54.4763,17.68121
73.58499,-0.674134,1.129383,-1.268241,306.3637,54.07417,17.94836
73.59613,-0.674118,1.129091,-1.268136,306.258,53.96227,18.12174
