time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
82.23348,-1.69805,2.203378,-1.419141,353.3373,74.02868,14.3695
82.2488,-1.69956,2.201221,-1.422465,353.937,73.40018,14.22346
82.25944,-1.699912,2.200375,-1.424678,354.2346,73.04642,14.02422
82.26967,-1.700395,2.199637,-1.427153,354.4555,72.67976,13.7156
82.27924,-1.700534,2.199253,-1.429252,354.6081,72.43102,13.42205
82.29811,-1.70028,2.199847,-1.433464,354.5937,72.18923,12.83115
82.31426,-1.699602,2.200991,-1.436993,354.3974,71.94925,12.52502
82.32444,-1.698783,2.202258,-1.438798,354.152,71.78134,12.50135
82.33363,-1.698054,2.20329,-1.440501,353.945,71.61326,12.47986
82.3428,-1.69714,2.204462,-1.442048,353.688,71.46722,12.4277
82.35394,-1.69555,2.205923,-1.443936,353.3542,71.33965,12.20767
82.36501,-1.693842,2.20745,-1.445654,353.0156,71.28848,11.91682
82.37607,-1.691904,2.209044,-1.447485,352.6686,71.27261,11.6255
82.38709,-1.690031,2.210594,-1.449193,352.3213,71.23665,11.40107
82.39821,-1.687932,2.21236,-1.450584,351.9327,71.2123,11.2045
82.40937,-1.685879,2.213976,-1.451802,351.5517,71.1375,11.08605
82.4204,-1.68351,2.2157,-1.452719,351.1202,71.044,11.03016
82.43149,-1.68118,2.217363,-1.453756,350.6685,70.93126,10.95863
82.4427,-1.678755,2.219079,-1.454824,350.2357,70.82919,10.84693
82.46227,-1.674063,2.221531,-1.455878,349.4622,70.66035,10.66511
82.47671,-1.670432,2.222877,-1.456418,348.9895,70.54755,10.52252
82.48721,-1.667859,2.223885,-1.456937,348.6221,70.44335,10.45568
82.49805,-1.664703,2.22432,-1.457274,348.3197,70.32592,10.45723
82.50922,-1.661659,2.224936,-1.457677,348.0265,70.22224,10.43749
82.52037,-1.658258,2.225039,-1.458108,347.8254,70.1478,10.41555
82.53144,-1.654738,2.224952,-1.4584,347.6872,70.07008,10.3454
82.54256,-1.651289,2.224652,-1.458767,347.6548,70.00603,10.23215
82.55355,-1.647666,2.224503,-1.459163,347.6287,69.9081,10.13476
82.56472,-1.643869,2.223949,-1.459237,347.7342,69.77869,10.03602
82.57585,-1.640245,2.223455,-1.459204,347.7774,69.63828,10.03989
82.5869,-1.636475,2.222884,-1.459005,347.925,69.4524,10.277
82.59799,-1.632808,2.222613,-1.459044,347.9881,69.27603,10.37814
82.60915,-1.62896,2.222388,-1.458968,348.0084,69.12817,10.44635
82.62045,-1.625173,2.222061,-1.45877,347.9988,69.01678,10.47632
82.63454,-1.620154,2.222207,-1.458759,347.8523,68.93248,10.46303
82.64349,-1.617078,2.222306,-1.45877,347.7125,68.90202,10.49609
82.65361,-1.613277,2.222414,-1.458449,347.5179,68.87305,10.57818
82.66475,-1.60912,2.222263,-1.458433,347.3573,68.81732,10.65365
82.67582,-1.604898,2.222057,-1.458266,347.294,68.76555,10.62584
82.6869,-1.600366,2.221656,-1.457957,347.2877,68.71104,10.57361
82.698,-1.595916,2.221242,-1.457707,347.2794,68.66416,10.53747
82.70915,-1.591427,2.220679,-1.457316,347.3005,68.5918,10.49692
82.72041,-1.58685,2.220199,-1.456884,347.3155,68.52213,10.48561
82.73152,-1.582187,2.219692,-1.456319,347.3265,68.43594,10.58452
82.74252,-1.577451,2.219298,-1.455729,347.3469,68.34379,10.76468
82.7537,-1.57302,2.218834,-1.455114,347.3985,68.28418,10.92365
82.76479,-1.567985,2.218397,-1.454295,347.4973,68.28541,11.10496
82.77585,-1.563011,2.218004,-1.453544,347.549,68.29945,11.1848
82.78999,-1.556492,2.217747,-1.452508,347.5949,68.32693,11.14335
82.79884,-1.552477,2.217874,-1.451893,347.6115,68.34415,11.03068
82.80922,-1.547752,2.217999,-1.450954,347.6481,68.37649,10.8284
82.82021,-1.542555,2.218436,-1.449676,347.743,68.40613,10.64158
82.83129,-1.537386,2.219135,-1.448344,347.8928,68.40386,10.60521
82.84243,-1.532514,2.21989,-1.447048,348.0273,68.38631,10.69264
82.85356,-1.527367,2.220749,-1.44563,348.1393,68.35548,10.89054
82.86465,-1.522389,2.222264,-1.44407,348.1111,68.31388,11.28348
82.87588,-1.517423,2.223915,-1.443023,347.8272,68.31524,11.64153
82.88697,-1.51245,2.225809,-1.441892,347.4159,68.45956,11.78637
82.89806,-1.507344,2.227497,-1.44116,346.9574,68.72219,11.65437
82.90923,-1.501781,2.229159,-1.44019,346.5336,69.00249,11.39782
82.92077,-1.496488,2.230506,-1.439247,346.148,69.26949,11.19454
82.93212,-1.490818,2.231965,-1.438026,345.8346,69.49061,11.0476
82.94688,-1.483365,2.233403,-1.436496,345.5448,69.74969,10.80346
82.95624,-1.478607,2.234212,-1.435719,345.4578,69.91062,10.69325
82.96655,-1.473395,2.235047,-1.434699,345.3271,70.07938,10.56117
82.978,-1.467653,2.235712,-1.433792,345.233,70.26745,10.36666
82.98947,-1.461737,2.236464,-1.433155,345.1297,70.50752,10.24764
83.00894,-1.451937,2.237468,-1.432401,344.964,71.00336,10.06855
83.0182,-1.446921,2.238138,-1.432293,344.8756,71.31702,9.849929
83.02743,-1.442185,2.238684,-1.432399,344.7926,71.69276,9.534524
83.03648,-1.437847,2.239419,-1.432701,344.6575,72.15585,9.074571
83.04559,-1.433262,2.240165,-1.432866,344.5233,72.55303,8.708163
83.05463,-1.429185,2.241341,-1.433502,344.3255,73.02643,8.163579
83.06477,-1.424986,2.242763,-1.433876,344.166,73.39191,7.695817
83.07587,-1.420484,2.244731,-1.43418,343.9751,73.65988,7.426421
83.08703,-1.416095,2.246795,-1.434403,343.7666,73.87636,7.354562
83.10153,-1.411043,2.249898,-1.434604,343.3135,73.93984,7.92797
83.11076,-1.407508,2.25155,-1.434956,343.0635,74.09435,8.007132
83.12025,-1.404693,2.2534,-1.435438,342.7564,74.28721,8.106032
83.13139,-1.400976,2.255513,-1.43599,342.4341,74.56006,8.0651
83.14253,-1.397729,2.257431,-1.436905,342.035,74.86769,7.967606
83.16189,-1.392127,2.260194,-1.4383,341.4147,75.30582,7.784147
83.17121,-1.389663,2.261112,-1.438993,341.173,75.39035,7.652896
83.18017,-1.387601,2.261694,-1.439456,341.0612,75.32584,7.616758
83.18921,-1.385233,2.262617,-1.439949,340.9026,75.35316,7.578279
83.19822,-1.383277,2.263037,-1.440418,340.8778,75.22808,7.612193
83.20911,-1.380935,2.263895,-1.441051,340.778,75.19125,7.619905
83.22021,-1.378637,2.264156,-1.44192,340.7663,75.12815,7.665966
83.23119,-1.376723,2.26461,-1.443206,340.7525,75.10229,7.795543
83.24241,-1.374749,2.264781,-1.444264,340.7109,75.12647,7.969323
83.25678,-1.372488,2.264671,-1.445858,340.6367,75.12403,8.10413
83.26604,-1.370962,2.264766,-1.446789,340.5813,75.08303,8.143139
83.27573,-1.369648,2.264684,-1.447848,340.5119,75.01145,8.159785
83.28691,-1.36836,2.264355,-1.449112,340.496,74.87479,8.082315
83.29787,-1.367031,2.26405,-1.45046,340.5546,74.65764,7.922235
83.30906,-1.36567,2.263908,-1.451924,340.6437,74.42391,7.812906
83.32021,-1.364942,2.26358,-1.453164,340.8062,74.07986,7.921293
83.33127,-1.364076,2.263284,-1.454647,340.9231,73.81056,8.088723
83.34232,-1.363488,2.263112,-1.456296,341.1095,73.55135,8.519776
83.35339,-1.363035,2.262852,-1.458249,341.2892,73.37673,8.985628
83.36464,-1.36272,2.262647,-1.460133,341.4114,73.25012,9.343479
83.37569,-1.362441,2.262408,-1.462229,341.4894,73.10452,9.630082
83.38678,-1.3623,2.262348,-1.464601,341.4888,72.98842,9.818829
83.39798,-1.362318,2.262305,-1.46701,341.4479,72.84402,9.889704
83.41993,-1.362453,2.261967,-1.471691,341.3416,72.64315,9.726085
83.42928,-1.362518,2.261805,-1.473653,341.3528,72.60996,9.658416
83.43832,-1.362563,2.261676,-1.475517,341.4342,72.57305,9.663548
83.44734,-1.362736,2.261515,-1.477236,341.4901,72.55589,9.692097
83.45642,-1.363123,2.261418,-1.47885,341.5405,72.47478,9.863423
83.46565,-1.363267,2.261034,-1.480661,341.5455,72.34531,9.991202
83.47576,-1.363563,2.26074,-1.482154,341.5765,72.18095,10.20099
83.48749,-1.36387,2.260459,-1.483645,341.6103,71.91244,10.49029
83.50868,-1.364143,2.259629,-1.485914,341.74,71.43114,10.72917
83.51833,-1.364196,2.259257,-1.486802,341.8025,71.23396,10.75381
83.52792,-1.3642,2.258809,-1.487719,341.8434,71.08515,10.63909
83.53711,-1.364279,2.258403,-1.488586,341.8052,71.00336,10.41612
83.5464,-1.364289,2.25788,-1.489631,341.7733,70.91679,10.31975
83.55566,-1.364187,2.257504,-1.490373,341.7754,70.83344,10.2581
83.57043,-1.363861,2.256506,-1.491134,341.8567,70.77592,10.06368
83.57996,-1.363885,2.255924,-1.491816,341.9184,70.68833,9.986114
83.58945,-1.363497,2.255117,-1.49191,342.0591,70.61372,9.990491
83.59923,-1.363103,2.254341,-1.491999,342.2008,70.5045,9.971774
83.62038,-1.362256,2.252515,-1.491782,342.657,70.20052,10.11835
83.63052,-1.361702,2.251454,-1.491233,342.9967,70.01197,10.27211
83.6401,-1.361158,2.250421,-1.490626,343.2828,69.82732,10.42716
83.64972,-1.360761,2.249647,-1.490245,343.48,69.66238,10.54969
83.65944,-1.360237,2.24887,-1.489639,343.5792,69.52947,10.79162
83.66937,-1.359776,2.248078,-1.489417,343.6144,69.46618,10.96982
83.68672,-1.358355,2.246678,-1.489311,343.4183,69.75691,10.97252
83.69653,-1.357228,2.245755,-1.489528,343.3333,70.10983,10.60993
83.70625,-1.356062,2.244799,-1.489678,343.3508,70.40533,10.21989
83.72135,-1.353953,2.243267,-1.489871,343.486,70.92065,9.502584
83.73139,-1.352703,2.242347,-1.489728,343.6288,71.17564,9.234311
83.74249,-1.351174,2.241501,-1.489418,343.9356,71.44222,8.911144
83.75411,-1.3495,2.240793,-1.488779,344.2426,71.64451,8.652758
83.76463,-1.348222,2.240405,-1.488012,344.6081,71.64928,8.646463
83.77623,-1.346683,2.24048,-1.487001,344.9838,71.59711,8.790321
83.78682,-1.345235,2.240413,-1.486272,345.1711,71.58844,8.921431
83.79857,-1.34374,2.240726,-1.485387,345.2006,71.58047,9.260412
83.80919,-1.342376,2.240933,-1.484909,345.166,71.65458,9.41983
83.82105,-1.340247,2.241015,-1.484519,345.0573,71.73871,9.455157
83.84229,-1.336626,2.241575,-1.483626,344.9865,71.85668,9.244562
83.85222,-1.334972,2.241643,-1.483209,345.0448,71.78214,8.974893
83.86204,-1.333244,2.241755,-1.482521,345.1387,71.67555,8.67688
83.87735,-1.33062,2.242103,-1.481755,345.2763,71.59887,8.320195
83.88711,-1.328976,2.242361,-1.481427,345.3271,71.60187,8.188011
83.90922,-1.325393,2.243346,-1.480873,345.2636,71.61375,8.265832
83.91941,-1.323611,2.244057,-1.480717,345.174,71.59873,8.369483
83.9293,-1.321936,2.244739,-1.480583,345.116,71.55125,8.390309
83.93916,-1.320457,2.245469,-1.480472,345.0421,71.44164,8.425433
83.94885,-1.318917,2.246113,-1.480378,344.9859,71.34402,8.423221
83.9585,-1.317455,2.246682,-1.480545,344.9108,71.21315,8.41015
83.96839,-1.316035,2.247393,-1.480593,344.8444,71.13602,8.466612
83.97823,-1.314711,2.248238,-1.480825,344.7514,71.13509,8.530481
83.98797,-1.313396,2.24902,-1.481084,344.66,71.12543,8.582735
83.99918,-1.31187,2.249723,-1.481905,344.5404,71.16169,8.608232
84.02019,-1.309388,2.251821,-1.482869,344.3166,71.28825,8.619893
84.03577,-1.307827,2.253294,-1.483733,344.106,71.28598,8.624262
84.0459,-1.306774,2.254233,-1.484284,343.9766,71.27598,8.644681
84.06313,-1.305389,2.256074,-1.48513,343.7666,71.15949,8.848159
84.07294,-1.30458,2.256725,-1.485729,343.6699,71.14478,8.954089
84.0827,-1.303833,2.25735,-1.486421,343.5821,71.15448,9.026388
84.09237,-1.303088,2.257847,-1.487135,343.5169,71.18185,9.056602
84.10194,-1.302358,2.258287,-1.487914,343.4736,71.21735,9.064659
84.1115,-1.301777,2.258541,-1.488652,343.4528,71.25926,9.092845
84.12965,-1.30053,2.258811,-1.490174,343.3784,71.14152,9.266064
84.13937,-1.299828,2.258873,-1.490863,343.3488,71.07438,9.352536
84.1488,-1.299191,2.258654,-1.491501,343.3665,71.02508,9.452961
84.15804,-1.298531,2.258437,-1.492195,343.396,71.00373,9.543685
84.16743,-1.297862,2.258109,-1.492893,343.4452,70.98689,9.593358
84.18486,-1.296689,2.257131,-1.494228,343.623,71.04396,9.654108
84.19957,-1.295538,2.256122,-1.494999,343.808,71.05279,9.614331
84.20862,-1.294958,2.255613,-1.495619,343.8897,71.04948,9.631235
84.21973,-1.294297,2.254643,-1.496132,344.0535,71.0069,9.706471
84.23091,-1.293361,2.253804,-1.496807,344.1719,70.94536,9.777825
84.24197,-1.292702,2.25285,-1.497217,344.312,70.88148,9.901827
84.25301,-1.291998,2.251885,-1.497687,344.4378,70.83862,10.01996
84.26412,-1.291283,2.250829,-1.498133,344.5677,70.83104,10.07537
84.27526,-1.290512,2.249725,-1.498609,344.7246,70.88509,9.966826
84.28641,-1.289762,2.248968,-1.499269,344.8437,70.91255,9.932493
84.29746,-1.288979,2.248026,-1.499735,344.9244,71.00378,9.918882
84.30862,-1.288225,2.247099,-1.500043,345.0132,71.07069,9.940399
84.31969,-1.287408,2.246217,-1.500344,345.0968,71.14386,9.940864
84.33073,-1.286689,2.245457,-1.500543,345.2175,71.1877,9.939231
84.34181,-1.28583,2.244587,-1.500654,345.369,71.23265,9.90723
84.35604,-1.284729,2.243534,-1.500684,345.5627,71.29631,9.853588
84.36523,-1.283782,2.243032,-1.500724,345.6768,71.31985,9.841518
84.37516,-1.282934,2.242842,-1.500713,345.7582,71.33048,9.852131
84.38628,-1.282144,2.242225,-1.500553,345.7918,71.34667,9.864055
84.39746,-1.281166,2.241719,-1.500183,345.7841,71.35444,9.880781
84.40858,-1.280231,2.241309,-1.499974,345.7875,71.39299,9.820557
84.41962,-1.279063,2.241097,-1.499867,345.8286,71.46284,9.712843
84.43074,-1.278102,2.240705,-1.499704,345.8589,71.56384,9.575994
84.44182,-1.276971,2.240391,-1.499557,345.8651,71.72411,9.42257
84.45288,-1.275911,2.240234,-1.499398,345.8601,71.85945,9.32166
84.464,-1.274775,2.240384,-1.498888,345.8097,72.0539,9.174961
84.4752,-1.273714,2.240632,-1.498482,345.7872,72.19506,9.056793
84.48624,-1.272722,2.241055,-1.497665,345.7242,72.27477,9.003084
84.4973,-1.271933,2.241386,-1.49709,345.6429,72.32638,8.94157
84.51162,-1.270944,2.242292,-1.4956,345.4051,72.29457,8.906989
84.52082,-1.270226,2.242851,-1.494704,345.243,72.33076,8.840221
84.53067,-1.269463,2.243445,-1.493761,345.0609,72.39632,8.715891
84.54164,-1.268623,2.244127,-1.492659,344.8285,72.50905,8.528722
84.55281,-1.267747,2.244761,-1.49147,344.6182,72.60827,8.365408
84.564,-1.266667,2.245368,-1.490134,344.4109,72.72108,8.158915
84.57526,-1.265815,2.245888,-1.488713,344.1939,72.83372,7.961031
84.58613,-1.265041,2.246257,-1.487388,344.024,72.92228,7.806679
84.59728,-1.264083,2.246851,-1.486033,343.8729,73.01167,7.665672
84.60828,-1.263086,2.247095,-1.484342,343.8017,73.04,7.610584
84.61952,-1.262186,2.247295,-1.482371,343.753,73.04432,7.617527
84.63052,-1.261343,2.247384,-1.480434,343.7174,73.01643,7.643381
84.64161,-1.260471,2.24758,-1.478423,343.6473,73.03398,7.634189
84.65279,-1.259597,2.247511,-1.476269,343.58,73.02446,7.723539
84.66685,-1.258332,2.247459,-1.47378,343.4836,73.0735,7.745911
84.67579,-1.257553,2.247274,-1.472232,343.4074,73.13864,7.734198
84.68709,-1.256598,2.247169,-1.470338,343.3328,73.25198,7.65848
84.6984,-1.255338,2.246809,-1.468356,343.315,73.42874,7.44356
84.70991,-1.254228,2.246405,-1.466398,343.3668,73.5758,7.17872
84.72139,-1.253085,2.246031,-1.464224,343.4523,73.6743,6.911515
84.73283,-1.252192,2.245664,-1.46226,343.5237,73.71976,6.724936
84.74417,-1.251255,2.245516,-1.459898,343.6466,73.66033,6.536864
84.7552,-1.250327,2.245673,-1.457613,343.7471,73.53696,6.521514
84.76635,-1.24953,2.245752,-1.455156,343.8016,73.41687,6.769715
84.77755,-1.248768,2.245672,-1.452763,343.8175,73.33195,7.13552
84.78854,-1.247921,2.245595,-1.450559,343.8163,73.30708,7.379554
84.7997,-1.246937,2.245267,-1.448719,343.7988,73.41135,7.53051
84.81087,-1.245817,2.244761,-1.447166,343.7432,73.59151,7.505515
84.82487,-1.244378,2.243967,-1.445281,343.6385,73.83649,7.417609
84.83366,-1.243315,2.243097,-1.444435,343.5244,74.09393,7.226969
84.84413,-1.242174,2.242231,-1.443172,343.4648,74.34277,7.017327
84.85522,-1.240669,2.240802,-1.442325,343.4557,74.6947,6.608796
84.86633,-1.239144,2.239908,-1.441076,343.4864,74.9639,6.354215
84.87765,-1.237426,2.238537,-1.439951,343.6606,75.2542,6.02802
84.88881,-1.235756,2.237109,-1.438882,343.8515,75.55135,5.751611
84.89996,-1.234136,2.235976,-1.43786,344.1357,75.76563,5.541579
84.91108,-1.232533,2.234886,-1.436558,344.4732,75.83229,5.284393
84.9222,-1.231095,2.234128,-1.435043,344.8167,75.7048,5.120152
84.93336,-1.229777,2.233561,-1.433427,345.0858,75.54557,5.091663
84.94445,-1.228619,2.233499,-1.431685,345.2713,75.20956,5.410605
84.95551,-1.227238,2.23349,-1.430007,345.3505,74.91415,5.902975
84.96674,-1.225839,2.233488,-1.428848,345.2852,74.7692,6.413119
84.98123,-1.223973,2.233436,-1.427653,345.2004,74.6999,6.874839
84.99001,-1.222544,2.232996,-1.42718,345.197,74.75366,6.995333
84.99948,-1.221079,2.232612,-1.426655,345.2164,74.78049,7.024436
85.01065,-1.219281,2.231939,-1.426218,345.237,74.82123,6.955033
85.02174,-1.217244,2.231177,-1.425846,345.3181,74.86247,6.761905
85.03283,-1.215451,2.230563,-1.425618,345.4028,74.86685,6.590615
85.04388,-1.213289,2.229853,-1.425328,345.5202,74.85007,6.411703
85.05502,-1.211104,2.229328,-1.424824,345.5524,74.82563,6.512382
85.0661,-1.208924,2.229091,-1.424741,345.5287,74.83509,6.751504
