time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
82.23348,-2.054493,1.074135,-1.76643,303.4572,155.8951,329.1009
82.2488,-2.054266,1.074123,-1.766791,303.5778,155.9525,329.0858
82.25944,-2.054363,1.07416,-1.766642,303.6847,155.982,329.0733
82.26967,-2.054066,1.074204,-1.766936,303.7753,155.9374,329.16
82.27924,-2.053651,1.074298,-1.767233,303.8365,155.782,329.4015
82.29811,-2.053486,1.074296,-1.767479,303.9744,155.5841,329.672
82.31426,-2.053695,1.074304,-1.767316,304.0219,155.6115,329.6468
82.32444,-2.053669,1.073998,-1.767282,304.0019,155.5935,329.6532
82.33363,-2.053673,1.074307,-1.767725,303.9718,155.5137,329.6993
82.3428,-2.053851,1.074317,-1.767456,303.9048,155.4446,329.7642
82.35394,-2.053672,1.074013,-1.76738,303.8315,155.3025,329.9118
82.36501,-2.053614,1.074035,-1.767431,303.7542,155.1894,330.0351
82.37607,-2.053813,1.074244,-1.767384,303.6711,155.0784,330.1608
82.38709,-2.054039,1.074238,-1.76716,303.6226,155.0672,330.1923
82.39821,-2.053931,1.074005,-1.767247,303.5479,154.9683,330.3012
82.40937,-2.053983,1.073959,-1.767339,303.4488,154.8083,330.4269
82.4204,-2.054221,1.07393,-1.767112,303.3401,154.6643,330.5645
82.43149,-2.05414,1.07383,-1.767012,303.1615,154.4244,330.7859
82.4427,-2.054374,1.073792,-1.766685,302.9568,154.1636,331.0401
82.46227,-2.054807,1.07363,-1.766469,302.6965,153.9461,331.1922
82.47671,-2.054779,1.073578,-1.766308,302.6386,153.7118,331.4088
82.48721,-2.054535,1.073493,-1.766311,302.6743,153.6421,331.5231
82.49805,-2.054794,1.073472,-1.766215,302.6804,153.5489,331.6171
82.50922,-2.054919,1.073424,-1.766625,302.7367,153.5812,331.5919
82.52037,-2.054897,1.073362,-1.766731,302.752,153.596,331.5645
82.53144,-2.055132,1.073387,-1.766628,302.7645,153.5374,331.6126
82.54256,-2.055047,1.073282,-1.766745,302.7518,153.4595,331.6791
