time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
46.06311,-2.045698,2.092103,-0.984615,351.583,333.4244,157.6114
46.07783,-2.047379,2.092004,-0.99684,351.016,333.1483,157.4194
46.08926,-2.048424,2.092742,-1.008101,351.1136,332.6279,157.1814
46.09892,-2.049465,2.093018,-1.019441,351.4038,332.5131,156.8273
46.11526,-2.049962,2.093888,-1.030743,351.8401,333.6538,156.0037
46.12487,-2.050694,2.095234,-1.042839,352.4548,333.881,155.6263
46.13501,-2.052239,2.097111,-1.054809,352.1719,333.4947,155.3105
46.14628,-2.053967,2.098766,-1.066982,352.1953,333.3571,155.1123
46.16766,-2.058531,2.10302,-1.090051,351.5602,331.3072,155.555
46.17649,-2.060371,2.1048,-1.100831,351.1321,330.4065,155.6275
46.18477,-2.060371,2.1048,-1.100831,351.1321,330.4065,155.6275
46.19338,-2.061151,2.106247,-1.109822,350.7754,329.3604,155.3827
46.20309,-2.062061,2.10756,-1.119316,350.6104,329.0353,155.0104
46.21256,-2.062498,2.108909,-1.127517,350.8149,328.9051,154.5026
46.22387,-2.063086,2.110683,-1.135813,350.9925,328.5518,154.1721
46.23479,-2.063964,2.112849,-1.144189,350.9165,328.0925,154.043
46.2461,-2.064745,2.114897,-1.152135,350.4686,327.3189,154.151
46.26742,-2.066889,2.118484,-1.167208,350.8165,326.1528,154.9163
46.27662,-2.066989,2.119624,-1.174365,350.6667,326.2326,155.1038
46.28514,-2.066989,2.119624,-1.174365,350.6667,326.2326,155.1038
46.29359,-2.067244,2.120756,-1.181871,350.5934,326.1393,155.3544
46.30194,-2.067187,2.121597,-1.188688,350.8019,325.814,155.6986
46.31241,-2.067166,2.122621,-1.195442,350.8681,325.5306,155.959
46.33388,-2.066812,2.124882,-1.208562,350.7561,324.4505,156.1598
46.34296,-2.066666,2.125963,-1.215206,350.7729,323.911,156.2121
46.35096,-2.066666,2.125963,-1.215206,350.7729,323.911,156.2121
46.35974,-2.066507,2.126804,-1.221669,350.8155,323.3321,156.2072
46.37813,-2.066548,2.127784,-1.234967,350.7319,321.9254,156.3175
46.38693,-2.066649,2.128133,-1.241694,350.6678,321.239,156.3434
46.395,-2.066649,2.128133,-1.241694,350.6678,321.239,156.3434
46.40351,-2.06637,2.128386,-1.248295,350.5907,320.5434,156.3439
46.41255,-2.06612,2.128814,-1.254836,350.489,319.9281,156.3244
46.42389,-2.065716,2.129077,-1.261279,350.3362,319.3647,156.2969
46.43467,-2.065068,2.129165,-1.267446,350.1281,318.6183,156.2984
46.44607,-2.064282,2.129045,-1.273361,350.0789,317.8221,156.3641
46.45703,-2.063353,2.128644,-1.279027,350.1347,317.1238,156.3555
46.47816,-2.061442,2.127533,-1.290142,350.171,315.7884,156.3311
46.48695,-2.060296,2.126714,-1.295452,350.2018,315.0945,156.306
