time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
46.06311,-1.937734,1.109655,-0.809762,318.7581,163.6349,359.4879
46.07783,-1.938276,1.110958,-0.813223,320.7538,163.688,358.7801
46.08926,-1.9384,1.112639,-0.818245,323.5516,163.9234,357.7047
46.09892,-1.938329,1.113881,-0.822773,326.0594,163.8048,357.1502
46.11526,-1.937979,1.116023,-0.828404,329.6501,163.4391,356.6335
46.12487,-1.937203,1.117862,-0.83491,333.5592,162.6851,356.0562
46.13501,-1.9366,1.11936,-0.841837,337.3468,162.2238,355.119
46.14628,-1.935529,1.120344,-0.850619,341.8809,161.4528,354.1482
46.16766,-1.932086,1.124187,-0.867888,352.212,157.5699,354.1062
46.17649,-1.931551,1.128324,-0.876644,356.4438,155.3828,354.0356
46.18477,-1.931551,1.128324,-0.876644,356.4438,155.3828,354.0356
46.19338,-1.93211,1.1369,-0.888037,359.0145,155.3173,352.937
46.20309,-1.931865,1.1442,-0.89953,1.819889,153.8843,351.8449
46.21256,-1.932321,1.151805,-0.915026,3.196701,153.1454,349.7734
46.22387,-1.931805,1.157768,-0.93093,5.007493,152.9882,347.9208
46.23479,-1.931088,1.163154,-0.947524,7.227454,151.1549,345.8596
46.2461,-1.928724,1.166804,-0.964826,7.734698,147.8105,343.6229
46.26742,-1.920866,1.179945,-1.00376,2.357122,138.3216,338.8484
46.27662,-1.919323,1.185156,-1.025866,357.0262,136.4763,338.0399
46.28514,-1.919323,1.185156,-1.025866,357.0262,136.4763,338.0399
46.29359,-1.91847,1.188597,-1.046649,354.4497,135.2422,337.3295
46.30194,-1.918887,1.18917,-1.069179,353.335,136.8488,337.2556
46.31241,-1.9179,1.187703,-1.091104,353.2399,138.4072,337.7597
46.33388,-1.913248,1.182377,-1.133022,351.8072,137.4628,341.3024
46.34296,-1.908587,1.179099,-1.154397,350.601,136.0,344.0916
46.35096,-1.908587,1.179099,-1.154397,350.601,136.0,344.0916
46.35974,-1.90323,1.175482,-1.176092,349.0659,134.6853,346.2568
46.37813,-1.889018,1.169208,-1.218392,343.5559,131.8305,347.8424
46.38693,-1.880671,1.166669,-1.238462,339.6309,128.8378,348.0611
46.395,-1.880671,1.166669,-1.238462,339.6309,128.8378,348.0611
46.40351,-1.871174,1.163221,-1.256759,335.7947,125.2573,348.3759
46.41255,-1.862705,1.159423,-1.275699,332.9122,122.0409,349.0303
46.42389,-1.853203,1.15494,-1.292608,330.2357,118.7551,349.4929
46.43467,-1.844297,1.149877,-1.309898,327.9478,116.2334,349.8406
46.44607,-1.834811,1.144945,-1.326886,325.808,114.0786,350.3025
46.45703,-1.825127,1.14046,-1.342768,323.9147,112.1384,350.7611
46.47816,-1.804704,1.131985,-1.371373,320.0381,107.1348,352.7745
46.48695,-1.794898,1.128554,-1.385893,318.3175,104.2601,353.9169
46.49545,-1.794898,1.128554,-1.385893,318.3175,104.2601,353.9169
46.50385,-1.78445,1.126192,-1.397883,316.6927,101.4049,354.9553
46.51236,-1.775136,1.12492,-1.409434,314.4771,98.26811,356.6435
46.52446,-1.766188,1.123834,-1.419357,312.3078,94.3776,359.4924
46.5447,-1.748292,1.119228,-1.436079,309.2358,86.95459,5.650236
46.55354,-1.739838,1.117256,-1.442754,307.7671,84.71693,7.637913
46.56158,-1.739838,1.117256,-1.442754,307.7671,84.71693,7.637913
46.57052,-1.731389,1.114853,-1.447747,306.537,83.75631,7.962968
46.58915,-1.71556,1.109091,-1.452337,304.7419,80.14223,9.407521
46.59791,-1.70921,1.106368,-1.452046,304.2148,78.89578,9.495685
46.60587,-1.70921,1.106368,-1.452046,304.2148,78.89578,9.495685
46.61421,-1.70393,1.103833,-1.452427,303.3309,79.99421,7.667653
46.6233,-1.699562,1.101809,-1.452753,302.3118,83.90186,3.782264
46.63449,-1.695686,1.099874,-1.453802,302.3203,87.38801,0.493035
46.6559,-1.691892,1.095008,-1.456927,304.8553,107.6525,340.2649
46.66486,-1.697812,1.093722,-1.453607,309.5684,88.65105,358.6721
46.67307,-1.697812,1.093722,-1.453607,309.5684,88.65105,358.6721
46.68146,-1.702938,1.099128,-1.456698,305.2113,80.6939,5.537091
46.7001,-1.696912,1.096113,-1.453881,304.8902,90.08033,358.0898
46.70878,-1.696912,1.096113,-1.453881,304.8902,90.08033,358.0898
46.71654,-1.696509,1.09734,-1.454088,306.1235,89.78806,357.8454
46.72466,-1.696276,1.096953,-1.45497,304.9626,90.34365,357.4875
46.73438,-1.697058,1.097195,-1.45506,305.3838,91.10322,356.8641
46.74558,-1.697302,1.096852,-1.453813,304.9003,90.72012,357.1523
46.75683,-1.697649,1.096864,-1.45349,305.5493,89.96169,357.9336
46.77778,-1.697856,1.09704,-1.451842,305.5279,89.63551,358.5333
46.78646,-1.697856,1.09704,-1.451842,305.5279,89.63551,358.5333
46.79438,-1.698183,1.097287,-1.451458,305.5761,89.23657,359.065
46.8025,-1.698185,1.097413,-1.451101,305.5514,89.02803,359.3631
46.81195,-1.698276,1.097829,-1.450876,305.4262,88.89387,359.5403
46.83318,-1.699333,1.098032,-1.449985,305.0725,88.68761,359.767
46.8414,-1.699333,1.098032,-1.449985,305.0725,88.68761,359.767
46.84965,-1.69952,1.098244,-1.449903,304.9399,88.65394,359.7438
46.86668,-1.699854,1.098387,-1.449971,304.7112,88.83356,359.4957
46.87532,-1.699854,1.098387,-1.449971,304.7112,88.83356,359.4957
46.88316,-1.699981,1.098263,-1.450468,304.5853,89.09985,359.1202
46.89988,-1.70018,1.098755,-1.450716,304.2766,89.73731,358.3271
46.90791,-1.70018,1.098755,-1.450716,304.2766,89.73731,358.3271
46.91592,-1.700343,1.099044,-1.450711,304.0869,89.75687,358.1725
46.93315,-1.701079,1.10006,-1.450682,303.4238,90.17117,357.7794
46.94153,-1.701079,1.10006,-1.450682,303.4238,90.17117,357.7794
46.94971,-1.701304,1.100359,-1.450234,303.0874,90.15435,357.8202
46.9578,-1.701636,1.101118,-1.449321,302.9043,89.71195,358.2333
46.96781,-1.702296,1.1021,-1.448221,302.4848,89.15769,358.7466
46.98893,-1.703508,1.103863,-1.446569,301.3519,87.6572,0.131936
46.99746,-1.703508,1.103863,-1.446569,301.3519,87.6572,0.131936
47.00538,-1.704001,1.104253,-1.446436,301.1498,87.41905,0.350281
47.01375,-1.704491,1.104521,-1.446631,300.9354,87.54642,0.181895
47.02306,-1.70474,1.104655,-1.446935,300.7062,87.83556,359.8209
47.0342,-1.704846,1.104913,-1.446918,300.6631,88.14841,359.4114
47.04544,-1.705211,1.105182,-1.446756,300.5756,88.11121,359.2628
47.06668,-1.705141,1.104746,-1.44648,300.6917,88.50248,358.6297
47.07543,-1.704829,1.104196,-1.446379,301.0533,88.35633,358.6178
47.08332,-1.704829,1.104196,-1.446379,301.0533,88.35633,358.6178
47.09974,-1.704615,1.103642,-1.446362,301.4279,88.57812,358.2207
47.10789,-1.704615,1.103642,-1.446362,301.4279,88.57812,358.2207
47.11607,-1.704485,1.103473,-1.446161,301.5529,88.67552,358.1194
47.12423,-1.70436,1.103248,-1.446062,301.6038,88.38601,358.3185
47.13429,-1.704037,1.102951,-1.445945,301.8252,88.06644,358.5311
47.14549,-1.704008,1.102698,-1.445975,301.9956,88.13479,358.4413
47.15646,-1.703899,1.102677,-1.445978,302.0235,88.2002,358.3305
47.1676,-1.703847,1.102682,-1.446096,302.0578,88.25918,358.2689
47.1786,-1.704019,1.102675,-1.446033,301.9481,88.42725,358.065
47.18987,-1.704059,1.103021,-1.445766,301.775,88.22026,358.1758
47.2008,-1.703913,1.102833,-1.44562,301.8456,88.18992,358.1516
47.22199,-1.70394,1.102515,-1.445182,301.9806,88.0121,358.1297
47.23024,-1.70394,1.102515,-1.445182,301.9806,88.0121,358.1297
47.23859,-1.703755,1.102085,-1.44509,302.2084,87.9517,358.0807
47.25554,-1.702321,1.100883,-1.445532,303.0159,88.39556,357.7078
47.26412,-1.701996,1.100493,-1.445706,303.3565,88.78651,357.3081
47.27248,-1.701996,1.100493,-1.445706,303.3565,88.78651,357.3081
47.28079,-1.70225,1.100582,-1.445573,303.2931,88.74128,357.2934
47.29967,-1.701935,1.100314,-1.445472,303.4406,88.59471,357.3258
47.30785,-1.701935,1.100314,-1.445472,303.4406,88.59471,357.3258
47.31578,-1.702144,1.100093,-1.445415,303.5746,88.29775,357.5502
47.32378,-1.702303,1.100236,-1.445237,303.5931,88.14916,357.6535
47.33412,-1.702129,1.099986,-1.445255,303.515,88.19624,357.698
47.34522,-1.701992,1.099796,-1.445297,303.7483,88.26311,357.6521
47.35629,-1.701966,1.099609,-1.445413,303.8962,88.45131,357.4676
47.36734,-1.701894,1.099253,-1.445401,304.1473,88.56937,357.301
47.37854,-1.701082,1.098752,-1.446064,304.5049,88.53986,357.2274
47.39965,-1.699736,1.09737,-1.447279,305.5741,88.78877,356.7822
47.40787,-1.699736,1.09737,-1.447279,305.5741,88.78877,356.7822
47.41604,-1.698907,1.096854,-1.448201,306.0558,89.75288,355.7371
47.42408,-1.698694,1.097078,-1.448576,306.2836,90.16097,355.1491
47.43403,-1.698278,1.096918,-1.448816,306.2427,90.29237,354.8294
47.44515,-1.69753,1.097258,-1.449229,306.5077,90.35503,354.5715
47.45626,-1.696414,1.097743,-1.450051,307.0547,90.35921,354.2295
47.46758,-1.694422,1.098399,-1.450919,307.4567,89.84919,353.8974
47.48835,-1.688537,1.100585,-1.451173,308.8706,83.90587,353.7565
47.49623,-1.688537,1.100585,-1.451173,308.8706,83.90587,353.7565
47.50381,-1.685427,1.10151,-1.453974,309.5564,76.74528,356.5744
47.51211,-1.682151,1.102564,-1.456279,310.1451,74.74895,355.0578
47.52251,-1.679191,1.103271,-1.461428,310.4794,70.97253,355.0123
47.53355,-1.675298,1.103989,-1.46796,310.4366,71.50806,351.8463
47.54463,-1.671509,1.105287,-1.474247,310.4574,70.55314,350.458
47.55569,-1.667426,1.107414,-1.482512,309.5721,70.31266,350.0129
47.56693,-1.662432,1.109461,-1.492044,308.2691,68.88677,351.4428
47.58818,-1.652048,1.109746,-1.510602,307.5927,63.88079,357.7561
47.59605,-1.652048,1.109746,-1.510602,307.5927,63.88079,357.7561
47.60399,-1.646551,1.10845,-1.520976,307.7609,62.26381,1.274136
47.62151,-1.635448,1.104933,-1.534781,308.5727,59.50851,7.28986
47.62952,-1.635448,1.104933,-1.534781,308.5727,59.50851,7.28986
47.63744,-1.62975,1.100214,-1.538506,309.4829,56.8372,10.29644
47.65488,-1.618717,1.096916,-1.552296,308.066,78.30516,346.973
47.66303,-1.618717,1.096916,-1.552296,308.066,78.30516,346.973
47.67102,-1.618294,1.094486,-1.548658,308.9379,77.1871,343.5784
47.67911,-1.625432,1.098425,-1.544131,305.2273,69.06438,347.9898
47.68927,-1.62597,1.096211,-1.546007,303.3652,56.56907,359.3258
47.70039,-1.628494,1.095194,-1.548991,304.8566,63.96259,356.1578
47.71162,-1.632619,1.097086,-1.547244,303.743,65.86059,354.8174
47.72288,-1.630538,1.099113,-1.548323,303.7426,55.02402,4.166603
47.74367,-1.627089,1.099604,-1.548034,305.756,67.81162,353.5487
47.75161,-1.627089,1.099604,-1.548034,305.756,67.81162,353.5487
47.75969,-1.626596,1.095616,-1.547603,305.4414,62.01217,358.3644
47.777,-1.622959,1.095925,-1.549184,305.3657,64.18661,356.2935
47.78521,-1.622959,1.095925,-1.549184,305.3657,64.18661,356.2935
47.79328,-1.62402,1.095158,-1.549298,305.5845,63.58955,356.3403
47.8012,-1.62508,1.095057,-1.549121,305.6226,64.76688,355.0616
47.81162,-1.623716,1.094241,-1.550475,305.4962,64.95424,354.6334
47.83262,-1.624343,1.093724,-1.550732,305.0298,66.02162,353.3974
47.84049,-1.624343,1.093724,-1.550732,305.0298,66.02162,353.3974
47.84822,-1.624219,1.093747,-1.550879,304.6884,66.22997,353.2928
47.8558,-1.625429,1.093815,-1.548898,304.7591,65.66666,353.6893
47.86648,-1.625422,1.093923,-1.548481,305.0579,65.26801,354.0492
47.87757,-1.625351,1.094675,-1.548435,305.2083,65.42596,353.916
47.88862,-1.625772,1.094863,-1.548206,305.1064,65.47238,353.8332
47.89976,-1.625769,1.094825,-1.548483,305.0104,65.44544,353.7894
47.9116,-1.625678,1.094897,-1.548517,304.8744,66.1515,353.1792
