time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.9447,-1.824797,1.820179,-1.25011,28.42146,181.3929,330.9519
118.9592,-1.824499,1.822765,-1.255847,27.98008,181.4131,330.8629
118.9719,-1.824016,1.824201,-1.259979,27.69076,181.3976,330.8324
118.991,-1.822724,1.826503,-1.266965,27.30898,181.2322,330.7164
119.0056,-1.821805,1.827241,-1.269805,27.19161,181.1043,330.6459
119.015,-1.820566,1.828171,-1.274042,26.9647,180.8922,330.4649
119.0249,-1.819713,1.828538,-1.276566,26.87919,180.6522,330.3352
119.0362,-1.818717,1.828722,-1.278853,26.82841,180.3826,330.2717
119.0564,-1.816904,1.828117,-1.282094,26.86757,179.8847,330.1959
119.0653,-1.815918,1.827471,-1.283076,27.02388,179.6623,330.225
119.0738,-1.815104,1.826943,-1.284249,27.09263,179.4751,330.2193
119.0823,-1.814297,1.825919,-1.284658,27.32239,179.2973,330.2455
119.0918,-1.813459,1.825061,-1.285265,27.5027,179.1171,330.2446
119.1115,-1.811575,1.822961,-1.285533,27.93685,178.8247,330.2112
119.1211,-1.810619,1.821686,-1.285404,28.1564,178.6817,330.1445
119.1308,-1.809927,1.820528,-1.284763,28.40501,178.5807,330.0589
119.145,-1.808501,1.81825,-1.283825,28.84751,178.3256,329.9816
119.1579,-1.807611,1.816767,-1.282772,29.20166,178.175,329.9817
119.1667,-1.80656,1.814651,-1.281672,29.64076,177.9334,329.9877
119.1753,-1.805674,1.813227,-1.280629,29.94232,177.7662,330.0145
119.1836,-1.804793,1.811795,-1.279525,30.25125,177.5817,330.0515
119.1923,-1.803823,1.810238,-1.278302,30.5696,177.3811,330.0933
119.2025,-1.802478,1.808285,-1.276742,30.95995,177.1299,330.1068
119.2137,-1.800955,1.806111,-1.274801,31.38501,176.8556,330.0987
119.2248,-1.799545,1.803607,-1.272491,31.80534,176.5911,330.0455
119.2448,-1.796783,1.799292,-1.268063,32.63623,176.0844,329.962
119.2539,-1.795426,1.797511,-1.265821,33.04253,175.8469,329.9515
119.262,-1.79408,1.795675,-1.263794,33.43496,175.578,329.9224
119.2706,-1.792714,1.793759,-1.261263,33.84959,175.2589,329.9041
119.2803,-1.79093,1.791779,-1.258823,34.30552,174.9023,329.8907
119.2914,-1.788881,1.789467,-1.255831,34.8403,174.4366,329.8785
119.3028,-1.786689,1.787122,-1.252941,35.38152,173.9217,329.8423
119.3174,-1.78435,1.784694,-1.249689,35.92346,173.3805,329.7895
119.3259,-1.781973,1.782257,-1.246366,36.5139,172.7643,329.705
119.3359,-1.77993,1.78031,-1.24359,36.9892,172.2523,329.6534
119.3469,-1.77763,1.778183,-1.240525,37.51635,171.6779,329.6505
119.3582,-1.775327,1.776074,-1.237693,38.03615,171.1093,329.6357
119.3787,-1.770785,1.772883,-1.232418,38.93453,169.9915,329.7123
119.3875,-1.768719,1.771628,-1.230173,39.30114,169.4492,329.6066
119.3957,-1.766796,1.770481,-1.227956,39.6212,168.9858,329.4421
119.4048,-1.764738,1.769383,-1.225857,39.95985,168.5668,329.3573
119.4135,-1.762632,1.768566,-1.223925,40.2797,168.0974,329.2955
119.4247,-1.760208,1.767536,-1.221495,40.67036,167.5045,329.1974
119.4359,-1.757705,1.766741,-1.219446,41.03354,166.9669,329.274
119.4569,-1.752773,1.765428,-1.216042,41.49852,165.9416,329.2284
119.4696,-1.750553,1.765074,-1.215032,41.57095,165.563,329.249
119.4779,-1.747573,1.764844,-1.213658,41.69696,164.9614,329.2436
119.4864,-1.745535,1.76476,-1.212914,41.75015,164.5591,329.246
119.4945,-1.743586,1.764809,-1.212507,41.76569,164.1648,329.227
119.5124,-1.739022,1.765044,-1.211577,41.7504,163.2834,329.204
119.5211,-1.736778,1.765284,-1.211464,41.71738,162.8064,329.1751
119.5293,-1.734605,1.765901,-1.211625,41.65496,162.3429,329.1293
119.5378,-1.732362,1.766082,-1.211502,41.63553,161.8887,329.1096
119.5469,-1.729919,1.766592,-1.211634,41.58158,161.3974,329.08
119.5579,-1.72704,1.767145,-1.211838,41.51358,160.8688,329.0577
119.5692,-1.724251,1.767707,-1.212012,41.46548,160.3444,329.0151
119.5801,-1.721349,1.768355,-1.212492,41.44035,159.9147,329.0008
119.5914,-1.718758,1.768908,-1.213039,41.43339,159.5482,329.0028
119.6124,-1.713892,1.769845,-1.214517,41.42175,158.9825,329.0092
119.6253,-1.711919,1.770257,-1.215168,41.43168,158.7762,328.9964
119.6336,-1.70906,1.770803,-1.216246,41.44674,158.5281,328.9983
119.6422,-1.707108,1.771277,-1.217058,41.45342,158.3484,328.9912
119.6503,-1.705398,1.772045,-1.218161,41.45768,158.2454,329.0524
119.6682,-1.700951,1.772738,-1.220129,41.41719,157.8905,329.0459
119.677,-1.69889,1.773483,-1.22135,41.35815,157.7027,329.0234
119.6856,-1.696915,1.774295,-1.222931,41.25018,157.5036,329.0001
119.694,-1.694931,1.774993,-1.224194,41.18973,157.2979,328.963
119.7024,-1.692774,1.775748,-1.225884,41.04248,157.0569,328.9576
119.7134,-1.690137,1.776837,-1.227895,40.88647,156.7685,328.9568
119.7246,-1.687336,1.777977,-1.230303,40.65307,156.4786,329.0024
119.7359,-1.684611,1.77907,-1.232848,40.38648,156.2219,329.0402
119.7467,-1.681771,1.780285,-1.235507,40.08864,156.0301,329.1072
119.7579,-1.679037,1.781412,-1.238231,39.81226,155.8285,329.1205
119.779,-1.673508,1.783609,-1.243647,39.22035,155.6384,329.224
119.7918,-1.671494,1.784572,-1.245993,38.9815,155.5798,329.2792
119.8004,-1.668519,1.78567,-1.249283,38.63539,155.4899,329.344
119.8089,-1.666471,1.786559,-1.251527,38.39344,155.4404,329.392
119.8171,-1.66459,1.787442,-1.253809,38.16423,155.365,329.4208
119.8346,-1.660223,1.789401,-1.258531,37.67983,155.189,329.4965
119.8438,-1.657877,1.790462,-1.260998,37.38943,155.0398,329.4828
119.8521,-1.655756,1.79134,-1.263192,37.13228,154.918,329.5042
119.8605,-1.653606,1.792339,-1.265377,36.84538,154.7632,329.4946
119.8691,-1.651553,1.793247,-1.267614,36.56102,154.5898,329.4735
119.8801,-1.648821,1.794499,-1.270347,36.17246,154.3532,329.4644
119.9012,-1.643653,1.796964,-1.275623,35.46305,153.9402,329.5096
119.9101,-1.6415,1.797945,-1.277772,35.17023,153.7927,329.5522
119.9185,-1.639642,1.798813,-1.279575,34.92282,153.708,329.633
119.927,-1.637961,1.799691,-1.281453,34.6767,153.61,329.6781
119.9457,-1.634202,1.801672,-1.285339,34.18996,153.4774,329.8203
119.9584,-1.632569,1.802414,-1.28705,33.99226,153.4616,329.8664
119.9669,-1.6303,1.803409,-1.289204,33.74083,153.4458,329.8904
119.976,-1.628811,1.8042,-1.29065,33.56422,153.4514,329.8847
119.9841,-1.62745,1.804949,-1.292132,33.3933,153.4351,329.8407
120.0013,-1.624696,1.806275,-1.2944,33.06104,153.4121,329.7926
120.01,-1.623359,1.807077,-1.29537,32.9161,153.3463,329.792
120.0182,-1.622288,1.807927,-1.296303,32.78099,153.2628,329.8002
120.0268,-1.620899,1.808521,-1.29718,32.65227,153.1529,329.829
120.0455,-1.618091,1.809765,-1.29867,32.39247,152.9023,329.9338
120.0547,-1.616732,1.810236,-1.299207,32.28878,152.7442,329.9959
120.063,-1.615584,1.810549,-1.299422,32.20774,152.5943,330.0459
120.0717,-1.614452,1.810827,-1.299711,32.11898,152.474,330.0924
120.09,-1.612334,1.811408,-1.300017,31.97582,152.2771,330.1787
120.099,-1.61158,1.811463,-1.299942,31.93816,152.2283,330.2158
120.1111,-1.6108,1.811362,-1.299739,31.89584,152.1772,330.2217
120.1197,-1.609668,1.811076,-1.29934,31.86759,152.0721,330.1734
120.1284,-1.608784,1.810946,-1.299,31.86589,152.007,330.1561
120.1453,-1.607697,1.810564,-1.297995,31.92102,151.8588,330.1346
120.1542,-1.607103,1.810159,-1.29723,31.97767,151.7801,330.1491
120.1623,-1.606551,1.809886,-1.296282,32.06341,151.6801,330.162
120.1708,-1.606086,1.809447,-1.295319,32.13865,151.5829,330.173
120.1901,-1.605014,1.808357,-1.29302,32.30651,151.3441,330.1392
120.1987,-1.604949,1.807749,-1.291584,32.42251,151.2175,330.0919
120.2075,-1.604743,1.807162,-1.290329,32.53892,151.1106,330.0592
120.2161,-1.604572,1.806561,-1.288738,32.67883,150.9995,330.0296
120.2344,-1.604671,1.805178,-1.28539,33.02829,150.7926,330.0381
120.2436,-1.604783,1.804361,-1.283612,33.21419,150.6674,330.0638
120.252,-1.604961,1.803696,-1.281945,33.38795,150.533,330.0995
120.2642,-1.605085,1.802977,-1.280085,33.55544,150.3535,330.1069
120.2794,-1.6055,1.801675,-1.275847,33.91669,149.9024,330.0911
120.2882,-1.605774,1.800957,-1.273762,34.08691,149.7068,330.0954
120.2966,-1.606179,1.800364,-1.271814,34.24103,149.5161,330.0888
120.305,-1.606558,1.799707,-1.269695,34.40334,149.3107,330.0612
120.3135,-1.607148,1.799105,-1.267463,34.57632,149.1098,330.0017
120.3243,-1.607698,1.798202,-1.264626,34.80804,148.8492,329.9649
120.3453,-1.609195,1.796591,-1.258763,35.33559,148.2803,329.891
120.3541,-1.6098,1.795891,-1.256178,35.58601,147.9671,329.9349
120.3623,-1.61035,1.795136,-1.253872,35.81396,147.6787,329.9626
