time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.9447,-2.099844,1.074471,-1.153332,303.2079,189.5991,347.2763
118.9592,-2.099822,1.074459,-1.153397,303.2562,189.6498,347.2563
118.9719,-2.099743,1.074416,-1.153416,303.2451,189.5362,347.3782
118.991,-2.099476,1.074341,-1.153471,303.1762,189.3769,347.5722
119.0056,-2.099457,1.074297,-1.153556,303.1838,189.3323,347.6251
119.015,-2.09958,1.074338,-1.153454,303.2069,189.341,347.6273
119.0249,-2.099529,1.074264,-1.153417,303.2189,189.3724,347.6125
119.0362,-2.099509,1.074307,-1.153445,303.2136,189.355,347.6418
119.0564,-2.099582,1.074218,-1.153481,303.2048,189.384,347.6016
119.0653,-2.099582,1.074218,-1.153481,303.2048,189.384,347.6016
119.0738,-2.099732,1.074223,-1.15356,303.2874,189.4785,347.4807
119.0823,-2.099741,1.074259,-1.15352,303.4301,189.5161,347.4561
119.0918,-2.09977,1.074253,-1.15349,303.4487,189.4881,347.4738
119.1115,-2.099704,1.074157,-1.153343,303.3935,189.429,347.5291
119.1211,-2.099704,1.074157,-1.153343,303.3935,189.429,347.5291
119.1308,-2.099788,1.074112,-1.153293,303.3915,189.4922,347.4709
119.145,-2.100099,1.074092,-1.153398,303.3878,189.7069,347.2318
119.1579,-2.10022,1.074038,-1.153447,303.4143,189.8446,347.0902
119.1667,-2.099713,1.074027,-1.153548,303.3637,189.6849,347.318
119.1753,-2.099713,1.074027,-1.153548,303.3637,189.6849,347.318
119.1836,-2.099672,1.073831,-1.153489,303.3265,189.313,347.7137
119.1923,-2.099679,1.073802,-1.153365,303.2375,189.4942,347.5521
119.2025,-2.099565,1.073802,-1.153391,303.2066,189.3455,347.6912
119.2137,-2.099654,1.073786,-1.153416,303.2644,189.3841,347.6558
119.2248,-2.099609,1.073814,-1.153395,303.3016,189.3493,347.7047
119.2448,-2.099763,1.073784,-1.153526,303.3427,189.3991,347.6691
119.2539,-2.099763,1.073784,-1.153526,303.3427,189.3991,347.6691
119.262,-2.099832,1.073772,-1.153524,303.3362,189.4651,347.5972
119.2706,-2.099929,1.073653,-1.153559,303.3344,189.4622,347.597
119.2803,-2.099893,1.073581,-1.153627,303.3205,189.5051,347.5736
119.2914,-2.099724,1.07353,-1.153545,303.3155,189.4956,347.6001
119.3028,-2.099754,1.07352,-1.153436,303.338,189.4494,347.652
119.3174,-2.099652,1.073442,-1.153597,303.3811,189.3692,347.7315
119.3259,-2.09971,1.073347,-1.153735,303.6499,189.2342,347.8226
119.3359,-2.099646,1.073319,-1.153714,303.6565,189.1811,347.9131
119.3469,-2.099586,1.073354,-1.153623,303.6637,189.1329,347.9652
119.3582,-2.099554,1.073331,-1.153627,303.6765,189.121,347.9854
119.3787,-2.099576,1.073202,-1.153611,303.6445,189.1288,347.9998
119.3875,-2.099576,1.073202,-1.153611,303.6445,189.1288,347.9998
