time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.09531,-2.050107,2.700778,-1.175455,36.11502,146.8012,358.2296
28.10942,-2.045913,2.699279,-1.184339,36.54033,145.1493,358.0317
28.12134,-2.043832,2.698478,-1.18865,36.79837,144.3982,357.9294
28.14283,-2.041741,2.697767,-1.192971,37.06448,143.6874,357.8169
28.15185,-2.039452,2.697018,-1.197268,37.30496,143.0536,357.7305
28.16066,-2.037157,2.696207,-1.201678,37.51939,142.441,357.6595
28.1697,-2.034821,2.695336,-1.206005,37.71251,141.8631,357.5941
28.17959,-2.032416,2.69447,-1.210391,37.93517,141.2474,357.4958
28.19799,-2.030017,2.693465,-1.214746,38.16948,140.6312,357.3848
28.20657,-2.027568,2.692477,-1.219149,38.39789,139.9971,357.2404
28.21498,-2.025086,2.691507,-1.223408,38.60672,139.3977,357.1063
28.22339,-2.022561,2.690542,-1.22774,38.81381,138.8616,356.9886
28.23184,-2.020037,2.689576,-1.232078,38.99472,138.3378,356.8708
28.2424,-2.017386,2.688542,-1.236348,39.17558,137.9361,356.8049
28.25349,-2.014749,2.687532,-1.240717,39.30544,137.5472,356.7603
28.2646,-2.011935,2.686505,-1.245124,39.41971,137.241,356.7449
28.28566,-2.009171,2.685408,-1.249591,39.52538,136.9062,356.7231
28.29549,-2.006279,2.68418,-1.253956,39.64941,136.6301,356.7131
28.30797,-2.003361,2.683035,-1.258306,39.82892,136.3484,356.7296
28.3165,-2.000426,2.681876,-1.26252,40.07327,136.1421,356.799
28.32506,-1.997507,2.680717,-1.266811,40.35703,135.9258,356.8491
28.33349,-1.994528,2.679631,-1.271078,40.60411,135.7685,356.9542
28.34228,-1.991489,2.678554,-1.275527,40.78538,135.6243,357.0417
28.35334,-1.988284,2.677454,-1.279987,40.89301,135.5043,357.1335
28.36455,-1.984886,2.676527,-1.28449,40.92757,135.4223,357.2284
28.37573,-1.981261,2.675527,-1.289124,40.91955,135.3634,357.3141
28.38662,-1.977428,2.674565,-1.293656,40.8909,135.3098,357.3516
28.39769,-1.973547,2.673512,-1.298172,40.86561,135.2467,357.3948
28.40893,-1.96962,2.67238,-1.30257,40.88313,135.1695,357.4107
28.41994,-1.965738,2.671253,-1.306862,40.97277,135.0532,357.3848
28.44119,-1.961898,2.67012,-1.310985,41.12769,134.9469,357.3802
28.44971,-1.958067,2.66908,-1.315063,41.35891,134.7733,357.359
28.45828,-1.954157,2.668141,-1.319094,41.64499,134.6182,357.3703
28.46665,-1.95014,2.667312,-1.323217,41.90109,134.4457,357.3945
28.47543,-1.946035,2.666602,-1.327376,42.12978,134.2966,357.4551
28.48652,-1.941836,2.666275,-1.331579,42.34043,134.1529,357.5934
28.49771,-1.937514,2.666106,-1.335844,42.49045,134.0316,357.728
28.51871,-1.933243,2.666204,-1.340225,42.6398,133.9351,357.9142
28.52754,-1.928961,2.666504,-1.344545,42.74722,133.8365,358.1288
28.53578,-1.924482,2.667054,-1.348883,42.78129,133.8025,358.3281
28.54415,-1.919948,2.667664,-1.353007,42.70455,133.7511,358.5464
28.56344,-1.915405,2.668523,-1.357259,42.52456,133.6688,358.7012
28.57222,-1.910764,2.6695,-1.361304,42.43969,133.5758,358.8085
28.5809,-1.906136,2.670585,-1.365367,42.43875,133.3902,358.7759
28.58908,-1.901662,2.671659,-1.369293,42.47636,133.1485,358.7311
28.60761,-1.897297,2.672783,-1.372876,42.53549,132.9398,358.7107
28.61593,-1.892951,2.673804,-1.376191,42.61089,132.7565,358.714
28.62436,-1.88871,2.675119,-1.379358,42.7124,132.5399,358.7014
28.63274,-1.884693,2.676544,-1.382443,42.8087,132.3163,358.7011
28.64203,-1.88075,2.678048,-1.385227,42.86891,132.0575,358.6665
28.65319,-1.876779,2.679698,-1.388188,42.84159,131.7337,358.5756
28.66428,-1.872816,2.681389,-1.391029,42.70919,131.3592,358.4605
28.68534,-1.868898,2.683017,-1.393823,42.35987,130.9574,358.2833
28.69408,-1.864912,2.684591,-1.396592,41.90656,130.5943,358.1642
28.70282,-1.861092,2.68614,-1.399189,41.33245,130.2272,358.0232
28.71115,-1.85719,2.687774,-1.40163,40.7945,129.9021,357.9017
28.72958,-1.853524,2.689287,-1.403959,40.21249,129.5781,357.8055
28.7379,-1.849882,2.690736,-1.406382,39.68319,129.2328,357.7137
28.74633,-1.846333,2.692136,-1.408694,39.08258,128.8914,357.6501
28.76296,-1.842892,2.693229,-1.410941,38.48955,128.5233,357.5985
28.77158,-1.839567,2.694063,-1.413077,37.89874,128.1644,357.5986
28.77995,-1.836239,2.694859,-1.415326,37.3345,127.7689,357.5961
28.78818,-1.832824,2.69561,-1.417472,36.83675,127.358,357.609
28.8075,-1.829558,2.696179,-1.419421,36.4201,126.9397,357.649
28.81618,-1.826423,2.696618,-1.421399,36.10804,126.4818,357.6733
28.82466,-1.823397,2.696981,-1.423211,35.92202,125.9882,357.6795
28.83316,-1.820496,2.697215,-1.424985,35.77505,125.4659,357.6303
28.85211,-1.817735,2.697223,-1.426543,35.74244,124.9034,357.5222
28.86106,-1.81505,2.697139,-1.428076,35.73827,124.3495,357.3836
28.86978,-1.812491,2.696846,-1.429456,35.83252,123.8025,357.2234
28.87802,-1.809992,2.696527,-1.430823,35.96855,123.2743,357.0662
28.88629,-1.807712,2.696072,-1.432079,36.14611,122.7703,356.9178
28.9075,-1.805453,2.695664,-1.433233,36.35499,122.2745,356.7863
28.91608,-1.803298,2.695144,-1.434423,36.651,121.7836,356.7072
28.92451,-1.800995,2.694891,-1.435689,36.93954,121.2764,356.6353
28.93307,-1.798785,2.694584,-1.436925,37.26447,120.7562,356.5908
28.95196,-1.796674,2.694234,-1.438174,37.50204,120.2626,356.592
28.96089,-1.794496,2.693907,-1.439435,37.66333,119.7516,356.614
28.96939,-1.792453,2.693561,-1.440724,37.75589,119.2622,356.665
28.97793,-1.79027,2.693385,-1.44192,37.84119,118.7685,356.697
28.9963,-1.788168,2.69349,-1.442953,37.85894,118.2526,356.7062
29.00483,-1.786126,2.693727,-1.443924,37.83888,117.7194,356.7172
29.01336,-1.78405,2.694127,-1.444805,37.714,117.1738,356.6827
29.02183,-1.781933,2.694519,-1.445584,37.57197,116.5884,356.6063
29.04082,-1.779785,2.695099,-1.446288,37.34212,115.9473,356.5112
29.04965,-1.777684,2.69564,-1.446948,37.09114,115.3072,356.4086
29.0582,-1.775679,2.696383,-1.447518,36.79613,114.6238,356.3008
29.06668,-1.773689,2.697076,-1.448085,36.50972,113.9334,356.2087
29.08529,-1.771788,2.697812,-1.448527,36.19564,113.2765,356.1542
29.09361,-1.770014,2.698527,-1.449002,35.88758,112.6209,356.1315
29.102,-1.768292,2.699266,-1.44942,35.54564,111.9887,356.1142
29.11062,-1.766616,2.700107,-1.449818,35.20887,111.3682,356.1248
29.11961,-1.765053,2.701066,-1.450144,34.85538,110.7583,356.1417
29.13089,-1.76354,2.702065,-1.450403,34.46802,110.1825,356.1673
29.15191,-1.761997,2.703095,-1.450595,34.04306,109.5895,356.1608
29.16109,-1.760628,2.704242,-1.450773,33.54351,108.9795,356.185
29.16975,-1.759183,2.705473,-1.450991,33.01426,108.3758,356.2182
29.17819,-1.757793,2.706665,-1.45111,32.39957,107.741,356.2294
29.19638,-1.756413,2.708111,-1.451313,31.76614,107.1201,356.2868
29.20493,-1.75516,2.709674,-1.451332,31.07892,106.507,356.3623
29.21342,-1.753907,2.711216,-1.451488,30.41121,105.8831,356.4297
29.22191,-1.752697,2.712965,-1.451485,29.76112,105.2502,356.5278
29.24068,-1.751562,2.714736,-1.451582,29.12961,104.5906,356.6204
29.24954,-1.750548,2.716599,-1.451768,28.49201,103.9288,356.7061
29.25821,-1.749403,2.718383,-1.45186,27.84517,103.2632,356.7659
29.26693,-1.748259,2.720205,-1.4521,27.15136,102.5753,356.8116
29.2755,-1.747126,2.721896,-1.45231,26.36893,101.8773,356.8335
29.28647,-1.746093,2.723658,-1.452551,25.52595,101.1914,356.8742
29.29755,-1.745024,2.725557,-1.452683,24.66032,100.5555,356.941
29.30868,-1.743873,2.727414,-1.452898,23.78882,99.90786,356.9469
29.31974,-1.742672,2.7294,-1.453134,22.91026,99.24123,356.9468
29.33086,-1.741519,2.731247,-1.453369,21.98891,98.58131,357.0244
29.35179,-1.74049,2.733106,-1.453601,21.09198,97.88251,357.0702
29.36086,-1.739656,2.734906,-1.453805,20.27104,97.1422,357.118
29.36973,-1.738919,2.736767,-1.454014,19.53229,96.32066,357.1601
29.37839,-1.738292,2.738496,-1.454271,18.8117,95.49139,357.2165
29.39654,-1.737597,2.740252,-1.454533,18.04338,94.5809,357.2867
29.40527,-1.736692,2.742112,-1.454794,17.23279,93.68736,357.3594
29.4142,-1.735688,2.744106,-1.455118,16.3611,92.69987,357.3948
29.42295,-1.734603,2.746169,-1.455429,15.48592,91.65745,357.4304
29.44073,-1.733552,2.748187,-1.455705,14.66259,90.59106,357.4471
29.44954,-1.732683,2.750078,-1.455984,13.8513,89.49573,357.4388
29.45844,-1.731898,2.751985,-1.456264,13.07632,88.44495,357.3974
29.46734,-1.731177,2.753819,-1.456597,12.3193,87.3707,357.3205
29.47586,-1.730361,2.755515,-1.456901,11.56993,86.34335,357.2808
29.48649,-1.729511,2.757164,-1.457327,10.81915,85.28321,357.2372
29.49741,-1.728629,2.758804,-1.457773,10.12026,84.24418,357.242
29.50865,-1.727764,2.760367,-1.458342,9.472291,83.2311,357.2864
29.52961,-1.726816,2.761826,-1.458922,8.874019,82.22981,357.3771
