time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.09531,-2.274634,1.757042,-1.305681,45.51857,144.6508,44.74582
28.10942,-2.269803,1.756777,-1.313756,45.48831,143.7792,44.64827
28.12134,-2.265865,1.756705,-1.319897,45.44129,143.1339,44.54922
28.14283,-2.257526,1.756538,-1.331862,45.28176,141.847,44.44644
28.15185,-2.253473,1.756416,-1.336997,45.15692,141.2477,44.46557
28.16066,-2.249767,1.756539,-1.341954,45.03242,140.7084,44.38466
28.1697,-2.245645,1.75655,-1.346632,44.87175,140.1829,44.24479
28.17959,-2.241525,1.756492,-1.351378,44.73769,139.6207,44.13988
28.19799,-2.232695,1.756448,-1.360962,44.47511,138.4526,43.93996
28.20657,-2.227651,1.756286,-1.365706,44.33527,137.8517,43.75723
28.21498,-2.223481,1.756084,-1.369882,44.22104,137.336,43.6433
28.22339,-2.219415,1.756071,-1.373594,44.13072,136.8425,43.49426
28.23184,-2.215044,1.7558,-1.377524,44.02234,136.3662,43.40397
28.2424,-2.209639,1.75595,-1.382154,43.90699,135.7976,43.28746
28.25349,-2.203611,1.755981,-1.387271,43.77262,135.2085,43.15465
28.2646,-2.197728,1.755808,-1.392215,43.61587,134.5983,43.00828
28.28566,-2.186321,1.754761,-1.401422,43.64654,133.1902,42.71916
28.29549,-2.181498,1.754552,-1.405163,43.52629,132.6585,42.58452
28.30797,-2.173797,1.754233,-1.4105,43.34146,131.8655,42.37864
28.3165,-2.168961,1.754031,-1.4138,43.23833,131.3555,42.24521
28.32506,-2.164181,1.753864,-1.417085,43.12837,130.8591,42.12411
28.33349,-2.159228,1.753811,-1.420061,43.01535,130.3726,41.97812
28.34228,-2.154568,1.753658,-1.423399,42.86332,129.9088,41.88541
28.35334,-2.14836,1.753527,-1.427608,42.73721,129.2475,41.69588
28.36455,-2.14219,1.753321,-1.431825,42.60568,128.6103,41.49187
28.37573,-2.136066,1.753126,-1.436046,42.45496,128.0352,41.29409
28.38662,-2.130071,1.752807,-1.440192,42.29642,127.5323,41.13969
28.39769,-2.12391,1.752308,-1.444762,42.16438,127.0831,41.0158
28.40893,-2.118291,1.751727,-1.448861,42.03531,126.6601,40.86691
28.41994,-2.112464,1.751043,-1.453085,41.93459,126.2512,40.73719
28.44119,-2.102144,1.749882,-1.461108,41.79348,125.5354,40.55806
28.44971,-2.097852,1.749493,-1.46464,41.7733,125.3197,40.53338
28.45828,-2.093814,1.749123,-1.468003,41.7285,125.1148,40.51895
28.46665,-2.089904,1.748694,-1.471288,41.6868,124.9474,40.5313
28.47543,-2.085766,1.748413,-1.474771,41.70568,124.7991,40.54685
28.48652,-2.080715,1.747956,-1.479159,41.70951,124.6222,40.56378
28.49771,-2.075756,1.747685,-1.483433,41.80327,124.533,40.60189
28.51871,-2.067069,1.747523,-1.491153,42.12643,124.181,40.60214
28.52754,-2.063502,1.747517,-1.494358,42.27042,123.9677,40.53713
28.53578,-2.06004,1.747447,-1.497402,42.41685,123.7231,40.45747
28.54415,-2.056776,1.74755,-1.50027,42.5381,123.4492,40.36365
28.56344,-2.049002,1.747719,-1.506694,42.79488,122.663,40.17628
28.57222,-2.044957,1.748186,-1.509823,42.88284,122.2747,40.14201
28.5809,-2.041408,1.74833,-1.512702,42.98435,121.9325,40.1108
28.58908,-2.038254,1.748911,-1.515427,43.05804,121.6075,40.17384
28.60761,-2.031122,1.749958,-1.521848,43.26542,120.9663,40.19938
28.61593,-2.028028,1.750472,-1.524839,43.36948,120.7023,40.23064
28.62436,-2.024951,1.751231,-1.528019,43.52009,120.4884,40.33498
28.63274,-2.02182,1.75182,-1.531079,43.64206,120.2651,40.42546
28.64203,-2.01872,1.752614,-1.534463,43.8244,120.1316,40.67104
28.65319,-2.014683,1.753551,-1.538708,44.01992,119.9576,40.89293
28.66428,-2.010315,1.754573,-1.543066,44.19306,119.8933,41.14006
28.68534,-2.00198,1.756603,-1.551765,44.32099,119.8766,41.43142
28.69408,-1.998223,1.757273,-1.555631,44.21695,119.8748,41.39137
28.70282,-1.994345,1.757994,-1.559222,44.13468,119.8486,41.36258
28.71115,-1.990531,1.758703,-1.562874,44.0125,119.8378,41.3114
28.72958,-1.982454,1.760243,-1.570913,43.70459,119.7971,41.20841
28.7379,-1.978483,1.760571,-1.574555,43.5387,119.7567,41.17844
28.74633,-1.974341,1.760616,-1.578207,43.37485,119.6695,41.28275
28.76296,-1.966524,1.760773,-1.58506,43.12084,119.481,41.48857
28.77158,-1.962299,1.76088,-1.588464,42.98324,119.3687,41.596
28.77995,-1.958488,1.761011,-1.591959,42.86654,119.2708,41.71213
28.78818,-1.954601,1.760837,-1.595201,42.77363,119.134,41.83959
28.8075,-1.94584,1.760513,-1.602387,42.62244,118.7426,42.19271
28.81618,-1.94176,1.76012,-1.605376,42.60765,118.4895,42.36947
28.82466,-1.937921,1.75996,-1.608273,42.54301,118.2979,42.50192
28.83316,-1.934037,1.759751,-1.61103,42.52821,118.0294,42.63778
28.85211,-1.925863,1.759347,-1.61648,42.55523,117.2912,42.89044
28.86106,-1.922038,1.759236,-1.618979,42.54422,116.9068,42.9973
28.86978,-1.918254,1.759323,-1.621132,42.56401,116.5348,43.12217
28.87802,-1.914516,1.759445,-1.623337,42.58089,116.1748,43.20473
28.88629,-1.910994,1.759584,-1.62546,42.58928,115.8497,43.28861
28.9075,-1.901553,1.760023,-1.630258,42.58806,114.9609,43.32924
28.91608,-1.897561,1.760351,-1.63227,42.54245,114.5728,43.33618
28.92451,-1.893581,1.760598,-1.6341,42.47469,114.2048,43.32489
28.93307,-1.889503,1.761214,-1.635912,42.32967,113.7801,43.26791
28.95196,-1.881194,1.762462,-1.639844,41.99994,112.9324,43.16381
28.96089,-1.876917,1.76333,-1.6417,41.71987,112.5934,43.19665
28.96939,-1.873041,1.763892,-1.643664,41.55653,112.2416,43.26199
28.97793,-1.869264,1.764512,-1.645107,41.37845,111.8731,43.31918
28.9963,-1.860635,1.765986,-1.649051,40.88786,111.3605,43.49659
29.00483,-1.856681,1.766494,-1.651182,40.54776,111.2936,43.73774
29.01336,-1.852618,1.767179,-1.653428,40.19783,111.2434,43.97552
29.02183,-1.848697,1.767802,-1.65536,39.86287,111.1218,44.11371
29.04082,-1.840102,1.769149,-1.659334,39.21673,110.6955,44.22776
29.04965,-1.836517,1.76958,-1.660569,39.08105,110.3037,44.20839
