time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
127.2963,-1.876796,2.604669,-1.523432,61.29946,95.82332,354.0627
127.3127,-1.876131,2.604505,-1.525333,61.37757,95.38891,353.8042
127.3275,-1.875509,2.604303,-1.527135,61.45322,94.97916,353.6301
127.3385,-1.874268,2.603618,-1.53038,61.70173,94.13577,353.3603
127.3591,-1.873715,2.603096,-1.531867,61.82341,93.68233,353.2808
127.3697,-1.873121,2.60269,-1.533343,61.92811,93.25301,353.2543
127.3794,-1.872606,2.602165,-1.534709,62.03621,92.81889,353.2393
127.389,-1.872271,2.60159,-1.53612,62.13834,92.35497,353.1977
127.3998,-1.871823,2.601052,-1.537316,62.27058,91.93333,353.153
127.4091,-1.871382,2.600468,-1.538488,62.39253,91.47625,353.0784
127.4187,-1.870973,2.599979,-1.539589,62.53176,91.02239,353.0016
127.4285,-1.870663,2.599564,-1.540614,62.66659,90.5751,352.9045
127.4382,-1.870294,2.599159,-1.541682,62.82837,90.12039,352.8247
127.4478,-1.869808,2.598862,-1.542686,62.93833,89.63553,352.7085
127.4585,-1.869361,2.598576,-1.543642,63.03916,89.11311,352.5277
127.4695,-1.868727,2.598399,-1.544575,63.05864,88.58119,352.3238
127.4806,-1.868109,2.598268,-1.545612,63.05277,88.06945,352.1403
127.4918,-1.86744,2.598194,-1.546621,63.00533,87.59945,351.9614
127.5028,-1.866839,2.5982,-1.547632,62.96496,87.1685,351.7488
127.514,-1.866281,2.598347,-1.548677,62.91148,86.76424,351.5535
127.525,-1.865575,2.598569,-1.549859,62.85868,86.36702,351.3454
127.536,-1.864967,2.59896,-1.551005,62.7977,85.97692,351.0823
127.5472,-1.864239,2.599342,-1.552194,62.72712,85.61139,350.8364
127.5584,-1.863512,2.599866,-1.553383,62.64778,85.28958,350.6189
127.5696,-1.862721,2.600512,-1.554692,62.5409,85.00531,350.4031
127.5807,-1.861947,2.601214,-1.555972,62.39349,84.80323,350.2549
127.5918,-1.861068,2.602084,-1.557437,62.21298,84.65387,350.179
127.603,-1.860054,2.602874,-1.558818,62.02148,84.57861,350.1503
127.6139,-1.858874,2.603764,-1.560318,61.7904,84.55067,350.1634
