time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
127.2963,-2.162174,1.106765,-1.523371,313.8949,173.7528,326.3649
127.3127,-2.162062,1.106986,-1.523175,313.8629,173.7629,326.3655
127.3275,-2.162055,1.106982,-1.523281,313.8722,173.7747,326.3557
127.3385,-2.161989,1.10704,-1.522991,313.8728,173.786,326.3335
127.3591,-2.162076,1.106644,-1.523328,313.943,173.8543,326.1861
127.3697,-2.162137,1.106603,-1.523233,313.943,173.8483,326.1538
127.3794,-2.162353,1.106742,-1.523333,313.955,173.8889,326.0777
127.389,-2.162169,1.106899,-1.523198,313.9736,173.9327,326.0446
127.3998,-2.16206,1.106937,-1.522877,313.9517,173.9139,326.0682
127.4091,-2.16206,1.106937,-1.522877,313.9517,173.9139,326.0682
127.4187,-2.16197,1.106967,-1.522523,313.9496,173.9259,326.0374
127.4285,-2.16245,1.106814,-1.523122,313.9608,173.957,325.9665
127.4382,-2.162423,1.106868,-1.52278,313.935,173.9465,325.9393
127.4478,-2.162558,1.106579,-1.522928,313.9561,173.9587,325.8985
127.4585,-2.162409,1.10661,-1.522913,313.9035,173.8949,325.9604
127.4695,-2.162541,1.10668,-1.522815,313.8767,173.8958,325.9371
127.4806,-2.162676,1.106776,-1.52284,313.8849,173.9599,325.8509
127.4918,-2.162704,1.106272,-1.523361,313.8574,173.967,325.8038
127.5028,-2.162802,1.106503,-1.523261,313.9332,174.0201,325.7583
127.514,-2.163009,1.106506,-1.523137,313.9486,174.1187,325.6239
127.525,-2.16326,1.106544,-1.52308,314.0784,174.2382,325.4438
127.536,-2.163876,1.106704,-1.523753,314.2724,174.5503,325.116
127.5472,-2.164099,1.106866,-1.52363,314.4203,174.778,324.9307
127.5584,-2.164152,1.106944,-1.52337,314.3596,174.8808,324.8476
127.5696,-2.164138,1.106839,-1.524533,314.5469,175.0368,324.6788
127.5807,-2.16414,1.106752,-1.524781,314.5491,175.0655,324.5639
127.5918,-2.164322,1.106921,-1.524823,314.6199,175.1452,324.4808
127.603,-2.164495,1.106771,-1.524897,314.6612,175.2363,324.3468
127.6139,-2.164665,1.10685,-1.52498,314.6695,175.3162,324.27
127.6251,-2.164783,1.106856,-1.524879,314.7206,175.4018,324.1354
127.6362,-2.164829,1.106752,-1.524944,314.7613,175.5057,324.0156
127.6474,-2.165462,1.106679,-1.525429,314.8007,175.5472,323.9521
127.6584,-2.165538,1.106652,-1.525331,314.8419,175.6514,323.8167
127.6695,-2.16576,1.106758,-1.525463,314.8954,175.7411,323.7131
127.6806,-2.165787,1.106756,-1.525376,314.9043,175.7604,323.687
127.6919,-2.165966,1.106824,-1.525476,314.9391,175.7965,323.668
127.7128,-2.165873,1.106692,-1.525498,314.9266,175.7888,323.7104
127.723,-2.165622,1.106757,-1.525924,314.9514,175.8386,323.6532
127.7332,-2.165444,1.106756,-1.525728,314.9659,175.837,323.6754
127.7431,-2.165526,1.106799,-1.525789,314.942,175.8283,323.705
127.7531,-2.165526,1.106799,-1.525789,314.942,175.8283,323.705
127.763,-2.165406,1.106654,-1.525882,314.9451,175.7893,323.7607
127.773,-2.165549,1.106487,-1.526021,314.9236,175.7542,323.7908
127.783,-2.1656,1.106546,-1.526018,314.9225,175.7422,323.8178
127.8022,-2.165507,1.106368,-1.52602,314.9195,175.6262,323.9987
127.8128,-2.165555,1.106329,-1.525851,314.9594,175.6986,323.9417
127.8228,-2.165438,1.106353,-1.525868,314.9597,175.6698,323.9302
127.8331,-2.165426,1.106456,-1.525743,314.9573,175.6019,324.0266
127.8429,-2.165287,1.106388,-1.52551,314.9419,175.5583,324.0869
127.8528,-2.165287,1.106388,-1.52551,314.9419,175.5583,324.0869
127.8629,-2.164998,1.106291,-1.525952,314.9261,175.4941,324.1572
127.8728,-2.164879,1.106257,-1.525701,314.8878,175.415,324.2461
127.8912,-2.164871,1.106281,-1.525954,314.8737,175.3618,324.272
127.9015,-2.164845,1.106296,-1.526137,314.8691,175.2616,324.3812
127.9115,-2.164915,1.106366,-1.526083,314.8522,175.2373,324.3981
127.9214,-2.164927,1.106226,-1.526129,314.8804,175.208,324.4157
127.9312,-2.164927,1.106226,-1.526129,314.8804,175.208,324.4157
127.9413,-2.164887,1.10624,-1.525904,314.8455,175.1689,324.4501
127.9514,-2.164885,1.106251,-1.525722,314.8562,175.16,324.4557
127.9616,-2.165103,1.106187,-1.526055,314.8695,175.1859,324.4424
127.9717,-2.165237,1.106357,-1.526108,314.8671,175.2357,324.4361
127.9817,-2.165112,1.106382,-1.526002,314.8552,175.2167,324.4921
127.9918,-2.16521,1.106332,-1.526275,314.8639,175.2524,324.5244
128.0137,-2.164608,1.106449,-1.526412,314.8476,175.2759,324.7651
128.0241,-2.164438,1.106595,-1.526493,314.8522,175.3053,324.8947
128.0345,-2.16409,1.106793,-1.526449,314.8685,175.3303,325.0724
128.0453,-2.16398,1.106954,-1.526984,314.9327,175.3118,325.2543
128.0558,-2.163671,1.107231,-1.527297,315.1829,175.4413,325.3454
128.066,-2.163423,1.107594,-1.527741,315.7827,175.6013,325.4444
128.0759,-2.163423,1.107594,-1.527741,315.7827,175.6013,325.4444
128.0858,-2.162925,1.108802,-1.529333,317.0216,176.0169,325.436
128.0959,-2.161452,1.11006,-1.53102,318.3314,173.656,327.7578
128.1058,-2.160439,1.111293,-1.532614,319.5829,173.3932,328.6942
128.1157,-2.158778,1.113155,-1.535651,321.5854,172.6296,329.7774
128.1255,-2.156786,1.115389,-1.538836,324.3187,172.3036,330.7316
128.1361,-2.154634,1.117423,-1.54213,326.8136,171.6883,331.9166
128.1471,-2.152022,1.119751,-1.546778,329.9373,170.9824,333.1579
128.1585,-2.148747,1.122249,-1.551949,333.1826,170.5766,334.1808
128.1693,-2.14392,1.125872,-1.558016,337.3892,170.4495,335.6267
128.1805,-2.139954,1.128705,-1.562896,340.3886,170.1256,337.0165
128.1916,-2.132785,1.132647,-1.569259,343.7799,169.5165,340.069
128.2029,-2.125597,1.136944,-1.575316,346.8845,168.2337,342.9614
128.214,-2.117417,1.14788,-1.579076,347.6909,163.0481,346.0061
128.2251,-2.110151,1.155652,-1.584273,347.2944,160.1277,348.5435
128.2362,-2.101421,1.163883,-1.592512,348.435,159.3145,347.9679
128.2472,-2.091851,1.170262,-1.600559,348.422,158.968,347.5023
128.2584,-2.079366,1.173958,-1.610806,348.5626,156.7201,346.163
128.2694,-2.065817,1.176443,-1.619876,348.2475,156.1048,344.8447
128.2805,-2.051764,1.179076,-1.629752,346.3896,153.9895,344.5687
128.2917,-2.03743,1.177828,-1.641277,345.2034,152.906,344.4814
128.3026,-2.019156,1.178802,-1.65433,344.9748,152.2647,344.2269
128.3138,-2.003118,1.17693,-1.666092,343.6004,151.9381,343.983
128.3247,-1.983395,1.172882,-1.679223,340.9544,151.8133,343.2992
128.3358,-1.95917,1.171148,-1.69172,338.9101,150.5554,342.4926
128.3471,-1.939256,1.167886,-1.704111,337.2085,149.4965,341.7495
128.3581,-1.914609,1.163682,-1.717048,335.2009,148.4808,340.3484
128.3691,-1.892799,1.159759,-1.729686,333.4234,147.7843,338.9362
128.3803,-1.868553,1.15452,-1.742928,331.529,147.5283,336.7459
128.3914,-1.843756,1.149837,-1.755386,329.6967,147.7917,334.2965
128.4026,-1.815634,1.147321,-1.767768,327.5075,148.6409,330.9731
128.4136,-1.790506,1.144585,-1.779907,325.339,149.9768,326.9745
128.4249,-1.763175,1.143414,-1.790943,323.0482,152.0925,321.3345
128.4361,-1.734922,1.142952,-1.802664,321.0194,153.2106,317.101
128.447,-1.707346,1.141667,-1.812468,319.3368,153.1639,314.2141
128.4581,-1.681063,1.140751,-1.823464,317.8698,153.5212,311.7256
128.4691,-1.655522,1.141501,-1.833295,316.8165,154.9504,309.6581
128.4804,-1.63063,1.144845,-1.842765,315.4106,157.9299,307.0991
128.4913,-1.606979,1.14879,-1.852088,313.401,160.8619,304.5149
128.5024,-1.58349,1.154046,-1.860268,311.4266,163.6763,301.9182
128.5135,-1.560894,1.159035,-1.868803,309.6566,166.336,299.1118
128.5246,-1.53875,1.164301,-1.8757,308.2791,169.0291,296.5785
128.5359,-1.518598,1.169687,-1.882307,307.8207,171.9957,293.7292
128.5473,-1.4977,1.175127,-1.887673,307.562,174.3908,291.0744
128.5589,-1.479008,1.181095,-1.893084,307.3041,176.4994,288.4336
128.5703,-1.459731,1.186822,-1.897417,307.0652,178.1488,285.9501
128.5817,-1.441848,1.193568,-1.902291,306.9219,180.0105,283.4093
128.5932,-1.425708,1.20013,-1.90644,306.8333,181.2973,281.2077
128.6046,-1.409531,1.206167,-1.909598,306.5518,182.3121,279.2595
128.6162,-1.395652,1.212621,-1.912601,306.3432,183.5448,277.4624
128.6277,-1.381941,1.218251,-1.914948,306.1114,184.6543,276.0071
128.6392,-1.370228,1.2233,-1.917384,305.9098,185.8428,274.8878
128.6501,-1.359019,1.22792,-1.920086,306.0889,186.969,274.0273
128.6619,-1.347461,1.232058,-1.922513,306.3109,187.9778,273.2514
128.6728,-1.33829,1.235719,-1.924402,306.5583,188.5119,273.2056
128.6839,-1.329779,1.238464,-1.926062,306.6965,188.8985,273.4014
128.6952,-1.321681,1.240778,-1.927271,306.3723,188.731,273.9585
128.7063,-1.31418,1.243163,-1.927932,305.9356,188.3862,274.4684
128.7173,-1.307112,1.244603,-1.929037,305.403,187.7066,274.9327
128.7285,-1.300044,1.246588,-1.929635,305.0636,187.1164,275.2504
128.7398,-1.294077,1.246777,-1.930459,304.9641,186.0017,275.9211
