time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
138.0789,-2.311313,1.854227,-1.541594,33.9278,156.3025,34.82822
138.0952,-2.304696,1.855657,-1.550583,33.703,155.7242,34.65949
138.1074,-2.299548,1.856805,-1.557175,33.49766,155.2501,34.54939
138.1263,-2.290896,1.858347,-1.567088,33.17786,154.4538,34.35819
138.1486,-2.280635,1.859714,-1.577731,32.80416,153.4102,34.01572
138.158,-2.27567,1.860504,-1.582407,32.64108,152.885,33.85037
138.1692,-2.270569,1.861197,-1.587088,32.48746,152.351,33.69436
138.1804,-2.265343,1.861553,-1.591322,32.37277,151.7918,33.57917
138.1914,-2.260225,1.862221,-1.595436,32.22376,151.2624,33.43976
138.2026,-2.255097,1.862538,-1.599323,32.13942,150.7452,33.39383
138.2248,-2.245273,1.863158,-1.606503,31.93216,149.8488,33.30791
138.235,-2.241231,1.86341,-1.609412,31.85764,149.4976,33.20302
138.2451,-2.237033,1.863488,-1.612468,31.79766,149.1824,33.20029
138.254,-2.232737,1.863431,-1.615187,31.79602,148.8932,33.21785
138.2624,-2.229215,1.863219,-1.617345,31.83861,148.6651,33.21492
138.2709,-2.22571,1.86318,-1.61982,31.84243,148.4111,33.20285
138.2813,-2.221512,1.862836,-1.622275,31.9055,148.1118,33.16846
138.2914,-2.217252,1.862399,-1.624724,31.97414,147.7911,33.10925
138.3024,-2.212764,1.861715,-1.627194,32.04976,147.453,33.05978
138.3145,-2.207921,1.861014,-1.629691,32.15184,147.0873,33.05323
138.3247,-2.203758,1.860122,-1.631785,32.26067,146.7301,33.06721
138.3366,-2.199002,1.859076,-1.634188,32.40052,146.3261,33.12799
138.358,-2.190171,1.856626,-1.638425,32.67007,145.5603,33.34547
138.3669,-2.186264,1.855657,-1.640131,32.79015,145.2781,33.44719
138.376,-2.182673,1.854529,-1.641886,32.89484,144.9908,33.53981
138.3844,-2.178969,1.853168,-1.643732,33.02483,144.6993,33.65324
138.3931,-2.175551,1.851886,-1.645571,33.16575,144.4648,33.74474
138.4034,-2.171427,1.850442,-1.647675,33.34048,144.1633,33.84106
