time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
138.0789,-1.962932,1.133235,-1.204851,315.7682,88.32908,83.22763
138.0952,-1.945801,1.134501,-1.221434,314.5554,87.24963,84.17735
138.1074,-1.928437,1.136832,-1.237107,312.9241,86.40807,84.89624
138.1263,-1.895118,1.144084,-1.26723,310.056,83.64021,87.28101
138.1486,-1.864315,1.154011,-1.293459,307.1929,79.12922,91.17631
138.158,-1.849914,1.159256,-1.305751,306.2784,76.41372,93.54546
138.1692,-1.83565,1.163979,-1.318555,305.2236,74.04955,95.70659
138.1804,-1.822864,1.168913,-1.329911,304.4729,72.03354,97.51343
138.1914,-1.810481,1.173709,-1.341522,303.7529,70.52219,98.81441
138.2026,-1.798768,1.178525,-1.352457,303.1241,69.42336,99.64409
138.2248,-1.777862,1.186041,-1.371499,303.0034,66.10154,102.602
138.235,-1.767263,1.190154,-1.381262,302.9237,64.1646,104.3942
138.2451,-1.758074,1.194121,-1.389939,302.6295,62.49473,106.0303
138.254,-1.758074,1.194121,-1.389939,302.6295,62.49473,106.0303
138.2624,-1.750332,1.197771,-1.396597,302.1609,60.58432,107.7112
138.2709,-1.743339,1.20069,-1.403772,301.4863,59.62404,108.3962
138.2813,-1.736468,1.202932,-1.41064,300.8595,58.82393,108.6743
138.2914,-1.728984,1.205315,-1.41764,300.3766,57.82619,109.2348
138.3024,-1.723566,1.205581,-1.423066,300.2682,56.67215,109.7384
138.3145,-1.717145,1.206504,-1.428865,300.2468,55.47073,110.3247
138.3247,-1.712733,1.206226,-1.433358,300.5587,54.2574,110.8138
138.3366,-1.710327,1.204762,-1.43744,300.7048,52.77836,111.5476
138.358,-1.704773,1.202452,-1.445772,300.2933,50.57687,112.4521
138.3669,-1.70258,1.200693,-1.449761,300.2919,49.56649,112.8017
138.376,-1.70258,1.200693,-1.449761,300.2919,49.56649,112.8017
138.3844,-1.701227,1.197425,-1.453019,300.5517,48.91854,112.9361
138.3931,-1.701082,1.193522,-1.456584,301.0498,48.5387,112.7054
138.4034,-1.701066,1.18919,-1.459341,301.1434,48.67477,111.8834
138.4135,-1.701602,1.185062,-1.461936,301.3423,48.02184,111.5638
138.4256,-1.703586,1.180089,-1.46348,301.8741,47.19262,111.2234
138.4357,-1.704698,1.175974,-1.46551,301.8356,46.12156,111.2296
138.4477,-1.707482,1.170036,-1.467352,301.455,44.78153,111.3341
138.458,-1.708578,1.165207,-1.469488,301.4374,44.37561,110.6521
138.4699,-1.710777,1.159002,-1.472091,301.8627,45.11205,109.0077
138.4912,-1.717089,1.145886,-1.474853,302.6108,44.19082,108.0091
138.5001,-1.721172,1.139468,-1.47595,302.9807,42.8563,108.1558
138.5088,-1.721172,1.139468,-1.47595,302.9807,42.8563,108.1558
138.517,-1.726187,1.132419,-1.47691,303.1688,41.92918,108.0449
138.5259,-1.73005,1.125795,-1.478323,303.3419,40.95329,108.0071
138.5361,-1.734662,1.118347,-1.479099,303.7108,40.66132,107.4123
138.547,-1.733049,1.113889,-1.480585,302.8878,41.75897,101.7568
138.558,-1.72,1.112279,-1.486234,297.005,55.36972,87.40027
138.5702,-1.697067,1.111794,-1.491947,293.8528,41.64782,99.73749
138.5911,-1.700765,1.095371,-1.489852,323.9573,71.29252,81.66673
138.5999,-1.714261,1.102767,-1.483785,313.9876,53.74162,92.94083
138.6081,-1.714261,1.102767,-1.483785,313.9876,53.74162,92.94083
138.6165,-1.716462,1.104332,-1.481014,302.5799,53.61946,91.30424
138.6249,-1.71359,1.101212,-1.485736,303.7436,54.22958,90.90104
138.6363,-1.711178,1.097903,-1.488216,310.8516,59.24319,88.17338
138.6468,-1.706185,1.09911,-1.494957,310.246,59.79853,87.16461
138.6579,-1.700456,1.099086,-1.497395,310.8177,60.77856,85.67047
138.6798,-1.69864,1.097489,-1.500034,312.1473,62.7465,83.51797
138.6885,-1.697317,1.097818,-1.500559,312.5525,63.13707,83.23454
138.6966,-1.697317,1.097818,-1.500559,312.5525,63.13707,83.23454
138.7051,-1.698683,1.098884,-1.498868,310.8875,64.03203,82.47412
138.7135,-1.698142,1.099598,-1.497925,310.752,61.70166,84.13322
138.7246,-1.698601,1.097046,-1.497199,311.4228,62.01121,84.05181
138.7365,-1.698051,1.098725,-1.497048,311.8899,61.55832,84.52326
138.7579,-1.699511,1.09838,-1.498373,311.7363,62.14633,83.93945
138.7671,-1.698894,1.098225,-1.49862,311.8903,61.971,83.98469
138.7761,-1.698894,1.098225,-1.49862,311.8903,61.971,83.98469
138.7848,-1.699104,1.098236,-1.498646,311.802,62.3241,83.6275
138.8024,-1.69817,1.098523,-1.498361,311.853,62.37166,83.40221
138.8116,-1.698114,1.098706,-1.498309,311.8443,62.39338,83.32864
138.8206,-1.698114,1.098706,-1.498309,311.8443,62.39338,83.32864
138.8293,-1.699054,1.097804,-1.497447,311.7292,62.45821,83.26672
138.8382,-1.698527,1.097851,-1.497679,311.8224,62.5007,83.19891
138.8472,-1.698355,1.097351,-1.497435,311.8643,62.59578,83.09935
138.859,-1.697464,1.097189,-1.497222,311.9086,62.7131,82.96888
138.8803,-1.697713,1.097413,-1.497653,312.0004,62.95322,82.64115
138.8896,-1.697797,1.09714,-1.497945,312.0056,63.11214,82.44244
138.8987,-1.697797,1.09714,-1.497945,312.0056,63.11214,82.44244
138.9072,-1.69752,1.096644,-1.49794,312.0524,63.25197,82.24054
138.9245,-1.696653,1.097086,-1.498026,312.0475,63.55566,81.9026
138.9339,-1.696655,1.097423,-1.498361,311.9946,63.62622,81.78731
138.9429,-1.696655,1.097423,-1.498361,311.9946,63.62622,81.78731
138.9516,-1.69655,1.097565,-1.498773,311.9529,63.82565,81.56827
138.9606,-1.696003,1.097543,-1.498494,311.9254,63.93705,81.42271
138.9703,-1.696177,1.097916,-1.498765,311.899,64.00588,81.33318
138.9805,-1.696017,1.097299,-1.498967,311.8611,64.07786,81.22205
138.9923,-1.696139,1.097567,-1.498704,311.8072,64.25948,81.02188
139.0135,-1.696057,1.097511,-1.498965,311.6791,64.48999,80.72689
139.0227,-1.696212,1.097687,-1.499392,311.6467,64.56804,80.63988
139.0317,-1.696212,1.097687,-1.499392,311.6467,64.56804,80.63988
139.0405,-1.696004,1.097668,-1.498879,311.6201,64.62996,80.56803
139.0496,-1.696408,1.097683,-1.49885,311.6087,64.67113,80.55103
139.0591,-1.696434,1.097619,-1.499169,311.5776,64.76129,80.4697
139.0693,-1.696176,1.09751,-1.49861,311.5896,64.80621,80.42728
139.0813,-1.695872,1.097232,-1.498825,311.5809,64.89507,80.35914
139.0919,-1.696893,1.097157,-1.498197,311.558,64.90049,80.34379
139.1035,-1.697617,1.096958,-1.498377,311.553,65.04546,80.21395
139.1248,-1.697838,1.09683,-1.498059,311.5827,65.20042,80.0841
139.1341,-1.697688,1.097227,-1.498192,311.5714,65.26885,80.0173
139.1433,-1.697688,1.097227,-1.498192,311.5714,65.26885,80.0173
139.1521,-1.697659,1.096932,-1.497939,311.5871,65.31458,79.98853
139.1611,-1.697505,1.097371,-1.497951,311.5893,65.32616,79.99217
139.1703,-1.697737,1.097011,-1.497748,311.6022,65.39113,79.94246
139.1811,-1.697591,1.097471,-1.497646,311.6086,65.42791,79.91267
139.1915,-1.69767,1.097148,-1.497445,311.5875,65.35353,79.97721
139.2034,-1.69777,1.097417,-1.497326,311.5071,65.41917,79.9444
139.2137,-1.697677,1.097967,-1.497196,311.4821,65.31053,80.09248
139.2256,-1.698192,1.097474,-1.496864,311.4895,65.13283,80.23543
139.2466,-1.698526,1.097983,-1.49649,311.2174,64.76424,80.44759
139.2559,-1.698395,1.098788,-1.496377,310.9399,64.6339,80.50675
139.265,-1.698395,1.098788,-1.496377,310.9399,64.6339,80.50675
139.2736,-1.698256,1.099476,-1.496818,310.6534,64.39423,80.56462
139.2825,-1.698557,1.099231,-1.497064,310.4387,64.34605,80.49271
139.2922,-1.698305,1.100026,-1.49784,310.148,64.38696,80.29998
139.3132,-1.696762,1.100905,-1.499193,309.7625,63.75071,78.82005
139.3227,-1.696871,1.101132,-1.499757,311.1419,61.16586,78.85223
139.3319,-1.696871,1.101132,-1.499757,311.1419,61.16586,78.85223
139.3406,-1.696112,1.101677,-1.501064,311.95,59.44064,78.74597
139.3496,-1.695966,1.102085,-1.503639,312.1137,59.13159,77.74557
139.3584,-1.694773,1.103045,-1.506249,312.0039,59.08749,76.54095
139.3697,-1.694811,1.103967,-1.508849,312.0854,58.94514,75.8075
139.3908,-1.693541,1.106078,-1.516755,312.719,57.72385,77.40546
139.4,-1.692354,1.107235,-1.521781,311.9573,56.80907,78.551
139.4083,-1.692354,1.107235,-1.521781,311.9573,56.80907,78.551
139.4176,-1.690523,1.107254,-1.526499,312.0596,56.86665,79.11269
139.4358,-1.687517,1.106697,-1.535335,312.4853,56.11092,80.82191
