time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
55.52746,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.54042,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.54873,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.55667,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.57256,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.57969,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.58672,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.59668,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.60712,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.61878,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.62924,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.64031,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.65149,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.66245,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.67355,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.68471,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.6958,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.70776,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.71789,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.72907,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.74029,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.75126,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.76232,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.77363,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.78446,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.7957,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.80665,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.8178,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.82889,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.84001,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.85115,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.86243,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.87342,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.88468,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.89582,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.90691,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.91788,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.92904,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.94024,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.95122,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.96235,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.97354,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.98453,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
55.99572,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.00684,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.01789,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.02902,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.04016,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.05164,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.06318,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.07441,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.09466,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.10219,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.10955,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.11813,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.12957,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.1406,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.15174,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.1628,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.17395,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.18491,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.19625,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.21696,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.22474,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.23228,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.2405,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.25186,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.26283,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.27408,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.28501,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.29618,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.31694,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.32482,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.33232,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.34037,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.3517,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.36267,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.37394,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.39481,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.40262,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.41017,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.41813,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.42932,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.44992,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.45769,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.46515,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.47345,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.48466,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.49558,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.50669,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.51791,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.529,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.53997,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.55117,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.56227,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.57353,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.59415,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.60167,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.60903,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.61783,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.62933,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.64013,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.65123,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.66231,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.67337,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.68455,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.69564,-2.306354,2.166598,-1.247444,333.2225,286.7272,175.1593
56.70675,-1.955729,2.196263,-1.561109,334.2165,275.9847,175.9516
56.71775,-1.954788,2.197374,-1.564138,333.715,275.4075,176.1927
56.73865,-1.952256,2.198174,-1.568898,334.1775,274.7624,176.7509
56.746,-1.952256,2.198174,-1.568898,334.1775,274.7624,176.7509
56.75305,-1.94916,2.196748,-1.571303,334.1074,273.7932,176.6995
56.76206,-1.948153,2.198034,-1.573456,333.739,273.1786,176.7189
56.77325,-1.947065,2.199233,-1.576135,333.1809,273.1032,176.3313
56.78432,-1.945143,2.198338,-1.57742,333.0108,272.6196,176.2633
56.7956,-1.944518,2.198583,-1.579697,332.8978,271.7612,176.3638
56.80667,-1.941556,2.195844,-1.579788,332.8227,270.8232,176.4912
56.82759,-1.937161,2.19332,-1.581095,332.8914,270.1328,176.0688
56.83511,-1.937161,2.19332,-1.581095,332.8914,270.1328,176.0688
56.8423,-1.935725,2.193188,-1.582464,332.9445,269.8418,175.8668
56.85113,-1.933853,2.192941,-1.583683,332.9126,269.6544,175.728
56.86224,-1.931729,2.193069,-1.584525,332.828,269.7603,175.839
56.87319,-1.929762,2.19321,-1.58553,332.8762,269.6219,175.9648
56.88424,-1.927444,2.193569,-1.586221,333.1562,269.5243,176.191
56.89561,-1.924995,2.194039,-1.586686,333.4737,269.3904,176.2794
56.90632,-1.923963,2.193721,-1.58806,333.6947,269.2864,176.2072
56.91755,-1.921549,2.193871,-1.588555,333.7307,269.4323,175.9707
56.92858,-1.919223,2.193665,-1.589148,333.7,269.5541,175.7012
56.93975,-1.916887,2.193358,-1.589744,333.8286,269.5544,175.526
56.95069,-1.914376,2.192462,-1.590024,334.1923,269.4468,175.3298
56.96191,-1.912105,2.191836,-1.590448,334.4601,269.4054,175.0897
56.97297,-1.909544,2.190521,-1.590374,334.5961,269.5748,174.6068
56.98407,-1.906976,2.189708,-1.590601,334.73,269.6949,174.2326
56.99529,-1.904917,2.188962,-1.59113,334.8332,270.0153,173.6322
57.00632,-1.90304,2.188294,-1.591682,334.7298,270.3081,173.0952
57.01759,-1.90214,2.187989,-1.592458,334.7129,270.0307,172.9094
57.02853,-1.901628,2.188337,-1.593801,335.1205,270.0833,172.7799
57.03954,-1.900786,2.18815,-1.595134,335.3789,270.2778,172.7051
57.05066,-1.8997,2.187624,-1.596762,335.5917,270.1873,173.2131
57.06178,-1.898948,2.186975,-1.598179,335.7169,269.5532,173.8172
57.07283,-1.898097,2.186075,-1.598487,335.7574,268.4964,174.2608
57.08397,-1.897415,2.185373,-1.598428,335.7675,267.9266,174.398
57.09513,-1.896832,2.184486,-1.597312,335.5869,268.3259,173.9369
57.10625,-1.895874,2.183186,-1.596398,335.2084,269.8603,173.2733
57.11715,-1.89489,2.18232,-1.595591,334.6824,270.8901,173.0335
57.12843,-1.893569,2.180788,-1.594955,334.3765,271.0288,173.1015
57.13938,-1.892632,2.180072,-1.594722,334.2649,270.8375,173.3711
57.15041,-1.892116,2.179872,-1.595234,334.4514,270.463,173.7691
57.16169,-1.891408,2.179544,-1.595475,334.5951,270.267,173.9913
57.17258,-1.890206,2.179553,-1.595757,334.6828,270.1065,174.0571
57.18371,-1.889515,2.179985,-1.59592,334.6834,270.0521,173.9834
57.19482,-1.888163,2.180452,-1.596037,334.5606,270.0039,173.6917
57.2059,-1.886918,2.180636,-1.595891,334.565,270.0367,173.3004
57.21716,-1.885587,2.181042,-1.595828,334.6303,270.1091,172.9193
57.22817,-1.884501,2.181595,-1.595821,334.7538,270.1822,172.5609
57.23919,-1.883203,2.182041,-1.59573,334.7964,270.2765,172.2188
57.25039,-1.882225,2.18263,-1.596036,334.839,270.3783,171.951
57.26155,-1.881014,2.182948,-1.595865,334.9315,270.3459,171.7345
57.27249,-1.879819,2.183213,-1.595628,335.0209,270.3174,171.5687
57.28364,-1.878861,2.183774,-1.59571,335.0518,270.364,171.4759
57.29479,-1.87764,2.183871,-1.595342,335.0856,270.4775,171.3256
57.30608,-1.875809,2.183559,-1.594682,335.0458,270.7484,171.128
57.31756,-1.873948,2.182865,-1.59409,335.0673,271.0265,170.9538
57.32912,-1.872471,2.182773,-1.593977,335.1007,271.1402,170.8696
57.34056,-1.870881,2.182673,-1.593924,335.1592,271.0141,170.8609
57.35194,-1.869328,2.18258,-1.593953,335.2038,270.7882,170.8927
57.36348,-1.867917,2.182917,-1.593981,335.2787,270.6075,170.8652
57.37492,-1.86626,2.182783,-1.593822,335.3702,270.3715,170.8672
57.38647,-1.86453,2.182734,-1.593541,335.4491,270.3748,170.7512
57.39792,-1.862836,2.182616,-1.593265,335.4817,270.4372,170.6494
57.40939,-1.861591,2.183114,-1.593357,335.4641,270.6462,170.5183
57.42081,-1.860217,2.183386,-1.593488,335.5207,270.6902,170.4548
57.4324,-1.858587,2.183191,-1.59314,335.6378,270.6829,170.4541
57.44381,-1.857389,2.183424,-1.593279,335.7529,270.6528,170.4431
57.4553,-1.855734,2.183128,-1.59293,335.9259,270.6579,170.4083
57.46637,-1.854385,2.183286,-1.592916,336.0713,270.7027,170.3432
57.47754,-1.852833,2.183238,-1.592955,336.1925,270.7593,170.2495
57.48855,-1.851107,2.182993,-1.59272,336.302,270.7709,170.1766
57.49966,-1.84966,2.183139,-1.592831,336.4002,270.7422,170.1217
57.51081,-1.847827,2.182878,-1.592622,336.475,270.6297,170.0756
57.52193,-1.845968,2.182645,-1.592316,336.5432,270.5544,170.0247
57.53302,-1.844096,2.182324,-1.592098,336.6379,270.5746,169.949
57.54436,-1.842223,2.181547,-1.591757,336.8968,270.6904,169.8788
57.55536,-1.840378,2.181156,-1.591604,337.0218,270.6753,169.8206
57.56634,-1.83841,2.180543,-1.591574,337.2301,270.6003,169.8142
57.57744,-1.837119,2.180834,-1.592109,337.4395,270.3919,169.9318
57.58858,-1.83519,2.180483,-1.592093,337.5298,270.2999,169.9252
57.59965,-1.833452,2.180688,-1.592539,337.6725,270.2556,169.9745
57.61078,-1.831508,2.180448,-1.592594,337.6704,270.2556,169.9431
57.62182,-1.829598,2.180291,-1.592994,337.6401,270.236,169.9323
57.633,-1.827746,2.180099,-1.593294,337.6424,270.2781,169.8086
57.64412,-1.826023,2.179855,-1.593672,337.7131,270.2144,169.7118
57.65528,-1.824389,2.179634,-1.594014,337.7825,270.0865,169.6152
57.66624,-1.822812,2.179346,-1.593873,337.9359,269.8802,169.4952
57.67746,-1.821341,2.179081,-1.594258,338.0576,269.7722,169.326
57.6887,-1.820293,2.179363,-1.595176,338.1665,269.7609,169.1557
57.6996,-1.818854,2.179461,-1.595916,338.1778,269.6579,169.0013
57.71069,-1.817517,2.179402,-1.596652,337.9781,269.6312,168.8573
57.72181,-1.816251,2.179601,-1.597535,337.7417,269.6458,168.7709
57.73288,-1.815105,2.17976,-1.598258,337.1949,269.9693,168.7119
57.74405,-1.814229,2.179832,-1.598838,336.8742,270.2393,168.6628
57.75525,-1.813247,2.18013,-1.599219,336.4632,270.5703,168.6724
57.76624,-1.812351,2.180984,-1.59992,336.3189,270.9229,168.6997
57.77738,-1.811263,2.181793,-1.600824,336.284,271.2662,168.7543
57.7885,-1.81005,2.182402,-1.601641,336.0474,271.4384,168.8399
57.79958,-1.80855,2.183193,-1.602375,335.5981,271.159,168.9859
57.81068,-1.807054,2.184072,-1.603131,335.2028,270.5115,169.2312
57.82175,-1.806118,2.185152,-1.604012,334.9417,270.2002,169.296
57.83295,-1.804632,2.185818,-1.604379,334.8078,270.4091,169.2305
57.84404,-1.803059,2.186323,-1.604773,334.6632,270.7257,169.1646
57.85544,-1.801375,2.186519,-1.605455,334.3612,271.1947,169.1172
57.86629,-1.799679,2.186294,-1.606263,334.0599,271.3134,169.2882
57.87745,-1.79818,2.186134,-1.607143,334.1011,270.8954,169.6339
57.88847,-1.796499,2.185602,-1.607835,334.3878,270.3907,169.9574
57.89959,-1.794677,2.185456,-1.608407,334.6284,270.1414,170.1564
57.91072,-1.792627,2.185026,-1.608858,334.7472,270.0168,170.3307
57.9217,-1.790394,2.18483,-1.609206,334.752,270.0027,170.4564
57.93282,-1.787445,2.184352,-1.609708,334.5998,270.1889,170.5101
57.94402,-1.784622,2.183868,-1.610211,334.5012,270.2218,170.6242
57.95505,-1.781305,2.183493,-1.610988,334.4735,270.1362,170.7657
57.96611,-1.777848,2.183103,-1.611896,334.5251,269.9734,170.8857
57.97734,-1.774756,2.182888,-1.613153,334.6157,269.8609,170.9633
57.98846,-1.770864,2.182556,-1.61461,334.7581,269.6422,171.0313
57.99942,-1.766797,2.181948,-1.616154,334.8923,269.3045,171.0858
58.01051,-1.762292,2.181104,-1.617687,334.8114,268.8374,171.1891
58.02169,-1.757834,2.18047,-1.619548,334.7642,268.2918,171.3124
58.03278,-1.753112,2.179677,-1.621315,334.8403,267.8112,171.4174
58.04388,-1.748383,2.17897,-1.623144,334.9291,267.3821,171.4949
58.05496,-1.743519,2.178326,-1.624982,334.9666,266.9668,171.5904
58.06605,-1.738364,2.177597,-1.626765,334.9987,266.5002,171.7041
58.07721,-1.733295,2.177132,-1.628906,334.985,266.0927,171.7939
58.08827,-1.727841,2.176185,-1.630878,334.9233,265.83,171.8261
58.09941,-1.722322,2.17521,-1.633335,334.9035,265.5685,171.8938
58.11055,-1.716709,2.173866,-1.635772,335.0399,265.1548,172.0395
58.12162,-1.710999,2.172437,-1.638481,335.306,264.5901,172.2636
58.13274,-1.705285,2.170906,-1.641125,335.5463,264.0466,172.4621
58.14388,-1.699354,2.169511,-1.644451,335.9509,263.3444,172.7419
58.15509,-1.692888,2.167809,-1.647269,336.1771,262.7619,172.9768
58.16634,-1.686251,2.166229,-1.650395,336.2955,262.1258,173.3663
58.17722,-1.678793,2.164624,-1.653443,336.264,261.4962,173.7539
58.18837,-1.671486,2.163172,-1.656763,336.2583,260.9858,174.1089
58.19946,-1.6642,2.161822,-1.660209,336.2999,260.4952,174.3797
58.21055,-1.65636,2.160279,-1.664011,336.5184,260.0106,174.617
58.22156,-1.648361,2.158545,-1.668091,337.0359,259.34,174.9395
58.23273,-1.64027,2.156892,-1.672175,337.4952,258.4868,175.3596
58.24382,-1.631598,2.155,-1.676574,338.1499,257.4441,175.7789
58.25488,-1.623083,2.153555,-1.680915,338.5437,256.5975,176.2007
58.26601,-1.615384,2.153378,-1.684905,338.1992,255.8122,176.6778
58.27724,-1.608358,2.153755,-1.687693,337.1539,255.2662,176.8732
58.28842,-1.603462,2.156109,-1.689611,335.4183,256.1823,176.1334
58.29937,-1.599375,2.158468,-1.690099,334.3148,257.4215,175.2421
58.31043,-1.594355,2.159522,-1.689504,334.9219,258.3343,174.5132
58.32153,-1.588347,2.159484,-1.690099,336.9505,260.9298,173.3434
58.33263,-1.581682,2.160673,-1.691931,337.8328,263.6837,172.2531
58.34391,-1.575585,2.162049,-1.697328,337.1006,264.033,172.414
58.35501,-1.568893,2.163805,-1.70234,336.6541,263.0064,172.9943
58.3661,-1.561041,2.165359,-1.70854,336.0519,259.9719,174.3755
58.3772,-1.552866,2.164975,-1.712307,335.729,258.5637,174.8396
58.38822,-1.546507,2.167429,-1.717653,334.9023,256.7122,175.6941
58.39935,-1.540514,2.16958,-1.719601,334.4886,256.0006,176.084
58.41145,-1.534492,2.171633,-1.722333,334.586,255.4167,176.3414
58.4215,-1.528787,2.17384,-1.722221,335.3468,256.1879,175.6957
58.43268,-1.523103,2.1759,-1.723414,334.8611,257.5833,175.0307
58.44396,-1.51718,2.178204,-1.725587,333.787,258.7129,174.5366
58.45493,-1.511366,2.179586,-1.727973,333.2077,259.0986,174.3619
58.46614,-1.505911,2.180501,-1.731026,333.1994,258.5084,174.6702
58.47757,-1.50066,2.18127,-1.734391,333.6812,257.4078,175.26
58.48841,-1.49541,2.181999,-1.73759,333.8395,256.5864,175.771
58.49953,-1.4902,2.182722,-1.740395,333.5237,256.1854,176.0616
58.51073,-1.484963,2.183448,-1.742939,333.2127,256.0743,176.1872
58.52177,-1.479964,2.184015,-1.744972,333.0833,256.0318,176.2552
58.53297,-1.475115,2.184574,-1.746813,333.1824,255.9305,176.299
58.54416,-1.470274,2.185124,-1.748731,333.207,255.807,176.3326
58.55519,-1.465608,2.185514,-1.750572,333.1818,255.7687,176.2422
58.56622,-1.461061,2.185728,-1.75255,333.141,255.6441,176.1711
58.57751,-1.456472,2.186029,-1.754562,333.1552,255.3907,176.201
58.58842,-1.45215,2.186199,-1.756513,333.181,255.0057,176.284
58.6042,-1.447901,2.186338,-1.758404,333.136,254.6776,176.3421
58.61145,-1.444014,2.186305,-1.760099,333.0497,254.2911,176.4323
58.61846,-1.44013,2.186315,-1.761798,333.0054,254.0042,176.4593
58.62922,-1.436629,2.186171,-1.763311,332.9449,253.665,176.4883
58.64027,-1.433099,2.186033,-1.764831,332.8814,253.3059,176.4806
58.65995,-1.426822,2.185371,-1.767602,332.8515,252.7693,176.3179
58.66736,-1.426822,2.185371,-1.767602,332.8515,252.7693,176.3179
58.67427,-1.42374,2.18505,-1.769042,333.0055,252.5216,176.2825
58.68321,-1.420657,2.184731,-1.770476,333.1975,252.1921,176.3518
58.69472,-1.417497,2.184424,-1.771862,333.293,251.7814,176.5162
58.70545,-1.414303,2.184195,-1.773209,333.4254,251.4158,176.642
58.71669,-1.411065,2.184075,-1.774446,333.5463,251.0841,176.7952
58.7279,-1.407809,2.184038,-1.775575,333.6859,250.7797,176.8906
58.73894,-1.404583,2.183962,-1.776663,333.7577,250.453,176.9515
58.75007,-1.401378,2.184005,-1.777594,333.8368,250.0714,177.0319
58.76125,-1.398221,2.184068,-1.778488,333.9088,249.7525,177.0799
58.7821,-1.391989,2.184026,-1.780242,334.0443,249.0459,177.2291
58.78949,-1.391989,2.184026,-1.780242,334.0443,249.0459,177.2291
58.7967,-1.388886,2.184019,-1.781186,334.1436,248.7018,177.3207
58.80568,-1.385879,2.184044,-1.782169,334.2746,248.2967,177.4157
58.81675,-1.382836,2.183941,-1.783162,334.3415,247.8711,177.5202
58.82785,-1.379839,2.183767,-1.784176,334.504,247.4549,177.6441
58.83905,-1.376884,2.183499,-1.785219,334.6611,247.0095,177.7605
58.85006,-1.373918,2.183187,-1.786295,334.7413,246.5966,177.8379
58.86131,-1.371003,2.182719,-1.787307,334.8083,246.1996,177.8745
58.87223,-1.36813,2.182268,-1.788234,334.97,245.6874,178.0315
58.88347,-1.365312,2.181901,-1.789065,335.0652,245.1169,178.2885
58.89479,-1.362497,2.181633,-1.789889,335.1667,244.6443,178.487
58.90571,-1.359718,2.181409,-1.790742,335.1129,244.3697,178.4787
58.91679,-1.356888,2.181139,-1.791528,334.9421,243.9281,178.564
58.92794,-1.35408,2.180882,-1.792398,334.8111,243.2718,178.6304
58.93908,-1.351282,2.180615,-1.793328,334.8034,242.6967,178.6604
58.95021,-1.34858,2.18033,-1.794367,334.8055,242.1162,178.6791
58.97117,-1.343037,2.179643,-1.796441,335.024,241.1204,178.69
58.97864,-1.343037,2.179643,-1.796441,335.024,241.1204,178.69
58.98586,-1.34034,2.179319,-1.797297,335.2786,240.5072,178.897
58.99451,-1.337643,2.179023,-1.798007,335.4104,239.9435,179.0218
59.00569,-1.33506,2.178806,-1.798446,335.5283,239.5444,179.1372
59.0168,-1.332417,2.178591,-1.798658,335.4864,239.3607,179.183
59.02782,-1.329799,2.178362,-1.798615,335.4124,239.1561,179.2962
59.03889,-1.327184,2.178126,-1.798609,335.4202,238.8861,179.3807
59.05011,-1.324604,2.1779,-1.798265,335.5183,238.5746,179.5394
59.06112,-1.322011,2.177678,-1.797889,335.6572,238.3066,179.7141
59.07218,-1.319353,2.177488,-1.797376,335.9253,238.1899,179.8383
59.08332,-1.316677,2.177395,-1.796736,336.2208,238.0782,179.9842
59.1042,-1.311195,2.177284,-1.795047,336.6782,237.8419,180.209
59.12056,-1.30843,2.177158,-1.793744,336.7614,237.7149,180.3174
59.12794,-1.305572,2.176989,-1.792275,336.7457,237.5706,180.4728
59.13875,-1.302741,2.176799,-1.790845,336.7241,237.496,180.5675
59.14991,-1.299862,2.176577,-1.7891,336.5446,237.485,180.7141
59.16119,-1.296945,2.176384,-1.787424,336.474,237.5062,180.7743
59.17213,-1.293949,2.176138,-1.785302,336.5513,237.587,180.8057
59.18306,-1.2909,2.175861,-1.783167,336.7144,237.573,180.8713
59.19434,-1.287762,2.175547,-1.780899,336.8871,237.6101,180.9153
59.20536,-1.284616,2.17523,-1.77863,337.0658,237.7193,180.915
59.21646,-1.281325,2.17484,-1.776052,337.2348,237.9322,180.8793
59.22751,-1.266097,2.182603,-1.793782,337.3027,237.8759,181.1243
59.23862,-1.262269,2.182242,-1.791376,337.3821,238.0457,181.0079
59.24984,-1.26406,2.178851,-1.795713,337.4767,238.1165,180.8992
59.26101,-1.260204,2.178208,-1.793146,337.3604,238.1935,180.7906
59.27191,-1.255135,2.17661,-1.789564,337.1662,238.2476,180.5261
59.29261,-1.244509,2.173163,-1.782612,336.8234,238.4937,180.0237
59.2999,-1.244509,2.173163,-1.782612,336.8234,238.4937,180.0237
59.30654,-1.239863,2.171654,-1.77924,336.798,238.5614,179.846
59.31633,-1.235802,2.170657,-1.775989,337.1272,238.8138,179.6922
59.32759,-1.232075,2.169897,-1.772731,337.42,239.1198,179.4931
59.33849,-1.227951,2.168935,-1.768941,337.7421,239.6979,179.2578
59.34968,-1.223306,2.167782,-1.765244,337.7937,239.9566,179.1539
59.36088,-1.218936,2.166925,-1.761216,337.7407,240.1327,179.0305
59.37193,-1.214817,2.166181,-1.757342,337.6411,240.4128,178.834
59.38305,-1.210633,2.165195,-1.75314,337.4374,240.9774,178.4906
59.39424,-1.20642,2.163895,-1.74894,337.2858,241.596,178.1823
59.40524,-1.202307,2.162215,-1.744203,337.2694,242.3128,177.8631
59.41634,-1.198203,2.160123,-1.739058,337.5376,243.0692,177.4885
59.4276,-1.194156,2.15808,-1.733965,337.7341,243.7711,177.0712
59.43849,-1.19033,2.155254,-1.727983,337.8842,244.7074,176.3981
59.4497,-1.186076,2.152838,-1.722413,338.0092,245.6103,175.7766
59.46088,-1.181902,2.149907,-1.716296,338.3365,246.6681,175.076
59.47189,-1.17766,2.147181,-1.710001,338.7721,247.5195,174.4583
59.48294,-1.173122,2.144446,-1.703775,339.1789,248.3845,173.7899
59.49416,-1.168128,2.141972,-1.696905,339.4241,249.146,173.1485
59.51456,-1.158339,2.137746,-1.681673,339.0439,250.5414,172.4694
59.5218,-1.158339,2.137746,-1.681673,339.0439,250.5414,172.4694
59.52842,-1.154736,2.135999,-1.674316,338.9772,251.5534,171.9935
59.53854,-1.14962,2.13432,-1.665654,338.9281,252.6385,171.5291
59.54958,-1.144854,2.132447,-1.657236,338.7106,254.0067,170.9717
59.56076,-1.145519,2.135782,-1.65011,338.5208,255.1368,170.623
59.57171,-1.141821,2.136336,-1.6427,337.9476,256.271,170.1955
59.58276,-1.129716,2.132315,-1.635524,336.8223,257.663,169.7822
59.59384,-1.124024,2.132188,-1.630413,335.6949,256.7833,170.9241
59.60503,-1.122425,2.135242,-1.625,335.7488,254.5059,172.4038
59.61606,-1.119123,2.136312,-1.619459,337.1059,252.7319,172.973
59.6272,-1.111404,2.1355,-1.61147,338.0822,252.3825,173.2337
