time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
122.0368,-1.789335,1.776434,-1.11666,54.36771,111.9497,312.6105
122.0507,-1.790644,1.775626,-1.115205,54.77921,110.2605,311.8817
122.0622,-1.79148,1.775253,-1.114708,54.99024,109.3688,311.4777
122.0804,-1.793373,1.774377,-1.114804,55.53806,107.6806,310.7273
122.0891,-1.794061,1.773907,-1.115249,55.76173,107.0268,310.4979
122.0972,-1.794338,1.773628,-1.116406,55.91936,106.7936,310.5695
122.105,-1.794646,1.77305,-1.117252,56.05262,106.3973,310.5951
122.1135,-1.794744,1.772762,-1.118438,56.14168,106.0766,310.7141
122.1247,-1.794854,1.772741,-1.119938,56.24591,105.5375,310.824
122.1458,-1.793544,1.771997,-1.124517,56.23278,104.8868,311.3704
122.1542,-1.792887,1.771615,-1.126462,56.25014,104.6432,311.5412
122.1621,-1.792366,1.771208,-1.128226,56.30688,104.3448,311.648
122.1705,-1.790767,1.770676,-1.131111,56.38934,104.1793,311.7306
122.1862,-1.789714,1.770177,-1.133485,56.47076,103.9064,311.8546
122.1952,-1.787436,1.769172,-1.138168,56.60678,103.7156,312.0493
122.2031,-1.785666,1.768482,-1.14127,56.67493,103.5706,312.1767
122.2141,-1.783364,1.76756,-1.145117,56.72815,103.5505,312.4122
122.2245,-1.781081,1.76655,-1.149066,56.76878,103.529,312.6384
122.2357,-1.778113,1.765507,-1.153448,56.75188,103.6511,312.9067
122.2467,-1.774808,1.764435,-1.158165,56.71885,103.8186,313.2019
122.2579,-1.770959,1.763281,-1.163116,56.6333,104.0388,313.5133
122.2691,-1.766932,1.762127,-1.168183,56.51049,104.2545,313.8233
122.2802,-1.762915,1.76104,-1.173082,56.39194,104.4355,314.136
122.2912,-1.75797,1.759795,-1.178529,56.19348,104.6038,314.4703
122.3023,-1.752806,1.758408,-1.184134,55.94513,104.7303,314.8312
122.3134,-1.747622,1.757128,-1.189368,55.70347,104.8095,315.1674
122.3245,-1.741878,1.756049,-1.195057,55.37725,104.8871,315.5806
122.339,-1.735739,1.755235,-1.20077,55.03912,104.9902,315.9913
122.347,-1.729525,1.754719,-1.206656,54.68896,105.1253,316.4145
122.358,-1.72321,1.754326,-1.212469,54.34609,105.2492,316.8111
122.369,-1.716712,1.75456,-1.218307,54.00527,105.3584,317.1624
122.38,-1.710009,1.755365,-1.224204,53.6737,105.4161,317.4531
122.3912,-1.702886,1.756462,-1.230127,53.41567,105.4147,317.6828
122.4023,-1.696035,1.757623,-1.235815,53.25548,105.3451,317.7761
122.4135,-1.688628,1.758662,-1.241911,53.09718,105.2212,317.882
122.4345,-1.673812,1.760171,-1.253931,52.42405,104.8574,318.4217
122.443,-1.66682,1.761146,-1.259077,51.77462,104.6237,318.9823
122.4509,-1.660641,1.761978,-1.263721,51.15672,104.5022,319.4974
122.4678,-1.647519,1.764087,-1.27388,49.73318,104.6368,320.7026
122.4763,-1.640672,1.765365,-1.279502,48.84835,105.0815,321.4749
122.4879,-1.634889,1.766448,-1.284263,48.22242,105.3011,321.991
122.501,-1.622719,1.769206,-1.295088,46.80831,106.3731,322.8709
122.5095,-1.616882,1.770523,-1.300162,46.17728,106.755,323.205
122.5173,-1.611918,1.77212,-1.304825,45.78685,107.2465,323.1759
122.5254,-1.60619,1.773706,-1.30946,45.27788,107.5899,323.3667
122.5357,-1.59985,1.775866,-1.315187,44.97056,107.969,323.3603
122.5467,-1.593296,1.777855,-1.320782,44.82258,108.1301,323.2887
122.5579,-1.586477,1.780117,-1.326385,44.72156,107.9943,323.1902
122.5689,-1.579366,1.782412,-1.332004,44.53383,107.7794,323.1939
122.5799,-1.572735,1.784795,-1.336884,44.35287,107.2297,323.35
122.5913,-1.565548,1.787273,-1.342158,44.04065,106.7061,323.7727
122.6024,-1.558576,1.789964,-1.347429,43.64294,106.3333,324.3584
122.6134,-1.551556,1.792746,-1.352854,43.20168,106.1599,324.8954
122.6345,-1.539617,1.79795,-1.3638,42.03329,106.78,326.0638
122.6465,-1.535015,1.800057,-1.368412,41.53359,107.2311,326.4979
122.6548,-1.528956,1.802955,-1.37429,40.92121,107.8354,326.9777
122.6627,-1.525138,1.804955,-1.378899,40.4431,108.6205,327.2062
