time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.46338,-1.855476,1.858122,-1.696367,37.43354,121.0672,22.1466
40.47704,-1.846001,1.85959,-1.702235,37.4426,121.0337,21.56937
40.48903,-1.839079,1.860409,-1.706154,37.41574,120.8834,21.22204
40.50924,-1.823431,1.86233,-1.712715,37.19442,120.0825,21.05138
40.51969,-1.81575,1.863328,-1.714634,36.95459,119.4346,21.16543
40.52864,-1.807741,1.864457,-1.716713,36.71671,118.7601,21.11168
40.53684,-1.800513,1.865264,-1.717474,36.45384,117.9807,21.04804
40.54505,-1.793864,1.866135,-1.718879,36.26075,117.4093,20.9464
40.55372,-1.786916,1.866964,-1.718879,36.11683,116.7005,20.60287
40.5645,-1.777661,1.868095,-1.719736,35.97023,115.8883,20.09945
40.5755,-1.768397,1.869167,-1.719608,35.97473,115.032,19.1678
40.58664,-1.759657,1.869995,-1.718904,36.05436,114.0748,17.99822
40.59794,-1.750248,1.87106,-1.717705,36.14709,112.9276,16.70523
40.60893,-1.741165,1.87203,-1.716299,36.19314,111.7565,15.52667
40.62012,-1.731669,1.873038,-1.714283,36.19521,110.3967,14.24011
40.64096,-1.714265,1.875353,-1.709087,35.9593,107.6222,12.23851
40.64959,-1.706831,1.876412,-1.707033,35.84795,106.4405,11.42988
40.65811,-1.699753,1.87771,-1.703745,35.70561,105.031,10.87156
40.66751,-1.692401,1.878873,-1.700605,35.5738,103.5835,10.22189
40.68569,-1.676641,1.881826,-1.692649,35.2973,100.3258,8.979695
40.69408,-1.670112,1.883171,-1.688418,35.23603,98.85644,8.540648
40.7024,-1.663149,1.884518,-1.684752,35.1324,97.43178,7.966825
40.71078,-1.657409,1.886149,-1.680743,35.13212,96.117,7.379958
40.71999,-1.650844,1.887789,-1.67652,35.07244,94.69043,6.730692
40.73169,-1.642131,1.890174,-1.67052,34.96827,92.6694,5.756466
40.74209,-1.634952,1.892472,-1.665328,34.75623,90.98801,4.963947
40.75329,-1.627405,1.894989,-1.659634,34.38161,89.21686,4.224076
40.77417,-1.614397,1.900407,-1.649796,33.46199,86.45861,3.182699
40.78263,-1.60879,1.902698,-1.645664,33.10395,85.33812,2.728094
40.79069,-1.60436,1.905289,-1.642308,32.7234,84.66459,2.491491
40.79875,-1.600079,1.907587,-1.639167,32.4663,83.95485,2.318416
40.80868,-1.595273,1.910468,-1.635547,32.20876,83.16537,2.327353
40.82974,-1.585418,1.916028,-1.62734,31.94119,81.20454,2.675276
40.83805,-1.58214,1.917873,-1.623939,32.08529,80.18702,3.406073
40.84605,-1.579147,1.919581,-1.62086,32.08834,79.19021,4.045313
40.85402,-1.575961,1.921353,-1.61784,32.02591,78.22839,4.58948
40.86419,-1.572361,1.923497,-1.613632,31.79569,76.66598,5.876611
40.87538,-1.568583,1.925812,-1.609428,31.38611,74.76924,7.32862
40.88639,-1.56533,1.927942,-1.605596,30.87623,72.87777,8.481537
40.89738,-1.561871,1.930031,-1.602017,30.31938,70.85913,9.475757
40.90859,-1.558557,1.932138,-1.599006,29.78209,68.95502,10.24083
40.92946,-1.552756,1.935061,-1.595878,29.14383,65.69923,11.01204
40.93776,-1.550497,1.936119,-1.59487,28.94691,64.48595,11.26811
40.94561,-1.54871,1.936927,-1.59498,28.94743,63.7832,11.04707
40.96281,-1.543827,1.937798,-1.596972,28.9721,62.50616,10.88318
40.97078,-1.541344,1.938024,-1.598896,29.05501,62.29216,10.77767
40.97862,-1.538634,1.937761,-1.601459,29.22707,62.38083,10.63422
40.98666,-1.536063,1.937687,-1.603393,29.3379,62.25185,10.6223
40.99747,-1.532184,1.936399,-1.608462,29.71819,63.03251,10.75227
41.00838,-1.527794,1.934813,-1.614226,30.10431,64.07079,11.33374
41.02942,-1.519578,1.930933,-1.627067,30.63413,66.70916,13.3088
41.03751,-1.516236,1.929225,-1.632719,30.80081,67.77631,14.0252
41.04533,-1.513388,1.927698,-1.638113,30.91078,68.80994,14.57562
41.05313,-1.510856,1.926169,-1.643538,30.98602,69.8046,15.01376
41.06401,-1.507062,1.923954,-1.651162,31.07821,71.13378,15.59294
41.08498,-1.50103,1.918645,-1.668478,31.42512,74.36082,16.58867
41.09341,-1.498543,1.916368,-1.676042,31.77519,75.84886,17.01255
41.10127,-1.496557,1.914006,-1.683013,32.23881,77.44807,17.28224
41.1183,-1.491499,1.908694,-1.698992,33.36991,81.66093,17.61219
41.12614,-1.489426,1.906391,-1.707082,33.83939,84.12459,17.55736
41.13396,-1.487285,1.904243,-1.715482,34.16419,86.74377,17.41419
41.15155,-1.4826,1.900155,-1.734463,34.82622,92.74119,16.86654
41.15947,-1.481011,1.898589,-1.742956,35.06063,95.42708,16.46734
41.16739,-1.479373,1.896966,-1.751196,35.26156,97.94258,16.22882
41.18484,-1.476484,1.894216,-1.768251,35.60899,103.1097,16.56719
41.19272,-1.474968,1.893619,-1.774564,35.59698,104.9997,17.4694
41.20075,-1.473698,1.892783,-1.781261,35.56595,107.0168,18.35903
41.21831,-1.471169,1.8919,-1.792407,35.17266,110.527,20.81935
41.22663,-1.469662,1.891721,-1.796722,34.8737,111.7997,22.21966
41.23464,-1.468095,1.89178,-1.800368,34.62727,112.8217,23.45398
41.24252,-1.466259,1.891667,-1.803012,34.45083,113.563,24.46078
41.25283,-1.463892,1.891882,-1.804816,34.46134,113.9368,24.97246
41.26392,-1.461344,1.892026,-1.806741,34.49285,114.357,25.14522
41.27509,-1.45836,1.892584,-1.806322,34.61452,113.7997,24.3848
41.28615,-1.455342,1.893157,-1.804473,34.648,112.6911,23.51106
41.29728,-1.451906,1.89406,-1.801099,34.64891,110.9877,22.72686
41.3085,-1.448639,1.894874,-1.797707,34.68252,109.3117,22.20709
41.31959,-1.445808,1.896013,-1.791777,34.84312,106.8686,21.82109
41.34049,-1.440705,1.897824,-1.779142,35.20304,101.5783,21.04119
41.34888,-1.438862,1.89886,-1.77204,35.34225,98.67182,20.52834
41.35704,-1.437282,1.899855,-1.766191,35.4081,96.24831,19.95562
41.36514,-1.435926,1.900982,-1.759646,35.43381,93.65046,19.20444
41.37501,-1.434621,1.902561,-1.752374,35.41653,90.62239,18.21359
41.38623,-1.433366,1.90468,-1.743394,35.30761,86.97507,16.7455
41.39738,-1.432602,1.906871,-1.734379,35.18703,83.43884,15.18272
41.40841,-1.432178,1.908934,-1.726456,35.09872,80.19487,13.58811
41.42935,-1.432044,1.913055,-1.712043,34.66586,74.45634,10.67681
41.43774,-1.431515,1.914815,-1.706903,34.3577,72.32384,9.648877
41.44584,-1.431449,1.916317,-1.702466,34.0082,70.58453,8.992471
41.45397,-1.43103,1.917779,-1.69824,33.58662,68.88018,8.448876
41.47376,-1.429371,1.921129,-1.689756,32.486,65.76122,7.649672
41.48237,-1.428268,1.922274,-1.68698,32.06507,64.7659,7.405116
41.49053,-1.426995,1.923104,-1.685004,31.7516,64.11054,7.230425
41.49864,-1.425869,1.924081,-1.683633,31.53382,63.68324,7.056881
41.50844,-1.423633,1.924294,-1.683079,31.37603,63.66833,7.009245
41.51964,-1.421398,1.924946,-1.681744,31.13438,63.36343,6.925401
41.53065,-1.418725,1.924702,-1.68204,31.07115,63.7102,7.082206
41.54169,-1.41582,1.924266,-1.683013,31.07039,64.14478,7.284596
41.55299,-1.412587,1.923764,-1.684631,31.11138,64.71739,7.509277
41.56393,-1.409646,1.923527,-1.685965,31.082,65.22419,7.667595
41.57494,-1.405896,1.922975,-1.688769,31.06976,66.17798,7.812302
41.58607,-1.401951,1.922733,-1.69213,30.94384,67.36758,7.668853
41.59722,-1.397317,1.922736,-1.695768,30.65463,68.75101,7.394666
41.60828,-1.392734,1.922848,-1.699759,30.27814,70.18394,7.258731
41.61944,-1.387547,1.923288,-1.70479,29.63938,71.94214,7.320255
41.63071,-1.382001,1.923971,-1.710201,28.82726,73.85038,7.468877
41.6515,-1.371686,1.926347,-1.721385,26.83026,77.77335,7.7119
41.66004,-1.367227,1.92768,-1.72684,25.80047,79.73653,7.856144
41.66816,-1.363201,1.929105,-1.732584,24.82712,81.76264,7.995082
41.67617,-1.359631,1.930634,-1.73922,23.99427,84.18929,7.915487
41.68605,-1.355777,1.93189,-1.746955,23.29201,86.8232,7.648025
41.69711,-1.352066,1.932946,-1.755952,22.86119,89.81184,7.679332
41.70829,-1.34884,1.933636,-1.763813,22.50206,92.23517,8.286123
41.71962,-1.346649,1.933504,-1.7698,22.61495,93.91535,9.976424
41.73053,-1.344683,1.932822,-1.775191,22.97938,95.28614,11.86074
41.74166,-1.343075,1.931837,-1.779693,23.64542,96.42037,13.38622
41.75269,-1.341934,1.930802,-1.782935,24.59386,97.15235,14.32055
41.76389,-1.340701,1.930198,-1.78594,25.33524,97.82874,14.53471
41.77488,-1.340121,1.929605,-1.786724,26.45597,97.52968,13.66976
41.78603,-1.339563,1.929056,-1.785511,27.74976,96.21214,12.13745
41.7972,-1.339215,1.928326,-1.782345,29.10199,93.7629,10.33005
41.80812,-1.338999,1.92785,-1.77854,30.27416,91.09975,8.718096
41.81935,-1.3397,1.927895,-1.772142,31.32407,86.88338,6.479404
41.84024,-1.34283,1.930681,-1.757964,32.20004,77.26008,0.656542
41.8488,-1.344376,1.932554,-1.752778,32.10825,73.66541,358.4267
41.8569,-1.34594,1.935305,-1.748717,31.79492,70.51677,356.4409
41.86503,-1.347325,1.938223,-1.744701,31.20157,67.49834,354.528
41.87481,-1.348995,1.942001,-1.741254,30.40558,64.58111,352.5789
41.886,-1.34946,1.947016,-1.739442,28.90333,62.62296,351.1774
41.90703,-1.347996,1.956936,-1.740023,25.44503,61.12848,350.3299
