time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.46338,-2.093992,1.11082,-1.426027,311.928,144.7475,340.0279
40.47704,-2.093927,1.110802,-1.426027,311.9966,144.7373,340.016
40.48903,-2.093996,1.110763,-1.426019,312.0145,144.6777,340.0693
40.50924,-2.093676,1.11069,-1.425751,311.998,144.603,340.2379
40.51969,-2.093643,1.110833,-1.42573,311.9806,144.5635,340.3387
40.52864,-2.093566,1.11068,-1.425577,311.9184,144.5011,340.4652
40.53684,-2.093566,1.11068,-1.425577,311.9184,144.5011,340.4652
40.54505,-2.093469,1.110605,-1.425449,311.9079,144.3846,340.6122
40.55372,-2.093433,1.110584,-1.425386,311.9498,144.4847,340.5273
40.5645,-2.093307,1.110605,-1.425291,311.9659,144.4448,340.5927
40.5755,-2.093211,1.110643,-1.425249,312.0316,144.3903,340.6658
40.58664,-2.093167,1.110634,-1.425402,312.0662,144.4498,340.5797
40.59794,-2.093102,1.110641,-1.425348,312.1192,144.466,340.5555
40.60893,-2.093056,1.110608,-1.425339,312.1541,144.4203,340.6157
40.62012,-2.092994,1.110563,-1.425176,312.1726,144.4081,340.6382
40.64096,-2.09271,1.11065,-1.425212,312.1472,144.268,340.8591
40.64959,-2.09285,1.110478,-1.425348,312.1692,144.2558,340.8947
40.65811,-2.09285,1.110478,-1.425348,312.1692,144.2558,340.8947
40.66751,-2.092874,1.110475,-1.425363,312.183,144.2731,340.8604
40.68569,-2.09283,1.110471,-1.425308,312.3544,144.2838,340.8135
40.69408,-2.092697,1.110307,-1.42566,312.4809,144.2593,340.8651
40.7024,-2.092697,1.110307,-1.42566,312.4809,144.2593,340.8651
40.71078,-2.092668,1.110433,-1.425626,312.6066,144.3038,340.781
40.71999,-2.092615,1.110448,-1.425745,312.7601,144.341,340.7212
40.73169,-2.092573,1.110485,-1.426023,312.9516,144.3806,340.6495
40.74209,-2.092352,1.11068,-1.426342,313.2173,144.2542,340.7169
40.75329,-2.092162,1.110845,-1.42703,313.5513,144.6637,340.4042
40.77417,-2.090595,1.111557,-1.428249,314.7673,144.8461,340.2548
40.78263,-2.09019,1.111755,-1.429033,315.593,144.5479,340.6013
40.79069,-2.09019,1.111755,-1.429033,315.593,144.5479,340.6013
40.79875,-2.089398,1.112373,-1.42965,316.2419,144.6029,340.5572
40.80868,-2.088777,1.112724,-1.430654,317.0838,144.4608,340.6994
40.82974,-2.087349,1.113836,-1.432659,318.8843,144.2673,340.8627
40.83805,-2.087349,1.113836,-1.432659,318.8843,144.2673,340.8627
40.84605,-2.086804,1.114531,-1.433964,319.7645,144.2511,340.8184
40.85402,-2.086159,1.114943,-1.435287,320.6593,144.3087,340.691
40.86419,-2.085259,1.115511,-1.436774,321.7026,144.453,340.5661
40.87538,-2.084401,1.116171,-1.437936,322.7061,144.3331,340.7329
40.88639,-2.082932,1.116789,-1.439257,323.5916,144.2293,340.963
40.89738,-2.081666,1.11741,-1.440433,324.5977,144.0743,341.2829
40.90859,-2.080651,1.11787,-1.441815,325.6431,143.8758,341.584
40.92946,-2.078409,1.119108,-1.444621,327.5498,143.4854,342.0641
40.93776,-2.078409,1.119108,-1.444621,327.5498,143.4854,342.0641
40.94561,-2.077262,1.119694,-1.446259,328.5006,143.2507,342.2799
40.96281,-2.075251,1.121019,-1.449709,330.2807,143.2287,342.1924
40.97078,-2.075251,1.121019,-1.449709,330.2807,143.2287,342.1924
40.97862,-2.074068,1.121582,-1.451456,331.3268,143.0234,342.2065
40.98666,-2.072735,1.122248,-1.453581,332.4574,142.4712,342.4412
40.99747,-2.071352,1.123106,-1.455802,333.5946,141.7315,342.5806
41.00838,-2.070443,1.124052,-1.457971,334.7051,140.9926,342.6283
41.02942,-2.068587,1.126992,-1.46335,336.9585,139.8243,342.1594
41.03751,-2.068587,1.126992,-1.46335,336.9585,139.8243,342.1594
41.04533,-2.067243,1.128206,-1.466145,338.3181,139.2651,342.0128
41.05313,-2.065204,1.129946,-1.46982,340.2385,138.5818,342.0832
41.06401,-2.064345,1.13414,-1.47353,342.3971,137.8411,341.5132
41.08498,-2.062165,1.143866,-1.481368,341.7344,137.4257,339.9316
41.09341,-2.062165,1.143866,-1.481368,341.7344,137.4257,339.9316
41.10127,-2.059803,1.146822,-1.485826,341.5281,136.4285,339.8944
41.1183,-2.052697,1.148062,-1.497291,341.6741,134.0621,341.3045
41.12614,-2.052697,1.148062,-1.497291,341.6741,134.0621,341.3045
41.13396,-2.048688,1.149237,-1.507209,340.9063,134.1032,342.9466
41.15155,-2.040012,1.150876,-1.525403,338.6693,134.1189,343.9059
41.15947,-2.040012,1.150876,-1.525403,338.6693,134.1189,343.9059
41.16739,-2.034713,1.150103,-1.535427,338.0115,133.8078,344.9925
41.18484,-2.022656,1.148041,-1.556126,336.3343,133.2693,347.0671
41.19272,-2.022656,1.148041,-1.556126,336.3343,133.2693,347.0671
41.20075,-2.015829,1.147127,-1.567413,335.0164,133.1355,347.9629
41.21831,-2.000292,1.144073,-1.590311,331.332,132.6359,349.7881
41.22663,-2.000292,1.144073,-1.590311,331.332,132.6359,349.7881
41.23464,-1.992108,1.142309,-1.601853,329.9395,132.1777,350.7221
41.24252,-1.982313,1.139188,-1.614236,328.7773,131.5007,351.3585
41.25283,-1.972509,1.136928,-1.625681,327.5873,130.8638,351.6607
41.26392,-1.962184,1.134753,-1.637035,326.1995,130.3371,351.5235
41.27509,-1.951365,1.132814,-1.648088,324.8169,129.7615,351.2289
41.28615,-1.940543,1.130749,-1.658978,323.5179,129.0605,351.109
41.29728,-1.928343,1.128834,-1.66962,322.357,128.026,351.0626
41.3085,-1.91621,1.126509,-1.680131,321.379,127.1328,350.9088
41.31959,-1.904286,1.124724,-1.690414,320.3091,126.4056,350.6907
41.34049,-1.87895,1.122846,-1.709815,317.6305,125.5305,349.4047
41.34888,-1.87895,1.122846,-1.709815,317.6305,125.5305,349.4047
41.35704,-1.866539,1.121968,-1.719214,316.3093,124.958,348.9792
41.36514,-1.854006,1.121826,-1.727974,315.1242,124.3487,348.6604
41.37501,-1.841812,1.121422,-1.736448,314.1086,123.7189,348.5211
41.38623,-1.829479,1.121596,-1.744564,313.2166,123.1187,348.4186
41.39738,-1.817899,1.120454,-1.752505,312.5966,122.5151,348.4024
41.40841,-1.806048,1.119981,-1.759699,312.2819,121.7261,348.5684
41.42935,-1.784817,1.119515,-1.772833,311.5143,120.3132,348.4641
41.43774,-1.784817,1.119515,-1.772833,311.5143,120.3132,348.4641
41.44584,-1.775298,1.119232,-1.777802,311.1237,119.5047,348.3061
41.45397,-1.766164,1.119687,-1.782345,310.7391,118.5273,348.1685
41.47376,-1.750218,1.120325,-1.790864,309.6877,116.8126,347.4633
41.48237,-1.743823,1.120636,-1.794358,309.0349,116.1101,347.0324
41.49053,-1.743823,1.120636,-1.794358,309.0349,116.1101,347.0324
41.49864,-1.737734,1.120916,-1.798217,308.5871,115.2949,347.0479
41.50844,-1.731625,1.120545,-1.80173,308.5494,114.3305,347.619
41.51964,-1.726125,1.1196,-1.805406,308.6005,113.4973,348.162
