time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
45.5723,-1.834155,2.651684,-1.57283,48.28239,93.28946,359.1812
45.59376,-1.832031,2.651805,-1.572566,48.23796,93.40556,359.2464
45.60308,-1.829882,2.651838,-1.572528,48.13551,93.56847,359.3563
45.6119,-1.827559,2.651809,-1.572546,48.05951,93.72395,359.4803
45.6199,-1.825157,2.651797,-1.57263,47.96568,93.883,359.64
45.62819,-1.822645,2.651664,-1.572802,47.94213,94.00942,359.8171
45.64887,-1.820058,2.651503,-1.573152,47.97064,94.10262,0.023046
45.65718,-1.817454,2.651278,-1.573481,48.04474,94.16594,0.24237
45.66549,-1.814773,2.650958,-1.573973,48.18469,94.1813,0.447434
45.67336,-1.812119,2.650738,-1.574517,48.30779,94.18992,0.623706
45.68457,-1.809137,2.650567,-1.575159,48.40349,94.18502,0.725611
45.70519,-1.805995,2.650395,-1.575861,48.4418,94.17381,0.752615
45.71345,-1.802726,2.650206,-1.576589,48.4519,94.1602,0.725944
45.72155,-1.799227,2.650042,-1.577492,48.41506,94.15976,0.664879
45.72932,-1.795901,2.649729,-1.57847,48.39203,94.1748,0.605119
45.73894,-1.792284,2.649272,-1.579667,48.39059,94.17413,0.555383
45.74997,-1.788737,2.648857,-1.58086,48.39587,94.17964,0.498921
45.76112,-1.785127,2.648427,-1.582339,48.41971,94.15392,0.447826
45.77325,-1.781448,2.647898,-1.583781,48.47075,94.12967,0.442597
45.79357,-1.777584,2.64733,-1.585438,48.54744,94.09344,0.418603
45.80227,-1.773912,2.646811,-1.587243,48.63534,94.07806,0.432208
45.81033,-1.769919,2.646215,-1.589226,48.70547,94.02481,0.485974
45.818,-1.765769,2.645523,-1.591338,48.74,93.96815,0.533141
45.82775,-1.761512,2.644815,-1.593683,48.70086,93.87029,0.580836
45.83883,-1.757202,2.644136,-1.596078,48.64692,93.75087,0.612079
45.84993,-1.752685,2.64337,-1.59861,48.58853,93.61055,0.582179
45.86126,-1.747916,2.642542,-1.60137,48.55919,93.46014,0.488932
45.88198,-1.743115,2.64173,-1.60416,48.57012,93.33015,0.339827
45.89031,-1.738113,2.640806,-1.607127,48.59312,93.22104,0.225714
45.89831,-1.733159,2.639715,-1.61013,48.61021,93.13178,0.098371
45.90585,-1.728086,2.638495,-1.613325,48.63238,93.06273,0.021274
45.91666,-1.723011,2.637198,-1.616491,48.67514,92.99055,0.000365
45.93766,-1.717833,2.635762,-1.620017,48.76098,92.91241,0.03399
45.94631,-1.712542,2.634394,-1.623555,48.89805,92.79324,0.01439
45.9544,-1.707253,2.632975,-1.627224,49.04808,92.67115,0.003525
45.97081,-1.701805,2.631516,-1.630899,49.14596,92.53361,359.9775
45.97919,-1.696251,2.629953,-1.634727,49.20111,92.37386,359.9299
45.9871,-1.690506,2.628349,-1.638685,49.21862,92.22483,359.8768
45.99477,-1.684717,2.626743,-1.642713,49.18189,92.06525,359.8601
46.00537,-1.678864,2.624938,-1.646923,49.08555,91.86809,359.8439
46.01661,-1.672913,2.623391,-1.651097,49.04438,91.68147,359.8661
46.02775,-1.666633,2.622168,-1.655428,49.11417,91.47886,359.8626
46.03872,-1.66031,2.621165,-1.659826,49.28092,91.2673,359.7855
46.04979,-1.653604,2.620637,-1.664282,49.47851,91.03817,359.6941
46.06118,-1.646793,2.620383,-1.668716,49.58647,90.84727,359.6315
46.08187,-1.639589,2.620811,-1.673152,49.73188,90.66374,359.5562
46.09012,-1.632139,2.621492,-1.677525,49.88117,90.4959,359.46
46.09822,-1.624562,2.622361,-1.681793,49.91227,90.39356,359.3488
46.10586,-1.617286,2.62314,-1.686092,49.75434,90.30032,359.2667
46.11647,-1.610381,2.62394,-1.690105,49.49045,90.31726,359.3234
46.12757,-1.603693,2.6248,-1.693986,49.52867,90.3321,359.3433
46.13873,-1.59733,2.62608,-1.697577,49.93399,90.40765,359.3547
