time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
45.5723,-2.170686,2.141465,-1.562039,7.379939,267.24,340.2047
45.59376,-2.167783,2.1423,-1.563666,6.704525,266.7755,340.0275
45.60308,-2.166198,2.142429,-1.564795,6.23911,266.6178,339.9985
45.6119,-2.166198,2.142429,-1.564795,6.23911,266.6178,339.9985
45.6199,-2.164529,2.142551,-1.565782,5.922464,266.4504,339.9567
45.62819,-2.162487,2.142038,-1.566419,5.815686,266.2509,339.8839
45.64887,-2.158432,2.141568,-1.56865,6.245703,265.5557,339.6893
45.65718,-2.158432,2.141568,-1.56865,6.245703,265.5557,339.6893
45.66549,-2.156615,2.142629,-1.570193,6.497836,265.2798,339.6186
45.67336,-2.154292,2.142631,-1.571373,6.641315,265.1025,339.5284
45.68457,-2.151604,2.142318,-1.57242,6.70327,264.9109,339.4518
45.70519,-2.145952,2.142507,-1.575346,6.498659,264.3457,339.3417
45.71345,-2.143048,2.142506,-1.576896,6.200376,263.9246,339.3033
45.72155,-2.143048,2.142506,-1.576896,6.200376,263.9246,339.3033
45.72932,-2.139887,2.142653,-1.578713,5.963864,263.5051,339.2199
45.73894,-2.136993,2.143059,-1.580709,5.789012,263.1528,339.1602
45.74997,-2.133543,2.143029,-1.582626,5.508853,262.7416,339.132
45.76112,-2.130084,2.143087,-1.584503,5.27849,262.4952,339.1469
45.77325,-2.126452,2.142822,-1.586404,4.975937,262.3242,339.245
45.79357,-2.119262,2.142624,-1.590737,4.862401,262.0101,339.3357
45.80227,-2.115316,2.142074,-1.592893,5.066128,261.6866,339.3891
45.81033,-2.115316,2.142074,-1.592893,5.066128,261.6866,339.3891
45.818,-2.110782,2.141207,-1.59515,5.37232,261.3354,339.425
45.82775,-2.106318,2.140451,-1.597605,5.749724,261.0669,339.4453
45.83883,-2.101898,2.139935,-1.600024,5.870852,260.7077,339.5469
45.84993,-2.096885,2.139006,-1.602822,5.686466,260.2851,339.7634
45.86126,-2.092207,2.138335,-1.60544,5.583611,259.9394,339.8902
45.88198,-2.081852,2.136557,-1.61117,5.625866,259.2237,340.1225
45.89031,-2.081852,2.136557,-1.61117,5.625866,259.2237,340.1225
45.89831,-2.076173,2.135347,-1.614087,5.770811,258.7499,340.2498
45.90585,-2.070208,2.134014,-1.617066,6.029312,258.2991,340.4036
45.91666,-2.064167,2.13246,-1.619843,6.337467,257.9095,340.5095
45.93766,-2.051214,2.130162,-1.626816,7.045245,257.3873,340.7279
45.94631,-2.044565,2.128637,-1.630019,7.299362,257.0703,340.8506
45.9544,-2.044565,2.128637,-1.630019,7.299362,257.0703,340.8506
45.97081,-2.030111,2.124857,-1.636792,7.68615,256.4747,341.0659
45.97919,-2.030111,2.124857,-1.636792,7.68615,256.4747,341.0659
45.9871,-2.022405,2.122467,-1.640263,7.963857,256.2899,341.1636
45.99477,-2.014766,2.120369,-1.643848,8.306139,256.1556,341.275
46.00537,-2.006743,2.117762,-1.647438,8.701101,256.1931,341.3261
46.01661,-1.998924,2.115037,-1.650931,8.997774,256.1541,341.3742
46.02775,-1.991022,2.112569,-1.654522,9.363407,256.1023,341.3358
46.03872,-1.983312,2.110625,-1.658074,9.763122,256.2238,341.1152
46.04979,-1.976316,2.109144,-1.661294,9.930733,256.673,340.922
46.06118,-1.969905,2.108065,-1.664536,9.943638,257.1631,340.7516
46.08187,-1.960786,2.109046,-1.668321,9.844235,257.825,339.7207
46.09012,-1.960786,2.109046,-1.668321,9.844235,257.825,339.7207
46.09822,-1.95455,2.109501,-1.670602,10.72966,258.2727,339.3435
46.10586,-1.94821,2.110354,-1.672912,11.70581,260.249,339.476
46.11647,-1.94183,2.110492,-1.677187,11.51772,262.5653,340.3354
46.12757,-1.935883,2.112159,-1.682458,11.274,262.881,340.9422
46.13873,-1.9299,2.113937,-1.686968,11.20582,260.4381,340.6572
46.14975,-1.924166,2.116061,-1.691729,11.08041,257.9142,340.228
46.16093,-1.918817,2.118089,-1.695024,10.64719,255.4081,339.6549
46.17207,-1.913584,2.120104,-1.69869,9.993352,254.6138,339.5391
46.1833,-1.909151,2.121836,-1.701012,8.986629,255.8759,339.8597
46.20403,-1.900759,2.124623,-1.704411,8.406041,258.3835,340.2211
46.21231,-1.900759,2.124623,-1.704411,8.406041,258.3835,340.2211
46.22031,-1.89655,2.125296,-1.705738,8.642383,258.7379,340.2178
46.22809,-1.892251,2.126002,-1.707389,8.920379,258.8784,340.3588
46.24848,-1.88399,2.126933,-1.709742,11.1098,258.9016,340.7215
46.25663,-1.88399,2.126933,-1.709742,11.1098,258.9016,340.7215
46.26476,-1.880041,2.127892,-1.710942,12.39978,259.1783,340.9206
46.2723,-1.87594,2.129239,-1.712006,13.73125,259.4836,341.3188
46.28298,-1.871633,2.130572,-1.713095,14.53379,259.8013,341.6543
46.29416,-1.866946,2.132035,-1.713984,14.44959,260.2542,341.8851
46.3054,-1.86197,2.133438,-1.714809,13.52349,260.5417,341.9686
46.3163,-1.856872,2.134813,-1.715538,12.32554,260.4255,342.0804
46.32757,-1.851856,2.136163,-1.716231,11.39646,260.1357,342.1314
46.34842,-1.84184,2.138296,-1.717453,10.29755,260.1635,342.2962
46.35656,-1.84184,2.138296,-1.717453,10.29755,260.1635,342.2962
46.36453,-1.836892,2.1389,-1.717794,10.02571,260.4139,342.4106
46.37224,-1.832108,2.139336,-1.717906,10.06179,260.6547,342.5163
46.38295,-1.827411,2.139643,-1.717746,10.33126,260.7372,342.5385
46.39411,-1.822593,2.139966,-1.717501,10.66718,260.8386,342.5555
46.41542,-1.812951,2.139858,-1.715669,11.8081,261.318,342.5144
46.4243,-1.808236,2.139703,-1.714545,11.9127,261.6647,342.4674
46.43262,-1.808236,2.139703,-1.714545,11.9127,261.6647,342.4674
46.44031,-1.80334,2.139452,-1.713501,12.06387,262.2077,342.4978
