time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
45.5723,-2.071965,1.110471,-1.513371,310.3257,81.616,357.6008
45.59376,-2.072238,1.110218,-1.51324,310.1991,81.50602,357.5279
45.60308,-2.072283,1.11025,-1.513484,310.1995,81.58752,357.434
45.6119,-2.072283,1.11025,-1.513484,310.1995,81.58752,357.434
45.6199,-2.072255,1.110156,-1.513634,310.1595,81.61553,357.3702
45.62819,-2.072315,1.110104,-1.513811,310.1101,81.75142,357.2008
45.64887,-2.072368,1.110011,-1.514018,310.0081,81.87378,357.0126
45.65718,-2.072368,1.110011,-1.514018,310.0081,81.87378,357.0126
45.66549,-2.072339,1.109908,-1.514183,309.9584,82.00187,356.8629
45.67336,-2.072371,1.109919,-1.514185,309.9253,82.05729,356.7856
45.68457,-2.072321,1.109873,-1.514136,309.929,82.00937,356.8272
45.70519,-2.071928,1.110043,-1.51419,309.9854,82.1451,356.7145
45.71345,-2.072231,1.10993,-1.51421,309.9212,82.20786,356.5972
45.72155,-2.072231,1.10993,-1.51421,309.9212,82.20786,356.5972
45.72932,-2.072249,1.109959,-1.514254,309.9152,82.27123,356.5035
45.73894,-2.072262,1.109956,-1.514386,309.9152,82.2525,356.5022
45.74997,-2.072212,1.109915,-1.514575,309.9136,82.37567,356.3405
45.76112,-2.072476,1.109742,-1.514568,309.9026,82.51141,356.1683
45.77325,-2.072507,1.109639,-1.514756,309.8653,82.49204,356.1227
45.79357,-2.072158,1.109662,-1.515025,309.892,82.75737,355.7447
45.80227,-2.072212,1.109639,-1.515135,309.8865,82.93178,355.5699
45.81033,-2.072212,1.109639,-1.515135,309.8865,82.93178,355.5699
45.818,-2.072268,1.109455,-1.515319,309.9007,82.85078,355.5171
45.82775,-2.072238,1.109351,-1.515512,309.8854,83.27143,355.105
45.83883,-2.072156,1.109291,-1.515646,309.8704,83.2403,354.9723
45.84993,-2.072283,1.109434,-1.515427,309.8878,83.31935,354.9563
45.86126,-2.07201,1.109318,-1.515806,309.9151,83.14021,354.9837
45.88198,-2.071841,1.109419,-1.515718,309.9344,83.3425,354.7198
45.89031,-2.071841,1.109419,-1.515718,309.9344,83.3425,354.7198
45.89831,-2.071779,1.109384,-1.515893,309.9938,83.61362,354.4778
45.90585,-2.0717,1.109231,-1.516225,309.9348,83.55076,354.3743
45.91666,-2.071764,1.109304,-1.516185,310.0082,84.16385,353.7697
45.93766,-2.071746,1.109117,-1.516283,310.096,83.62057,354.1979
45.94631,-2.071588,1.109166,-1.516377,310.1789,84.14665,353.7183
45.9544,-2.071588,1.109166,-1.516377,310.1789,84.14665,353.7183
45.97081,-2.071604,1.108818,-1.516632,310.3093,83.88186,353.8771
