time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
65.06258,-2.159147,1.108599,-1.483472,307.5414,79.2971,355.261
65.07603,-2.159321,1.108544,-1.483603,307.5528,79.31319,355.2385
65.08501,-2.15931,1.108527,-1.483527,307.5656,79.25143,355.3062
65.10201,-2.159181,1.108519,-1.483349,307.6992,79.21261,355.3799
65.11027,-2.159181,1.108519,-1.483349,307.6992,79.21261,355.3799
65.11783,-2.159261,1.108516,-1.483127,307.7587,79.00525,355.5927
65.12587,-2.159225,1.108477,-1.483069,307.7867,78.84603,355.7511
65.13648,-2.159226,1.108533,-1.48294,307.7995,78.92908,355.6668
65.15811,-2.159105,1.108468,-1.482891,307.794,78.947,355.6109
65.16723,-2.159028,1.108428,-1.482843,307.8065,79.00896,355.5293
65.176,-2.159028,1.108428,-1.482843,307.8065,79.00896,355.5293
65.18359,-2.159049,1.108389,-1.482755,307.8222,79.02274,355.5191
65.19189,-2.158943,1.108273,-1.482722,307.8273,78.94896,355.5675
65.20308,-2.158862,1.108296,-1.482694,307.8052,79.0789,355.3832
65.21416,-2.158769,1.108371,-1.482665,307.7557,79.29105,355.1643
65.22539,-2.158751,1.108375,-1.482501,307.7062,79.21912,355.2143
65.24684,-2.158364,1.1083,-1.48233,307.5907,79.424,354.9511
65.2552,-2.158364,1.1083,-1.48233,307.5907,79.424,354.9511
65.26308,-2.158468,1.108377,-1.482441,307.5526,79.44672,354.8297
65.27978,-2.158353,1.108407,-1.482474,307.3935,79.71348,354.4627
65.2883,-2.158353,1.108407,-1.482474,307.3935,79.71348,354.4627
65.29613,-2.158282,1.108418,-1.482381,307.3318,79.78908,354.3875
65.3131,-2.158066,1.108546,-1.48228,307.1818,79.9267,354.1861
65.32142,-2.158066,1.108546,-1.48228,307.1818,79.9267,354.1861
65.32931,-2.157798,1.108582,-1.482249,307.1879,80.23624,353.8033
65.3373,-2.157619,1.108709,-1.482068,307.4435,80.0415,353.9788
65.34765,-2.157364,1.108755,-1.482076,307.545,79.90868,354.0652
65.35871,-2.156955,1.108945,-1.481703,307.6938,79.76064,354.1625
65.36983,-2.156634,1.108978,-1.481596,307.9842,79.01474,354.8586
65.39082,-2.155338,1.109437,-1.481227,308.6359,79.26309,354.6136
65.39923,-2.155338,1.109437,-1.481227,308.6359,79.26309,354.6136
65.40703,-2.154746,1.109755,-1.480927,309.0785,78.80781,354.9854
65.4151,-2.153978,1.110098,-1.480569,309.6498,78.72154,355.114
65.42534,-2.153155,1.110521,-1.48004,310.2773,78.15635,355.6258
65.4364,-2.152316,1.110781,-1.479684,310.8789,77.87785,355.8846
65.45762,-2.149839,1.111948,-1.478695,312.6909,77.39237,356.2007
65.46626,-2.148034,1.112688,-1.47813,313.8432,77.54999,356.0581
65.47416,-2.148034,1.112688,-1.47813,313.8432,77.54999,356.0581
65.48232,-2.146045,1.113553,-1.477591,315.2831,77.1165,356.3413
