time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
155.6527,-1.908676,2.484846,-1.575246,54.42976,97.96951,9.697186
155.6665,-1.901929,2.484176,-1.577585,54.39118,98.21519,9.613527
155.6753,-1.898419,2.483911,-1.578884,54.30143,98.33965,9.577609
155.6969,-1.894868,2.483593,-1.580158,54.22382,98.48639,9.551655
155.705,-1.891286,2.483399,-1.581565,54.12651,98.5993,9.521217
155.7127,-1.887937,2.483143,-1.582988,54.07228,98.67635,9.478568
155.7296,-1.884543,2.482921,-1.584435,54.05987,98.72055,9.402722
155.7374,-1.881302,2.4827,-1.585925,54.07726,98.69662,9.312016
155.7452,-1.878022,2.482476,-1.587438,54.12769,98.64077,9.200106
155.753,-1.874802,2.482168,-1.58908,54.15414,98.55927,9.097714
155.7641,-1.871292,2.481894,-1.590805,54.15471,98.4316,8.968349
155.7751,-1.867675,2.481618,-1.592462,54.11951,98.36014,8.884027
155.7864,-1.864,2.481368,-1.594405,54.07512,98.32516,8.863381
155.7975,-1.860163,2.481071,-1.59632,54.04561,98.30965,8.838188
155.8086,-1.856329,2.480856,-1.598302,54.03984,98.27628,8.855714
155.8197,-1.852272,2.480789,-1.600465,54.00663,98.13696,8.862858
155.8308,-1.84804,2.480754,-1.602597,53.95526,97.94921,8.837811
155.8418,-1.843437,2.480751,-1.604911,53.80684,97.62146,8.736741
155.8632,-1.838721,2.480758,-1.607249,53.58191,97.30723,8.618408
155.8714,-1.833469,2.480748,-1.609747,53.28178,96.96108,8.450192
155.8795,-1.828286,2.480795,-1.612308,52.96432,96.68794,8.315633
155.8963,-1.822698,2.480877,-1.61504,52.60472,96.37121,8.143143
155.9044,-1.817216,2.480899,-1.617852,52.26887,96.07617,8.013757
155.9123,-1.811598,2.480863,-1.620739,51.95583,95.74779,7.904683
155.9297,-1.805963,2.48085,-1.623764,51.68337,95.39392,7.775038
155.9379,-1.800451,2.480903,-1.626997,51.4247,95.07642,7.729098
155.9457,-1.794686,2.48113,-1.630201,51.23642,94.72972,7.67053
155.9631,-1.78876,2.481562,-1.633461,51.13649,94.43344,7.673228
155.9711,-1.78266,2.482146,-1.636843,50.96747,94.11435,7.638219
155.9791,-1.776401,2.482894,-1.640184,50.79401,93.79927,7.609694
155.9965,-1.769808,2.483809,-1.643617,50.65557,93.48865,7.540885
156.0048,-1.763199,2.48477,-1.64709,50.50047,93.18029,7.444816
156.0127,-1.756165,2.48602,-1.650659,50.48785,92.95297,7.386459
156.0209,-1.749213,2.487451,-1.654194,50.58197,92.79416,7.385095
156.0308,-1.742316,2.488887,-1.657784,50.70415,92.69952,7.394796
156.042,-1.735756,2.49005,-1.661323,50.6899,92.58932,7.406281
156.0531,-1.729232,2.491006,-1.664746,50.61842,92.51513,7.420483
156.0642,-1.722737,2.491946,-1.668103,50.57293,92.48774,7.459308
156.0852,-1.716249,2.492953,-1.671297,50.58999,92.51424,7.511818
156.0935,-1.709853,2.493801,-1.674443,50.61372,92.54584,7.565625
156.1018,-1.703695,2.494576,-1.6775,50.63153,92.59064,7.651151
156.1097,-1.697726,2.495241,-1.680394,50.60007,92.6381,7.770159
156.1199,-1.691707,2.495789,-1.683197,50.55225,92.61501,7.873791
156.1309,-1.685661,2.496213,-1.685796,50.45827,92.60452,7.975591
156.142,-1.679625,2.496751,-1.688251,50.41912,92.55969,7.993923
156.1532,-1.673699,2.497372,-1.690393,50.41097,92.57232,7.982003
156.1642,-1.667849,2.498074,-1.692406,50.50012,92.62051,7.943759
156.1753,-1.662253,2.498803,-1.694243,50.62671,92.65622,7.958234
156.1865,-1.656861,2.499472,-1.695998,50.70945,92.58556,7.886834
156.1976,-1.651821,2.500141,-1.69754,50.7829,92.50795,7.850487
156.2085,-1.646596,2.500812,-1.699045,50.871,92.40991,7.794386
156.2197,-1.641682,2.501699,-1.700362,50.98191,92.28292,7.691837
156.2308,-1.636789,2.50243,-1.701758,51.00618,92.16412,7.582525
156.2419,-1.631843,2.503139,-1.702868,50.9868,92.0611,7.461458
156.2629,-1.627204,2.503969,-1.703773,50.96939,91.95863,7.399686
156.2712,-1.622637,2.504836,-1.704608,51.02179,91.87451,7.380415
156.2791,-1.618512,2.505635,-1.705391,51.07983,91.68121,7.309092
156.287,-1.614462,2.506183,-1.705749,51.11739,91.49625,7.248316
156.2975,-1.61059,2.506717,-1.706272,51.11646,91.26995,7.101998
156.3186,-1.606876,2.507201,-1.706696,51.10256,91.06382,6.966851
156.3269,-1.603548,2.507718,-1.706987,51.10451,90.87643,6.796384
156.335,-1.600174,2.508225,-1.707239,51.16433,90.6964,6.658819
156.343,-1.597155,2.508692,-1.707227,51.20803,90.5457,6.560312
156.353,-1.594292,2.509182,-1.707272,51.2239,90.3457,6.451029
156.364,-1.591311,2.509649,-1.707131,51.15333,90.18308,6.323874
156.3752,-1.58856,2.51009,-1.706963,50.9939,90.03373,6.177748
156.3963,-1.585989,2.510388,-1.706524,50.72428,90.03579,6.024097
156.4046,-1.583323,2.51074,-1.706064,50.4852,90.06197,5.833518
156.4126,-1.581022,2.511084,-1.705399,50.32075,90.24033,5.678144
156.4204,-1.578652,2.511679,-1.704589,50.31721,90.50227,5.533665
156.4308,-1.576182,2.512579,-1.703711,50.5265,90.76614,5.443631
156.4418,-1.573413,2.513815,-1.702583,51.03651,91.10473,5.446612
156.453,-1.570705,2.514688,-1.701401,51.3434,91.29118,5.32895
