time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
155.6527,-2.079414,1.679857,-1.376457,61.45697,79.14417,321.2837
155.6665,-2.077024,1.680583,-1.37192,61.4402,80.03296,321.7311
155.6753,-2.079215,1.679494,-1.372779,61.34197,80.78089,322.0508
155.6969,-2.073277,1.679365,-1.373077,61.15099,81.17971,322.0617
155.705,-2.071009,1.679346,-1.373278,61.06052,81.25806,321.9773
155.7127,-2.068561,1.679389,-1.373441,60.98688,81.30636,321.8222
155.7296,-2.063075,1.679085,-1.373654,60.98439,81.35076,321.3947
155.7374,-2.060541,1.679129,-1.373913,60.95232,81.40355,321.1672
155.7452,-2.057866,1.679077,-1.374235,60.9765,81.4825,320.9012
155.753,-2.055177,1.67892,-1.374761,60.99389,81.59518,320.6489
155.7641,-2.051193,1.678855,-1.375448,60.97794,81.96379,320.4165
155.7751,-2.047115,1.678865,-1.376358,60.9462,82.26914,320.1601
155.7864,-2.042995,1.678668,-1.377506,60.88166,82.73137,320.0084
155.7975,-2.038623,1.67878,-1.378765,60.85382,83.24285,319.9692
155.8086,-2.034187,1.678735,-1.380061,60.87237,83.66833,320.0107
155.8197,-2.029714,1.678563,-1.38148,60.9192,84.07558,320.1789
155.8308,-2.024858,1.678392,-1.38292,61.00354,84.33073,320.4689
155.8418,-2.019927,1.678088,-1.384846,61.0834,84.4018,320.6384
155.8632,-2.010304,1.677438,-1.387507,61.18498,84.01547,321.1014
155.8714,-2.006433,1.677167,-1.388598,61.21965,83.53442,321.1112
155.8795,-2.002629,1.676968,-1.389737,61.23737,83.16996,321.0734
155.8963,-1.994955,1.676665,-1.392156,61.23527,82.43102,320.907
155.9044,-1.991333,1.676542,-1.393358,61.23506,82.07661,320.784
155.9123,-1.987554,1.676376,-1.394524,61.24871,81.79095,320.7607
155.9297,-1.979182,1.675953,-1.39764,61.16111,80.99481,320.4595
155.9379,-1.975104,1.6759,-1.399188,61.09538,80.55894,320.376
155.9457,-1.971163,1.675761,-1.400499,60.96601,80.03761,320.3261
155.9631,-1.962557,1.675523,-1.403323,60.55895,78.71219,320.1945
155.9711,-1.958163,1.675749,-1.404767,60.20149,78.10745,320.0662
155.9791,-1.953882,1.675866,-1.406181,60.0046,77.66796,319.9763
155.9965,-1.945207,1.676768,-1.409181,59.39837,76.7062,319.4211
156.0048,-1.941416,1.677618,-1.41074,59.19256,76.28,318.83
156.0127,-1.93763,1.678375,-1.412257,58.99205,75.85002,318.3318
156.0209,-1.933694,1.679332,-1.413835,58.7564,75.40652,317.8141
156.0308,-1.929456,1.680706,-1.415835,58.46912,74.76804,317.0939
156.042,-1.924495,1.683179,-1.417518,58.15307,73.86674,315.9778
156.0531,-1.919753,1.685893,-1.419361,57.85594,72.71994,314.7712
156.0642,-1.915297,1.688029,-1.421293,57.5867,71.5415,313.7626
156.0852,-1.907237,1.691735,-1.424588,57.25899,69.67788,312.4435
156.0935,-1.90386,1.693145,-1.42599,57.20155,68.91379,311.994
156.1018,-1.901057,1.694098,-1.427273,57.22604,68.20428,311.6531
156.1097,-1.897883,1.69496,-1.428333,57.27402,67.48811,311.3661
156.1199,-1.894535,1.695785,-1.429582,57.292,66.66019,311.1705
156.1309,-1.890769,1.696882,-1.431412,57.20036,65.75251,310.822
