time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
155.6527,-2.060935,1.774766,-1.859868,35.9589,122.2786,32.1112
155.6665,-2.060926,1.773139,-1.861521,36.30817,122.6493,32.55168
155.6753,-2.061085,1.772101,-1.863285,36.54482,123.0975,33.03643
155.6969,-2.060998,1.769634,-1.86664,37.05811,124.2082,33.93043
155.705,-2.060907,1.768848,-1.868074,37.25462,124.6804,34.17694
155.7127,-2.06064,1.768056,-1.869368,37.41888,125.1046,34.34303
155.7296,-2.059904,1.766631,-1.872426,37.82228,126.0944,34.74308
155.7374,-2.059378,1.765812,-1.873768,38.02416,126.5787,34.90771
155.7452,-2.058589,1.764882,-1.875239,38.25057,127.0536,35.04473
155.753,-2.058384,1.763439,-1.87715,38.43254,127.6648,35.27874
155.7641,-2.056934,1.76229,-1.879085,38.73372,128.3171,35.4355
155.7751,-2.055523,1.760882,-1.881811,39.01605,128.8675,35.56211
155.7864,-2.053135,1.759718,-1.883744,39.23511,129.233,35.76433
155.7975,-2.050256,1.758545,-1.885377,39.59164,129.0423,35.94967
155.8086,-2.047187,1.757266,-1.88704,39.77977,129.0017,36.07315
155.8197,-2.043118,1.755897,-1.888434,39.92376,128.5722,36.15126
155.8308,-2.038526,1.754418,-1.889863,40.11411,128.034,36.11983
155.8418,-2.034042,1.753117,-1.891399,40.27299,127.587,36.04206
155.8632,-2.024302,1.750564,-1.894426,40.54103,126.765,35.79586
155.8714,-2.019929,1.749604,-1.895869,40.74686,126.4039,35.51954
155.8795,-2.015488,1.748433,-1.897414,40.86696,126.1848,35.42812
155.8963,-2.006234,1.745766,-1.901086,41.18139,125.7813,35.26644
155.9044,-2.001524,1.744503,-1.902805,41.33406,125.6259,35.26508
155.9123,-1.9967,1.743229,-1.904548,41.47122,125.4367,35.26569
155.9297,-1.985576,1.74086,-1.90886,41.75986,125.067,35.29149
155.9379,-1.979742,1.739588,-1.911057,41.83431,124.9396,35.34172
155.9457,-1.973873,1.73813,-1.913219,41.8787,124.838,35.39588
155.9631,-1.961204,1.736055,-1.918711,41.97099,124.5501,35.33669
155.9711,-1.954203,1.734867,-1.921664,42.00331,124.5533,35.36365
155.9791,-1.948149,1.733972,-1.923989,42.03194,124.5034,35.39909
