time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
155.6527,-2.245383,2.066805,-1.573847,4.413082,274.6541,268.8971
155.6665,-2.241248,2.066397,-1.574996,4.277737,274.2487,268.9135
155.6753,-2.236922,2.065808,-1.576173,4.037865,273.8971,268.9156
155.6969,-2.227904,2.064791,-1.579185,4.01113,273.0871,268.9129
155.705,-2.227904,2.064791,-1.579185,4.01113,273.0871,268.9129
155.7127,-2.223324,2.064027,-1.580784,4.246551,272.6345,268.9355
155.7296,-2.21267,2.061894,-1.584927,5.662145,271.0608,269.0194
155.7374,-2.21267,2.061894,-1.584927,5.662145,271.0608,269.0194
155.7452,-2.207261,2.060789,-1.587227,6.256172,270.192,269.0394
155.753,-2.201468,2.059782,-1.590088,6.747985,269.2855,269.0613
155.7641,-2.195258,2.058615,-1.593054,7.092032,268.3507,269.0534
155.7751,-2.188605,2.057286,-1.595772,7.375868,267.3759,269.0398
155.7864,-2.181712,2.056218,-1.598838,7.652614,266.3528,268.9942
155.7975,-2.174801,2.055387,-1.601841,7.819477,265.4793,268.9483
155.8086,-2.167951,2.054422,-1.604792,7.969435,264.6746,268.9014
155.8197,-2.160611,2.053553,-1.607892,8.058718,263.9119,268.8412
155.8308,-2.153348,2.052507,-1.610874,8.248972,263.0646,268.7721
155.8418,-2.145522,2.051298,-1.614301,8.590206,262.1781,268.7212
155.8632,-2.130324,2.049182,-1.620843,9.12605,260.5373,268.5662
155.8714,-2.130324,2.049182,-1.620843,9.12605,260.5373,268.5662
155.8795,-2.122598,2.048162,-1.624234,9.262246,259.6618,268.445
155.8963,-2.106808,2.045897,-1.63102,9.046556,258.2061,268.1404
155.9044,-2.106808,2.045897,-1.63102,9.046556,258.2061,268.1404
155.9123,-2.098696,2.044359,-1.634378,9.232088,257.8918,267.9617
155.9297,-2.082031,2.041318,-1.641086,10.17954,256.9377,267.52
155.9379,-2.082031,2.041318,-1.641086,10.17954,256.9377,267.52
155.9457,-2.074194,2.04056,-1.644541,10.71529,256.3972,267.1759
155.9631,-2.058534,2.038929,-1.651575,9.886619,255.8548,266.6676
155.9711,-2.058534,2.038929,-1.651575,9.886619,255.8548,266.6676
155.9791,-2.051521,2.039002,-1.655412,9.499843,255.7922,266.2639
155.9965,-2.037622,2.039161,-1.662359,9.120249,255.6408,265.5566
156.0048,-2.037622,2.039161,-1.662359,9.120249,255.6408,265.5566
156.0127,-2.03255,2.04106,-1.666123,9.091046,255.4588,265.1521
156.0209,-2.027344,2.042676,-1.668991,9.094532,255.2964,264.8695
156.0308,-2.021402,2.043685,-1.671987,9.104145,255.2311,264.6281
156.042,-2.015142,2.044291,-1.675182,9.029997,255.0752,264.3224
156.0531,-2.008885,2.044895,-1.678376,8.955068,254.9198,264.0172
156.0642,-2.006273,2.047061,-1.681942,9.186068,256.3905,265.0498
156.0852,-1.997852,2.04885,-1.690345,7.759079,254.8979,265.0059
156.0935,-1.997852,2.04885,-1.690345,7.759079,254.8979,265.0059
156.1018,-1.993024,2.05999,-1.694653,7.05403,254.2617,264.7081
156.1097,-1.987935,2.06172,-1.69822,6.804858,253.9777,264.6171
156.1199,-1.98285,2.063448,-1.701784,6.555389,253.6943,264.5275
156.1309,-1.977731,2.065187,-1.705371,6.303833,253.4096,264.4385
156.142,-1.972682,2.066902,-1.70891,6.055218,253.1292,264.3521
156.1532,-1.976646,2.068565,-1.711213,4.738262,252.9958,263.6783
156.1642,-1.97241,2.069841,-1.714378,4.318152,252.7593,263.523
156.1753,-1.968173,2.071116,-1.717544,3.897295,252.524,263.3695
156.1865,-1.963938,2.07239,-1.720708,3.475951,252.29,263.2178
156.1976,-1.960927,2.076305,-1.719749,5.44439,251.4881,263.7793
156.2085,-1.956868,2.077982,-1.722281,5.322229,251.1803,263.715
156.2197,-1.952811,2.079658,-1.72481,5.199779,250.8728,263.6515
156.2308,-1.948753,2.081334,-1.72734,5.076984,250.5654,263.5886
156.2419,-1.945123,2.083299,-1.724205,2.654126,251.7434,264.8341
156.2629,-1.934273,2.077331,-1.717968,3.592502,252.1856,265.2171
156.2712,-1.934273,2.077331,-1.717968,3.592502,252.1856,265.2171
156.2791,-1.931144,2.078123,-1.719382,4.973754,251.6813,265.3433
156.287,-1.926976,2.079037,-1.719417,5.297416,251.6875,265.5284
156.2975,-1.921729,2.079381,-1.718292,5.270986,252.1867,265.7545
156.3186,-1.910537,2.079989,-1.716156,5.194972,252.7502,265.8834
156.3269,-1.910537,2.079989,-1.716156,5.194972,252.7502,265.8834
156.335,-1.905905,2.080673,-1.716052,5.322297,252.8889,266.0305
156.343,-1.901276,2.081357,-1.715948,5.449205,253.0278,266.178
156.353,-1.895283,2.079796,-1.711786,6.177106,253.9692,265.8571
156.364,-1.890579,2.079707,-1.709344,6.754348,254.0328,265.494
156.3752,-1.885248,2.079085,-1.707578,6.682879,254.3851,265.2719
156.3963,-1.875188,2.07769,-1.704997,7.30575,255.2421,264.893
156.4046,-1.875188,2.07769,-1.704997,7.30575,255.2421,264.893
156.4126,-1.869515,2.076297,-1.704441,8.32224,255.3099,264.579
156.4204,-1.86444,2.075716,-1.703357,8.742755,255.5987,264.4563
156.4308,-1.859581,2.066083,-1.707314,9.782123,254.6485,264.4913
156.4418,-1.855235,2.069494,-1.705906,9.229727,254.572,264.4772
156.453,-1.851562,2.070647,-1.705459,8.623048,254.9759,264.4988
156.4739,-1.845929,2.073465,-1.7077,6.27202,255.5667,264.7759
156.4822,-1.845929,2.073465,-1.7077,6.27202,255.5667,264.7759
156.4902,-1.843548,2.073899,-1.708009,5.708284,255.3128,264.9818
156.5073,-1.839293,2.072802,-1.70706,5.6146,255.8228,265.4362
156.5152,-1.839293,2.072802,-1.70706,5.6146,255.8228,265.4362
156.5232,-1.837764,2.070991,-1.705286,5.868667,256.6067,265.6704
156.5312,-1.835387,2.068639,-1.70292,6.103628,257.45,265.9211
156.5418,-1.833194,2.066477,-1.700534,6.38754,258.3058,266.1782
156.553,-1.830212,2.063517,-1.697872,6.782899,259.7295,266.481
156.564,-1.827841,2.061409,-1.695827,6.690581,260.6069,266.6278
156.5752,-1.825712,2.059529,-1.693768,6.034881,260.8233,266.7621
156.5862,-1.823876,2.058751,-1.692335,5.288149,260.4667,266.9109
156.5975,-1.821819,2.058204,-1.690999,5.077254,260.3973,266.9729
156.6084,-1.82086,2.058965,-1.690259,5.597546,260.7574,267.0107
156.6294,-1.816965,2.059875,-1.688301,6.831715,260.9951,267.1631
156.6376,-1.816965,2.059875,-1.688301,6.831715,260.9951,267.1631
156.6456,-1.814604,2.060207,-1.687315,7.283392,261.0696,267.2317
156.6628,-1.808788,2.059583,-1.68415,6.843786,261.3311,267.0842
156.6708,-1.808788,2.059583,-1.68415,6.843786,261.3311,267.0842
156.6787,-1.805359,2.059324,-1.682699,6.587033,261.5613,266.9435
156.696,-1.798744,2.058578,-1.6797,6.88162,261.9421,266.6716
156.7039,-1.798744,2.058578,-1.6797,6.88162,261.9421,266.6716
156.7117,-1.79557,2.058469,-1.678361,7.171992,262.1327,266.6307
156.7292,-1.788961,2.058651,-1.676456,7.349625,262.5908,266.7333
156.7372,-1.788961,2.058651,-1.676456,7.349625,262.5908,266.7333
156.745,-1.785474,2.058709,-1.675549,7.349109,262.7684,266.8354
156.7625,-1.777878,2.05871,-1.674726,6.972016,262.8239,267.0657
156.7707,-1.777878,2.05871,-1.674726,6.972016,262.8239,267.0657
156.7784,-1.774308,2.058675,-1.67478,6.898493,262.7143,267.0807
156.7863,-1.770674,2.058398,-1.674895,6.961143,262.3916,266.9964
156.7972,-1.767128,2.058014,-1.675126,7.042594,262.0215,266.9078
156.8082,-1.763602,2.057844,-1.675117,7.125913,261.7719,266.8442
156.8193,-1.760052,2.05718,-1.675206,7.285464,261.5067,266.7924
156.8305,-1.756421,2.056631,-1.675268,7.569668,261.3516,266.8018
156.8415,-1.752243,2.055735,-1.675053,8.002529,261.2222,266.7762
156.8626,-1.744028,2.054309,-1.675331,8.902501,260.8766,266.7725
156.8708,-1.744028,2.054309,-1.675331,8.902501,260.8766,266.7725
156.8789,-1.739666,2.05365,-1.675559,9.135832,260.6608,266.8162
156.887,-1.73512,2.05269,-1.675981,9.117877,260.4867,266.9116
156.8971,-1.730673,2.051941,-1.676381,9.103356,260.4655,267.0304
156.9082,-1.726731,2.051742,-1.677142,9.283718,260.4545,267.1463
156.9194,-1.722059,2.050546,-1.677947,9.72111,260.317,267.2772
156.9304,-1.717543,2.049698,-1.678699,10.12145,260.0266,267.3787
156.9514,-1.708432,2.048132,-1.681099,11.03361,259.1313,267.5701
156.9597,-1.708432,2.048132,-1.681099,11.03361,259.1313,267.5701
156.9677,-1.703396,2.047108,-1.682173,11.42439,258.7105,267.6669
156.9848,-1.692446,2.045346,-1.684769,11.62173,257.6091,267.7653
156.9926,-1.692446,2.045346,-1.684769,11.62173,257.6091,267.7653
157.0006,-1.687141,2.044522,-1.685997,11.43813,257.1548,267.8095
157.0085,-1.681671,2.043756,-1.687464,11.03625,256.8983,267.7863
157.0291,-1.670412,2.041459,-1.689806,11.4079,256.3596,267.8661
157.0374,-1.670412,2.041459,-1.689806,11.4079,256.3596,267.8661
157.0453,-1.664265,2.04008,-1.691381,11.99607,255.9708,267.9595
157.0625,-1.651764,2.037368,-1.694545,13.08694,255.087,268.2153
157.0712,-1.645254,2.036292,-1.696549,13.37763,254.6521,268.4008
157.0792,-1.645254,2.036292,-1.696549,13.37763,254.6521,268.4008
157.0964,-1.631995,2.034609,-1.700932,13.15592,253.798,268.8065
157.1046,-1.625389,2.034206,-1.703087,12.30231,253.3996,269.0754
157.1128,-1.625389,2.034206,-1.703087,12.30231,253.3996,269.0754
157.1292,-1.612212,2.033306,-1.707149,10.52676,252.8728,269.6452
157.1374,-1.612212,2.033306,-1.707149,10.52676,252.8728,269.6452
157.1454,-1.606085,2.032575,-1.708693,10.2075,252.6648,269.7574
157.1627,-1.596299,2.033984,-1.711986,9.43325,252.3851,269.382
157.1709,-1.596299,2.033984,-1.711986,9.43325,252.3851,269.382
157.1788,-1.592373,2.036185,-1.712343,8.590641,252.5265,268.5956
157.1869,-1.58742,2.037314,-1.713159,8.346855,252.7654,268.1865
