time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
64.33016,-2.120045,1.947372,-1.437935,31.9073,69.77943,328.3578
64.34261,-2.120243,1.946714,-1.437263,32.03211,69.64931,328.321
64.35477,-2.120247,1.946068,-1.437013,32.07556,69.59525,328.4024
64.36452,-2.120185,1.945585,-1.436572,32.10287,69.49974,328.4525
64.38231,-2.119703,1.944672,-1.436224,32.094,69.4103,328.4416
64.39008,-2.119317,1.944097,-1.43606,32.10181,69.34007,328.3772
64.39683,-2.118905,1.943607,-1.435932,32.11201,69.29072,328.3362
64.40359,-2.118617,1.943185,-1.435814,32.12969,69.24252,328.3071
64.41474,-2.117824,1.942439,-1.435672,32.15137,69.1967,328.3074
64.42584,-2.116947,1.941513,-1.435521,32.23615,69.19001,328.3557
64.43698,-2.115882,1.940611,-1.435505,32.35383,69.21069,328.3929
64.44801,-2.114748,1.939836,-1.435504,32.45854,69.24682,328.5323
64.45916,-2.113461,1.939006,-1.435399,32.53784,69.28564,328.6582
64.47031,-2.111816,1.938233,-1.435224,32.57901,69.33865,328.7737
64.48144,-2.10966,1.937282,-1.435115,32.57455,69.37908,328.8354
64.49358,-2.107543,1.936691,-1.434633,32.50824,69.3723,328.9626
64.51287,-2.103438,1.935405,-1.433853,32.3515,69.37325,329.0957
64.51998,-2.10181,1.934985,-1.433517,32.28966,69.37546,329.1109
64.52631,-2.1004,1.934587,-1.433254,32.24209,69.38589,329.1408
64.53618,-2.097718,1.934025,-1.432626,32.16344,69.42237,329.1715
64.55275,-2.093124,1.932714,-1.431649,32.02519,69.46758,329.312
64.55949,-2.091229,1.932316,-1.431256,31.973,69.4801,329.3956
64.56957,-2.088742,1.931492,-1.430743,31.91192,69.50973,329.4828
64.58067,-2.085303,1.930593,-1.430011,31.9021,69.50077,329.6412
64.59186,-2.082015,1.929801,-1.429243,31.86937,69.50152,329.7802
64.60287,-2.078714,1.928951,-1.42856,31.80532,69.50195,329.9208
64.61393,-2.074676,1.928039,-1.427487,31.62035,69.45065,330.2248
64.62505,-2.070768,1.927041,-1.42645,31.464,69.43255,330.4149
64.63619,-2.066824,1.925782,-1.425442,31.3592,69.45171,330.5424
64.64731,-2.062577,1.924392,-1.424448,31.31365,69.5429,330.567
64.65848,-2.058417,1.922819,-1.423471,31.27148,69.63521,330.6652
64.66965,-2.054109,1.92113,-1.42248,31.27251,69.80053,330.7892
64.68076,-2.049655,1.919392,-1.421483,31.3243,70.02789,330.9025
64.69193,-2.045369,1.917749,-1.420499,31.33785,70.19545,330.9995
64.70296,-2.040695,1.915842,-1.419494,31.52727,70.54049,331.0417
64.71404,-2.035985,1.913728,-1.418375,31.69228,70.82384,331.1452
64.72502,-2.031222,1.911823,-1.417267,31.7897,71.07292,331.2473
64.73616,-2.025691,1.909674,-1.415693,31.93292,71.30415,331.3643
64.74724,-2.020182,1.907733,-1.414092,31.98067,71.45503,331.4436
64.75832,-2.014774,1.905783,-1.412544,32.02875,71.61958,331.5449
64.76949,-2.008503,1.903929,-1.41042,31.90112,71.71507,331.6704
64.7806,-2.002645,1.902001,-1.408604,31.87929,71.86848,331.7516
64.79176,-1.995358,1.900609,-1.406325,31.81008,72.03979,331.697
64.80287,-1.988614,1.898748,-1.403997,31.77343,72.17258,331.7405
64.81396,-1.981785,1.896757,-1.402081,31.69398,72.23654,331.8082
64.82512,-1.975144,1.895081,-1.399602,31.56527,72.26315,331.8665
64.83626,-1.968074,1.893581,-1.39672,31.39699,72.18863,331.8622
64.84727,-1.960891,1.891992,-1.393816,31.22631,72.113,331.8564
64.8584,-1.953719,1.890466,-1.390727,31.00083,71.97547,331.7816
64.86964,-1.946296,1.88911,-1.387571,30.79591,71.85963,331.7321
64.88068,-1.938866,1.887864,-1.3844,30.63569,71.77421,331.7147
64.89171,-1.931697,1.886534,-1.381398,30.50018,71.70901,331.6845
64.90291,-1.924068,1.885605,-1.378147,30.44415,71.71494,331.7385
64.91391,-1.916647,1.8848,-1.374959,30.37234,71.70864,331.8431
64.92505,-1.909252,1.884038,-1.371795,30.28699,71.70358,331.9225
64.9362,-1.901341,1.883756,-1.368246,30.14214,71.50041,331.8948
64.94725,-1.893799,1.883586,-1.364963,29.92293,71.27399,331.8456
64.95843,-1.885694,1.883671,-1.361213,29.64147,71.06888,331.7768
64.96999,-1.877267,1.88402,-1.357334,29.316,70.87405,331.686
64.98143,-1.868355,1.883853,-1.353293,28.99478,70.60905,331.622
64.99286,-1.859608,1.884789,-1.34918,28.55144,70.36106,331.7007
65.00426,-1.851042,1.886364,-1.345104,27.94613,70.1486,332.0222
65.01562,-1.842631,1.887866,-1.341005,27.32278,69.89685,332.2513
65.02712,-1.834052,1.890348,-1.336617,26.4998,69.55399,332.3305
65.03854,-1.82618,1.89212,-1.332434,25.91518,69.24785,332.3053
65.04996,-1.818347,1.894154,-1.328284,25.38324,68.86245,332.1472
65.06135,-1.810754,1.896431,-1.324268,24.88041,68.52315,332.121
65.07296,-1.803331,1.898707,-1.320091,24.41536,68.22272,332.2531
65.08431,-1.7961,1.900959,-1.316205,23.92753,67.91357,332.3918
65.09583,-1.788775,1.903079,-1.312294,23.43881,67.64827,332.5209
65.10729,-1.781753,1.905342,-1.308664,22.95741,67.41636,332.6881
65.11867,-1.77478,1.90732,-1.305074,22.45528,67.28192,333.0164
65.12999,-1.768216,1.909324,-1.301635,21.98141,67.31004,333.3181
65.1411,-1.761989,1.91106,-1.298737,21.6066,67.48685,333.4668
65.15224,-1.755979,1.912758,-1.295881,21.33483,67.81839,333.4604
65.16328,-1.750173,1.914043,-1.293117,21.08542,68.18188,333.3919
65.17438,-1.744444,1.91566,-1.290176,20.7692,68.45834,333.4078
65.18552,-1.73926,1.917259,-1.286905,20.48507,68.66265,333.5126
65.19669,-1.734111,1.91859,-1.283479,20.2303,68.73,333.5591
65.20785,-1.729401,1.919886,-1.279872,19.98141,68.66428,333.5192
65.21889,-1.724415,1.92111,-1.276221,19.73372,68.59603,333.5011
65.23,-1.71971,1.922435,-1.272247,19.49923,68.47084,333.593
65.24107,-1.715182,1.923887,-1.268133,19.18695,68.37805,333.6798
65.25218,-1.710918,1.9252,-1.264009,18.85485,68.25522,333.6563
65.26331,-1.706524,1.926511,-1.259814,18.54679,68.1612,333.5944
65.27447,-1.702597,1.927697,-1.255614,18.26782,68.00783,333.4117
65.28563,-1.698876,1.928964,-1.251414,18.07807,67.83225,333.2156
65.29675,-1.695374,1.929926,-1.247325,17.95174,67.64031,333.0828
65.30778,-1.691615,1.931185,-1.242951,17.804,67.46082,333.0457
65.31886,-1.688023,1.932348,-1.238824,17.58791,67.37749,333.1606
65.33006,-1.684303,1.933735,-1.234649,17.32094,67.31052,333.2346
65.341,-1.680839,1.935218,-1.230684,16.97497,67.36625,333.2324
65.35213,-1.677478,1.93672,-1.226901,16.63609,67.49847,332.9677
65.36324,-1.674388,1.938178,-1.223392,16.34224,67.68575,332.5403
65.37435,-1.671298,1.939671,-1.219654,16.10974,67.80361,332.2294
65.38548,-1.668577,1.940869,-1.21615,15.97888,67.88438,332.03
65.39659,-1.665608,1.941933,-1.212482,15.9144,67.8837,331.8903
65.40767,-1.663015,1.942582,-1.208975,16.23821,67.76147,331.7641
65.41879,-1.660169,1.94329,-1.205403,16.55392,67.66982,331.7173
65.42986,-1.657152,1.944061,-1.201953,16.77275,67.62561,331.7751
65.441,-1.653672,1.945004,-1.198717,16.96922,67.68382,332.1298
65.45209,-1.649964,1.945938,-1.195815,17.0836,67.90972,332.4987
65.4632,-1.645728,1.946996,-1.192891,17.15318,68.25733,332.7402
65.47433,-1.641585,1.948483,-1.190213,17.07634,68.69743,332.808
65.48544,-1.637478,1.949647,-1.187171,16.99511,69.14156,332.7558
65.4967,-1.632803,1.951196,-1.184724,16.83423,69.71993,332.5283
65.5076,-1.628129,1.952908,-1.18225,16.71063,70.35148,332.3682
65.51876,-1.623142,1.95463,-1.179656,16.56219,70.97497,332.2616
65.52981,-1.618183,1.9568,-1.177065,16.39417,71.51984,332.2171
65.54099,-1.61315,1.958969,-1.174252,16.11881,71.99304,332.1842
65.55204,-1.60795,1.96157,-1.171363,15.83156,72.40028,332.0648
65.56313,-1.602792,1.964016,-1.168565,15.58307,72.77148,331.9038
65.57426,-1.597541,1.966736,-1.165738,15.33213,73.01532,331.7044
65.58538,-1.592291,1.969557,-1.162769,15.05008,73.17629,331.574
65.59637,-1.586792,1.972425,-1.159729,14.73248,73.31585,331.4704
65.6076,-1.581503,1.975291,-1.15672,14.41353,73.51418,331.3683
65.61865,-1.575909,1.978272,-1.153848,14.053,73.80707,331.2135
65.62974,-1.571059,1.981284,-1.151657,13.75578,74.2915,331.0475
65.64098,-1.565892,1.984238,-1.14892,13.44523,74.69753,330.8352
65.65195,-1.560936,1.987006,-1.146185,13.13607,74.99307,330.4756
65.66302,-1.556115,1.989902,-1.143458,12.84501,75.0955,330.0923
