time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
64.33016,-1.928967,1.166293,-1.487632,299.0316,62.57877,40.74109
64.34261,-1.917417,1.164364,-1.4881,298.4292,61.57294,41.83796
64.35477,-1.906294,1.162685,-1.48862,297.9776,60.78629,42.90995
64.36452,-1.894598,1.160737,-1.488672,297.5009,59.70071,44.16385
64.38231,-1.883781,1.159465,-1.488719,296.986,58.18177,45.81702
64.39008,-1.872846,1.15752,-1.488597,296.445,56.74999,47.25589
64.39683,-1.862315,1.156234,-1.488497,296.0028,55.46229,48.50882
64.40359,-1.851697,1.154255,-1.488358,295.6027,54.24182,49.63325
64.41474,-1.841648,1.152445,-1.488082,295.468,53.51258,49.98592
64.42584,-1.831577,1.150289,-1.487789,295.3262,53.01202,50.2339
64.43698,-1.821581,1.147847,-1.487443,295.3716,53.24924,49.64174
64.44801,-1.812367,1.145184,-1.486678,295.6876,52.79527,49.72763
64.45916,-1.802885,1.142129,-1.485888,296.0992,52.00401,50.25298
64.47031,-1.793633,1.138067,-1.484506,297.6287,50.62172,51.56921
64.48144,-1.784461,1.13429,-1.483555,298.8881,49.79934,52.37772
64.49358,-1.775352,1.130388,-1.482623,300.4762,49.53496,52.87738
64.51287,-1.758542,1.123413,-1.481462,302.5021,50.72099,52.31322
64.51998,-1.758542,1.123413,-1.481462,302.5021,50.72099,52.31322
64.52631,-1.750995,1.120462,-1.480841,303.1431,51.01725,52.53003
64.53618,-1.743748,1.117174,-1.479628,303.6831,50.46965,53.70953
64.55275,-1.736702,1.114145,-1.478625,304.2785,49.69957,55.14442
64.55949,-1.729565,1.110347,-1.477694,304.9464,49.34219,56.06993
64.56957,-1.722895,1.106428,-1.477262,305.594,50.04439,55.90615
64.58067,-1.716176,1.102821,-1.476653,306.2752,50.77168,55.59943
64.59186,-1.710084,1.098778,-1.475837,307.0711,51.57506,55.14539
64.60287,-1.704137,1.094993,-1.475037,307.946,51.91779,55.1838
64.61393,-1.699095,1.091127,-1.473898,308.8695,51.85405,55.53646
64.62505,-1.694614,1.087488,-1.472963,309.6829,51.42983,56.25277
64.63619,-1.690114,1.083822,-1.471968,310.3951,51.0936,56.85004
64.64731,-1.686541,1.080494,-1.471494,310.7673,50.81767,57.32372
64.65848,-1.683183,1.077666,-1.471154,310.72,50.8222,57.52398
64.66965,-1.680465,1.075342,-1.471258,310.2238,51.22679,57.24164
64.68076,-1.677432,1.072765,-1.471018,310.0711,51.62584,57.04267
