time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
64.33016,-2.144506,1.109874,-1.79946,301.0525,114.1486,348.7442
64.34261,-2.14448,1.109921,-1.799353,301.049,114.1435,348.764
64.35477,-2.144492,1.109919,-1.799286,301.0341,114.0715,348.8448
64.36452,-2.144517,1.109808,-1.799199,301.0282,114.0938,348.8297
64.38231,-2.144459,1.109823,-1.799129,301.042,114.0745,348.8664
64.39008,-2.144438,1.109834,-1.799045,301.0435,114.0374,348.9257
64.39683,-2.144475,1.10983,-1.79899,301.035,113.9567,349.0228
64.40359,-2.144274,1.109799,-1.798973,301.0376,113.9496,349.0493
64.41474,-2.144207,1.109817,-1.798834,301.0308,113.8504,349.1545
64.42584,-2.144272,1.109799,-1.798723,301.0209,113.7552,349.2741
64.43698,-2.144256,1.109832,-1.798716,301.0114,113.722,349.3403
64.44801,-2.144209,1.109884,-1.798589,301.013,113.6282,349.4443
64.45916,-2.144176,1.109784,-1.798538,301.0015,113.5046,349.585
64.47031,-2.144134,1.109817,-1.798414,301.0028,113.4849,349.6218
64.48144,-2.144089,1.109833,-1.798282,300.9848,113.3565,349.76
64.49358,-2.144065,1.109836,-1.798164,300.9701,113.3005,349.8338
64.51287,-2.143943,1.109798,-1.79795,300.981,113.248,349.9423
64.51998,-2.143943,1.109798,-1.79795,300.981,113.248,349.9423
64.52631,-2.143965,1.109774,-1.797942,300.9786,113.1714,350.0264
64.53618,-2.143975,1.109848,-1.797814,301.0101,113.1755,350.0112
64.55275,-2.143939,1.109824,-1.797726,301.0193,112.9206,350.2719
64.55949,-2.143984,1.109812,-1.797487,301.0067,112.8046,350.419
64.56957,-2.143921,1.10989,-1.797379,301.0664,112.6893,350.5486
64.58067,-2.143844,1.109854,-1.797089,301.2375,112.8422,350.5261
64.59186,-2.143911,1.109856,-1.796829,301.1444,112.414,350.9619
64.60287,-2.14402,1.109826,-1.796832,301.1428,112.4977,350.8942
64.61393,-2.144067,1.10996,-1.796681,301.1251,112.482,350.9243
64.62505,-2.144148,1.109847,-1.796773,301.0986,112.3615,351.0396
64.63619,-2.144232,1.109841,-1.79676,301.0987,112.3356,351.0704
64.64731,-2.144315,1.109888,-1.796825,301.0968,112.4791,350.9557
64.65848,-2.144266,1.109931,-1.79657,301.1636,112.392,351.1027
64.66965,-2.144251,1.109916,-1.796299,301.2369,112.2279,351.3393
64.68076,-2.144246,1.10992,-1.796031,301.2064,112.1017,351.5074
64.69193,-2.144285,1.109935,-1.795841,301.1504,111.892,351.7457
64.70296,-2.144188,1.109928,-1.795743,301.1353,111.7867,351.8735
64.71404,-2.144037,1.109885,-1.795681,301.1732,111.7996,351.9074
64.72502,-2.143829,1.109846,-1.795795,301.2759,111.8513,351.8847
64.73616,-2.143871,1.109905,-1.795872,301.3294,111.7589,351.9989
64.74724,-2.143806,1.109826,-1.795873,301.3719,111.9409,351.8768
64.75832,-2.143703,1.109887,-1.795682,301.447,111.8911,351.9785
64.76949,-2.143568,1.110005,-1.795386,301.5238,111.6255,352.3204
64.7806,-2.143514,1.109929,-1.79518,301.5255,111.6678,352.3596
