time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.30778,-1.919792,2.675051,-1.704726,67.39388,75.00712,349.0934
40.32027,-1.917152,2.673956,-1.704042,67.29486,75.12157,349.1855
40.33191,-1.914449,2.673058,-1.70321,67.26773,75.28792,349.3261
40.34695,-1.91173,2.67226,-1.702431,67.26572,75.42065,349.4229
40.35386,-1.908897,2.6717,-1.701816,67.25167,75.54648,349.5185
40.36024,-1.905973,2.67117,-1.701038,67.2412,75.76366,349.699
40.37045,-1.902563,2.671034,-1.700237,67.14483,76.08211,349.9412
40.38166,-1.899028,2.671023,-1.699557,66.98429,76.50642,350.3091
40.39275,-1.895114,2.671194,-1.698591,66.69288,77.0918,350.8632
40.40378,-1.891084,2.67125,-1.697626,66.33096,77.76235,351.5271
40.41483,-1.886941,2.671361,-1.696693,65.91543,78.39799,352.1758
40.42611,-1.882788,2.671434,-1.695694,65.59997,78.92305,352.7323
40.43728,-1.878667,2.671416,-1.694756,65.34964,79.37936,353.2295
40.44941,-1.874519,2.67153,-1.693548,65.20142,79.78996,353.5938
40.46016,-1.87044,2.671578,-1.692327,65.0854,80.15583,353.8715
40.47934,-1.866242,2.671682,-1.691005,64.98883,80.53948,354.1017
40.48639,-1.8618,2.671762,-1.689654,64.83986,80.93649,354.3387
40.49296,-1.85724,2.671843,-1.688305,64.60681,81.44129,354.6898
40.5028,-1.852473,2.671838,-1.686863,64.32398,81.86416,354.9971
40.51383,-1.847682,2.671791,-1.685305,64.04494,82.32399,355.4177
40.52507,-1.842734,2.671784,-1.683799,63.84892,82.73598,355.8544
40.53616,-1.83783,2.671698,-1.68238,63.73024,83.11642,356.269
40.54733,-1.832888,2.671601,-1.680861,63.67465,83.43984,356.5825
40.55828,-1.827886,2.671528,-1.679327,63.63961,83.79198,356.8555
40.56942,-1.82287,2.671446,-1.677745,63.59546,84.16184,357.1323
40.58056,-1.81757,2.67137,-1.676021,63.5729,84.51534,357.3695
40.59165,-1.812345,2.671201,-1.674289,63.52829,84.84469,357.6408
40.60271,-1.807158,2.671122,-1.67256,63.48214,85.1236,357.9557
40.6138,-1.802076,2.671016,-1.670846,63.42667,85.33051,358.2575
40.62505,-1.796974,2.670884,-1.669234,63.4378,85.50477,358.5951
40.63605,-1.791843,2.670877,-1.667604,63.48619,85.67583,358.9181
40.64729,-1.786654,2.670892,-1.665987,63.56282,85.82954,359.2209
40.65825,-1.781366,2.670986,-1.664383,63.58064,85.95811,359.5435
40.66927,-1.77602,2.671131,-1.66288,63.56387,85.99259,359.804
40.68039,-1.770645,2.671272,-1.661345,63.55833,86.04945,0.085414
40.69159,-1.765435,2.671458,-1.659863,63.55434,86.09382,0.320712
40.70262,-1.760361,2.67162,-1.658468,63.63227,86.07774,0.485629
40.71371,-1.755338,2.671912,-1.657118,63.75688,86.04102,0.61635
40.72482,-1.750334,2.672303,-1.655872,63.95089,85.94254,0.665001
40.73592,-1.745392,2.672894,-1.654695,64.13895,85.82079,0.687587
40.74712,-1.74042,2.673723,-1.653629,64.28548,85.71912,0.737231
40.75816,-1.735321,2.674567,-1.652593,64.37469,85.66849,0.830492
40.76931,-1.730294,2.675596,-1.651674,64.37417,85.68047,0.933061
40.78038,-1.725396,2.676614,-1.650786,64.3102,85.81197,1.110641
40.79147,-1.720648,2.677843,-1.649945,64.20308,86.05539,1.317506
40.80259,-1.715837,2.679126,-1.648949,64.1253,86.26785,1.425425
40.81361,-1.711436,2.68046,-1.648029,64.05553,86.45256,1.495185
