time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.30778,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.32027,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.33191,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.34695,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.35386,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.36024,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.37045,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.38166,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.39275,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.40378,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.41483,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.42611,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.43728,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.44941,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.46016,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.47934,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.48639,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.49296,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.5028,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.51383,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.52507,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.53616,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.54733,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.55828,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.56942,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.58056,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.59165,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.60271,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.6138,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.62505,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.63605,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.64729,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.65825,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.66927,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.68039,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.69159,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.70262,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.71371,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.72482,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.73592,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.74712,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.75816,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.76931,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.78038,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.79147,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.80259,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.81361,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.82483,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.83588,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.84701,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.85814,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.86913,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.88041,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.89156,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.90265,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.91366,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.9251,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.93646,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.94785,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.95944,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.97083,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.98217,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
40.9938,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.00507,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.01655,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.02796,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.03934,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.05074,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.06221,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.0737,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.08504,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.09682,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.10773,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.11893,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.12992,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.14107,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.15216,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.16316,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.17422,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.18533,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.19648,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.20754,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.21866,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.22985,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.24088,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.25189,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.26304,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.27423,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.28518,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.29638,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.3075,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.31851,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.3296,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.34074,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.35185,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
41.3629,-2.325376,2.283652,-1.539035,352.3545,253.4491,160.7091
