time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
152.6299,-2.240528,1.792009,-1.14738,42.04356,183.4896,57.56794
152.644,-2.23668,1.795568,-1.166526,40.96875,182.8057,57.67865
152.6536,-2.233811,1.797958,-1.180087,40.22984,182.3549,57.72637
152.6713,-2.228619,1.802294,-1.204854,38.96011,181.5665,57.83174
152.6802,-2.225671,1.804408,-1.217358,38.32954,181.1565,57.90453
152.6888,-2.22314,1.806335,-1.228595,37.81878,180.789,57.99088
152.6968,-2.220335,1.807765,-1.24029,37.34979,180.454,58.09224
152.7069,-2.216944,1.809687,-1.252972,36.7681,180.051,58.19553
152.718,-2.212872,1.811301,-1.26631,36.1238,179.6048,58.29793
152.7291,-2.208569,1.813002,-1.280153,35.55217,179.1688,58.36447
152.7402,-2.204383,1.814575,-1.292988,34.97896,178.7412,58.39112
152.7514,-2.199717,1.816072,-1.306222,34.41497,178.2772,58.37595
152.7624,-2.194922,1.817456,-1.319099,33.84816,177.8217,58.33006
152.7828,-2.185984,1.81992,-1.34144,32.87304,177.0098,58.28239
152.7961,-2.179837,1.821364,-1.356068,32.22606,176.4967,58.20836
152.8067,-2.174637,1.822027,-1.366682,31.76145,176.1174,58.15799
152.818,-2.169417,1.823016,-1.377841,31.28609,175.7263,58.09622
152.8291,-2.163949,1.823538,-1.387503,30.88853,175.4072,58.02029
152.8401,-2.158529,1.824185,-1.397983,30.44754,175.0402,57.92476
152.8511,-2.152826,1.824542,-1.407563,30.07839,174.724,57.76249
152.8624,-2.147204,1.824637,-1.416615,29.71507,174.395,57.59385
152.8735,-2.141336,1.824446,-1.425406,29.38732,174.0742,57.44578
152.8845,-2.135773,1.824199,-1.433699,29.08613,173.7611,57.31639
152.8956,-2.129855,1.823699,-1.442045,28.81658,173.4238,57.18851
152.9067,-2.12368,1.822412,-1.44918,28.62929,173.0208,57.08123
152.9178,-2.117951,1.821421,-1.456278,28.40636,172.6168,56.98089
152.9382,-2.106826,1.818817,-1.467616,28.18357,171.6083,56.78321
