time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
152.6299,-2.062897,2.159226,-0.81173,356.1822,342.7111,85.69202
152.644,-2.062124,2.159477,-0.818269,356.1797,342.4132,85.83691
152.6536,-2.061003,2.159611,-0.824917,356.2977,342.2309,85.95421
152.6713,-2.05839,2.15862,-0.83847,356.823,342.0736,86.10299
152.6802,-2.05839,2.15862,-0.83847,356.823,342.0736,86.10299
152.6888,-2.056818,2.157898,-0.845215,356.9893,342.0191,86.1052
152.6968,-2.055208,2.15688,-0.851905,356.9617,342.0586,86.06954
152.7069,-2.053672,2.155894,-0.858924,357.0057,342.3059,86.04575
152.718,-2.051759,2.155069,-0.86595,357.1478,342.4128,86.03548
152.7291,-2.049968,2.154196,-0.872861,357.209,342.3563,86.06808
152.7402,-2.048337,2.153444,-0.879783,357.0909,342.3482,86.09896
152.7514,-2.046742,2.152793,-0.886791,356.9303,342.3004,86.12795
152.7624,-2.045275,2.152006,-0.893894,356.7576,342.0679,86.19118
152.7828,-2.042258,2.15006,-0.908124,356.7216,341.267,86.23958
152.7961,-2.040574,2.148947,-0.91504,356.8421,340.9532,86.2304
152.8067,-2.038925,2.147754,-0.92218,356.988,340.7906,86.18139
152.818,-2.036807,2.146441,-0.929176,357.1284,340.5004,86.11192
152.8291,-2.034563,2.145043,-0.936282,357.2589,340.1498,86.00725
152.8401,-2.032076,2.143518,-0.943435,357.3853,339.9912,85.87004
152.8511,-2.029237,2.141905,-0.950642,357.4785,340.0342,85.71268
152.8624,-2.026526,2.140351,-0.957562,357.5948,340.0356,85.58623
152.8735,-2.023243,2.138577,-0.964869,357.7704,340.2116,85.42654
152.8845,-2.01971,2.13679,-0.972481,358.2057,340.3489,85.26659
152.8956,-2.016158,2.134959,-0.980182,358.7262,340.3813,85.05824
152.9067,-2.01193,2.133164,-0.988393,359.4087,340.4164,84.75768
152.9178,-2.007624,2.131259,-0.996985,359.842,340.7726,84.40562
152.9382,-1.998989,2.129074,-1.014253,0.008142,341.6955,83.93805
152.9509,-1.994929,2.128293,-1.023049,359.8537,342.0736,83.76951
152.9592,-1.991109,2.127867,-1.032209,359.4682,342.1115,83.77283
152.9675,-1.991109,2.127867,-1.032209,359.4682,342.1115,83.77283
152.9759,-1.987623,2.127674,-1.041347,359.0681,341.8227,83.91929
152.9937,-1.982271,2.129167,-1.057963,358.3141,341.8187,84.6852
153.0022,-1.982271,2.129167,-1.057963,358.3141,341.8187,84.6852
153.0105,-1.97995,2.130195,-1.066202,357.886,341.7706,85.17539
153.0184,-1.978696,2.13239,-1.074169,357.6868,341.0299,85.93371
153.0288,-1.978145,2.134593,-1.082303,357.8803,339.6887,86.61042
153.0399,-1.976538,2.135655,-1.090701,358.2362,338.3954,86.98654
153.0509,-1.974889,2.136523,-1.098442,359.1608,336.4906,87.06717
153.0621,-1.972142,2.136849,-1.105644,0.082587,335.3912,86.88531
153.0731,-1.968806,2.136912,-1.112623,0.591384,335.5735,86.58494
153.0843,-1.965139,2.137302,-1.119272,0.865221,335.9902,86.40745
153.1051,-1.956727,2.13864,-1.131151,359.8185,337.8703,86.34612
153.1174,-1.952999,2.139106,-1.136813,358.8826,337.8482,86.48208
153.1259,-1.949628,2.139101,-1.142426,357.994,337.7034,86.72413
153.134,-1.949628,2.139101,-1.142426,357.994,337.7034,86.72413
153.1421,-1.946902,2.139414,-1.14777,357.6967,337.5851,87.01019
153.151,-1.944311,2.139451,-1.153364,357.714,337.4438,87.24866
153.1621,-1.942676,2.139966,-1.15878,358.3127,337.0367,87.52224
153.1829,-1.94011,2.141476,-1.169782,358.5209,336.0954,87.71943
153.1913,-1.94011,2.141476,-1.169782,358.5209,336.0954,87.71943
153.1996,-1.93871,2.142215,-1.175453,358.1157,335.5656,87.72171
153.2164,-1.936744,2.143455,-1.186152,357.0925,333.9124,87.53445
153.2248,-1.935489,2.1438,-1.191052,357.277,333.4957,87.42595
153.233,-1.935489,2.1438,-1.191052,357.277,333.4957,87.42595
153.2496,-1.932776,2.144301,-1.199908,358.0306,332.9744,87.08651
153.2581,-1.931426,2.144733,-1.204639,358.337,332.6232,86.91389
153.2702,-1.930306,2.145464,-1.209497,358.4841,332.1531,86.75129
153.2783,-1.930306,2.145464,-1.209497,358.4841,332.1531,86.75129
153.2865,-1.929322,2.146387,-1.214646,358.4999,331.6089,86.58369
153.3052,-1.927717,2.148394,-1.225212,358.4832,330.2124,86.16019
153.3136,-1.927717,2.148394,-1.225212,358.4832,330.2124,86.16019
153.3218,-1.927009,2.149466,-1.230748,358.242,329.3868,85.9027
153.3296,-1.926661,2.150254,-1.236043,357.8309,328.5704,85.68177
153.3397,-1.92599,2.151191,-1.241705,357.294,327.7115,85.4958
153.3508,-1.925643,2.151966,-1.247157,356.8776,326.8764,85.35253
153.362,-1.925225,2.152966,-1.252668,356.4236,326.0088,85.27654
153.3731,-1.924869,2.153563,-1.258467,356.1472,325.1179,85.26787
153.3841,-1.924478,2.154108,-1.264266,356.002,324.2725,85.25407
153.3951,-1.924379,2.154846,-1.270098,356.0151,323.4227,85.27499
153.4062,-1.9242,2.155084,-1.27634,356.0144,322.3993,85.33853
153.4175,-1.924026,2.155507,-1.282515,355.7736,321.3514,85.40266
153.4384,-1.92344,2.155875,-1.295017,355.2804,319.2469,85.65752
153.4468,-1.92344,2.155875,-1.295017,355.2804,319.2469,85.65752
153.4551,-1.923094,2.155863,-1.301314,355.2487,318.3654,85.75969
153.4632,-1.92261,2.155708,-1.307907,355.5165,317.5556,85.87271
153.4829,-1.921427,2.15538,-1.321675,356.6083,315.6756,86.05616
153.4915,-1.921012,2.155408,-1.328616,356.8567,314.7744,86.13286
153.4997,-1.921012,2.155408,-1.328616,356.8567,314.7744,86.13286
153.5076,-1.920846,2.155889,-1.335871,356.716,313.8387,86.32402
153.5175,-1.920351,2.156071,-1.342974,356.1501,312.8748,86.47648
153.5284,-1.919893,2.156157,-1.350022,355.6741,311.9984,86.56001
153.5397,-1.919527,2.156081,-1.356994,355.7339,311.2878,86.54605
153.5606,-1.918818,2.154784,-1.371142,356.9932,310.011,86.53671
153.5693,-1.918426,2.154099,-1.378268,357.6103,309.1411,86.56347
153.5813,-1.917954,2.153084,-1.385534,358.2202,307.9598,86.59032
153.5894,-1.917954,2.153084,-1.385534,358.2202,307.9598,86.59032
153.5975,-1.917544,2.152651,-1.392734,358.548,306.8527,86.57387
153.616,-1.9165,2.152857,-1.406512,357.4792,304.7788,86.27898
153.6245,-1.9165,2.152857,-1.406512,357.4792,304.7788,86.27898
153.6327,-1.915749,2.15309,-1.413008,356.7048,304.0483,85.94645
153.6405,-1.91511,2.15293,-1.41953,356.3348,303.2585,85.6232
153.6508,-1.91451,2.153159,-1.425589,356.0785,302.4218,85.08029
153.6719,-1.914279,2.153967,-1.437524,356.0277,300.6432,84.40331
153.6804,-1.914407,2.154624,-1.443533,355.9697,299.8058,84.27676
153.6887,-1.914407,2.154624,-1.443533,355.9697,299.8058,84.27676
153.6966,-1.91463,2.155388,-1.449604,355.8491,299.0844,84.28374
153.7161,-1.914981,2.156862,-1.461917,355.4768,297.2876,84.5357
153.7247,-1.915079,2.157623,-1.467895,355.2266,296.0513,84.77329
153.7372,-1.914995,2.158076,-1.473615,354.9685,294.8825,84.99525
153.7456,-1.914995,2.158076,-1.473615,354.9685,294.8825,84.99525
153.7541,-1.91476,2.158693,-1.478789,354.6749,293.8467,85.10863
153.7719,-1.913845,2.159803,-1.488278,354.4344,292.1512,85.11907
