time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
152.6299,-2.099195,1.109703,-0.971084,312.6509,203.6679,327.073
152.644,-2.099119,1.109695,-0.971158,312.681,203.7547,327.0239
152.6536,-2.099179,1.109687,-0.971149,312.7192,203.6478,327.0941
152.6713,-2.099109,1.109616,-0.971365,312.7572,203.7955,327.0016
152.6802,-2.099109,1.109616,-0.971365,312.7572,203.7955,327.0016
152.6888,-2.099132,1.109644,-0.971407,312.731,203.6475,327.1694
152.6968,-2.099096,1.109631,-0.97144,312.6958,203.6558,327.2179
152.7069,-2.099078,1.109611,-0.971574,312.7528,203.5412,327.3127
152.718,-2.098922,1.109341,-0.971448,312.7581,203.4154,327.4305
152.7291,-2.098861,1.10916,-0.971407,312.7278,203.3131,327.5426
152.7402,-2.098979,1.109146,-0.971473,312.762,203.2086,327.6356
152.7514,-2.098935,1.109088,-0.971571,312.7504,203.2243,327.6521
152.7624,-2.099034,1.10914,-0.971693,312.7937,203.095,327.7584
152.7828,-2.099513,1.109023,-0.972224,313.175,203.1786,327.5168
152.7961,-2.099685,1.109026,-0.972406,313.3882,203.2416,327.4088
152.8067,-2.099823,1.109005,-0.972688,313.5629,203.3115,327.2979
152.818,-2.10007,1.109017,-0.972997,313.8039,203.3971,327.203
152.8291,-2.10009,1.109183,-0.9733,314.0052,203.4848,327.1664
152.8401,-2.100355,1.109239,-0.973581,314.1509,203.4473,327.2596
152.8511,-2.100775,1.109391,-0.974096,314.4631,203.4744,327.1381
152.8624,-2.101154,1.109553,-0.97484,315.1692,203.8114,326.7793
152.8735,-2.10121,1.109951,-0.975782,315.9436,203.5125,326.9337
152.8845,-2.101494,1.110098,-0.976611,316.5138,203.0057,327.4548
152.8956,-2.101696,1.110385,-0.977326,317.2067,202.992,327.5381
152.9067,-2.101718,1.110773,-0.978358,317.9182,202.4474,328.1129
152.9178,-2.102132,1.11109,-0.979124,318.5951,202.0687,328.5055
152.9382,-2.102396,1.112118,-0.981888,320.552,201.3367,329.3793
152.9509,-2.102222,1.112755,-0.983622,321.5946,200.5531,330.337
152.9592,-2.101943,1.113419,-0.985553,322.8416,200.069,331.1648
152.9675,-2.101943,1.113419,-0.985553,322.8416,200.069,331.1648
152.9759,-2.101566,1.114181,-0.987878,324.3049,199.3986,332.1016
152.9937,-2.101095,1.115421,-0.993171,327.8989,198.076,334.0468
153.0022,-2.101095,1.115421,-0.993171,327.8989,198.076,334.0468
153.0105,-2.100515,1.116457,-0.997143,330.4331,197.4503,335.2766
153.0184,-2.099956,1.117499,-1.001162,333.037,196.9379,336.4179
153.0288,-2.099083,1.118727,-1.006957,336.7604,196.3114,337.9463
153.0399,-2.098454,1.119931,-1.01232,339.9497,195.7446,339.2075
153.0509,-2.097857,1.120971,-1.019023,344.2192,195.2192,340.5452
153.0621,-2.097615,1.122433,-1.026485,348.216,194.6987,341.8007
153.0731,-2.097527,1.123748,-1.034031,352.0981,194.1293,342.9276
153.0843,-2.095947,1.126816,-1.0417,356.3262,193.87,344.4131
153.1051,-2.092872,1.13563,-1.056389,1.892472,192.0376,348.7667
153.1174,-2.091892,1.143307,-1.065089,4.465186,191.3933,349.7241
153.1259,-2.090751,1.155313,-1.074946,3.287359,192.2746,350.5033
153.134,-2.090751,1.155313,-1.074946,3.287359,192.2746,350.5033
153.1421,-2.088587,1.163121,-1.087996,3.498669,192.1496,351.4271
153.151,-2.085826,1.169417,-1.101399,3.631275,191.6503,351.9971
153.1621,-2.082809,1.17318,-1.115243,3.97658,190.952,352.0817
153.1829,-2.072902,1.183629,-1.150542,359.6028,187.5972,350.0646
153.1913,-2.072902,1.183629,-1.150542,359.6028,187.5972,350.0646
153.1996,-2.067491,1.184949,-1.167946,356.0678,185.4683,349.9598
153.2164,-2.057532,1.184065,-1.207759,352.5489,184.4134,349.8407
153.2248,-2.052856,1.182732,-1.227813,350.8018,184.4855,349.777
153.233,-2.052856,1.182732,-1.227813,350.8018,184.4855,349.777
153.2496,-2.04115,1.177596,-1.271255,346.13,185.2369,348.9837
153.2581,-2.032999,1.1728,-1.294994,343.4933,184.85,348.4377
153.2702,-2.023987,1.166707,-1.318834,341.1084,183.771,347.8016
153.2783,-2.023987,1.166707,-1.318834,341.1084,183.771,347.8016
153.2865,-2.014993,1.160227,-1.342815,338.9243,182.8902,346.7063
153.3052,-1.996335,1.150068,-1.39383,334.6515,182.1649,342.8928
153.3136,-1.996335,1.150068,-1.39383,334.6515,182.1649,342.8928
153.3218,-1.986092,1.143659,-1.41928,332.8125,181.594,340.7876
153.3296,-1.975473,1.137925,-1.443826,331.0103,180.8117,338.8621
153.3397,-1.963963,1.132244,-1.469269,329.5641,179.5905,337.0338
153.3508,-1.952051,1.127381,-1.493589,328.1066,178.6031,335.1785
153.362,-1.940276,1.123091,-1.517723,326.4268,177.7812,333.3084
153.3731,-1.928018,1.119918,-1.542563,324.4199,176.8417,331.7413
153.3841,-1.914489,1.118729,-1.565183,321.8628,175.6601,330.3112
153.3951,-1.900873,1.11999,-1.588265,319.0905,174.0719,329.144
153.4062,-1.886613,1.12097,-1.608249,316.2968,172.5054,327.8188
153.4175,-1.872209,1.121992,-1.627501,313.7585,170.6396,326.5171
