time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.33266,-1.934234,2.59431,-1.671561,50.71462,78.45009,355.0967
61.34608,-1.927691,2.594154,-1.671835,50.7332,78.2159,355.1322
61.35534,-1.92428,2.594083,-1.671844,50.66801,78.13772,355.1322
61.37757,-1.920795,2.5939,-1.671816,50.58755,78.03555,355.1111
61.38604,-1.917181,2.593743,-1.671685,50.45885,77.98729,355.0563
61.39413,-1.913498,2.593533,-1.671454,50.34679,77.96004,355.0102
61.40208,-1.909647,2.593423,-1.671133,50.24008,77.95013,354.9333
61.41085,-1.905847,2.593261,-1.670789,50.13655,77.97888,354.8909
61.42191,-1.901872,2.592972,-1.670329,50.04503,78.01978,354.84
61.43298,-1.898027,2.592661,-1.669888,49.94563,78.0807,354.7918
61.44421,-1.893995,2.592326,-1.669304,49.87307,78.19695,354.8005
61.46529,-1.890032,2.591991,-1.668753,49.79695,78.29556,354.8111
61.47438,-1.886205,2.591212,-1.667986,49.71928,78.40374,354.8353
61.4823,-1.88198,2.590883,-1.667278,49.63489,78.51271,354.8671
61.49022,-1.87751,2.590511,-1.666437,49.54283,78.65771,354.9416
61.50959,-1.87293,2.590132,-1.665602,49.41559,78.79156,355.0334
61.51766,-1.868019,2.589811,-1.664583,49.23426,78.98896,355.1567
61.52557,-1.863001,2.589506,-1.663613,49.04525,79.17466,355.2524
61.54273,-1.857702,2.589188,-1.662567,48.79547,79.43545,355.3802
61.55081,-1.851849,2.588907,-1.660804,48.51398,79.77437,355.5174
61.55886,-1.846502,2.588633,-1.659652,48.23526,80.15751,355.6532
61.56702,-1.840981,2.588125,-1.658264,47.97038,80.60931,355.7871
61.57743,-1.835393,2.587833,-1.65699,47.7507,81.06549,355.9369
61.58853,-1.829659,2.587595,-1.655635,47.54603,81.54553,356.0879
61.59962,-1.823719,2.587279,-1.654118,47.31846,82.03818,356.2616
61.61137,-1.817818,2.58692,-1.652525,47.04893,82.56329,356.4649
61.62209,-1.811625,2.586522,-1.650709,46.76857,83.08194,356.6902
61.63282,-1.805583,2.586174,-1.648959,46.48844,83.63679,356.9544
61.64407,-1.799464,2.585801,-1.647116,46.18952,84.17999,357.199
61.65505,-1.792242,2.585258,-1.644912,45.91065,84.74461,357.4621
61.66629,-1.785353,2.584877,-1.642324,45.57306,85.28181,357.6884
61.68715,-1.778993,2.584549,-1.640212,45.2364,85.80598,357.8537
61.69551,-1.772199,2.584381,-1.637718,44.9287,86.34338,357.973
61.70379,-1.765216,2.584569,-1.635415,44.68026,86.83267,358.0474
61.71201,-1.757717,2.584885,-1.63299,44.45572,87.2981,358.089
61.72183,-1.750445,2.585077,-1.630631,44.16217,87.728,358.0924
61.74267,-1.743029,2.585368,-1.628171,43.85328,88.17704,358.1447
61.75115,-1.735659,2.585852,-1.625929,43.69987,88.60098,358.249
61.76355,-1.727931,2.587014,-1.623808,43.86066,89.01846,358.3278
61.7716,-1.720384,2.588312,-1.621793,44.14403,89.43225,358.4578
61.77972,-1.713029,2.589637,-1.619843,44.5041,89.83291,358.7187
61.78833,-1.705056,2.590581,-1.617624,44.82565,90.22486,358.9643
61.79956,-1.698313,2.591816,-1.615815,45.18975,90.63119,359.1741
61.81075,-1.690991,2.5925,-1.61366,45.43569,90.99871,359.3499
61.82166,-1.683929,2.593064,-1.61183,45.51204,91.34297,359.5175
61.83286,-1.676762,2.593252,-1.609955,45.41852,91.6555,359.7746
61.85381,-1.669531,2.593367,-1.60832,45.23088,91.92803,0.020297
61.86234,-1.661902,2.593646,-1.607025,44.96508,92.15039,0.335769
61.87066,-1.654052,2.593985,-1.605733,44.77457,92.36124,0.663506
61.8871,-1.64622,2.59444,-1.604917,44.71788,92.46489,0.997155
61.89523,-1.638498,2.594874,-1.604102,44.81039,92.54461,1.333722
61.9034,-1.631012,2.595108,-1.60352,45.04617,92.54162,1.645636
61.92086,-1.623726,2.595231,-1.602942,45.29688,92.53081,1.86131
61.92905,-1.616444,2.595065,-1.602679,45.56994,92.5354,1.956039
61.93718,-1.608996,2.595001,-1.602247,45.84297,92.57624,1.990622
61.94522,-1.601769,2.594971,-1.602112,46.19212,92.64265,1.931857
61.95502,-1.594493,2.594979,-1.601906,46.56704,92.69921,1.788094
61.96616,-1.587058,2.594938,-1.601331,46.9656,92.85251,1.612944
61.97733,-1.579858,2.594708,-1.601187,47.3026,92.94218,1.434512
61.99813,-1.573589,2.594229,-1.601625,47.60674,93.04909,1.253399
62.00662,-1.566412,2.59377,-1.601715,47.90963,93.15697,1.129869
62.01483,-1.559246,2.593383,-1.601618,48.23826,93.31335,1.108925
62.03139,-1.552307,2.593055,-1.60188,48.59244,93.47095,1.186736
62.03942,-1.545123,2.592736,-1.602208,48.92765,93.58967,1.270445
