time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.33266,-1.989208,1.827155,-1.372853,34.23059,62.35555,301.7341
61.34608,-1.990757,1.824547,-1.371312,34.94302,62.0479,300.9074
61.35534,-1.992475,1.822745,-1.370329,35.37885,61.79321,300.3745
61.37757,-1.99692,1.818383,-1.367466,36.42375,60.80531,299.2571
61.38604,-1.998854,1.816468,-1.366027,36.9264,60.3496,298.8449
61.39413,-2.000158,1.814939,-1.364738,37.39528,59.95762,298.5103
61.40208,-2.002134,1.813063,-1.363329,37.95469,59.44516,298.128
61.41085,-2.00424,1.811064,-1.361798,38.606,58.84153,297.7058
61.42191,-2.006729,1.808602,-1.359717,39.39218,58.10467,297.111
61.43298,-2.009474,1.806031,-1.357732,40.2135,57.28809,296.4962
61.44421,-2.011588,1.803533,-1.355357,41.06048,56.39988,295.9067
61.46529,-2.015469,1.799148,-1.350718,42.40808,54.63079,294.8742
61.47438,-2.017326,1.79729,-1.348782,42.9148,53.85443,294.3724
61.4823,-2.018589,1.795831,-1.347012,43.26395,53.20979,293.9789
61.49022,-2.019833,1.79419,-1.345121,43.69063,52.59126,293.5628
61.50959,-2.022646,1.790671,-1.340816,44.62208,51.10463,292.595
61.51766,-2.023695,1.789185,-1.339088,44.97896,50.52929,292.1683
61.52557,-2.024002,1.787849,-1.337078,45.33327,49.92155,291.6865
61.54273,-2.025446,1.785048,-1.333037,45.97461,48.63579,290.573
61.55081,-2.025473,1.783989,-1.331039,46.22072,48.0398,290.0208
61.55886,-2.025934,1.782751,-1.329027,46.51654,47.37729,289.4672
61.56702,-2.025859,1.781659,-1.32689,46.75993,46.73579,288.9737
61.57743,-2.025676,1.780377,-1.324162,47.02819,45.92226,288.4205
61.58853,-2.023499,1.779125,-1.321023,47.22468,45.06497,288.1355
61.59962,-2.022032,1.778043,-1.317617,47.40696,44.19359,287.8729
61.61137,-2.019411,1.777013,-1.313774,47.58271,43.28764,287.626
61.62209,-2.017361,1.77599,-1.310462,47.73625,42.46064,287.3729
61.63282,-2.014448,1.775344,-1.306776,47.8257,41.73236,287.2238
61.64407,-2.010546,1.774613,-1.302924,47.89814,41.03856,287.0089
61.65505,-2.001921,1.775019,-1.297106,47.95322,40.56789,286.6994
61.66629,-1.997582,1.774475,-1.292992,47.8689,39.96778,286.4322
61.68715,-1.987379,1.773903,-1.285083,47.29282,39.21392,286.0727
61.69551,-1.981835,1.773786,-1.281466,47.04665,39.10306,285.9645
61.70379,-1.976339,1.773851,-1.278118,46.61044,39.1156,286.0564
61.71201,-1.971424,1.773689,-1.274856,46.34871,39.00678,286.0269
61.72183,-1.964702,1.773822,-1.271142,45.91675,39.05402,286.1155
61.74267,-1.949955,1.774067,-1.263546,45.27108,39.07342,286.1562
61.75115,-1.943445,1.774485,-1.260841,45.06504,39.06081,286.2022
61.76355,-1.934359,1.775064,-1.256878,44.73352,38.98898,286.2529
