time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.33266,-1.953899,1.135199,-1.53447,317.7769,83.99081,358.1444
61.34608,-1.938536,1.134573,-1.534074,317.2236,83.72781,358.7722
61.35534,-1.923705,1.134451,-1.533429,316.7534,83.5832,359.1507
61.37757,-1.894439,1.135758,-1.532059,315.1752,83.54894,359.3864
61.38604,-1.879925,1.136474,-1.531042,314.0758,83.32417,359.6472
61.39413,-1.879925,1.136474,-1.531042,314.0758,83.32417,359.6472
61.40208,-1.865603,1.137467,-1.53015,312.9444,82.97316,359.8845
61.41085,-1.851744,1.139164,-1.528822,311.9664,82.6352,0.070271
61.42191,-1.838944,1.141518,-1.527696,310.5219,82.19402,0.131986
61.43298,-1.826089,1.14403,-1.525773,308.9395,81.54105,0.329547
61.44421,-1.814316,1.146794,-1.524093,306.8104,80.50849,0.837081
61.46529,-1.791669,1.151695,-1.521037,303.3006,79.51643,1.011273
61.47438,-1.780603,1.153689,-1.519329,301.9743,78.92902,1.288389
61.4823,-1.780603,1.153689,-1.519329,301.9743,78.92902,1.288389
61.49022,-1.770993,1.1551,-1.518168,301.0208,79.07956,1.007265
61.50959,-1.752497,1.157859,-1.515938,298.769,80.07153,-0.001419
61.51766,-1.752497,1.157859,-1.515938,298.769,80.07153,-0.001419
61.52557,-1.74358,1.158966,-1.514676,297.7761,80.91127,359.2935
61.54273,-1.72921,1.158852,-1.513564,296.7674,83.50935,357.5087
61.55081,-1.72921,1.158852,-1.513564,296.7674,83.50935,357.5087
61.55886,-1.722446,1.1584,-1.513286,296.5016,84.40149,356.9759
61.56702,-1.717758,1.156576,-1.513212,296.9871,84.72993,357.0459
61.57743,-1.712347,1.155222,-1.512941,297.0838,84.96265,357.1036
61.58853,-1.708908,1.152766,-1.513095,297.4202,84.56737,357.7579
61.59962,-1.706482,1.150279,-1.513279,297.7838,83.35361,359.2234
61.61137,-1.705422,1.147651,-1.51401,298.0413,82.43608,0.30049
61.62209,-1.704148,1.144884,-1.514791,298.2921,82.26393,0.570553
61.63282,-1.706084,1.141129,-1.516274,298.3957,83.86452,358.7003
61.64407,-1.706683,1.137649,-1.517136,298.552,84.89719,357.521
61.65505,-1.708985,1.1336,-1.517384,298.9809,85.62486,356.588
61.66629,-1.708065,1.132337,-1.517412,302.2413,85.66151,355.6475
61.68715,-1.69534,1.123962,-1.515002,302.3263,84.56486,356.6746
61.69551,-1.69534,1.123962,-1.515002,302.3263,84.56486,356.6746
61.70379,-1.688264,1.121895,-1.514634,303.8711,82.6708,358.7386
61.71201,-1.688838,1.114049,-1.516726,305.1053,84.18935,357.8542
61.72183,-1.685265,1.110646,-1.517489,308.1582,85.38822,358.8671
61.74267,-1.68713,1.109676,-1.518883,309.9042,89.01694,355.9218
61.75115,-1.68713,1.109676,-1.518883,309.9042,89.01694,355.9218
61.76355,-1.688684,1.112781,-1.517524,307.8509,85.87225,357.6647
61.7716,-1.688684,1.112781,-1.517524,307.8509,85.87225,357.6647
