time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
90.17237,-1.886245,2.456705,-1.48629,56.79157,113.4745,12.2479
90.18546,-1.879037,2.455265,-1.489833,56.89784,113.226,12.05306
90.19597,-1.871775,2.453736,-1.493428,57.09381,112.9662,11.7642
90.21552,-1.864441,2.452091,-1.497086,57.37547,112.7047,11.39384
90.2234,-1.85684,2.450501,-1.500884,57.71736,112.5554,11.24124
90.23097,-1.849164,2.448888,-1.50477,58.11359,112.4076,11.24035
90.23801,-1.841234,2.447485,-1.508805,58.46556,112.2991,11.41538
90.24896,-1.833172,2.446208,-1.513065,58.75465,112.0808,11.62225
90.26009,-1.82509,2.444914,-1.517354,59.00377,111.8085,11.75294
90.27118,-1.816631,2.443739,-1.521787,59.21167,111.3754,11.7307
90.28243,-1.808043,2.442521,-1.526202,59.39922,110.8556,11.49681
90.29562,-1.799038,2.441449,-1.530762,59.54563,110.2387,11.03096
90.30505,-1.789984,2.440314,-1.535415,59.58578,109.6067,10.47783
90.32551,-1.780745,2.439285,-1.540146,59.58712,109.0571,9.934282
90.33322,-1.771398,2.438548,-1.544924,59.60386,108.6149,9.560031
90.34106,-1.761979,2.437986,-1.549701,59.75786,108.2284,9.343699
90.34865,-1.752576,2.437901,-1.554411,59.9911,107.8371,9.246601
90.35988,-1.743562,2.437761,-1.559087,60.10617,107.2704,9.067565
90.3709,-1.734899,2.437601,-1.56365,60.10868,106.4882,8.714722
90.38215,-1.726249,2.437427,-1.568236,60.17282,105.7257,8.282037
90.39345,-1.717796,2.437672,-1.572821,60.3781,105.0806,7.790637
90.40416,-1.70964,2.438292,-1.577358,60.65187,104.6625,7.396792
90.41524,-1.702136,2.439334,-1.581884,60.98604,104.5062,7.150319
90.42632,-1.69479,2.440559,-1.586383,61.29895,104.5145,7.16663
90.43744,-1.687685,2.442334,-1.59076,61.67115,104.7396,7.555501
90.44854,-1.680536,2.444524,-1.595394,62.10715,104.8518,7.998989
90.45964,-1.673356,2.447213,-1.59988,62.52444,105.0288,8.667201
90.47066,-1.666249,2.449808,-1.604456,62.67865,104.988,9.144152
90.48188,-1.658899,2.452382,-1.608858,62.56168,104.8235,9.513405
90.49302,-1.651818,2.454853,-1.613191,62.30143,104.4766,9.627425
90.50406,-1.645268,2.456756,-1.617254,62.11676,104.0955,9.547507
90.51518,-1.639217,2.458312,-1.621128,62.02437,103.6832,9.271719
90.52643,-1.633617,2.459598,-1.624807,62.099,103.2698,8.900112
90.53735,-1.628632,2.460646,-1.628118,62.26649,102.8922,8.496363
90.54844,-1.623678,2.461823,-1.631413,62.56516,102.6326,8.232259
90.55956,-1.618979,2.462643,-1.634536,62.92517,102.5944,8.219457
90.57059,-1.614216,2.463379,-1.637576,63.11851,102.6143,8.229423
90.58168,-1.609473,2.464069,-1.64054,63.30166,102.7021,8.273309
90.59297,-1.604775,2.464684,-1.643347,63.48912,102.5658,8.159666
90.60387,-1.600112,2.465171,-1.645821,63.59608,102.2025,7.898671
90.61498,-1.595211,2.465446,-1.648268,63.62228,101.7,7.526546
90.62615,-1.590438,2.465548,-1.650618,63.67712,101.2472,7.209915
90.63714,-1.586084,2.46541,-1.652868,63.90315,100.8387,6.897536
90.64832,-1.581758,2.465163,-1.655026,64.22518,100.6494,6.776067
90.65946,-1.577431,2.464533,-1.657,64.50549,100.6859,6.853493
90.67049,-1.573146,2.463695,-1.658804,64.63726,100.8522,7.032428
90.68153,-1.568733,2.462638,-1.660408,64.77732,101.0843,7.233579
