time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
89.20272,-1.822572,1.791451,-1.208978,31.29021,112.3813,341.8174
89.21663,-1.823707,1.789783,-1.210598,31.46495,110.6025,341.155
89.22842,-1.824315,1.789229,-1.211791,31.59171,109.555,340.7326
89.2375,-1.825089,1.788518,-1.213345,31.73133,108.0739,340.0862
89.25781,-1.827011,1.788707,-1.216797,31.94104,105.1425,338.6545
89.26611,-1.827798,1.789324,-1.218129,31.90309,103.8516,338.054
89.27378,-1.82851,1.790003,-1.219358,31.77631,102.5802,337.5524
89.28176,-1.829246,1.791123,-1.220613,31.61396,101.2276,337.1193
89.29192,-1.830164,1.792665,-1.222404,31.46872,99.4098,336.8059
89.3029,-1.831403,1.794273,-1.224344,31.43279,97.49597,336.4969
89.31415,-1.832839,1.795827,-1.226667,31.62427,95.71714,336.4356
89.32506,-1.834184,1.797509,-1.229402,31.93344,93.99509,336.3446
89.33619,-1.835518,1.79914,-1.232486,32.27753,92.4552,336.3273
89.34732,-1.836659,1.800882,-1.236134,32.43549,91.1665,336.4635
89.35844,-1.837614,1.802613,-1.239525,32.47689,89.98826,336.6226
89.3794,-1.839071,1.806433,-1.247502,32.37756,88.41102,336.9918
89.38756,-1.839169,1.808028,-1.251316,32.24623,88.28909,337.2625
89.39512,-1.839389,1.809428,-1.254652,32.17949,88.07444,337.4804
89.40292,-1.839715,1.810838,-1.257892,32.13301,87.78938,337.661
89.41489,-1.840156,1.813069,-1.26284,32.00738,87.85268,337.8672
89.43496,-1.840159,1.817581,-1.272208,31.6705,87.84969,337.965
89.44299,-1.840138,1.819365,-1.275703,31.53231,87.75775,338.0123
89.4502,-1.84016,1.820915,-1.278693,31.42276,87.61485,338.0891
89.45773,-1.840409,1.822637,-1.281937,31.29789,87.39899,338.2282
89.46906,-1.840077,1.825062,-1.285948,31.07685,86.98658,338.5053
89.48982,-1.838986,1.829353,-1.292631,30.71561,86.07318,339.1041
89.4975,-1.838776,1.830808,-1.295027,30.60626,85.80353,339.2632
89.50438,-1.838379,1.832135,-1.29721,30.49192,85.55469,339.4109
89.51313,-1.837877,1.833748,-1.299873,30.34117,85.3064,339.5121
89.52419,-1.837174,1.835703,-1.303145,30.05337,85.08587,339.4998
89.53544,-1.836455,1.837647,-1.306219,29.62057,84.89633,339.3739
89.54656,-1.835724,1.839749,-1.309317,29.14613,84.62227,339.2951
89.55768,-1.834942,1.841829,-1.311713,28.55838,84.25809,339.2694
89.56868,-1.834331,1.843702,-1.314275,28.15737,83.86949,339.3527
