time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
89.20272,-2.138952,1.739242,-1.720642,61.73479,106.4213,40.58576
89.21663,-2.127816,1.737314,-1.73227,61.09375,104.4312,39.37301
89.22842,-2.121376,1.736168,-1.739054,60.78799,103.2674,38.66983
89.2375,-2.112506,1.73487,-1.748599,60.39699,101.7818,37.88039
89.25781,-2.096951,1.73309,-1.765579,59.76329,99.70403,37.51359
89.26611,-2.0911,1.733335,-1.772049,59.62753,99.21645,38.18402
89.27378,-2.085605,1.733521,-1.778213,59.49126,98.65376,38.65389
89.28176,-2.07993,1.733097,-1.784496,59.2832,97.96586,38.71146
89.29192,-2.072497,1.732541,-1.792737,59.01064,97.06868,38.79384
89.3029,-2.064809,1.735583,-1.799733,58.98656,96.22228,39.28214
89.31415,-2.057064,1.736698,-1.807428,58.69963,95.34779,39.06143
89.32506,-2.048997,1.738586,-1.815603,58.28228,94.57542,38.41479
89.33619,-2.041014,1.740387,-1.823502,57.96415,93.77671,37.97397
89.34732,-2.033711,1.741801,-1.830992,57.8762,92.71569,37.12924
89.35844,-2.026633,1.743293,-1.838061,57.96185,91.52221,36.25821
89.3794,-2.012973,1.744992,-1.850945,58.12848,89.31781,35.23246
89.38756,-2.00756,1.74606,-1.855765,58.15797,88.63788,35.26545
89.39512,-2.002418,1.746862,-1.860704,58.16211,87.981,35.23455
89.40292,-1.997458,1.748136,-1.865222,58.10833,87.65971,35.90948
89.41489,-1.990892,1.749632,-1.871629,58.03933,87.04672,36.41241
89.43496,-1.977579,1.752206,-1.88328,57.57995,86.46173,37.9864
89.44299,-1.97228,1.753189,-1.888118,57.48573,86.02736,38.34224
89.4502,-1.967915,1.754426,-1.891569,57.21964,85.981,38.85278
89.45773,-1.963264,1.755486,-1.895385,57.02343,85.70419,39.11879
89.46906,-1.956261,1.756729,-1.900481,56.79249,85.17056,39.20966
89.48982,-1.944176,1.75847,-1.908794,56.48576,83.69939,38.59358
89.4975,-1.940157,1.758842,-1.911568,56.4805,83.07014,38.24805
89.50438,-1.936187,1.759033,-1.913937,56.50814,82.4177,37.96003
89.51313,-1.931414,1.759197,-1.916844,56.54406,81.73782,37.79517
89.52419,-1.92555,1.75931,-1.92014,56.63285,80.85183,37.58525
89.53544,-1.920327,1.758765,-1.923045,56.79151,80.06213,37.60144
89.54656,-1.914448,1.758646,-1.926435,56.86777,79.18715,37.47884
89.55768,-1.90891,1.758126,-1.928365,56.99459,78.18119,37.38182
89.56868,-1.903683,1.757813,-1.930813,57.03945,77.27064,37.30451
89.57993,-1.89826,1.7572,-1.932808,57.06936,76.33646,37.30078
89.5909,-1.892934,1.75661,-1.934629,57.10033,75.4865,37.34584
89.6019,-1.887639,1.756022,-1.936491,57.16958,74.6498,37.35217
89.61318,-1.882522,1.755162,-1.93785,57.32517,73.93654,37.28175
89.62421,-1.877547,1.754421,-1.939476,57.42953,73.19316,37.23897
89.63541,-1.872825,1.753121,-1.940283,57.65375,72.59947,37.03074
89.64652,-1.867873,1.751885,-1.941269,57.83149,71.93004,36.83619
89.65762,-1.863245,1.750497,-1.941742,58.02762,71.36922,36.56859
89.66881,-1.8584,1.749369,-1.942473,58.19413,70.76794,36.39898
89.67974,-1.853427,1.748043,-1.942778,58.30075,70.27448,36.40084
89.69104,-1.848431,1.746936,-1.942909,58.34815,69.8087,36.56931
89.70213,-1.843388,1.745976,-1.942828,58.35372,69.36336,36.84701
89.71311,-1.838578,1.74516,-1.942725,58.35833,68.9341,37.08787
89.72425,-1.833476,1.744462,-1.942279,58.36063,68.54169,37.4512
89.73548,-1.827963,1.743508,-1.941524,58.45702,68.08185,37.64598
89.7467,-1.823053,1.742709,-1.940855,58.53982,67.76719,37.82714
89.75773,-1.817805,1.741925,-1.93979,58.60017,67.66464,38.04156
89.76895,-1.813045,1.740887,-1.938571,58.62146,67.66879,38.29389
89.77997,-1.807567,1.740103,-1.936969,58.54372,67.63568,38.40299
89.79122,-1.802264,1.739483,-1.935412,58.41924,67.5087,38.3913
89.81211,-1.791487,1.738969,-1.931119,57.89693,67.01641,37.96086
89.81989,-1.787557,1.738979,-1.929575,57.76426,66.7327,37.73189
89.82713,-1.783906,1.738919,-1.928215,57.65369,66.48568,37.55428
89.83559,-1.779302,1.739193,-1.926485,57.55643,66.05659,37.12123
89.84666,-1.773827,1.739876,-1.924356,57.34815,65.73123,36.7261
89.85783,-1.767923,1.74021,-1.922531,57.12099,65.45857,36.39606
89.8788,-1.757574,1.740667,-1.918881,56.62703,65.48849,36.06826
89.88672,-1.753628,1.740863,-1.917623,56.45432,65.50405,35.94797
89.89392,-1.74947,1.741426,-1.915976,56.29101,65.57935,35.78531
89.90214,-1.745314,1.741591,-1.914984,56.19413,65.74548,35.60662
89.91332,-1.739976,1.74186,-1.913621,56.1092,65.78789,35.3485
89.92433,-1.734821,1.742021,-1.912701,56.13508,65.59583,34.92481
89.93558,-1.729907,1.742383,-1.911802,56.22493,65.51936,34.72285
89.95661,-1.720495,1.743258,-1.910546,56.14647,65.71533,34.89716
89.96486,-1.71698,1.743868,-1.910245,56.07266,66.01617,35.26415
89.97225,-1.71378,1.744631,-1.910297,55.96625,66.4346,35.6871
89.98981,-1.706182,1.74693,-1.911043,55.78449,67.92554,37.18746
89.99767,-1.703134,1.748165,-1.911946,55.74309,68.93996,38.08064
90.00486,-1.700121,1.748958,-1.912236,55.72223,69.52175,38.52979
90.02314,-1.693235,1.751268,-1.913306,55.78791,70.92795,39.32425
90.03106,-1.690128,1.75233,-1.913881,55.89725,71.46054,39.55946
90.03832,-1.687838,1.753058,-1.914369,56.03589,71.8523,39.7571
90.04648,-1.685589,1.75389,-1.914965,56.19749,72.24841,40.05058
90.05761,-1.682166,1.755138,-1.91572,56.27585,72.86404,40.53609
90.07854,-1.67615,1.758308,-1.917191,56.1589,74.10084,41.87644
90.08635,-1.673915,1.759897,-1.917998,55.94985,74.3742,42.29178
90.09336,-1.671869,1.761211,-1.918482,55.798,74.6788,42.54601
90.11184,-1.666991,1.763982,-1.919839,55.47787,75.47933,43.03403
90.1195,-1.664934,1.765147,-1.920525,55.34388,75.83925,43.1601
90.12646,-1.663025,1.766196,-1.921238,55.21755,76.23813,43.23769
90.13525,-1.660828,1.767352,-1.921951,55.06528,76.85008,43.4817
90.14653,-1.658134,1.768635,-1.923357,54.82359,77.86249,44.05949
