time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
89.20272,-1.981964,1.133625,-1.813111,291.252,167.1975,313.2428
89.21663,-1.972382,1.130854,-1.81576,292.0809,168.0484,311.1128
89.22842,-1.962703,1.12444,-1.816576,293.5255,152.2346,326.2974
89.2375,-1.957092,1.114619,-1.821365,296.9101,146.1183,332.3354
89.25781,-1.96134,1.109912,-1.825237,302.5534,152.9361,325.303
89.26611,-1.96134,1.109912,-1.825237,302.5534,152.9361,325.303
89.27378,-1.960034,1.105799,-1.831911,305.8917,152.9456,327.4287
89.28176,-1.964342,1.11061,-1.829883,305.1454,151.3576,330.2908
89.29192,-1.968823,1.110968,-1.826111,302.5666,156.2378,324.5072
89.3029,-1.962359,1.10866,-1.827235,298.7261,158.6443,322.654
89.31415,-1.96252,1.110069,-1.827529,303.8902,150.0677,329.9482
89.32506,-1.962394,1.10992,-1.82722,300.9087,154.8504,326.1635
89.33619,-1.960495,1.108051,-1.828131,301.452,152.9933,327.8397
89.34732,-1.962403,1.108768,-1.827325,301.3096,151.7315,329.139
89.35844,-1.962486,1.108459,-1.827496,301.0425,152.2824,328.747
89.3794,-1.961805,1.108362,-1.827243,301.0545,151.4788,329.5851
89.38756,-1.961805,1.108362,-1.827243,301.0545,151.4788,329.5851
89.39512,-1.961991,1.108665,-1.827269,301.0357,151.1676,329.9347
89.40292,-1.961844,1.108642,-1.82653,301.0705,150.8352,330.3092
89.41489,-1.961694,1.1085,-1.826512,300.9254,150.4061,330.7852
89.43496,-1.960759,1.108372,-1.82524,300.8209,148.9781,332.4063
89.44299,-1.960759,1.108372,-1.82524,300.8209,148.9781,332.4063
89.4502,-1.961608,1.108904,-1.825383,300.9578,149.8392,331.5616
89.45773,-1.96152,1.109293,-1.824972,301.0641,150.1921,331.1844
89.46906,-1.961552,1.10934,-1.824732,300.8457,149.985,331.3039
89.48982,-1.961478,1.109284,-1.82439,300.793,149.7782,331.5116
89.4975,-1.961478,1.109284,-1.82439,300.793,149.7782,331.5116
89.50438,-1.961525,1.109307,-1.824473,300.8108,149.6002,331.6591
89.51313,-1.961483,1.109396,-1.824373,300.8338,149.8967,331.3521
89.52419,-1.96139,1.109468,-1.824257,300.7859,149.5704,331.6632
89.53544,-1.96162,1.109702,-1.823865,300.6343,149.3708,331.7619
89.54656,-1.961352,1.109695,-1.82359,300.5008,149.4154,331.7351
89.55768,-1.960857,1.110074,-1.823194,300.5102,148.9625,332.1641
89.56868,-1.961038,1.110126,-1.822713,300.2267,148.8217,332.3202
89.57993,-1.960948,1.110165,-1.822722,300.1438,148.4392,332.6556
89.5909,-1.961105,1.110117,-1.822857,300.1461,148.5026,332.5798
89.6019,-1.961077,1.110131,-1.823075,300.2542,148.6687,332.4099
89.61318,-1.961206,1.110265,-1.822973,300.25,148.9257,332.1277
89.62421,-1.961353,1.110201,-1.823,300.1974,148.831,332.2073
89.63541,-1.961461,1.110219,-1.823084,300.2462,148.8974,332.1896
89.64652,-1.96142,1.110205,-1.822897,300.1902,148.7649,332.3663
89.65762,-1.961303,1.110319,-1.822551,300.1091,148.3241,332.8314
89.66881,-1.961521,1.110296,-1.822247,299.8435,148.1109,333.0372
