time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
74.83616,-2.176203,2.083599,-1.353771,349.1362,295.9513,159.589
74.85652,-2.168297,2.084593,-1.375098,347.962,293.1068,160.1453
74.86584,-2.164298,2.084586,-1.385892,347.0466,291.9648,160.4485
74.87405,-2.164298,2.084586,-1.385892,347.0466,291.9648,160.4485
74.8818,-2.160836,2.085228,-1.396255,346.9962,290.6521,160.6505
74.89112,-2.157214,2.084446,-1.407088,347.3413,289.1804,161.038
74.90154,-2.154213,2.0843,-1.417782,347.8546,287.5797,161.5321
74.91278,-2.151206,2.083471,-1.427625,348.5144,286.2836,162.0084
74.92381,-2.147995,2.082768,-1.437284,348.8824,285.1829,162.3983
74.93497,-2.144617,2.081965,-1.445817,348.8053,284.563,162.6673
74.946,-2.140102,2.081461,-1.454322,348.4738,283.7914,162.8583
74.95714,-2.136103,2.080045,-1.461194,347.6465,283.2246,162.865
74.96827,-2.13162,2.078524,-1.468918,347.4291,282.5286,162.8926
74.98937,-2.12356,2.073437,-1.486106,347.5542,280.8308,163.3492
74.9987,-2.119366,2.070659,-1.496238,348.5009,279.8031,163.711
75.00784,-2.119366,2.070659,-1.496238,348.5009,279.8031,163.711
75.0228,-2.112832,2.066305,-1.516546,350.4184,278.1646,164.4113
75.03071,-2.112832,2.066305,-1.516546,350.4184,278.1646,164.4113
75.03791,-2.110108,2.065624,-1.525694,351.2468,277.4464,164.4625
75.04565,-2.107176,2.065243,-1.53449,351.9824,276.4401,164.4094
75.05689,-2.103959,2.066962,-1.541234,352.4716,275.73,163.7396
75.07771,-2.096593,2.069702,-1.555985,352.3707,275.4025,162.8308
75.08506,-2.096593,2.069702,-1.555985,352.3707,275.4025,162.8308
75.09267,-2.092602,2.071464,-1.563116,351.6286,274.545,162.7045
75.10114,-2.088776,2.073007,-1.569826,350.7672,273.4403,162.6762
75.11243,-2.085251,2.074104,-1.576489,349.9849,272.9734,162.4836
75.12349,-2.082022,2.074835,-1.5828,349.2244,273.1953,162.1831
75.1347,-2.078588,2.07501,-1.589559,349.3712,272.9666,162.0427
75.1457,-2.074134,2.074399,-1.595573,350.6683,272.1172,162.0823
75.15701,-2.071069,2.074746,-1.602145,351.7856,271.2287,162.0713
75.16795,-2.068283,2.075475,-1.608225,353.1799,270.2803,162.1613
75.17916,-2.065366,2.076854,-1.61375,354.0943,269.6952,162.2881
75.19046,-2.062235,2.078325,-1.619233,354.4904,269.4308,162.3295
75.20148,-2.058885,2.080411,-1.624074,353.909,269.3709,162.54
75.21253,-2.055467,2.082703,-1.628723,352.8483,269.0216,162.8963
75.2237,-2.052107,2.085068,-1.633175,352.0169,268.4907,163.2919
75.24465,-2.045674,2.089037,-1.641979,351.4489,267.6078,164.0284
75.25278,-2.045674,2.089037,-1.641979,351.4489,267.6078,164.0284
75.26033,-2.042592,2.090391,-1.646095,351.0939,266.8885,164.2768
75.26804,-2.039814,2.091484,-1.64997,350.8773,266.1256,164.4389
75.27934,-2.037097,2.092499,-1.653883,350.7194,265.6692,164.5572
75.2906,-2.03461,2.093129,-1.657494,350.7536,265.61,164.5072
75.30157,-2.032166,2.093598,-1.660981,350.8556,265.4207,164.4679
75.31261,-2.029769,2.093987,-1.664206,350.9823,265.1082,164.4806
75.32372,-2.027386,2.094491,-1.667357,351.0129,264.8422,164.5411
75.33472,-2.025297,2.094947,-1.669899,351.0294,264.7643,164.5797
75.34594,-2.023144,2.095552,-1.672508,351.0211,264.6898,164.6241
75.36695,-2.019222,2.097495,-1.676815,350.9196,264.3109,164.8729
75.37509,-2.019222,2.097495,-1.676815,350.9196,264.3109,164.8729
75.38252,-2.015976,2.0985,-1.67885,350.3729,264.1742,165.0666
75.39046,-2.013603,2.099496,-1.680457,349.4892,263.8394,165.0222
75.40156,-2.010978,2.100138,-1.681602,348.2765,263.4753,164.9441
75.42242,-2.007391,2.101012,-1.683639,346.6373,263.2232,164.776
75.43062,-2.007391,2.101012,-1.683639,346.6373,263.2232,164.776
75.43819,-2.00683,2.100893,-1.684185,346.1826,263.2904,164.5276
75.44604,-2.00536,2.10055,-1.684804,346.4041,263.592,164.3515
75.45712,-2.003965,2.100273,-1.685613,346.9601,263.4336,164.3564
75.46809,-2.002578,2.10003,-1.686144,347.1675,263.4402,164.2522
75.47935,-2.002219,2.099853,-1.687944,347.3618,263.605,164.1322
75.49048,-2.001049,2.099921,-1.687989,347.2227,263.6113,163.8591
75.50158,-2.013822,2.09737,-1.706134,347.1457,263.6097,163.5216
75.51257,-2.011889,2.097266,-1.704129,346.859,264.2004,162.9913
75.52382,-2.00992,2.096862,-1.704194,346.24,264.2756,162.7598
75.5446,-2.006628,2.095557,-1.702802,345.493,263.6221,162.5759
75.55284,-2.006628,2.095557,-1.702802,345.493,263.6221,162.5759
75.56054,-2.005041,2.094781,-1.70132,345.6936,264.5034,162.1138
75.57804,-2.002383,2.093631,-1.701216,346.5818,265.5384,161.5512
75.58632,-2.002383,2.093631,-1.701216,346.5818,265.5384,161.5512
75.5941,-2.001155,2.093351,-1.701418,347.0239,265.3208,161.5879
75.61134,-1.999231,2.092888,-1.702125,347.8534,265.3931,161.453
75.61962,-1.999231,2.092888,-1.702125,347.8534,265.3931,161.453
75.62727,-1.997688,2.093883,-1.70185,348.0167,265.702,161.3568
75.64454,-1.994211,2.095359,-1.700358,347.0349,264.8854,161.6664
75.65289,-1.994211,2.095359,-1.700358,347.0349,264.8854,161.6664
75.66065,-1.991688,2.095944,-1.698647,346.1717,265.3666,161.7262
75.66874,-1.989551,2.096419,-1.697529,345.468,265.909,161.7489
75.67936,-1.98599,2.096167,-1.694644,344.8636,266.2112,161.9281
75.69055,-1.98363,2.095676,-1.692698,344.8287,266.3504,162.0734
75.71121,-1.980186,2.09408,-1.690468,346.2372,267.259,161.9806
75.71947,-1.980186,2.09408,-1.690468,346.2372,267.259,161.9806
75.72756,-1.978805,2.093402,-1.689874,347.1942,267.3551,161.9239
75.73563,-1.977323,2.092268,-1.689481,347.5266,267.2154,161.9019
75.75587,-1.974351,2.090783,-1.688517,346.9308,267.0334,161.711
75.76411,-1.974351,2.090783,-1.688517,346.9308,267.0334,161.711
75.77201,-1.972934,2.090376,-1.687898,346.8736,266.9873,161.67
75.77988,-1.97163,2.08983,-1.687164,347.1436,266.7998,161.7666
75.79041,-1.970303,2.089526,-1.686527,347.6509,266.907,161.7934
75.8014,-1.969157,2.089545,-1.68578,348.1149,267.0258,161.8902
75.81261,-1.967753,2.089093,-1.684993,348.3846,266.9706,162.0024
75.83387,-1.965285,2.089624,-1.68368,348.0486,266.9919,162.1236
75.84215,-1.965285,2.089624,-1.68368,348.0486,266.9919,162.1236
75.84971,-1.963838,2.090102,-1.683294,347.3176,266.9773,162.1244
75.85765,-1.962377,2.089998,-1.682926,346.7895,266.5635,162.1908
