time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
74.83616,-2.099978,1.110115,-1.49454,308.158,123.5925,358.5239
74.85652,-2.099107,1.110214,-1.494624,308.561,123.2243,358.7405
74.86584,-2.098612,1.110554,-1.493979,308.7879,123.1016,359.0003
74.87405,-2.098612,1.110554,-1.493979,308.7879,123.1016,359.0003
74.8818,-2.09773,1.110631,-1.493335,309.2089,122.5062,359.9226
74.89112,-2.097276,1.11046,-1.493334,309.4112,122.0715,0.436419
74.90154,-2.097167,1.110319,-1.49352,309.4928,122.2721,0.255786
74.91278,-2.097152,1.110207,-1.493814,309.4993,122.247,0.151652
74.92381,-2.097235,1.110183,-1.494249,309.5891,122.4019,359.8137
74.93497,-2.097314,1.110145,-1.494475,309.6147,122.7664,359.2184
74.946,-2.09713,1.110407,-1.494881,309.6625,122.821,358.9119
74.95714,-2.096564,1.110713,-1.495342,309.9679,122.7224,358.7911
74.96827,-2.096098,1.110896,-1.495867,310.4096,122.6469,358.6179
74.98937,-2.094402,1.111339,-1.497003,311.5068,121.7815,358.9757
74.9987,-2.092616,1.111983,-1.49584,311.9867,121.0813,0.132505
75.00784,-2.092616,1.111983,-1.49584,311.9867,121.0813,0.132505
75.0228,-2.088418,1.112678,-1.495375,313.996,117.9116,4.038848
75.03071,-2.088418,1.112678,-1.495375,313.996,117.9116,4.038848
75.03791,-2.083099,1.113418,-1.495903,317.0975,117.146,5.543909
75.04565,-2.079281,1.114082,-1.497266,320.9394,116.2942,6.545582
75.05689,-2.072722,1.115157,-1.498399,324.3086,115.6901,7.413193
75.07771,-2.059899,1.117367,-1.498712,331.7439,111.1283,11.54697
75.08506,-2.059899,1.117367,-1.498712,331.7439,111.1283,11.54697
75.09267,-2.052977,1.11815,-1.499123,334.8352,109.9914,12.54306
75.10114,-2.046175,1.11957,-1.499171,338.3825,108.0254,13.99578
75.11243,-2.039381,1.121181,-1.499067,341.7642,104.9349,15.88561
75.12349,-2.032241,1.124423,-1.498823,344.3843,101.1174,17.79873
75.1347,-2.02592,1.129174,-1.497731,346.5776,96.41508,19.6172
75.1457,-2.021478,1.134973,-1.497877,347.5608,91.57487,20.77192
75.15701,-2.016471,1.1417,-1.499104,346.9627,89.31329,20.0523
75.16795,-2.011646,1.148209,-1.503225,343.3965,89.71982,17.56727
75.17916,-2.003015,1.153962,-1.505859,341.58,90.43808,14.98871
75.19046,-1.994434,1.158235,-1.506966,338.5449,89.98215,12.02929
75.20148,-1.984863,1.158929,-1.506281,336.3794,87.38422,8.962341
75.21253,-1.976547,1.159492,-1.506202,336.0738,84.62838,6.554801
75.2237,-1.967393,1.159966,-1.506424,334.2585,82.99912,4.461059
75.24465,-1.948106,1.158306,-1.508561,330.8032,82.40234,2.308575
75.25278,-1.948106,1.158306,-1.508561,330.8032,82.40234,2.308575
75.26033,-1.937918,1.156213,-1.509397,329.5794,81.7493,2.497647
75.26804,-1.927386,1.153551,-1.509853,328.5068,80.7217,2.79917
75.27934,-1.915456,1.151737,-1.510071,327.1815,79.93717,3.362891
75.2906,-1.903761,1.149045,-1.510791,325.0436,79.37643,3.472276
75.30157,-1.891753,1.146963,-1.511599,322.2898,79.41527,2.95907
75.31261,-1.879943,1.144479,-1.511862,319.5483,79.60826,2.356229
75.32372,-1.867559,1.141671,-1.511811,317.3813,79.05769,2.376134
75.33472,-1.855154,1.138329,-1.511582,315.5909,78.14349,3.015138
75.34594,-1.842515,1.136043,-1.511526,313.6389,77.6689,3.47955
75.36695,-1.818161,1.132053,-1.510999,309.4507,76.57998,4.420588
75.37509,-1.818161,1.132053,-1.510999,309.4507,76.57998,4.420588
75.38252,-1.806049,1.130972,-1.510364,308.1491,75.31313,5.70131
75.39046,-1.79525,1.129452,-1.510149,306.9492,74.49742,6.416426
75.40156,-1.784859,1.127969,-1.510323,305.5699,73.84429,6.922001
75.42242,-1.76645,1.126897,-1.509947,303.4395,72.21574,8.270463
75.43062,-1.76645,1.126897,-1.509947,303.4395,72.21574,8.270463
75.43819,-1.759409,1.128449,-1.51092,301.4488,71.93319,8.369235
75.44604,-1.752553,1.128361,-1.511187,299.5527,72.82789,7.222315
75.45712,-1.74635,1.127906,-1.511252,299.1837,71.89966,7.843389
75.46809,-1.740368,1.126518,-1.511267,298.8428,70.73142,8.854009
75.47935,-1.73481,1.124756,-1.511389,299.2607,69.25379,10.26867
75.49048,-1.731037,1.121708,-1.511117,300.4567,66.39681,12.57469
75.50158,-1.727869,1.116411,-1.510874,302.0793,64.47451,13.25516
75.51257,-1.724628,1.111243,-1.51034,304.536,62.36127,13.83018
75.52382,-1.724094,1.105884,-1.512943,309.1447,60.5509,13.31273
75.5446,-1.733356,1.114772,-1.524155,303.1207,83.54526,349.9242
75.55284,-1.733356,1.114772,-1.524155,303.1207,83.54526,349.9242
75.56054,-1.733532,1.113727,-1.52403,299.0605,76.1495,356.807
75.57804,-1.727712,1.110157,-1.521723,303.6472,75.21859,358.317
75.58632,-1.727712,1.110157,-1.521723,303.6472,75.21859,358.317
75.5941,-1.727064,1.108866,-1.521453,302.7761,74.18944,359.2445
75.61134,-1.72791,1.108277,-1.519989,302.8359,72.86158,0.840838
75.61962,-1.72791,1.108277,-1.519989,302.8359,72.86158,0.840838
75.62727,-1.728967,1.109026,-1.519307,303.2312,72.47421,1.423252
75.64454,-1.730097,1.10917,-1.519845,303.1568,72.39806,1.51362
75.65289,-1.730097,1.10917,-1.519845,303.1568,72.39806,1.51362
75.66065,-1.730544,1.10886,-1.520433,303.1448,72.80458,0.991267
