time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
82.89808,-1.866364,2.660313,-1.613042,57.07819,107.6499,11.07006
82.91151,-1.863268,2.659969,-1.615578,57.04776,107.1699,10.93283
82.92173,-1.860177,2.65973,-1.618041,57.00308,106.681,10.78985
82.93698,-1.857033,2.659293,-1.620575,56.99068,106.2427,10.68926
82.94484,-1.853925,2.658813,-1.623279,56.98212,105.7961,10.59813
82.95254,-1.850913,2.658316,-1.625934,57.00972,105.3656,10.51372
82.95988,-1.847813,2.657791,-1.62867,57.09079,104.9254,10.46873
82.98054,-1.844738,2.657287,-1.631431,57.1825,104.4952,10.43103
82.98856,-1.84157,2.656727,-1.634202,57.25974,104.0124,10.35609
82.99587,-1.838563,2.656144,-1.637,57.32498,103.5191,10.25661
83.00378,-1.835397,2.65558,-1.639848,57.37566,103.0083,10.11421
83.01505,-1.832073,2.65494,-1.642774,57.43682,102.4918,9.947203
83.02632,-1.828712,2.654442,-1.645717,57.46003,101.9737,9.789578
83.0397,-1.825266,2.653965,-1.648653,57.48,101.4526,9.636475
83.0491,-1.821826,2.653523,-1.651769,57.47632,100.8824,9.437235
83.07012,-1.818156,2.653013,-1.654882,57.45418,100.2999,9.22718
83.0779,-1.814567,2.652478,-1.658173,57.4014,99.70372,9.030904
83.08543,-1.810756,2.651925,-1.661385,57.30653,99.04361,8.784304
83.10261,-1.80698,2.651382,-1.664603,57.21711,98.36519,8.553948
83.11148,-1.803026,2.65086,-1.667919,57.16187,97.68673,8.316907
83.11898,-1.799125,2.650373,-1.671431,57.15918,97.03372,8.097396
83.12608,-1.795186,2.649814,-1.674898,57.1573,96.3988,7.90336
83.14703,-1.791368,2.6492,-1.678415,57.13511,95.74233,7.682716
83.15477,-1.787467,2.648628,-1.682019,57.08418,95.08219,7.418967
83.16201,-1.783425,2.648185,-1.685587,57.09202,94.49455,7.22518
83.17039,-1.779423,2.647937,-1.689376,57.20534,93.92685,7.039281
83.1817,-1.775268,2.647901,-1.693,57.3858,93.37795,6.890299
83.19273,-1.771452,2.647958,-1.696662,57.58629,92.88026,6.810234
83.20384,-1.767671,2.647881,-1.700286,57.67389,92.33613,6.674627
83.21493,-1.763831,2.647863,-1.7039,57.6158,91.75539,6.50878
83.22598,-1.759826,2.64787,-1.707381,57.49367,91.20103,6.305034
83.23716,-1.755689,2.648191,-1.710879,57.37651,90.69544,6.11842
83.25825,-1.751608,2.648688,-1.714108,57.33326,90.25658,5.981396
83.26614,-1.747511,2.649158,-1.717395,57.34822,89.82662,5.839037
83.27346,-1.743578,2.649603,-1.720547,57.37565,89.43751,5.678115
83.29143,-1.739686,2.650137,-1.723642,57.44633,89.0078,5.504452
83.2992,-1.735758,2.650788,-1.726509,57.53959,88.62398,5.325121
83.30631,-1.731951,2.651466,-1.729317,57.63922,88.20528,5.163483
83.31475,-1.728279,2.652101,-1.732077,57.70966,87.7756,5.000442
83.32592,-1.724662,2.652637,-1.73463,57.71545,87.32047,4.795658
83.33702,-1.721103,2.653176,-1.736996,57.6725,86.89334,4.590364
83.34827,-1.717661,2.653614,-1.739293,57.63232,86.49596,4.393868
83.36922,-1.714301,2.654091,-1.741421,57.63286,86.15149,4.223201
83.37739,-1.710941,2.654553,-1.743497,57.67252,85.7926,4.053059
83.38467,-1.707622,2.655022,-1.745435,57.74814,85.43475,3.88535
83.39248,-1.704606,2.655462,-1.747191,57.81412,85.12535,3.726621
83.40369,-1.701459,2.6559,-1.748917,57.89456,84.8082,3.558515
83.4147,-1.698266,2.656309,-1.750592,57.97013,84.5004,3.415544
83.42584,-1.69515,2.656804,-1.752138,58.06253,84.18436,3.279818
83.4369,-1.692136,2.657363,-1.753499,58.1507,83.84132,3.153167
83.44797,-1.689147,2.657985,-1.754857,58.23617,83.51788,3.045781
83.45904,-1.686213,2.658569,-1.755986,58.31786,83.13384,2.887872
