time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
82.89808,-1.833412,1.895854,-1.352002,27.79968,97.30597,340.7084
82.91151,-1.832885,1.896347,-1.351111,27.81952,96.60104,340.4859
82.92173,-1.832623,1.896565,-1.350703,27.8188,96.19167,340.3917
82.93698,-1.832073,1.897033,-1.349833,27.82817,95.30824,340.2209
82.94484,-1.831846,1.897099,-1.349424,27.84645,94.82581,340.1046
82.95254,-1.831622,1.89714,-1.349151,27.85585,94.40316,340.0013
82.95988,-1.831439,1.897131,-1.348928,27.88261,93.99638,339.8784
82.98054,-1.83088,1.89698,-1.348327,28.03946,92.79807,339.4744
82.98856,-1.8307,1.896908,-1.348191,28.1196,92.31429,339.2871
82.99587,-1.83075,1.897003,-1.34792,28.19261,91.85088,339.108
83.00378,-1.83055,1.897003,-1.347893,28.26855,91.31465,338.9193
83.01505,-1.83014,1.896919,-1.347878,28.32612,90.57809,338.7013
83.02632,-1.829704,1.89715,-1.347931,28.31007,89.77731,338.5356
83.0397,-1.829354,1.897263,-1.347978,28.28734,88.98321,338.3801
83.0491,-1.828717,1.897506,-1.348176,28.21394,88.10307,338.277
83.07012,-1.827427,1.898104,-1.349002,28.02907,86.46693,338.1444
83.0779,-1.826837,1.898285,-1.349691,27.94185,85.91092,338.1087
83.08543,-1.82641,1.898371,-1.350252,27.87654,85.41767,338.0514
83.10261,-1.825424,1.898428,-1.351594,27.76113,84.31189,337.8977
83.11148,-1.825015,1.898327,-1.352393,27.73133,83.81608,337.7907
83.11898,-1.824563,1.89815,-1.353484,27.69815,83.23678,337.652
83.12608,-1.824191,1.898031,-1.354208,27.69065,82.71146,337.51
83.14703,-1.823325,1.897601,-1.356669,27.71482,81.1584,337.1059
83.15477,-1.822909,1.897417,-1.357694,27.74858,80.57406,336.9636
83.16201,-1.822596,1.897269,-1.358776,27.75888,80.05517,336.8355
83.17039,-1.822248,1.897143,-1.360033,27.77985,79.4621,336.7216
83.1817,-1.821809,1.897077,-1.361714,27.78815,78.67348,336.5934
83.19273,-1.821246,1.897424,-1.36372,27.80265,77.84444,336.5014
83.20384,-1.820912,1.897773,-1.365801,27.82347,76.97282,336.3778
83.21493,-1.820705,1.898248,-1.367938,27.86384,76.15276,336.2762
83.22598,-1.820464,1.898783,-1.370147,27.91479,75.36908,336.1893
83.23716,-1.820088,1.899637,-1.372774,27.92391,74.64742,336.2467
83.25825,-1.819319,1.901058,-1.377275,27.74648,73.08023,336.5153
83.26614,-1.81901,1.901602,-1.379041,27.68033,72.44936,336.6089
83.27346,-1.81876,1.902145,-1.380702,27.62946,71.85786,336.6676
83.29143,-1.818258,1.903196,-1.385116,27.67702,70.6549,336.7068
83.2992,-1.818092,1.903504,-1.387223,27.75821,70.20135,336.6788
83.30631,-1.81795,1.903835,-1.389321,27.88651,69.95529,336.6126
83.31475,-1.817735,1.904279,-1.391937,28.01727,69.73531,336.5646
83.32592,-1.817608,1.905192,-1.39547,28.15981,69.6143,336.4875
83.33702,-1.817221,1.90613,-1.39899,28.24486,69.45658,336.4404
83.34827,-1.816595,1.907426,-1.402466,28.2409,69.40994,336.4027
83.36922,-1.815155,1.910291,-1.408367,27.87392,68.8598,336.6183
83.37739,-1.814508,1.911427,-1.410194,27.686,68.4547,336.8142
83.38467,-1.814041,1.912248,-1.41202,27.56234,68.10252,336.9451
83.39248,-1.813411,1.913369,-1.41317,27.34813,67.45151,337.2562
83.40369,-1.812678,1.914835,-1.415041,27.15335,66.69543,337.5758
83.4147,-1.812058,1.916147,-1.416956,26.98734,66.04262,337.8143
83.42584,-1.811599,1.917454,-1.419033,26.83903,65.44141,337.9945
83.4369,-1.811324,1.918632,-1.421077,26.76654,65.00705,338.0247
83.44797,-1.811071,1.919694,-1.42333,26.7538,64.70135,337.9707
83.45904,-1.810891,1.920557,-1.425637,26.78801,64.45009,337.8636
83.47018,-1.810823,1.921507,-1.427777,26.81868,64.15646,337.7733
83.48125,-1.811078,1.922506,-1.429826,26.90535,63.86028,337.7188
83.49251,-1.811249,1.923244,-1.431703,27.00902,63.49833,337.7228
83.50345,-1.811283,1.923857,-1.433527,27.07912,63.08487,337.7622
83.51471,-1.811216,1.924276,-1.435207,27.16084,62.66628,337.8178
83.52563,-1.811124,1.92443,-1.436686,27.23965,62.30682,337.8594
83.53677,-1.81112,1.924434,-1.43824,27.35188,62.04741,337.8411
83.54812,-1.81105,1.924404,-1.439852,27.46958,61.83179,337.7488
83.55944,-1.810992,1.924079,-1.441416,27.65641,61.7487,337.5499
83.57015,-1.810927,1.92384,-1.443013,27.88314,61.69959,337.3409
83.58129,-1.810878,1.923314,-1.444437,28.10711,61.63768,337.1824
83.59238,-1.810724,1.922799,-1.445626,28.31972,61.54946,337.0081
83.60343,-1.81055,1.922436,-1.446745,28.48249,61.41936,336.8403
83.61453,-1.810176,1.922122,-1.447456,28.59516,61.22901,336.6823
83.62556,-1.80986,1.921929,-1.447928,28.67705,60.93331,336.6462
83.63674,-1.809464,1.921737,-1.448316,28.77126,60.56678,336.7312
83.64779,-1.809097,1.921628,-1.448551,28.87813,60.21608,336.7891
83.65892,-1.808514,1.921438,-1.448616,28.98219,59.87947,336.8133
83.66999,-1.807913,1.921371,-1.448691,29.05248,59.62702,336.7505
83.68107,-1.807056,1.921188,-1.448752,29.11097,59.44692,336.6209
83.69215,-1.806114,1.921088,-1.448774,29.18285,59.34069,336.477
83.70331,-1.805045,1.920837,-1.44864,29.26913,59.24082,336.3779
83.71457,-1.803861,1.920742,-1.448695,29.33663,59.27036,336.2884
83.72542,-1.802631,1.920647,-1.448583,29.39104,59.27297,336.2295
83.73653,-1.800956,1.920749,-1.448396,29.40648,59.36112,336.278
83.74766,-1.799288,1.92084,-1.447925,29.38929,59.40181,336.3515
83.7588,-1.797478,1.920907,-1.447458,29.38658,59.41221,336.4146
83.76987,-1.795684,1.920993,-1.446788,29.34943,59.43153,336.4797
83.78101,-1.793868,1.92104,-1.44606,29.33453,59.42034,336.4886
83.79207,-1.791864,1.92087,-1.445173,29.33396,59.43727,336.4553
83.80322,-1.789771,1.920675,-1.444235,29.35933,59.47146,336.3912
83.81432,-1.78762,1.920279,-1.443216,29.3904,59.51692,336.2974
83.82549,-1.785211,1.919735,-1.442179,29.41732,59.58855,336.2314
83.83644,-1.78277,1.919245,-1.440982,29.43168,59.65897,336.2107
83.84768,-1.780318,1.918957,-1.439789,29.43578,59.74231,336.2223
83.8591,-1.777522,1.91839,-1.438441,29.4557,59.86933,336.2853
83.87067,-1.774568,1.917742,-1.437029,29.47599,60.04358,336.3552
83.88213,-1.77125,1.917198,-1.435651,29.48344,60.24431,336.4198
83.89358,-1.767928,1.916573,-1.434142,29.43872,60.45431,336.4845
83.90502,-1.764543,1.915908,-1.432452,29.37398,60.65295,336.5272
83.91656,-1.761081,1.915242,-1.430832,29.31261,60.83461,336.578
83.92811,-1.757428,1.914488,-1.429111,29.27309,61.02072,336.6515
83.93947,-1.753696,1.913579,-1.427299,29.25599,61.21595,336.7654
83.95098,-1.7497,1.912533,-1.425505,29.27943,61.44464,336.8735
83.96259,-1.745806,1.911511,-1.423712,29.3072,61.69237,336.9313
83.97404,-1.741707,1.910511,-1.422055,29.3737,62.01204,336.9878
83.98547,-1.737426,1.909523,-1.420396,29.41802,62.36371,337.0864
83.99702,-1.733178,1.908596,-1.418719,29.44312,62.73597,337.2161
84.00805,-1.728669,1.907881,-1.41719,29.428,63.14463,337.424
84.0192,-1.724329,1.907097,-1.415493,29.41124,63.48306,337.5777
84.0304,-1.719569,1.906133,-1.413675,29.39634,63.75318,337.6813
84.04146,-1.71507,1.905429,-1.411788,29.442,63.99778,337.712
84.05264,-1.710465,1.904777,-1.409956,29.52044,64.28936,337.7105
84.06374,-1.705709,1.904024,-1.408059,29.58796,64.6192,337.724
84.07487,-1.701013,1.903491,-1.406183,29.6269,64.94602,337.765
84.08613,-1.696354,1.903054,-1.404101,29.58758,65.25365,337.8547
84.09717,-1.691532,1.902716,-1.40218,29.52117,65.54471,337.9497
84.10828,-1.686067,1.90265,-1.399892,29.30194,65.72837,338.1149
84.1199,-1.68062,1.902552,-1.397635,29.132,65.92087,338.2784
84.1305,-1.67536,1.90262,-1.395326,28.88279,66.05028,338.5379
84.14153,-1.669875,1.902598,-1.393009,28.60446,66.22189,338.814
84.15268,-1.664502,1.902596,-1.390782,28.35242,66.42537,339.0224
84.16383,-1.659077,1.902569,-1.388519,28.1106,66.68251,339.1411
84.17498,-1.653862,1.902363,-1.386374,27.91342,66.9526,339.1765
84.18607,-1.648641,1.902253,-1.384168,27.75208,67.22765,339.2375
84.19716,-1.643536,1.902111,-1.382115,27.62728,67.51455,339.2955
84.20823,-1.638696,1.902133,-1.380253,27.52654,67.76421,339.4067
84.21937,-1.633756,1.902125,-1.378151,27.39531,67.99563,339.5398
84.23048,-1.62887,1.902226,-1.37598,27.23372,68.23399,339.6862
84.24166,-1.624078,1.902472,-1.37386,27.00574,68.45149,339.8367
84.25278,-1.619126,1.902728,-1.371732,26.77463,68.66891,339.9904
84.26866,-1.61227,1.902962,-1.368565,26.40065,68.90402,340.2937
84.27637,-1.609085,1.903148,-1.367151,26.2195,68.98135,340.4299
84.28343,-1.606195,1.903257,-1.365757,26.08031,69.08199,340.5399
84.29282,-1.602709,1.903375,-1.363894,25.92407,69.21903,340.6308
84.30396,-1.598503,1.903492,-1.36178,25.7288,69.41259,340.7238
84.31509,-1.59463,1.903518,-1.3598,25.57467,69.6503,340.7908
84.32614,-1.590967,1.903564,-1.357855,25.44284,69.89438,340.8508
84.33726,-1.587567,1.903737,-1.355898,25.33403,70.12811,340.9382
84.3484,-1.58448,1.903699,-1.354019,25.2858,70.32129,341.0546
84.36858,-1.578452,1.903283,-1.350718,25.25386,70.67025,341.3105
84.37638,-1.576759,1.903072,-1.349412,25.28081,70.79726,341.4222
84.38351,-1.574901,1.902948,-1.348189,25.27665,70.92426,341.5061
84.39188,-1.572988,1.902716,-1.346855,25.29006,71.10166,341.5869
84.40305,-1.570669,1.902296,-1.34516,25.31727,71.37894,341.6548
84.41419,-1.568517,1.901778,-1.343563,25.34985,71.73435,341.6741
84.4252,-1.566329,1.901275,-1.342175,25.42996,72.15178,341.6718
84.43648,-1.564317,1.900561,-1.340663,25.53667,72.58118,341.6785
84.4474,-1.562648,1.899626,-1.339211,25.70038,73.08289,341.6658
84.45858,-1.561079,1.89873,-1.337468,25.89721,73.57279,341.6447
