time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
82.89808,-1.958389,1.136995,-1.841889,298.6232,120.1787,176.682
82.91151,-1.958389,1.136995,-1.841889,298.6232,120.1787,176.682
82.92173,-1.938679,1.138914,-1.847897,297.6216,118.8659,175.5957
82.93698,-1.902967,1.144902,-1.856128,294.808,118.3037,171.3257
82.94484,-1.902967,1.144902,-1.856128,294.808,118.3037,171.3257
82.95254,-1.888518,1.148599,-1.861457,292.9101,119.5746,166.8601
82.95988,-1.874332,1.151365,-1.864942,292.3762,124.7063,158.4409
82.98054,-1.847898,1.155685,-1.864791,290.2068,115.3708,163.5027
82.98856,-1.847898,1.155685,-1.864791,290.2068,115.3708,163.5027
82.99587,-1.836309,1.157137,-1.865215,289.3287,109.5394,167.8092
83.00378,-1.829163,1.15693,-1.863236,289.1327,105.8401,171.4551
83.01505,-1.821299,1.157132,-1.86407,288.8139,104.9567,171.7679
83.02632,-1.816815,1.155549,-1.864652,288.8809,108.4244,168.6537
83.0397,-1.813397,1.154012,-1.86366,289.0948,112.7092,164.9281
83.0491,-1.810822,1.151017,-1.862946,289.6582,115.1607,163.128
83.07012,-1.806334,1.144307,-1.85946,291.3168,114.6598,164.5359
83.0779,-1.806334,1.144307,-1.85946,291.3168,114.6598,164.5359
83.08543,-1.803773,1.141447,-1.856334,292.1425,113.6219,165.7566
83.10261,-1.795357,1.135288,-1.850547,297.0894,96.14306,182.7244
83.11148,-1.795357,1.135288,-1.850547,297.0894,96.14306,182.7244
83.11898,-1.792392,1.133601,-1.849358,296.9913,97.6373,180.0944
83.12608,-1.789449,1.130421,-1.847813,297.7728,95.968,180.612
83.14703,-1.783139,1.125317,-1.847689,302.2173,96.53339,179.1451
83.15477,-1.783139,1.125317,-1.847689,302.2173,96.53339,179.1451
83.16201,-1.783079,1.125947,-1.848231,304.2817,96.55788,180.0948
83.17039,-1.790093,1.123833,-1.851373,301.6153,98.27769,180.2515
83.1817,-1.789384,1.123263,-1.852844,301.7448,101.4111,177.1864
83.19273,-1.788273,1.122582,-1.851644,302.4359,101.3836,176.9264
83.20384,-1.787393,1.121974,-1.851059,303.1618,100.1408,177.8494
83.21493,-1.786183,1.120477,-1.850571,303.7025,99.84277,177.6619
83.22598,-1.787813,1.12188,-1.848991,304.4979,98.58997,179.5873
83.23716,-1.787021,1.119749,-1.851012,303.1817,100.61,177.5435
83.25825,-1.787175,1.119485,-1.850779,303.953,99.22844,178.7725
83.26614,-1.787175,1.119485,-1.850779,303.953,99.22844,178.7725
83.27346,-1.787103,1.119402,-1.849867,303.938,99.57872,178.5904
83.29143,-1.786656,1.119597,-1.850039,304.2011,99.00375,179.1003
83.2992,-1.786656,1.119597,-1.850039,304.2011,99.00375,179.1003
83.30631,-1.786559,1.119488,-1.850232,304.2858,99.34284,178.7496
83.31475,-1.786413,1.119348,-1.850356,304.3876,99.48545,178.5673
83.32592,-1.78652,1.11943,-1.850368,304.4432,99.48331,178.5823
83.33702,-1.786652,1.119387,-1.850296,304.4859,99.54133,178.5399
83.34827,-1.786527,1.11925,-1.850062,304.5135,99.42294,178.702
83.36922,-1.786605,1.11901,-1.849887,304.5847,99.21545,178.9285
83.37739,-1.786605,1.11901,-1.849887,304.5847,99.21545,178.9285
83.38467,-1.786681,1.118908,-1.849872,304.5388,99.05161,179.0703
83.39248,-1.786779,1.11879,-1.850005,304.5002,98.95336,179.1785
83.40369,-1.78678,1.118696,-1.849989,304.4443,98.77637,179.3558
83.4147,-1.786793,1.118637,-1.849983,304.3699,98.59995,179.514
83.42584,-1.786754,1.118606,-1.850063,304.2227,98.4475,179.6207
83.4369,-1.786584,1.118748,-1.849971,304.138,98.39655,179.6631
83.44797,-1.78668,1.118783,-1.850012,304.097,98.34639,179.6766
83.45904,-1.786657,1.118802,-1.849974,304.0757,98.35532,179.6623
83.47018,-1.786654,1.118789,-1.849932,304.0746,98.25201,179.7573
83.48125,-1.786672,1.118809,-1.849815,304.0669,98.2106,179.8016
83.49251,-1.786554,1.118818,-1.849825,304.2361,98.2802,179.785
83.50345,-1.786624,1.118831,-1.849728,304.3901,98.40893,179.6966
83.51471,-1.786638,1.118775,-1.849707,304.3704,98.29651,179.8171
83.52563,-1.786602,1.118785,-1.849679,304.3936,98.31223,179.8213
83.53677,-1.786607,1.118743,-1.849635,304.4758,98.37887,179.7653
83.54812,-1.786657,1.118675,-1.849675,304.4779,98.33654,179.8088
83.55944,-1.786675,1.118644,-1.849653,304.5128,98.34467,179.8112
83.57015,-1.786802,1.118621,-1.849635,304.5339,98.33105,179.8446
83.58129,-1.786881,1.118487,-1.849679,304.4889,98.24536,179.9308
83.59238,-1.786915,1.118458,-1.849636,304.4645,98.23161,179.9443
83.60343,-1.786833,1.118492,-1.84949,304.4725,98.1414,180.036
83.61453,-1.786868,1.118484,-1.84946,304.456,98.08963,180.0926
83.62556,-1.786887,1.118402,-1.8492,304.4391,97.9362,180.2599
83.63674,-1.786888,1.118347,-1.849248,304.506,97.99285,180.2214
83.64779,-1.78693,1.118325,-1.849128,304.6198,98.0597,180.1807
83.65892,-1.786906,1.118405,-1.849059,304.6709,98.04794,180.2171
83.66999,-1.787005,1.118329,-1.849146,304.6711,97.99396,180.2688
83.68107,-1.786938,1.118323,-1.849127,304.683,97.97584,180.3052
83.69215,-1.786908,1.118314,-1.849069,304.6807,97.91936,180.3563
83.70331,-1.786851,1.118282,-1.848946,304.6719,97.82118,180.4554
83.71457,-1.786837,1.118276,-1.84889,304.6355,97.7757,180.5113
83.72542,-1.786891,1.118327,-1.848748,304.6287,97.70716,180.5736
83.73653,-1.786946,1.118288,-1.848807,304.5944,97.63915,180.6455
83.74766,-1.786943,1.118344,-1.848773,304.5629,97.63264,180.6561
83.7588,-1.787006,1.118248,-1.848863,304.5461,97.58241,180.7054
83.76987,-1.786894,1.11824,-1.848783,304.5372,97.54626,180.7454
83.78101,-1.786871,1.118282,-1.848655,304.5031,97.46127,180.8304
83.79207,-1.786937,1.118217,-1.848525,304.4366,97.36176,180.9432
83.80322,-1.786931,1.118244,-1.84843,304.3788,97.26643,181.0405
83.81432,-1.78683,1.118274,-1.848503,304.3202,97.23477,181.0574
83.82549,-1.786921,1.118191,-1.848624,304.2826,97.23962,181.0372
83.83644,-1.786901,1.118177,-1.848591,304.2361,97.13768,181.1254
83.84768,-1.786997,1.118085,-1.848731,304.1782,97.0813,181.1738
83.8591,-1.78701,1.118081,-1.848735,304.1995,97.04242,181.2124
83.87067,-1.787143,1.118071,-1.848795,304.1525,97.00404,181.2361
83.88213,-1.78715,1.118066,-1.848777,304.1236,96.93804,181.2945
83.89358,-1.787263,1.118095,-1.848783,304.067,96.86243,181.3605
