time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.1097,-2.065485,1.875179,-1.886907,37.78931,105.7261,40.1712
61.12264,-2.060478,1.87478,-1.885936,37.84556,105.2168,40.103
61.13535,-2.057229,1.874564,-1.885276,37.89566,104.8421,40.06186
61.14911,-2.05159,1.873763,-1.884589,37.9594,104.1654,39.94655
61.16418,-2.048718,1.873549,-1.883971,37.97499,103.8359,39.89554
61.17216,-2.043615,1.873197,-1.882677,37.95529,103.2969,39.80696
61.18238,-2.040049,1.872929,-1.881745,37.91899,102.9884,39.77216
61.19348,-2.036553,1.872787,-1.880917,37.88667,102.7213,39.74251
61.20461,-2.033175,1.872708,-1.879877,37.84129,102.471,39.73473
61.21577,-2.029823,1.872678,-1.878934,37.80668,102.2174,39.72738
61.22686,-2.026759,1.872798,-1.877859,37.75198,102.0287,39.75794
61.23778,-2.023836,1.873032,-1.876924,37.71544,101.8993,39.78868
61.24895,-2.020991,1.873426,-1.875861,37.69209,101.7758,39.82168
61.26003,-2.018464,1.874173,-1.874462,37.77066,101.6603,39.77122
61.27118,-2.015983,1.874608,-1.873221,37.84013,101.5319,39.74939
61.28224,-2.014368,1.874967,-1.872282,38.02815,101.3872,39.6426
61.29335,-2.012338,1.875673,-1.870797,38.13106,101.2088,39.51344
61.30454,-2.010123,1.876389,-1.869151,38.27533,100.9705,39.30439
61.31559,-2.008078,1.877176,-1.867492,38.32942,100.6838,39.08195
61.32668,-2.006224,1.877774,-1.865594,38.39075,100.2619,38.80844
61.3378,-2.00434,1.878452,-1.863873,38.44985,99.83907,38.55929
61.34891,-2.002618,1.87899,-1.862052,38.51835,99.30076,38.29517
61.35995,-2.000943,1.879609,-1.860314,38.64135,98.70921,38.02743
61.37128,-1.999538,1.88013,-1.858827,38.69456,98.08304,37.85019
61.38224,-1.998011,1.880674,-1.857388,38.78392,97.55996,37.74924
61.39329,-1.996772,1.881097,-1.85626,38.90242,97.1205,37.80467
61.40451,-1.995834,1.881519,-1.855181,39.06689,96.75964,37.87714
61.41561,-1.994951,1.881796,-1.854689,39.27476,96.58477,38.14757
61.42669,-1.993999,1.88194,-1.854534,39.51727,96.56879,38.50174
61.43775,-1.993164,1.882354,-1.854424,39.69632,96.55624,38.8384
61.44893,-1.992401,1.882619,-1.854499,39.86412,96.74313,39.25553
61.46012,-1.991727,1.882911,-1.855003,39.9241,96.9565,39.59663
61.47109,-1.990842,1.883512,-1.855543,39.9075,97.20635,39.82894
61.48228,-1.989876,1.884174,-1.856096,39.86465,97.52013,39.98376
61.49336,-1.989025,1.884783,-1.856785,39.84288,97.85461,40.02797
61.50452,-1.98841,1.885125,-1.857607,39.85614,98.18288,40.07859
61.51563,-1.987923,1.885481,-1.858253,39.92207,98.51828,40.22509
61.52706,-1.987318,1.8859,-1.858906,39.98904,98.85299,40.43251
61.53837,-1.986819,1.886258,-1.859638,40.09525,99.15292,40.71603
61.54988,-1.986319,1.886559,-1.860311,40.21432,99.44948,41.00677
61.56109,-1.985828,1.886864,-1.861007,40.30694,99.70361,41.23578
61.57256,-1.985227,1.887209,-1.861554,40.35937,99.92084,41.42115
61.58396,-1.984766,1.887545,-1.862126,40.391,100.1593,41.58237
61.59525,-1.983884,1.887866,-1.862681,40.36823,100.3963,41.67399
61.61466,-1.982367,1.888539,-1.863637,40.23293,100.8758,41.7771
61.62223,-1.981748,1.888786,-1.86407,40.19715,101.0726,41.83867
61.62961,-1.981074,1.889111,-1.864373,40.10888,101.2496,41.85294
61.63783,-1.980439,1.889232,-1.864758,40.07747,101.4209,41.91745
61.64917,-1.979654,1.889583,-1.865165,40.08951,101.6254,41.97185
61.66008,-1.978909,1.890044,-1.865181,40.08311,101.8095,42.03564
61.67122,-1.978183,1.890199,-1.865341,40.21242,101.9194,42.06136
61.68245,-1.977503,1.890241,-1.865577,40.38065,101.9682,42.00807
61.69337,-1.976752,1.89033,-1.865671,40.53885,102.0167,41.99279
61.70448,-1.976124,1.890553,-1.865494,40.71388,101.9796,41.94878
61.71562,-1.975253,1.89064,-1.865487,40.86704,101.9546,41.93332
61.72683,-1.974118,1.890603,-1.865414,41.03279,101.8051,41.85601
61.73785,-1.973001,1.890576,-1.865505,41.14557,101.6711,41.75979
61.74897,-1.971776,1.890522,-1.865546,41.24551,101.5598,41.7042
61.76006,-1.970533,1.89021,-1.865636,41.3042,101.4671,41.63111
61.77126,-1.969227,1.890066,-1.865793,41.3909,101.3889,41.57561
61.7824,-1.967714,1.889667,-1.866015,41.48575,101.303,41.54684
61.79341,-1.966241,1.889271,-1.866299,41.58829,101.2416,41.58627
61.8047,-1.964687,1.888684,-1.866706,41.74085,101.1629,41.66031
61.81569,-1.963122,1.887917,-1.866885,41.89815,101.0344,41.70629
61.82682,-1.961403,1.88713,-1.867227,42.0896,100.8963,41.70919
61.83781,-1.959634,1.886361,-1.867694,42.27517,100.7693,41.70265
61.84891,-1.957702,1.885389,-1.868166,42.45911,100.6183,41.64342
