time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.1097,-2.001926,1.127416,-1.512699,300.1786,70.70806,51.55784
61.12264,-1.997955,1.127325,-1.518631,300.0751,71.17319,50.32891
61.13535,-1.99476,1.126764,-1.521185,299.327,75.08479,45.75153
61.14911,-1.991591,1.126413,-1.523389,299.1355,75.21885,45.02143
61.16418,-1.98833,1.123202,-1.527778,300.0927,75.64864,43.39861
61.17216,-1.98978,1.121372,-1.529584,299.8587,79.41607,39.03057
61.18238,-1.992631,1.119499,-1.530773,299.2809,85.05399,32.82911
61.19348,-1.992525,1.119093,-1.530155,298.7593,87.86318,29.17575
61.20461,-1.991418,1.119484,-1.530007,299.0495,86.06511,30.69925
61.21577,-1.988908,1.11829,-1.530158,298.9131,84.8557,32.08065
61.22686,-1.987109,1.116184,-1.531561,301.1385,84.98742,31.97391
61.23778,-1.987109,1.11575,-1.53287,302.2668,85.85056,31.47134
61.24895,-1.989351,1.115589,-1.533733,301.5655,86.55412,30.97101
61.26003,-1.988677,1.114691,-1.534114,301.4402,86.7093,30.64232
61.27118,-1.988628,1.114588,-1.533906,302.064,86.5299,30.73602
61.28224,-1.990205,1.116357,-1.532792,301.6258,85.50293,31.96918
61.29335,-1.988832,1.115225,-1.532749,301.201,85.40381,31.90535
61.30454,-1.98921,1.115632,-1.533009,302.1921,84.9892,32.3966
61.31559,-1.990044,1.115669,-1.532984,301.4514,85.45532,31.97664
61.32668,-1.989413,1.115241,-1.532902,301.7348,85.0278,32.34582
61.3378,-1.989353,1.115164,-1.532951,301.6106,84.99043,32.41112
61.34891,-1.98921,1.114913,-1.532749,301.7005,84.99655,32.43131
61.35995,-1.98927,1.114811,-1.532764,301.7083,84.7876,32.64438
61.37128,-1.989399,1.114666,-1.532813,301.6808,84.82207,32.63669
61.38224,-1.989394,1.114738,-1.532838,301.6949,84.60925,32.84862
61.39329,-1.98954,1.114766,-1.533026,301.5976,84.44328,33.02689
61.40451,-1.989791,1.114779,-1.533376,301.5623,84.4584,33.12184
61.41561,-1.989813,1.114825,-1.533489,301.5338,84.51014,33.1588
