time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
128.0176,-1.900336,2.222735,-1.443233,349.3362,82.87322,353.3611
128.0307,-1.897321,2.22169,-1.442924,349.5045,82.87961,353.3422
128.0498,-1.892745,2.220284,-1.442176,349.6211,82.86379,353.3633
128.0582,-1.890581,2.219766,-1.44174,349.6007,82.82748,353.4795
128.0657,-1.888772,2.219247,-1.441342,349.6066,82.81647,353.5796
128.073,-1.886849,2.218725,-1.441009,349.617,82.81274,353.6735
128.0841,-1.883978,2.217865,-1.440444,349.6404,82.81892,353.8127
128.0952,-1.880866,2.216824,-1.43995,349.6977,82.85499,353.8545
128.1064,-1.877681,2.215776,-1.439409,349.7532,82.87904,353.9158
128.1174,-1.874287,2.214484,-1.438893,349.8706,82.93152,353.9276
128.1285,-1.870609,2.21313,-1.438123,349.9691,82.96437,353.9689
128.1398,-1.867194,2.211919,-1.437578,350.058,82.99197,353.9971
128.1611,-1.859751,2.209536,-1.436209,350.2022,82.9803,354.2538
128.1696,-1.856636,2.208576,-1.435687,350.2518,82.98484,354.3967
128.1767,-1.854126,2.207888,-1.435263,350.2833,82.99179,354.5193
128.1839,-1.851738,2.20721,-1.434917,350.3288,83.00643,354.6135
128.195,-1.847355,2.205861,-1.434177,350.4108,83.0452,354.7674
128.2061,-1.842954,2.204778,-1.433728,350.4531,83.16045,354.8531
128.2173,-1.838342,2.203631,-1.433267,350.4949,83.28114,354.9416
128.2285,-1.834074,2.20268,-1.43294,350.5006,83.45554,355.0012
128.2395,-1.829536,2.201846,-1.432744,350.4726,83.68116,355.0935
128.2507,-1.824646,2.200682,-1.432255,350.4475,83.90006,355.2314
128.2618,-1.819881,2.199962,-1.431875,350.4011,84.1414,355.3792
128.2728,-1.815019,2.199309,-1.431631,350.3197,84.37705,355.5299
128.2839,-1.809527,2.19855,-1.431181,350.2533,84.61459,355.706
128.295,-1.804433,2.197981,-1.430708,350.1967,84.82925,355.8554
128.3062,-1.79875,2.197364,-1.430096,350.1342,85.07651,356.0083
128.3172,-1.793464,2.196824,-1.429429,350.096,85.2912,356.1129
128.3283,-1.788019,2.196193,-1.428875,350.0703,85.50092,356.1759
128.3395,-1.782011,2.195761,-1.428069,350.0591,85.72205,356.2277
128.3505,-1.776553,2.195231,-1.42725,350.0517,85.93182,356.279
128.3616,-1.770896,2.195141,-1.426343,350.0484,86.1374,356.3056
128.3727,-1.764927,2.1951,-1.425308,350.0038,86.31535,356.38
128.3839,-1.759285,2.195115,-1.42412,349.9512,86.44836,356.4769
128.395,-1.753743,2.195538,-1.422917,349.8943,86.55511,356.5517
128.4061,-1.747788,2.195944,-1.421702,349.8375,86.68337,356.6002
128.4173,-1.742372,2.196717,-1.420483,349.7504,86.81101,356.5536
128.4284,-1.736761,2.197733,-1.419249,349.6137,86.95413,356.4823
128.4395,-1.731563,2.198784,-1.418138,349.4664,87.09914,356.5029
128.451,-1.726161,2.200298,-1.416823,349.2283,87.25055,356.6846
128.4618,-1.721313,2.201764,-1.41537,348.9484,87.37988,356.9622
128.4729,-1.71669,2.203192,-1.414014,348.6837,87.51089,357.2361
128.4841,-1.712026,2.204316,-1.412716,348.4795,87.65297,357.4567
128.4951,-1.706847,2.205461,-1.411256,348.3028,87.81449,357.6162
128.5162,-1.69784,2.206514,-1.409026,348.2248,88.19525,357.5878
128.5241,-1.694106,2.206685,-1.408088,348.2117,88.38029,357.5559
128.5316,-1.691375,2.206979,-1.407343,348.1787,88.52081,357.5457
128.5397,-1.688128,2.206905,-1.406431,348.2233,88.75114,357.4793
128.5508,-1.683458,2.206985,-1.405287,348.2498,89.05327,357.4874
128.5619,-1.679124,2.206816,-1.404211,348.2736,89.32817,357.4956
128.573,-1.674597,2.206447,-1.402854,348.3341,89.6073,357.5297
128.5842,-1.670553,2.206012,-1.401837,348.4074,89.84755,357.5622
128.5953,-1.666465,2.205451,-1.400685,348.4836,90.0719,357.5992
