time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
44.29451,-1.96034,2.607806,-1.549076,63.11537,112.0807,17.81916
44.30715,-1.956719,2.607231,-1.549408,63.23917,112.0601,17.81932
44.31674,-1.952985,2.606681,-1.549875,63.35981,111.9987,17.77277
44.32785,-1.949215,2.606278,-1.550171,63.4428,111.9654,17.75706
44.33899,-1.945262,2.605808,-1.550952,63.5078,111.8687,17.66728
44.35007,-1.941215,2.605361,-1.551778,63.55094,111.7468,17.55918
44.36118,-1.937028,2.60496,-1.552753,63.56487,111.6234,17.43344
44.37226,-1.932843,2.604466,-1.553841,63.55037,111.4607,17.28408
44.3894,-1.928599,2.603958,-1.554871,63.52221,111.3402,17.16985
44.39678,-1.92439,2.603369,-1.556211,63.50711,111.1711,17.04239
44.40364,-1.920154,2.602765,-1.557536,63.53332,111.0403,16.92945
44.42287,-1.916003,2.602102,-1.558908,63.56529,110.8648,16.80292
44.43101,-1.911931,2.601541,-1.560626,63.6469,110.6848,16.64138
44.43758,-1.90791,2.600923,-1.562461,63.74253,110.4934,16.48212
44.44593,-1.903963,2.600303,-1.564492,63.87187,110.3172,16.28792
44.45705,-1.899978,2.59973,-1.566464,63.97823,110.122,16.07625
44.46804,-1.895949,2.599212,-1.568561,64.04443,109.9599,15.88049
44.47925,-1.891921,2.598759,-1.570805,64.07625,109.7567,15.64546
44.49039,-1.887689,2.598274,-1.573133,64.05451,109.4915,15.36314
44.50143,-1.883472,2.597803,-1.575628,63.95719,109.2121,15.04837
44.51261,-1.879037,2.597493,-1.578102,63.87746,108.9726,14.76752
44.52366,-1.874556,2.597395,-1.580736,63.84067,108.7529,14.5204
44.53489,-1.86997,2.597288,-1.583277,63.82715,108.5476,14.30319
44.54583,-1.86518,2.59759,-1.585956,63.91865,108.3329,14.12164
44.55703,-1.860439,2.598007,-1.588674,63.99685,108.1378,13.94651
44.57829,-1.855626,2.598525,-1.591455,63.92145,107.8295,13.65525
44.58555,-1.850768,2.599036,-1.594168,63.78763,107.5778,13.41768
44.59216,-1.845718,2.599716,-1.597066,63.63488,107.297,13.11962
44.60139,-1.840707,2.60034,-1.599774,63.4509,107.0259,12.80058
44.61264,-1.835644,2.601008,-1.602583,63.20492,106.8282,12.48153
44.62362,-1.830513,2.601642,-1.605237,62.97989,106.659,12.15716
44.6347,-1.82534,2.602193,-1.607884,62.76499,106.5113,11.86011
44.64585,-1.820301,2.602792,-1.610538,62.59076,106.3968,11.64106
44.65709,-1.815323,2.60324,-1.613056,62.4805,106.3478,11.53792
44.66806,-1.810395,2.603734,-1.615578,62.44819,106.2695,11.45811
44.67926,-1.805665,2.604203,-1.617953,62.49808,106.2267,11.45882
44.69025,-1.800933,2.604597,-1.620368,62.58689,106.1102,11.43823
44.7014,-1.796414,2.605,-1.6226,62.66859,105.9772,11.41122
44.71273,-1.792058,2.605472,-1.62472,62.7952,105.8968,11.44466
44.72356,-1.787663,2.605871,-1.626776,62.87819,105.7495,11.39737
44.73473,-1.783433,2.606195,-1.628624,62.91076,105.6346,11.37441
44.74575,-1.779227,2.60651,-1.630606,62.88432,105.4969,11.32664
44.75687,-1.77489,2.606734,-1.632284,62.79037,105.3651,11.30536
44.7681,-1.770594,2.607015,-1.633937,62.67664,105.229,11.24524
44.77912,-1.766293,2.607097,-1.635393,62.55583,105.0988,11.19536
44.79018,-1.762178,2.607105,-1.636597,62.45015,104.9068,11.07774
