time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
44.29451,-2.021412,2.002506,-1.813358,19.73893,101.8905,21.69948
44.30715,-2.018962,2.001525,-1.813086,19.92565,101.775,21.73589
44.31674,-2.0166,2.000331,-1.81274,20.07959,101.6678,21.7257
44.32785,-2.013808,1.999544,-1.812093,20.22757,101.5016,21.65538
44.33899,-2.010926,1.998574,-1.811789,20.34815,101.3332,21.59188
44.35007,-2.007727,1.997947,-1.811657,20.42724,101.1483,21.46262
44.36118,-2.004067,1.997315,-1.811598,20.48153,100.9505,21.37236
44.37226,-2.000308,1.996746,-1.812049,20.47928,100.8287,21.26958
44.3894,-1.994289,1.995875,-1.812405,20.52983,100.5689,21.16719
44.39678,-1.991727,1.995534,-1.812637,20.53876,100.4673,21.12788
44.40364,-1.989017,1.994944,-1.811793,20.53038,100.3891,21.12414
44.42287,-1.981485,1.99396,-1.812469,20.50997,100.1268,20.96404
44.43101,-1.977853,1.993413,-1.812553,20.43841,100.0386,20.89489
44.43758,-1.975058,1.993101,-1.812859,20.40507,99.95089,20.8237
44.44593,-1.971178,1.992576,-1.813299,20.35821,99.82336,20.73386
44.45705,-1.966301,1.992008,-1.81401,20.26881,99.67709,20.61632
44.46804,-1.961145,1.99176,-1.814591,20.17172,99.52785,20.51345
44.47925,-1.955746,1.991105,-1.815423,20.06523,99.37064,20.40759
44.49039,-1.950211,1.990643,-1.816146,19.92113,99.26601,20.33829
44.50143,-1.945013,1.990043,-1.817079,19.79364,99.15292,20.23143
44.51261,-1.939025,1.988792,-1.818223,19.65681,99.07309,20.10557
44.52366,-1.933391,1.988002,-1.819479,19.53316,99.03238,19.96474
44.53489,-1.927168,1.986638,-1.820843,19.42695,99.02534,19.80086
44.54583,-1.921663,1.985572,-1.822104,19.35858,99.00213,19.65223
44.55703,-1.916081,1.9843,-1.823485,19.3514,99.00794,19.53342
44.57829,-1.905062,1.981693,-1.826078,19.49751,98.91833,19.44472
44.58555,-1.901025,1.980756,-1.826944,19.58467,98.84679,19.43963
44.59216,-1.897759,1.980445,-1.826684,19.6378,98.79128,19.44424
44.60139,-1.892664,1.979454,-1.827653,19.75047,98.68761,19.44552
