time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
44.29451,-2.174973,1.108843,-1.517484,307.0813,81.4751,6.373936
44.30715,-2.175017,1.108808,-1.517425,307.0804,81.49535,6.349738
44.31674,-2.174973,1.108992,-1.517466,307.0948,81.46482,6.393676
44.32785,-2.17499,1.10892,-1.517448,307.1049,81.42626,6.447686
44.33899,-2.175007,1.109005,-1.517473,307.1126,81.42578,6.455466
44.35007,-2.175036,1.108993,-1.517422,307.1205,81.40345,6.48335
44.36118,-2.174964,1.109028,-1.517483,307.1389,81.41624,6.476542
44.37226,-2.174938,1.108885,-1.51743,307.1419,81.41914,6.478991
44.3894,-2.174913,1.108855,-1.517431,307.157,81.3895,6.513278
44.39678,-2.174931,1.108837,-1.51748,307.1689,81.39521,6.524738
44.40364,-2.17491,1.108806,-1.517442,307.1774,81.40195,6.531283
44.42287,-2.174793,1.108762,-1.517421,307.2114,81.35497,6.590226
44.43101,-2.174793,1.108762,-1.517421,307.2114,81.35497,6.590226
44.43758,-2.174744,1.108756,-1.517412,307.2401,81.38927,6.553251
44.44593,-2.174774,1.108746,-1.517313,307.2534,81.37002,6.58407
44.45705,-2.174746,1.108711,-1.517303,307.2742,81.36047,6.605843
44.46804,-2.174642,1.108849,-1.51729,307.2977,81.36429,6.619992
44.47925,-2.174689,1.108883,-1.517202,307.3234,81.34431,6.639043
44.49039,-2.174651,1.10887,-1.517127,307.3409,81.35912,6.638524
44.50143,-2.174563,1.108815,-1.517032,307.377,81.37022,6.64849
44.51261,-2.174542,1.108794,-1.516874,307.4097,81.3372,6.697045
44.52366,-2.174406,1.10871,-1.516981,307.4578,81.33526,6.730259
44.53489,-2.1743,1.108729,-1.516891,307.521,81.30373,6.795444
44.54583,-2.174095,1.108809,-1.516758,307.6003,81.3485,6.785041
44.55703,-2.173884,1.108873,-1.516619,307.6998,81.32158,6.84904
44.57829,-2.173267,1.108901,-1.516793,308.1446,81.407,6.747622
44.58555,-2.173267,1.108901,-1.516793,308.1446,81.407,6.747622
44.59216,-2.172778,1.108966,-1.516721,308.449,81.51353,6.668647
44.60139,-2.172395,1.109175,-1.516675,308.8137,81.59158,6.623273
44.61264,-2.171612,1.10936,-1.516339,309.3252,81.53411,6.750109
44.62362,-2.170311,1.10962,-1.515587,310.3137,80.86619,7.433144
44.6347,-2.169244,1.109785,-1.514896,311.1436,80.35813,8.05479
44.64585,-2.16767,1.109999,-1.514104,312.1508,79.93324,8.559434
44.65709,-2.165995,1.110424,-1.513431,313.2944,79.81856,8.767957
44.66806,-2.164039,1.110667,-1.512547,314.7601,79.56503,9.117316
44.67926,-2.160974,1.111148,-1.511609,316.9681,79.15302,9.594514
44.69025,-2.157783,1.111858,-1.510934,319.1515,79.18721,9.662028
44.7014,-2.154014,1.112489,-1.510152,322.045,79.18095,9.754507
