time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
44.29451,-1.986724,1.128052,-1.697192,305.1171,104.9307,347.0247
44.30715,-1.972669,1.129309,-1.696175,303.3373,106.2269,345.2076
44.31674,-1.959769,1.130939,-1.695702,301.8258,106.9884,343.9931
44.32785,-1.946753,1.132203,-1.694925,300.5764,107.1261,343.4973
44.33899,-1.934563,1.133398,-1.694331,299.6928,106.61,343.8711
44.35007,-1.922651,1.134578,-1.693582,298.8287,106.2283,344.1971
44.36118,-1.91311,1.1357,-1.692918,298.2155,105.7931,344.9378
44.37226,-1.903214,1.136961,-1.691985,297.5051,105.8485,344.9987
44.3894,-1.894769,1.137863,-1.691083,297.0168,105.9568,345.1899
44.39678,-1.8874,1.138594,-1.690351,296.5403,106.3883,344.9673
44.40364,-1.879971,1.139144,-1.689317,296.1058,106.9586,344.5073
44.42287,-1.868941,1.139646,-1.687319,295.6641,108.6711,342.6693
44.43101,-1.868941,1.139646,-1.687319,295.6641,108.6711,342.6693
44.43758,-1.864988,1.138809,-1.685783,295.7427,109.3568,341.7665
44.44593,-1.862019,1.137852,-1.684186,295.8816,109.4778,341.5228
44.45705,-1.858819,1.136601,-1.682468,295.9843,109.6218,341.3406
44.46804,-1.85747,1.134785,-1.680919,296.3444,109.8436,341.1465
44.47925,-1.857062,1.132734,-1.679459,296.7513,110.4018,340.6446
44.49039,-1.856945,1.130285,-1.677797,297.0325,111.1853,339.8304
44.50143,-1.855992,1.127868,-1.676064,297.443,111.7595,339.1793
44.51261,-1.854599,1.12449,-1.673035,299.5697,107.1168,342.5582
44.52366,-1.852378,1.121762,-1.673814,301.0629,105.9841,343.1725
44.53489,-1.849459,1.121035,-1.675168,301.7795,107.8907,340.1542
44.54583,-1.847986,1.118106,-1.674916,302.6259,106.9029,341.621
44.55703,-1.846983,1.11601,-1.675785,304.6276,105.7404,344.3729
44.57829,-1.848626,1.116763,-1.675413,303.7427,105.7084,344.5397
44.58555,-1.848626,1.116763,-1.675413,303.7427,105.7084,344.5397
44.59216,-1.848379,1.116885,-1.67506,304.1311,105.3143,344.5025
44.60139,-1.8488,1.117269,-1.674593,303.7961,104.9688,344.845
44.61264,-1.848254,1.116478,-1.67603,303.5588,106.0258,343.8676
44.62362,-1.847724,1.116055,-1.675493,303.9652,105.9097,343.9842
44.6347,-1.847233,1.115438,-1.675551,303.8486,105.2899,344.6128
44.64585,-1.846929,1.11507,-1.674936,303.8887,104.9761,344.9613
44.65709,-1.846906,1.11465,-1.67474,303.7574,104.5814,345.3525
44.66806,-1.84649,1.114301,-1.674735,303.8758,104.286,345.6605
44.67926,-1.846636,1.114371,-1.674845,303.7856,104.3594,345.5916
44.69025,-1.846927,1.114386,-1.675121,303.7091,104.3976,345.5042
44.7014,-1.847116,1.114317,-1.675236,303.6985,104.4785,345.3858
44.71273,-1.847268,1.114362,-1.675482,303.6952,104.6592,345.1258
44.72356,-1.847306,1.114419,-1.675474,303.6991,104.6457,345.1176
44.73473,-1.847455,1.114442,-1.675561,303.7151,104.5907,345.1347
44.74575,-1.84746,1.114373,-1.675664,303.7154,104.6446,345.0585
44.75687,-1.847463,1.114317,-1.675728,303.7271,104.6527,345.0209
44.7681,-1.847449,1.11427,-1.675742,303.7412,104.6653,344.9991
44.77912,-1.847517,1.114286,-1.675751,303.7336,104.6507,344.9915
44.79018,-1.847488,1.114276,-1.675883,303.7529,104.6537,344.963
44.80134,-1.847667,1.114214,-1.676073,303.7532,104.6885,344.9044
44.8126,-1.847684,1.114248,-1.676164,303.7526,104.7186,344.8525
44.82349,-1.847707,1.114235,-1.676213,303.7712,104.7444,344.8137
44.8346,-1.847775,1.114249,-1.676344,303.7862,104.7799,344.7709
44.84576,-1.84775,1.114224,-1.676395,303.8434,104.8362,344.6986
44.85689,-1.84764,1.11417,-1.67638,303.8517,104.8256,344.6845
44.868,-1.847665,1.114115,-1.676463,303.8418,104.8335,344.6942
44.87899,-1.847687,1.114132,-1.676451,303.8471,104.7848,344.743
44.89017,-1.847769,1.11414,-1.676547,303.8402,104.7758,344.7476
44.90124,-1.847807,1.114135,-1.676553,303.8392,104.7743,344.7551
44.91246,-1.847826,1.114088,-1.676592,303.8337,104.7631,344.7685
44.92345,-1.847618,1.114204,-1.676515,303.8432,104.7212,344.804
44.93447,-1.847639,1.114184,-1.676532,303.8271,104.6924,344.8285
44.94558,-1.847585,1.11416,-1.676474,303.8162,104.6661,344.8504
44.95667,-1.847659,1.11417,-1.676537,303.8271,104.6751,344.8331
44.9679,-1.847661,1.114161,-1.676447,303.806,104.6765,344.8403
44.97895,-1.847746,1.114169,-1.676453,303.8169,104.6644,344.8474
44.98997,-1.847847,1.114114,-1.676447,303.7971,104.6595,344.8579
45.00108,-1.847837,1.11412,-1.67645,303.8074,104.6502,344.867
45.0123,-1.847793,1.113991,-1.67655,303.8185,104.6298,344.8975
45.0234,-1.847778,1.113976,-1.67656,303.8338,104.6648,344.8797
45.03442,-1.847789,1.113916,-1.676483,303.8427,104.6404,344.9103
45.04568,-1.847865,1.113864,-1.676569,303.8375,104.6061,344.9605
45.057,-1.847754,1.113779,-1.676617,303.8439,104.6135,344.9527
45.0685,-1.847743,1.113776,-1.67657,303.85,104.584,344.993
45.07993,-1.847762,1.113746,-1.676603,303.8574,104.5922,344.9837
45.09147,-1.847781,1.113809,-1.676596,303.8725,104.5996,344.9871
45.10287,-1.847787,1.113807,-1.676619,303.8719,104.6201,344.9597
45.11446,-1.847842,1.113736,-1.676693,303.8911,104.6501,344.9302
45.12582,-1.847859,1.11365,-1.676764,303.902,104.6697,344.9133
45.13808,-1.847921,1.113624,-1.676758,303.8926,104.6719,344.9181
45.14878,-1.84796,1.113631,-1.67682,303.8938,104.6813,344.9061
45.16027,-1.848,1.113607,-1.676787,303.9062,104.6555,344.9314
45.17171,-1.847848,1.113611,-1.67676,303.9152,104.6477,344.9426
45.18329,-1.847889,1.113589,-1.676739,303.9145,104.6462,344.9373
45.19471,-1.847788,1.113618,-1.676681,303.9129,104.6251,344.9675
45.2059,-1.847846,1.113571,-1.676683,303.9174,104.6123,344.975
45.21732,-1.84788,1.11359,-1.676666,303.9102,104.628,344.962
45.22874,-1.84763,1.113715,-1.676616,303.9266,104.6139,344.9745
45.23949,-1.847655,1.113667,-1.676638,303.9223,104.5858,344.9971
45.25066,-1.847535,1.11375,-1.676548,303.9214,104.5717,345.0149
45.26179,-1.847547,1.113742,-1.676621,303.9187,104.5591,345.0326
45.2729,-1.847518,1.11381,-1.67665,303.9363,104.6619,344.9137
45.28401,-1.847552,1.113771,-1.676704,303.9672,104.6854,344.8922
45.29509,-1.847508,1.113774,-1.676692,304.0011,104.7316,344.8634
45.30618,-1.847437,1.113852,-1.676682,304.0386,104.7907,344.8116
45.31743,-1.847375,1.113862,-1.676752,304.0844,104.8312,344.7737
45.32846,-1.847189,1.113938,-1.676687,304.1254,104.8858,344.7337
45.33963,-1.847034,1.113948,-1.676693,304.1947,104.9259,344.702
45.35073,-1.846887,1.11403,-1.676703,304.2837,105.0422,344.6238
45.36179,-1.846698,1.114135,-1.676697,304.3545,105.1103,344.5857
45.37286,-1.846373,1.114247,-1.676626,304.5049,105.1003,344.6329
45.38403,-1.845928,1.114445,-1.676484,304.6656,105.0348,344.7475
45.3952,-1.845474,1.114582,-1.676375,304.8529,104.9465,344.8751
45.40622,-1.844908,1.114816,-1.676224,305.1036,104.8417,345.0236
45.4174,-1.844178,1.11506,-1.676487,305.4625,104.2887,345.4901
45.42854,-1.843034,1.115485,-1.676995,306.4769,105.617,344.3951
45.43953,-1.841674,1.116072,-1.677295,307.3347,105.4402,344.5572
45.45066,-1.840144,1.116696,-1.677759,308.4225,105.4331,344.6344
45.46186,-1.83856,1.117499,-1.677939,309.4504,105.085,345.0207
45.47285,-1.836157,1.11848,-1.678335,310.9384,104.6067,345.5785
45.48402,-1.834053,1.119337,-1.678584,312.2752,104.4749,345.8107
45.4952,-1.831511,1.120266,-1.678961,313.8642,104.3742,346.104
45.5062,-1.828715,1.121179,-1.679311,315.6096,104.1382,346.557
45.51748,-1.826022,1.122137,-1.679637,317.2898,103.9794,346.9346
45.5284,-1.822906,1.123254,-1.679906,319.1255,103.7557,347.4414
45.53975,-1.819726,1.124322,-1.680035,320.9177,103.3217,348.1642
45.55059,-1.816362,1.125376,-1.680215,322.7332,102.8565,348.8314
45.5617,-1.812907,1.127157,-1.680121,324.7162,102.6321,349.3088
45.57276,-1.809467,1.129114,-1.679778,326.4652,102.2881,350.0601
45.58394,-1.80616,1.131969,-1.679017,328.1531,101.8311,350.833
45.59512,-1.802552,1.135136,-1.678572,329.223,101.1691,351.5251
45.60612,-1.799114,1.138477,-1.67801,330.226,100.7901,352.0152
45.6173,-1.79502,1.141603,-1.677783,331.1663,100.67,352.287
45.62841,-1.79101,1.14491,-1.677751,332.1455,101.0055,352.3362
45.63939,-1.78554,1.148582,-1.677797,332.7091,101.7816,352.1797
45.65062,-1.779739,1.151959,-1.67815,332.6988,102.6455,352.0217
45.66195,-1.772817,1.154547,-1.678568,332.6931,103.5137,352.1501
45.67281,-1.766453,1.157335,-1.678977,333.1006,104.0131,352.5836
45.68388,-1.758419,1.16048,-1.679489,332.7539,105.1573,352.2084
45.69505,-1.749661,1.162816,-1.679358,332.0946,105.7986,351.8906
45.70614,-1.740825,1.16511,-1.67917,331.9394,106.1863,351.7805
45.71733,-1.730259,1.166171,-1.679078,331.5439,106.1351,351.6156
45.7284,-1.719999,1.167717,-1.678997,331.2624,106.3782,351.44
45.73947,-1.708581,1.168244,-1.678991,330.8302,106.5688,351.1484
45.75063,-1.696971,1.169281,-1.678939,330.4302,106.8549,350.8658
45.76172,-1.684376,1.169554,-1.679115,329.87,107.081,350.5737
45.77279,-1.671401,1.169361,-1.679599,329.2115,107.2571,350.3214
45.7841,-1.65774,1.168855,-1.680397,328.6007,107.5483,350.0214
45.79509,-1.643363,1.168027,-1.681382,328.0047,107.8717,349.7071
