time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
80.06677,-1.864558,1.955252,-1.434026,4.660336,82.92997,314.2982
80.08066,-1.863496,1.9544,-1.433207,4.676641,82.7605,314.298
80.09584,-1.862719,1.953955,-1.432681,4.698972,82.66151,314.3138
80.10467,-1.861118,1.953075,-1.431703,4.735034,82.52702,314.3185
80.11377,-1.85999,1.952561,-1.431177,4.74521,82.4868,314.2995
80.12571,-1.858472,1.951969,-1.430666,4.744278,82.48698,314.2388
80.13609,-1.857203,1.95144,-1.430165,4.754888,82.47285,314.2086
80.14724,-1.855592,1.950804,-1.429712,4.778268,82.49007,314.1988
80.1686,-1.852516,1.949321,-1.42894,4.872982,82.54534,314.1824
80.1773,-1.851138,1.948836,-1.428643,4.910005,82.56161,314.219
80.18511,-1.849694,1.948348,-1.428354,4.937721,82.56945,314.2567
80.19352,-1.848121,1.947889,-1.428011,4.955896,82.58389,314.3056
80.20284,-1.846201,1.947207,-1.42764,4.980025,82.59965,314.3391
80.21408,-1.843852,1.94652,-1.427367,5.007579,82.65874,314.3754
80.236,-1.839061,1.945201,-1.426899,5.073672,82.89516,314.4861
80.24448,-1.836851,1.944582,-1.426727,5.095201,83.00485,314.5246
80.25265,-1.834576,1.944054,-1.426742,5.104602,83.17639,314.5665
80.26052,-1.832554,1.943686,-1.426783,5.11215,83.33088,314.6219
80.2695,-1.830187,1.943122,-1.426734,5.116906,83.47677,314.6887
80.28067,-1.827116,1.942462,-1.426568,5.113841,83.62099,314.7881
80.29189,-1.823722,1.941757,-1.426473,5.107187,83.76893,314.8721
80.30284,-1.820222,1.941058,-1.426236,5.091779,83.92377,314.972
80.31397,-1.816757,1.940342,-1.426043,5.070347,84.08052,315.0742
80.325,-1.812979,1.939721,-1.425767,5.014517,84.20784,315.1476
80.33611,-1.809067,1.939066,-1.425327,4.958589,84.30385,315.2292
80.34724,-1.805279,1.938298,-1.424843,4.924007,84.38433,315.3112
80.35838,-1.801183,1.93737,-1.424231,4.937003,84.4594,315.4091
80.36952,-1.797352,1.936431,-1.423755,4.96027,84.54109,315.4898
80.3908,-1.789275,1.934565,-1.422595,5.017125,84.70778,315.6789
80.40002,-1.785345,1.933647,-1.422265,5.089413,84.7944,315.7411
80.40891,-1.7817,1.932708,-1.421787,5.129279,84.90874,315.8051
80.41664,-1.778263,1.931841,-1.421368,5.161984,85.01879,315.8781
80.43477,-1.770776,1.929587,-1.420422,5.250959,85.26289,316.0458
80.44329,-1.766812,1.928477,-1.419934,5.328347,85.40513,316.115
80.45107,-1.763445,1.927519,-1.41935,5.358318,85.51237,316.1951
80.45929,-1.759779,1.926531,-1.418853,5.424824,85.63088,316.2912
80.46945,-1.755156,1.925271,-1.418202,5.504991,85.78347,316.3816
80.48064,-1.749962,1.923835,-1.417342,5.598118,85.94379,316.5021
80.49178,-1.744684,1.92255,-1.416512,5.68259,86.09091,316.6352
80.50275,-1.739453,1.921318,-1.415624,5.76581,86.24557,316.7482
80.51397,-1.733863,1.920085,-1.414868,5.868775,86.4166,316.8334
80.52512,-1.728523,1.918828,-1.413946,5.99603,86.62375,316.9376
80.53609,-1.722979,1.917555,-1.412972,6.125606,86.864,317.0371
80.55717,-1.712519,1.91515,-1.410947,6.315315,87.2982,317.1894
80.56564,-1.708087,1.914239,-1.410033,6.398982,87.46072,317.2442
80.57362,-1.704167,1.913548,-1.409143,6.49246,87.58566,317.2939
80.58184,-1.699984,1.912723,-1.408065,6.558301,87.68016,317.3351
80.59163,-1.695045,1.911769,-1.406675,6.626895,87.7534,317.3736
80.60275,-1.68934,1.910813,-1.405055,6.676222,87.83298,317.447
80.61382,-1.683832,1.909749,-1.403397,6.747167,87.92292,317.5595
80.62487,-1.678163,1.908721,-1.401724,6.818717,87.97031,317.7338
80.63602,-1.672578,1.907495,-1.39979,6.932551,88.05823,317.8672
80.64702,-1.667153,1.906317,-1.397863,7.060863,88.18091,317.9807
80.65845,-1.661577,1.904946,-1.395755,7.22203,88.28621,318.0649
80.66911,-1.656431,1.903739,-1.393731,7.359887,88.41995,318.1314
80.68043,-1.651071,1.902448,-1.39159,7.500358,88.54446,318.1547
80.69132,-1.646083,1.901176,-1.389457,7.639756,88.6745,318.1515
