time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
80.06677,-2.258106,2.010382,-1.847527,355.7581,261.8029,156.9089
80.08066,-2.256871,2.010283,-1.846902,355.803,262.0209,156.9158
80.09584,-2.2553,2.00997,-1.846342,355.6947,262.2852,156.8992
80.10467,-2.253427,2.009331,-1.845365,355.6041,262.5419,156.8781
80.11377,-2.251453,2.008805,-1.844413,355.5941,262.7398,156.8411
80.12571,-2.24965,2.008447,-1.843532,355.6375,262.9561,156.7975
80.13609,-2.247585,2.008059,-1.842596,355.7199,263.1574,156.7396
80.14724,-2.245537,2.007656,-1.841568,355.8777,263.3445,156.6679
80.1686,-2.241254,2.007217,-1.839265,356.3108,263.8023,156.5023
80.1773,-2.241254,2.007217,-1.839265,356.3108,263.8023,156.5023
80.18511,-2.239057,2.006995,-1.838066,356.4639,264.0508,156.4203
80.19352,-2.236663,2.006886,-1.836889,356.5545,264.2868,156.3417
80.20284,-2.234272,2.006706,-1.835682,356.5937,264.6094,156.2719
80.21408,-2.231511,2.006389,-1.834341,356.4734,265.0356,156.2094
80.236,-2.226272,2.006423,-1.832088,356.3364,265.6993,156.1479
80.24448,-2.223551,2.006219,-1.830729,356.3471,265.9535,156.1339
80.25265,-2.223551,2.006219,-1.830729,356.3471,265.9535,156.1339
80.26052,-2.220738,2.005847,-1.829416,356.4056,266.2866,156.0955
80.2695,-2.21816,2.005813,-1.82848,356.472,266.6023,156.0502
80.28067,-2.215227,2.005568,-1.827033,356.5822,266.9171,155.9551
80.29189,-2.212331,2.005391,-1.825579,356.6399,267.2161,155.872
80.30284,-2.209173,2.005081,-1.824122,356.6449,267.4991,155.7264
80.31397,-2.205694,2.004498,-1.822366,356.611,267.7164,155.6105
80.325,-2.202533,2.004154,-1.820798,356.6255,267.9785,155.5261
80.33611,-2.199495,2.003639,-1.819374,356.6398,268.235,155.4555
80.34724,-2.196277,2.003296,-1.817878,356.6676,268.4516,155.4143
80.35838,-2.19312,2.003099,-1.81635,356.762,268.6262,155.3643
80.36952,-2.189845,2.003099,-1.814706,356.9296,268.8833,155.3545
80.3908,-2.183012,2.0031,-1.811125,357.071,269.5201,155.2723
80.40002,-2.179099,2.003435,-1.80933,356.8704,269.8277,155.2148
80.40891,-2.179099,2.003435,-1.80933,356.8704,269.8277,155.2148
80.41664,-2.175298,2.003392,-1.807686,356.7807,270.0948,155.1552
80.43477,-2.166645,2.003351,-1.803784,356.2715,270.3894,154.8687
80.44329,-2.166645,2.003351,-1.803784,356.2715,270.3894,154.8687
80.45107,-2.162491,2.003356,-1.801865,356.0544,270.6432,154.7331
80.45929,-2.158248,2.003189,-1.799909,355.8412,270.7889,154.5632
80.46945,-2.154375,2.003096,-1.797986,355.6791,270.9937,154.4019
80.48064,-2.15029,2.003099,-1.796059,355.5014,271.1766,154.269
80.49178,-2.146248,2.002996,-1.794423,355.3229,271.3671,154.168
80.50275,-2.142186,2.003029,-1.792594,355.1077,271.481,154.0568
80.51397,-2.13806,2.00316,-1.790925,354.8771,271.4141,154.0397
80.52512,-2.133849,2.003864,-1.789425,354.7397,271.2117,154.101
80.53609,-2.129758,2.003973,-1.787697,354.5562,271.269,154.0313
80.55717,-2.121815,2.005556,-1.784515,354.3659,270.8421,154.3257
80.56564,-2.121815,2.005556,-1.784515,354.3659,270.8421,154.3257
80.57362,-2.117721,2.006319,-1.781971,354.0826,271.0264,154.3006
80.58184,-2.113563,2.006915,-1.780183,353.8484,271.1435,154.2484
80.59163,-2.108855,2.007346,-1.777745,353.6634,271.3742,154.1212
80.60275,-2.104533,2.007888,-1.77563,353.4761,271.488,154.0516
80.61382,-2.100095,2.008354,-1.773353,353.2309,271.6214,153.9705
80.62487,-2.095358,2.008585,-1.770644,352.7782,271.7654,153.9388
80.63602,-2.089649,2.008265,-1.768376,352.421,271.8181,153.9389
80.64702,-2.084237,2.006918,-1.765191,352.2341,271.789,153.8988
80.65845,-2.07989,2.009009,-1.762973,352.4041,271.982,153.7907
80.66911,-2.074665,2.009145,-1.75998,352.7871,272.3655,153.6088
80.68043,-2.069595,2.009281,-1.757103,353.1077,272.5485,153.4453
80.69132,-2.063977,2.009981,-1.754366,353.3181,272.4182,153.3674
80.70244,-2.058655,2.010225,-1.751947,353.1911,272.3224,153.3176
80.71358,-2.053074,2.010581,-1.749595,352.6361,272.136,153.3234
80.7247,-2.04776,2.010859,-1.747216,352.1081,272.019,153.3419
80.74564,-2.037658,2.011186,-1.743283,351.4668,271.6645,153.7009
80.75377,-2.037658,2.011186,-1.743283,351.4668,271.6645,153.7009
80.76134,-2.032646,2.011402,-1.741407,351.5273,271.48,153.8437
80.76901,-2.027867,2.0114,-1.739413,351.9326,271.3294,153.9374
80.78016,-2.023011,2.011535,-1.737329,352.2248,271.2531,153.9103
80.79104,-2.018347,2.011549,-1.73498,352.6939,271.2322,153.7826
80.80215,-2.013691,2.011544,-1.732537,353.0574,271.252,153.6088
80.81315,-2.009032,2.011603,-1.7296,353.3218,271.1655,153.4613
80.82441,-2.004463,2.011551,-1.726766,353.5144,271.0223,153.361
80.83533,-2.000052,2.01161,-1.723383,353.526,270.9211,153.3039
80.8465,-1.995767,2.011528,-1.720164,353.4037,270.9684,153.3788
80.85752,-1.991562,2.011676,-1.71713,353.2817,271.0015,153.6671
80.86877,-1.987516,2.011976,-1.714053,353.2176,270.9282,154.066
80.87991,-1.983587,2.012114,-1.71103,353.2317,270.8671,154.4174
80.89088,-1.979728,2.012158,-1.708194,353.1072,270.9848,154.8026
80.90198,-1.975902,2.012106,-1.705516,353.0083,271.2423,154.9572
80.91317,-1.972119,2.011737,-1.703431,352.8641,271.7825,155.0261
80.9243,-1.968355,2.01147,-1.701293,352.8321,272.0989,155.2129
80.93529,-1.964567,2.010913,-1.699746,353.0714,272.2683,155.2965
80.94637,-1.960915,2.010468,-1.698124,353.5992,272.1845,155.2616
80.95757,-1.957271,2.009937,-1.696701,354.3141,271.9004,155.2059
80.96861,-1.953429,2.009675,-1.695039,355.1976,271.6859,155.0571
80.97981,-1.949764,2.009467,-1.693389,356.005,271.6354,154.8486
80.99089,-1.945441,2.009074,-1.691634,356.986,271.5593,154.4878
81.00193,-1.941358,2.008615,-1.689877,357.5541,271.488,154.2901
81.013,-1.936987,2.008046,-1.688154,357.6717,271.5734,154.0633
81.0243,-1.932792,2.007366,-1.686797,357.4677,271.8566,153.9932
81.04538,-1.924169,2.006215,-1.684665,356.5854,272.0908,154.1597
81.05323,-1.924169,2.006215,-1.684665,356.5854,272.0908,154.1597
81.06039,-1.919845,2.005492,-1.683776,356.4013,271.9524,154.2537
81.06858,-1.91544,2.004633,-1.683233,356.2915,271.656,154.4408
81.07991,-1.911092,2.003815,-1.682499,356.4164,271.3816,154.5868
81.09101,-1.906682,2.002643,-1.682038,356.859,270.9472,154.8198
81.10202,-1.902364,2.001369,-1.681508,357.4895,270.7898,154.8539
81.12315,-1.893302,1.998469,-1.680282,358.9745,270.8147,154.7995
81.13123,-1.893302,1.998469,-1.680282,358.9745,270.8147,154.7995
81.13863,-1.888775,1.996819,-1.679844,359.8401,270.8286,154.7671
81.14661,-1.884118,1.994973,-1.679763,0.567852,270.7096,154.7263
81.15767,-1.879475,1.993018,-1.679636,1.099798,270.5962,154.7217
81.17889,-1.870145,1.989321,-1.679669,1.823763,270.415,154.779
81.18708,-1.870145,1.989321,-1.679669,1.823763,270.415,154.779
81.19469,-1.86526,1.987222,-1.68031,1.761164,270.3738,154.8807
81.20251,-1.86053,1.984954,-1.680691,1.82515,270.2073,154.9765
81.21326,-1.855442,1.98268,-1.681571,1.675697,269.6436,155.05
81.23436,-1.845366,1.977539,-1.683483,1.487361,268.3129,155.2031
81.24274,-1.845366,1.977539,-1.683483,1.487361,268.3129,155.2031
81.25039,-1.840347,1.974974,-1.684486,1.537834,267.8994,155.3141
81.25829,-1.835542,1.971911,-1.685552,1.788794,267.7313,155.4073
81.26888,-1.830758,1.969016,-1.686636,2.391335,267.7209,155.4883
81.28025,-1.826032,1.966256,-1.687803,3.093301,267.6241,155.5664
81.29119,-1.821625,1.963502,-1.688814,4.381799,267.498,155.6248
81.3022,-1.817517,1.961007,-1.690061,5.852069,267.1589,155.6771
81.31338,-1.81334,1.95881,-1.691139,7.357617,266.7943,155.7483
81.32442,-1.808967,1.95698,-1.69212,8.723045,266.4629,155.9015
81.33561,-1.804719,1.955533,-1.693269,9.758737,266.0989,156.1227
81.34677,-1.800155,1.954079,-1.694322,10.51925,265.6935,156.2783
81.35793,-1.795556,1.953286,-1.695533,10.74464,265.3444,156.3853
81.37907,-1.785549,1.952101,-1.69805,9.960832,265.1871,156.4536
