time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
139.9464,-2.052114,1.113673,-1.751242,300.3248,114.9803,345.5128
139.9718,-2.05195,1.113646,-1.75114,300.35,114.9278,345.5805
139.9812,-2.051911,1.113636,-1.751096,300.3524,114.9766,345.5407
139.9917,-2.051838,1.113632,-1.751118,300.3606,114.9379,345.5594
140.0119,-2.051911,1.11362,-1.751237,300.3913,114.9942,345.4775
140.0203,-2.051911,1.11362,-1.751237,300.3913,114.9942,345.4775
140.028,-2.051891,1.113669,-1.7513,300.4811,115.1312,345.383
140.0362,-2.051846,1.113623,-1.751337,300.4893,115.1403,345.3654
140.0464,-2.05179,1.113567,-1.751313,300.534,115.1748,345.3398
140.0575,-2.051796,1.113554,-1.751366,300.5395,115.1942,345.3282
140.0697,-2.051805,1.113446,-1.751374,300.5476,115.2128,345.3197
140.0898,-2.051916,1.113387,-1.751431,300.543,115.36,345.1942
140.0983,-2.051916,1.113387,-1.751431,300.543,115.36,345.1942
140.1112,-2.051745,1.113338,-1.751479,300.6131,115.3416,345.2359
140.1206,-2.051745,1.113338,-1.751479,300.6131,115.3416,345.2359
140.1282,-2.051692,1.1133,-1.751484,300.6272,115.3776,345.2245
140.1362,-2.051572,1.113261,-1.751477,300.6501,115.3004,345.3148
140.1464,-2.051545,1.113277,-1.751569,300.6562,115.3365,345.3213
140.1673,-2.051212,1.113177,-1.751493,300.6985,115.0663,345.7009
140.1756,-2.051212,1.113177,-1.751493,300.6985,115.0663,345.7009
140.1832,-2.051058,1.113023,-1.751404,300.7287,114.8863,345.94
140.1912,-2.050894,1.112977,-1.751354,300.7565,114.838,346.0408
140.2019,-2.050843,1.113037,-1.751218,300.7815,114.6778,346.2471
140.213,-2.050758,1.112992,-1.751215,300.7413,114.5209,346.4294
140.2241,-2.050862,1.112969,-1.751235,300.7144,114.608,346.3726
140.2353,-2.050871,1.112944,-1.751226,300.7081,114.5703,346.4276
140.2563,-2.050872,1.112815,-1.751266,300.7344,114.5375,346.4944
140.2684,-2.050797,1.112831,-1.751238,300.7336,114.4845,346.5656
140.2765,-2.050776,1.112808,-1.751242,300.7403,114.5007,346.6004
140.2842,-2.050776,1.112808,-1.751242,300.7403,114.5007,346.6004
140.2922,-2.050839,1.112798,-1.751252,300.7369,114.3999,346.7096
140.3019,-2.05087,1.112793,-1.751314,300.755,114.5199,346.6274
140.3229,-2.050674,1.112749,-1.751307,300.7843,114.4085,346.8036
140.3311,-2.050674,1.112749,-1.751307,300.7843,114.4085,346.8036
140.3389,-2.050597,1.112822,-1.751312,300.7831,114.3806,346.8723
140.356,-2.05033,1.112833,-1.751205,300.796,114.2021,347.1305
140.3644,-2.05033,1.112833,-1.751205,300.796,114.2021,347.1305
140.372,-2.050277,1.112824,-1.751202,300.8339,114.2088,347.1683
140.38,-2.050121,1.112776,-1.751182,300.8727,114.128,347.2867
140.3907,-2.05009,1.11284,-1.75125,300.9166,114.1033,347.3395
140.4019,-2.05011,1.112787,-1.751261,300.9435,114.1697,347.2977
140.4129,-2.050052,1.112741,-1.751271,300.9662,114.1793,347.3297
140.4277,-2.049972,1.112661,-1.751251,300.988,114.0846,347.4843
140.4356,-2.049969,1.112663,-1.751233,301.0002,114.0511,347.5604
140.4462,-2.049908,1.112734,-1.751173,301.0194,114.0438,347.6276
140.4671,-2.049647,1.112703,-1.751085,301.1414,113.9548,347.7831
140.4754,-2.049647,1.112703,-1.751085,301.1414,113.9548,347.7831
140.4829,-2.049392,1.112673,-1.751143,301.2399,113.9252,347.8552
140.491,-2.049293,1.112666,-1.751072,301.3221,113.8411,347.9649
140.5019,-2.04922,1.112495,-1.751068,301.343,113.8505,347.9861
140.5129,-2.04917,1.112499,-1.751081,301.3857,113.8044,348.061
140.5239,-2.049058,1.112542,-1.751284,301.4785,113.8733,348.0359
140.5351,-2.048738,1.112589,-1.751406,301.6596,113.9509,347.9866
140.5462,-2.048424,1.112645,-1.751292,301.8271,113.7521,348.2341
