time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.93642,-1.842263,2.443677,-1.795063,55.70833,75.83802,352.8072
35.95669,-1.841232,2.443345,-1.794964,55.78574,75.81808,352.7866
35.96576,-1.840268,2.442999,-1.794827,55.86379,75.77412,352.7693
35.97425,-1.839249,2.442774,-1.79469,55.97505,75.70141,352.737
35.98188,-1.838217,2.442599,-1.79458,56.04867,75.62331,352.7137
35.99106,-1.837119,2.442474,-1.794397,56.07835,75.54845,352.7451
36.00163,-1.835813,2.44227,-1.794298,56.0705,75.44018,352.7592
36.01271,-1.834387,2.442261,-1.794156,56.02317,75.34811,352.7736
36.03397,-1.832935,2.442223,-1.793965,55.96566,75.31335,352.8023
36.04223,-1.831432,2.442223,-1.79376,55.89266,75.27635,352.8313
36.05543,-1.829957,2.44221,-1.79351,55.83236,75.23486,352.8318
36.06865,-1.828519,2.44217,-1.793191,55.78848,75.21683,352.8254
36.07692,-1.827051,2.442022,-1.792847,55.74075,75.19497,352.82
36.0843,-1.825716,2.441934,-1.79248,55.72389,75.21083,352.8234
36.09209,-1.824342,2.441785,-1.792142,55.72256,75.19311,352.8029
36.10163,-1.82299,2.441554,-1.791756,55.75768,75.20885,352.8094
36.11258,-1.821663,2.441319,-1.79137,55.79189,75.2164,352.8144
36.13365,-1.820321,2.441092,-1.790939,55.81555,75.25372,352.8577
36.14188,-1.818866,2.440933,-1.790442,55.84959,75.28712,352.9247
36.14917,-1.817377,2.440801,-1.789942,55.84629,75.3047,352.9814
36.1571,-1.815747,2.440722,-1.789342,55.79715,75.33749,353.0473
36.16823,-1.813964,2.440682,-1.788707,55.7471,75.37865,353.1472
36.17935,-1.812048,2.440721,-1.78799,55.65009,75.45232,353.2574
36.1904,-1.810093,2.440753,-1.787331,55.53951,75.55384,353.3971
36.20169,-1.808034,2.440749,-1.786628,55.41466,75.68159,353.5418
36.21654,-1.806109,2.440845,-1.785903,55.3018,75.83025,353.7028
36.23426,-1.804021,2.440871,-1.785174,55.23802,75.98624,353.8676
36.24234,-1.802081,2.440879,-1.784473,55.20267,76.16002,354.0274
36.24987,-1.799933,2.440984,-1.783778,55.20277,76.36195,354.2098
36.25768,-1.797723,2.441191,-1.783139,55.17039,76.59155,354.4297
36.26839,-1.795247,2.441411,-1.782431,55.09738,76.80437,354.6184
36.27932,-1.792393,2.441802,-1.78163,54.9537,77.07889,354.8334
36.29051,-1.78932,2.442175,-1.780932,54.77381,77.3564,355.0403
36.31151,-1.785913,2.442576,-1.780191,54.53013,77.73777,355.2752
36.31973,-1.78233,2.44305,-1.779451,54.27898,78.14952,355.5
36.32737,-1.778512,2.4435,-1.778748,54.04291,78.71119,355.8015
36.34494,-1.774675,2.443907,-1.777988,53.85158,79.34648,356.1237
