time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.93642,-1.768852,2.035204,-1.989193,343.5665,83.29895,358.7021
35.95669,-1.766756,2.03475,-1.988829,343.5923,83.41232,358.5783
35.96576,-1.765922,2.034513,-1.988627,343.6387,83.45116,358.5146
35.97425,-1.765246,2.034229,-1.98862,343.6567,83.48091,358.4075
35.98188,-1.764392,2.0341,-1.988328,343.6761,83.52476,358.243
35.99106,-1.763486,2.033933,-1.988034,343.7039,83.55354,358.1211
36.00163,-1.762313,2.033673,-1.987431,343.7294,83.5249,358.0249
36.01271,-1.760982,2.033571,-1.986782,343.7354,83.46188,357.9442
36.03397,-1.758591,2.03315,-1.985354,343.715,83.22115,357.93
36.04223,-1.757602,2.032939,-1.984697,343.7167,83.08797,357.9561
36.05543,-1.756733,2.032941,-1.984146,343.7049,82.94141,357.9904
36.06865,-1.754699,2.032819,-1.982711,343.6745,82.60491,358.0499
36.07692,-1.753435,2.032938,-1.981734,343.6682,82.42881,358.0685
36.0843,-1.752536,2.032869,-1.981163,343.6625,82.30063,358.0881
36.09209,-1.751463,2.032815,-1.980483,343.6639,82.16491,358.1185
36.10163,-1.750169,2.032737,-1.979759,343.6561,82.02701,358.1567
36.11258,-1.748595,2.032659,-1.978793,343.6651,81.86331,358.1985
36.13365,-1.745208,2.032352,-1.9774,343.7012,81.64358,358.2868
36.14188,-1.743788,2.032334,-1.976803,343.6935,81.55129,358.3377
36.14917,-1.742542,2.032348,-1.976326,343.6632,81.4799,358.3757
36.1571,-1.741087,2.032379,-1.975784,343.6334,81.41084,358.4082
36.16823,-1.739197,2.032482,-1.975171,343.5863,81.29813,358.4493
36.17935,-1.737112,2.032581,-1.974463,343.5293,81.19243,358.4789
36.1904,-1.735037,2.032734,-1.973799,343.4589,81.10356,358.5228
36.20169,-1.732687,2.033036,-1.97303,343.3491,81.05138,358.5976
36.21654,-1.730375,2.033573,-1.972262,343.2124,81.01766,358.6803
36.23426,-1.725901,2.03407,-1.971243,342.9955,81.02597,358.8046
36.24234,-1.724083,2.034344,-1.970978,342.9491,81.11665,358.8742
36.24987,-1.722354,2.034502,-1.970697,342.9143,81.17972,358.9211
36.25768,-1.72068,2.034681,-1.970365,342.8742,81.22652,358.9425
36.26839,-1.718381,2.034952,-1.970036,342.8129,81.32504,358.9663
36.27932,-1.71569,2.035377,-1.969886,342.6978,81.5444,358.9019
36.29051,-1.713082,2.035738,-1.9696,342.6015,81.7261,358.8683
36.31151,-1.707578,2.036491,-1.968674,342.4558,82.11414,358.7691
36.31973,-1.705435,2.036665,-1.968372,342.3977,82.26136,358.723
36.32737,-1.703369,2.036761,-1.967969,342.3456,82.37906,358.7373
36.34494,-1.698618,2.036858,-1.967037,342.2535,82.61442,358.8574
36.35334,-1.696493,2.036638,-1.96667,342.2359,82.68539,358.9352
36.36474,-1.694054,2.036536,-1.966135,342.2802,82.7069,359.0595
36.37864,-1.688791,2.036208,-1.964709,342.3784,82.81681,359.2675
36.38701,-1.686395,2.036085,-1.964005,342.4173,82.87314,359.3521
36.39465,-1.68378,2.035883,-1.963218,342.5402,82.90804,359.4518
36.40262,-1.681379,2.035678,-1.962476,342.6453,82.94667,359.5439
36.41297,-1.678153,2.035447,-1.961488,342.7369,82.99037,359.6879
36.42388,-1.674549,2.035224,-1.960468,342.7802,83.0966,359.77
36.44503,-1.667625,2.035264,-1.958546,342.7559,83.39674,359.7952
36.45336,-1.664542,2.035047,-1.957711,342.8265,83.51279,359.7912
36.46103,-1.661624,2.034771,-1.956977,342.9415,83.58688,359.8106
36.46914,-1.658886,2.034585,-1.956228,343.0373,83.6468,359.8365
36.47955,-1.655227,2.034219,-1.955215,343.1986,83.69855,359.8749
36.49055,-1.65083,2.034115,-1.953785,343.377,83.62321,0.014385
36.50168,-1.646587,2.034007,-1.952733,343.5248,83.62239,0.140116
36.5227,-1.6383,2.033332,-1.950479,343.7849,83.57006,0.56167
36.53485,-1.634901,2.033294,-1.949609,343.8761,83.58219,0.763104
36.543,-1.629884,2.033157,-1.948593,344.0212,83.71288,0.973746
36.55068,-1.626415,2.033149,-1.948051,344.1514,83.86517,1.119492
36.55864,-1.622745,2.033204,-1.947628,344.3595,84.1618,1.237131
36.56842,-1.618724,2.033222,-1.94705,344.5796,84.43407,1.326468
36.57944,-1.613994,2.033791,-1.946573,344.8849,84.89488,1.261971
36.60049,-1.604866,2.035174,-1.945408,345.2919,85.69258,0.924635
36.60875,-1.601286,2.035868,-1.94493,345.3826,85.94415,0.751594
36.61635,-1.597811,2.036514,-1.944154,345.428,86.1246,0.562308
36.62431,-1.594539,2.037389,-1.943408,345.4586,86.23724,0.36634
36.6349,-1.59002,2.0386,-1.942138,345.4675,86.24748,0.236266
36.64598,-1.585369,2.039876,-1.940805,345.4693,86.19551,0.167045
36.65707,-1.580728,2.0411,-1.938931,345.3221,85.7612,0.368189
36.66814,-1.576008,2.042251,-1.937274,345.213,85.45811,0.51598
36.67932,-1.571305,2.043272,-1.935494,345.0481,84.99868,0.786414
36.69428,-1.566771,2.044187,-1.93384,344.9393,84.61845,1.011351
36.70207,-1.561411,2.044549,-1.932101,344.8977,84.13721,1.396587
36.71251,-1.556884,2.045108,-1.930661,344.8795,83.83437,1.68439
36.72371,-1.55207,2.045439,-1.929222,344.8715,83.52556,1.999932
36.73476,-1.547297,2.045486,-1.928348,344.9262,83.3931,2.256704
36.75575,-1.537939,2.045421,-1.926854,345.0301,83.40702,2.687284
36.76377,-1.534224,2.045239,-1.92659,345.1412,83.56224,2.843735
36.77135,-1.530829,2.04515,-1.92648,345.2755,83.78305,2.973935
36.7791,-1.527346,2.044867,-1.926512,345.4196,84.08591,3.089544
36.79014,-1.522662,2.044666,-1.926433,345.5797,84.52842,3.222967
36.80122,-1.517858,2.044511,-1.926886,345.7804,85.33564,3.156736
36.81231,-1.512954,2.044583,-1.927048,345.9533,85.93547,3.11134
36.82333,-1.508617,2.044718,-1.927305,346.1453,86.66592,2.893199
36.83485,-1.503805,2.044757,-1.927278,346.3594,87.31819,2.750193
36.84928,-1.499353,2.044915,-1.927165,346.5681,88.00023,2.512171
36.85679,-1.495185,2.045402,-1.926897,346.7465,88.58948,2.321565
36.8679,-1.491204,2.046138,-1.926334,346.8414,89.03221,2.277885
36.8888,-1.484385,2.047716,-1.924561,346.8744,89.50305,2.43518
36.89633,-1.482054,2.048614,-1.923575,346.8083,89.47088,2.663342
36.90388,-1.479598,2.049324,-1.92276,346.7879,89.55679,2.792233
36.91204,-1.47737,2.050235,-1.921644,346.7035,89.4977,2.993136
