time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.93642,-1.975335,1.144026,-1.532421,322.1005,63.17097,44.27436
35.95669,-1.956163,1.144682,-1.537311,321.1442,62.70592,46.17005
35.96576,-1.94515,1.144497,-1.539588,320.5043,62.25726,47.28836
35.97425,-1.94515,1.144497,-1.539588,320.5043,62.25726,47.28836
35.98188,-1.933621,1.144424,-1.541676,319.7346,61.73249,48.45253
35.99106,-1.921513,1.144168,-1.543606,319.021,61.12365,49.66687
36.00163,-1.909038,1.143891,-1.545315,318.3369,60.55748,50.82523
36.01271,-1.896293,1.143524,-1.547178,317.5782,60.10511,51.85665
36.03397,-1.870624,1.143394,-1.550766,316.0904,59.03181,54.01474
36.04223,-1.870624,1.143394,-1.550766,316.0904,59.03181,54.01474
36.05543,-1.844417,1.142842,-1.553883,314.7573,57.5588,56.20103
36.06865,-1.831612,1.14242,-1.555552,314.1739,56.85168,57.10214
36.07692,-1.818013,1.141844,-1.557225,313.7846,56.45822,57.35235
36.0843,-1.818013,1.141844,-1.557225,313.7846,56.45822,57.35235
36.09209,-1.805324,1.141237,-1.559078,313.5179,56.38175,57.07669
36.10163,-1.79281,1.140699,-1.560618,313.3129,56.10588,56.9853
36.11258,-1.780591,1.139529,-1.561504,313.5019,55.57842,57.08113
36.13365,-1.757915,1.138094,-1.562734,314.2049,52.8301,59.33805
36.14188,-1.757915,1.138094,-1.562734,314.2049,52.8301,59.33805
36.14917,-1.747115,1.137632,-1.563596,314.4481,51.86943,60.60146
36.1571,-1.736971,1.137395,-1.565104,314.3765,51.91688,61.19187
36.16823,-1.726401,1.136884,-1.566627,314.2868,52.25451,61.44672
36.17935,-1.717088,1.136564,-1.568513,314.0389,53.2048,61.35061
36.1904,-1.708251,1.136509,-1.570335,313.6882,53.93464,61.53208
36.20169,-1.699914,1.136619,-1.57248,313.2974,54.30957,61.97296
36.21654,-1.691776,1.136564,-1.57457,312.9143,54.56186,62.39397
36.23426,-1.678245,1.136038,-1.578334,312.2263,54.33908,63.76243
36.24234,-1.678245,1.136038,-1.578334,312.2263,54.33908,63.76243
36.24987,-1.672431,1.135595,-1.580515,312.0359,54.07951,64.63632
